ds,y
2013-12-30,0
2014-01-06,6
2014-01-13,6
2014-01-20,7
2014-01-27,5
2014-02-03,12
2014-02-10,5
2014-02-17,4
2014-02-24,2
2014-03-03,8
2014-03-10,8
2014-03-17,5
2014-03-24,10
2014-03-31,12
2014-04-07,7
2014-04-14,7
2014-04-21,12
2014-04-28,8
2014-05-05,11
2014-05-12,9
2014-05-19,9
2014-05-26,16
2014-06-02,10
2014-06-09,10
2014-06-16,9
2014-06-23,15
2014-06-30,12
2014-07-07,7
2014-07-14,10
2014-07-21,13
2014-07-28,11
2014-08-04,9
2014-08-11,8
2014-08-18,11
2014-08-25,14
2014-09-01,11
2014-09-08,9
2014-09-15,10
2014-09-22,12
2014-09-29,10
2014-10-06,12
2014-10-13,23
2014-10-20,15
2014-10-27,7
2014-11-03,22
2014-11-10,13
2014-11-17,6
2014-11-24,5
2014-12-01,5
2014-12-08,8
2014-12-15,9
2014-12-22,3
2014-12-29,10
2015-01-05,9
2015-01-12,7
2015-01-19,9
2015-01-26,4
2015-02-02,8
2015-02-09,4
2015-02-16,9
2015-02-23,4
2015-03-02,7
2015-03-09,7
2015-03-16,9
2015-03-23,4
2015-03-30,14
2015-04-06,11
2015-04-13,18
2015-04-20,18
2015-04-27,13
2015-05-04,9
2015-05-11,13
2015-05-18,12
2015-05-25,21
2015-06-01,17
2015-06-08,12
2015-06-15,16
2015-06-22,11
2015-06-29,16
2015-07-06,15
2015-07-13,13
2015-07-20,10
2015-07-27,13
2015-08-03,18
2015-08-10,19
2015-08-17,20
2015-08-24,15
2015-08-31,10
2015-09-07,9
2015-09-14,12
2015-09-21,13
2015-09-28,13
2015-10-05,14
2015-10-12,18
2015-10-19,16
2015-10-26,16
2015-11-02,8
2015-11-09,15
2015-11-16,15
2015-11-23,15
2015-11-30,10
2015-12-07,15
2015-12-14,15
2015-12-21,16
2016-01-04,19
2016-01-11,17
2016-01-18,19
2016-01-25,16
2016-02-01,19
2016-02-08,23
2016-02-15,17
2016-02-22,18
2016-02-29,18
2016-03-07,10
2016-03-14,26
2016-03-21,6
2016-03-28,11
2016-04-04,14
2016-04-11,26
2016-04-18,20
2016-04-25,15
2016-05-02,14
2016-05-09,19
2016-05-16,19
2016-05-23,18
2016-05-30,16
2016-06-06,16
2016-06-13,16
2016-06-20,18
2016-06-27,12
2016-07-04,12
2016-07-11,18
2016-07-18,8
2016-07-25,14
2016-08-01,17
2016-08-08,9
2016-08-15,20
2016-08-22,11
2016-08-29,21
2016-09-05,17
2016-09-12,20
2016-09-19,13
2016-09-26,12
2016-10-03,20
2016-10-10,17
2016-10-17,17
2016-10-24,13
2016-10-31,14
2016-11-07,18
2016-11-14,15
2016-11-21,15
2016-11-28,14
2016-12-05,10
2016-12-12,13
2016-12-19,17
2016-12-26,14
2017-01-02,21
2017-01-09,27
2017-01-16,29
2017-01-23,20
2017-01-30,21
2017-02-06,26
2017-02-13,38
2017-02-20,44
2017-02-27,18
2017-03-06,35
2017-03-13,31
2017-03-20,33
2017-03-27,28
2017-04-03,35
2017-04-10,25
2017-04-17,23
2017-04-24,26
2017-05-01,37
2017-05-08,29
2017-05-15,12
2017-05-22,38
2017-05-29,39
2017-06-05,29
2017-06-12,40
2017-06-19,37
2017-06-26,34
2017-07-03,21
2017-07-10,24
2017-07-17,20
2017-07-24,35
2017-07-31,22
2017-08-07,19
2017-08-14,22
2017-08-21,38
2017-08-28,37
2017-09-04,37
2017-09-11,27
2017-09-18,26
2017-09-25,37
2017-10-02,29
2017-10-09,31
2017-10-16,24
2017-10-23,20
2017-10-30,21
2017-11-06,28
2017-11-13,37
2017-11-20,26
2017-11-27,30
2017-12-04,26
2017-12-11,52
2017-12-18,22
2017-12-25,15
2018-01-01,22
2018-01-08,25
2018-01-15,34
2018-01-22,19
2018-01-29,39
2018-02-05,33
2018-02-12,20
2018-02-19,22
2018-02-26,35
2018-03-05,24
2018-03-12,35
2018-03-19,20
2018-03-26,24
2018-04-02,22
2018-04-09,26
2018-04-16,34
2018-04-23,16
2018-04-30,23
2018-05-07,30
2018-05-14,19
2018-05-21,22
2018-05-28,11
2018-06-04,35
2018-06-11,20
2018-06-18,23
2018-06-25,29
2018-07-02,28
2018-07-09,25
2018-07-16,21
2018-07-23,17
2018-07-30,34
2018-08-06,23
2018-08-13,27
2018-08-20,23
2018-08-27,28
2018-09-03,18
2018-09-10,24
2018-09-17,24
2018-09-24,21
2018-10-01,18
2018-10-08,19
2018-10-15,21
2018-10-22,28
2018-10-29,18
2018-11-05,31
2018-11-12,11
2018-11-19,23
2018-11-26,20
2018-12-03,18
2018-12-10,21
2018-12-17,15
2018-12-24,12
2018-12-31,11
2019-01-07,14
2019-01-14,28
2019-01-21,11
2019-01-28,24
2019-02-04,16
2019-02-11,20
2019-02-18,30
2019-02-25,17
2019-03-04,23
2019-03-11,23
2019-03-18,15
2019-03-25,28
2019-04-01,17
2019-04-08,27
2019-04-15,16
2019-04-22,16
2019-04-29,21
2019-05-06,21
2019-05-13,20
2019-05-20,16
2019-05-27,14
2019-06-03,26
2019-06-10,18
2019-06-17,19
2019-06-24,19
2019-07-01,17
2019-07-08,25
2019-07-15,14
2019-07-22,16
2019-07-29,13
2019-08-05,14
2019-08-12,17
2019-08-19,19
2019-08-26,11
2019-09-02,19
2019-09-09,41
2019-09-16,28
2019-09-23,17
2019-09-30,14
2019-10-07,28
2019-10-14,22
2019-10-21,35
2019-10-28,17
2019-11-04,26
2019-11-11,19
2019-11-18,25
2019-11-25,17
2019-12-02,26
2019-12-09,15
2019-12-16,17
2019-12-23,13
2019-12-30,16
2020-01-06,28
2020-01-13,20
2020-01-20,26
2020-01-27,19
2020-02-03,16
2020-02-10,19
2020-02-17,27
2020-02-24,20
2020-03-02,19
2020-03-09,25
2020-03-16,19
2020-03-23,17
2020-03-30,9
2020-04-06,9
2020-04-13,7
2020-04-20,10
2020-04-27,4
2020-05-04,8
2020-05-11,10
2020-05-18,9
2020-05-25,12
2020-06-01,13
2020-06-08,8
2020-06-15,20
2020-06-22,11
2020-06-29,13
2020-07-06,8
2020-07-13,10
2020-07-20,18
2020-07-27,11
2020-08-03,15
2020-08-10,11
2020-08-17,11
2020-08-24,17
2020-08-31,4
2020-09-07,10
2020-09-14,9
2020-09-21,14
2020-09-28,19
2020-10-05,11
2020-10-12,13
2020-10-19,22
2020-10-26,21
2020-11-02,9
2020-11-09,15
2020-11-16,10
2020-11-23,10
2020-11-30,10
2020-12-07,17
2020-12-14,19
2020-12-21,12
2020-12-28,8
2021-01-04,11
2021-01-11,12
2021-01-18,12
2021-01-25,13
2021-02-01,12
2021-02-08,12
2021-02-15,16
2021-02-22,16
