ds,y
2013-12-30,18
2014-01-06,26
2014-01-13,32
2014-01-20,33
2014-01-27,31
2014-02-03,23
2014-02-10,24
2014-02-17,31
2014-02-24,31
2014-03-03,40
2014-03-10,52
2014-03-17,21
2014-03-24,54
2014-03-31,54
2014-04-07,58
2014-04-14,34
2014-04-21,44
2014-04-28,21
2014-05-05,32
2014-05-12,28
2014-05-19,34
2014-05-26,47
2014-06-02,37
2014-06-09,38
2014-06-16,38
2014-06-23,52
2014-06-30,26
2014-07-07,35
2014-07-14,39
2014-07-21,39
2014-07-28,44
2014-08-04,43
2014-08-11,51
2014-08-18,46
2014-08-25,40
2014-09-01,55
2014-09-08,57
2014-09-15,35
2014-09-22,50
2014-09-29,51
2014-10-06,42
2014-10-13,54
2014-10-20,46
2014-10-27,46
2014-11-03,39
2014-11-10,61
2014-11-17,18
2014-11-24,21
2014-12-01,25
2014-12-08,9
2014-12-15,14
2014-12-22,8
2014-12-29,37
2015-01-05,26
2015-01-12,26
2015-01-19,36
2015-01-26,21
2015-02-02,28
2015-02-09,32
2015-02-16,26
2015-02-23,44
2015-03-02,41
2015-03-09,34
2015-03-16,40
2015-03-23,27
2015-03-30,62
2015-04-06,73
2015-04-13,57
2015-04-20,52
2015-04-27,41
2015-05-04,56
2015-05-11,59
2015-05-18,64
2015-05-25,61
2015-06-01,51
2015-06-08,53
2015-06-15,46
2015-06-22,63
2015-06-29,61
2015-07-06,42
2015-07-13,47
2015-07-20,41
2015-07-27,63
2015-08-03,70
2015-08-10,60
2015-08-17,72
2015-08-24,62
2015-08-31,62
2015-09-07,48
2015-09-14,55
2015-09-21,69
2015-09-28,74
2015-10-05,64
2015-10-12,70
2015-10-19,52
2015-10-26,35
2015-11-02,67
2015-11-09,54
2015-11-16,64
2015-11-23,77
2015-11-30,55
2015-12-07,48
2015-12-14,38
2015-12-21,31
2016-01-04,50
2016-01-11,49
2016-01-18,53
2016-01-25,82
2016-02-01,85
2016-02-08,71
2016-02-15,56
2016-02-22,75
2016-02-29,70
2016-03-07,66
2016-03-14,50
2016-03-21,16
2016-03-28,47
2016-04-04,68
2016-04-11,56
2016-04-18,68
2016-04-25,63
2016-05-02,59
2016-05-09,60
2016-05-16,60
2016-05-23,63
2016-05-30,65
2016-06-06,59
2016-06-13,58
2016-06-20,70
2016-06-27,51
2016-07-04,64
2016-07-11,59
2016-07-18,52
2016-07-25,47
2016-08-01,58
2016-08-08,68
2016-08-15,62
2016-08-22,52
2016-08-29,49
2016-09-05,63
2016-09-12,50
2016-09-19,59
2016-09-26,67
2016-10-03,57
2016-10-10,82
2016-10-17,64
2016-10-24,60
2016-10-31,59
2016-11-07,48
2016-11-14,49
2016-11-21,50
2016-11-28,44
2016-12-05,43
2016-12-12,38
2016-12-19,30
2016-12-26,24
2017-01-02,66
2017-01-09,76
2017-01-16,71
2017-01-23,74
2017-01-30,103
2017-02-06,93
2017-02-13,86
2017-02-20,83
2017-02-27,87
2017-03-06,86
2017-03-13,81
2017-03-20,76
2017-03-27,122
2017-04-03,98
2017-04-10,61
2017-04-17,83
2017-04-24,66
2017-05-01,63
2017-05-08,72
2017-05-15,76
2017-05-22,109
2017-05-29,97
2017-06-05,114
2017-06-12,79
2017-06-19,74
2017-06-26,92
2017-07-03,65
2017-07-10,64
2017-07-17,61
2017-07-24,61
2017-07-31,51
2017-08-07,51
2017-08-14,87
2017-08-21,69
2017-08-28,84
2017-09-04,102
2017-09-11,76
2017-09-18,91
2017-09-25,79
2017-10-02,71
2017-10-09,80
2017-10-16,83
2017-10-23,84
2017-10-30,84
2017-11-06,88
2017-11-13,69
2017-11-20,69
2017-11-27,77
2017-12-04,74
2017-12-11,86
2017-12-18,44
2017-12-25,49
2018-01-01,49
2018-01-08,84
2018-01-15,88
2018-01-22,80
2018-01-29,74
2018-02-05,88
2018-02-12,85
2018-02-19,69
2018-02-26,60
2018-03-05,64
2018-03-12,69
2018-03-19,54
2018-03-26,51
2018-04-02,55
2018-04-09,67
2018-04-16,66
2018-04-23,76
2018-04-30,81
2018-05-07,55
2018-05-14,74
2018-05-21,73
2018-05-28,51
2018-06-04,62
2018-06-11,50
2018-06-18,65
2018-06-25,61
2018-07-02,89
2018-07-09,65
2018-07-16,78
2018-07-23,66
2018-07-30,57
2018-08-06,68
2018-08-13,61
2018-08-20,79
2018-08-27,55
2018-09-03,56
2018-09-10,65
2018-09-17,60
2018-09-24,63
2018-10-01,54
2018-10-08,56
2018-10-15,60
2018-10-22,51
2018-10-29,63
2018-11-05,64
2018-11-12,38
2018-11-19,71
2018-11-26,55
2018-12-03,58
2018-12-10,36
2018-12-17,40
2018-12-24,41
2018-12-31,37
2019-01-07,55
2019-01-14,71
2019-01-21,76
2019-01-28,55
2019-02-04,57
2019-02-11,71
2019-02-18,86
2019-02-25,64
2019-03-04,72
2019-03-11,84
2019-03-18,58
2019-03-25,61
2019-04-01,65
2019-04-08,62
2019-04-15,38
2019-04-22,74
2019-04-29,50
2019-05-06,58
2019-05-13,62
2019-05-20,87
2019-05-27,67
2019-06-03,67
2019-06-10,77
2019-06-17,71
2019-06-24,53
2019-07-01,68
2019-07-08,65
2019-07-15,77
2019-07-22,57
2019-07-29,46
2019-08-05,79
2019-08-12,64
2019-08-19,63
2019-08-26,76
2019-09-02,74
2019-09-09,87
2019-09-16,58
2019-09-23,74
2019-09-30,68
2019-10-07,93
2019-10-14,62
2019-10-21,94
2019-10-28,84
2019-11-04,89
2019-11-11,68
2019-11-18,65
2019-11-25,36
2019-12-02,91
2019-12-09,64
2019-12-16,58
2019-12-23,39
2019-12-30,42
2020-01-06,51
2020-01-13,89
2020-01-20,61
2020-01-27,88
2020-02-03,59
2020-02-10,64
2020-02-17,74
2020-02-24,96
2020-03-02,59
2020-03-09,98
2020-03-16,58
2020-03-23,55
2020-03-30,31
2020-04-06,20
2020-04-13,22
2020-04-20,19
2020-04-27,23
2020-05-04,34
2020-05-11,29
2020-05-18,27
2020-05-25,49
2020-06-01,29
2020-06-08,40
2020-06-15,34
2020-06-22,37
2020-06-29,30
2020-07-06,37
2020-07-13,37
2020-07-20,47
2020-07-27,26
2020-08-03,47
2020-08-10,27
2020-08-17,34
2020-08-24,38
2020-08-31,33
2020-09-07,28
2020-09-14,35
2020-09-21,50
2020-09-28,47
2020-10-05,51
2020-10-12,50
2020-10-19,63
2020-10-26,42
2020-11-02,40
2020-11-09,49
2020-11-16,34
2020-11-23,45
2020-11-30,47
2020-12-07,48
2020-12-14,35
2020-12-21,21
2020-12-28,24
2021-01-04,25
2021-01-11,42
2021-01-18,49
2021-01-25,39
2021-02-01,38
2021-02-08,54
2021-02-15,55
2021-02-22,55
2021-03-01,56
2021-03-08,43
2021-03-15,57
2021-03-22,49
2021-03-29,31
2021-04-05,60
2021-04-12,39
2021-04-19,70
2021-04-26,48
2021-05-03,60
2021-05-10,51
2021-05-17,58
2021-05-24,61
2021-05-31,62
2021-06-07,48
2021-06-14,55
2021-06-21,61
2021-06-28,54
2021-07-05,40
2021-07-12,60
2021-07-19,34
2021-07-26,26
2021-08-02,32
2021-08-09,34
2021-08-16,40
2021-08-23,49
2021-08-30,36
2021-09-06,52
2021-09-13,57
2021-09-20,51
2021-09-27,66
2021-10-04,58
2021-10-11,47
2021-10-18,72
2021-10-25,63
2021-11-01,51
2021-11-08,54
2021-11-15,56
2021-11-22,61
2021-11-29,50
2021-12-06,44
2021-12-13,51
2021-12-20,20
2021-12-27,29
2022-01-03,27
2022-01-10,34
2022-01-17,57
2022-01-24,51
2022-01-31,47
2022-02-07,66
2022-02-14,52
2022-02-21,65
2022-02-28,59
2022-03-07,74
2022-03-14,45
2022-03-21,47
2022-03-28,71
2022-04-04,66
2022-04-11,32
2022-04-18,64
2022-04-25,45
2022-05-02,65
2022-05-09,43
2022-05-16,47
2022-05-23,63
2022-05-30,69
2022-06-06,54
2022-06-13,66
2022-06-20,44
2022-06-27,64
2022-07-04,64
2022-07-11,43
2022-07-18,51
2022-07-25,50
2022-08-01,68
2022-08-08,50
2022-08-15,52
2022-08-22,68
2022-08-29,61
2022-09-05,43
2022-09-12,59
2022-09-19,61
2022-09-26,48
2022-10-03,62
2022-10-10,73
2022-10-17,61
2022-10-24,51
2022-10-31,49
2022-11-07,68
2022-11-14,61
2022-11-21,44
2022-11-28,66
2022-12-05,53
2022-12-12,38
2022-12-19,45
2022-12-26,33
2023-01-02,22
2023-01-09,62
2023-01-16,50
2023-01-23,45
2023-01-30,58
2023-02-06,61
2023-02-13,82
2023-02-20,70
2023-02-27,59
2023-03-06,81
2023-03-13,58
2023-03-20,56
2023-03-27,67
2023-04-03,26
2023-04-10,71
2023-04-17,71
2023-04-24,73
2023-05-01,59
2023-05-08,64
2023-05-15,75
2023-05-22,83
2023-05-29,62
2023-06-05,78
2023-06-12,76
2023-06-19,62
2023-06-26,56
2023-07-03,69
2023-07-10,80
2023-07-17,60
2023-07-24,46
2023-07-31,68
2023-08-07,73
2023-08-14,67
2023-08-21,59
2023-08-28,62
2023-09-04,94
2023-09-11,60
2023-09-18,76
2023-09-25,74
2023-10-02,76
2023-10-09,60
2023-10-16,67
2023-10-23,63
2023-10-30,68
2023-11-06,76
2023-11-13,65
2023-11-20,57
2023-11-27,65
2023-12-04,55
2023-12-11,62
2023-12-18,59
2023-12-25,13
2024-01-01,30
2024-01-08,57
2024-01-15,66
2024-01-22,74
2024-01-29,68
2024-02-05,74
2024-02-12,63
2024-02-19,99
2024-02-26,60
2024-03-04,104
2024-03-11,90
