ds,y
2013-12-30,10
2014-01-06,24
2014-01-13,40
2014-01-20,32
2014-01-27,61
2014-02-03,28
2014-02-10,45
2014-02-17,37
2014-02-24,54
2014-03-03,55
2014-03-10,65
2014-03-17,28
2014-03-24,52
2014-03-31,59
2014-04-07,57
2014-04-14,28
2014-04-21,63
2014-04-28,44
2014-05-05,50
2014-05-12,51
2014-05-19,48
2014-05-26,54
2014-06-02,50
2014-06-09,45
2014-06-16,52
2014-06-23,53
2014-06-30,56
2014-07-07,58
2014-07-14,40
2014-07-21,41
2014-07-28,27
2014-08-04,32
2014-08-11,49
2014-08-18,33
2014-08-25,19
2014-09-01,29
2014-09-08,20
2014-09-15,17
2014-09-22,52
2014-09-29,26
2014-10-06,27
2014-10-13,20
2014-10-20,20
2014-10-27,28
2014-11-03,23
2014-11-10,50
2014-11-17,32
2014-11-24,14
2014-12-01,20
2014-12-08,23
2014-12-15,11
2014-12-22,7
2014-12-29,37
2015-01-05,24
2015-01-12,29
2015-01-19,38
2015-01-26,22
2015-02-02,28
2015-02-09,35
2015-02-16,31
2015-02-23,33
2015-03-02,84
2015-03-09,25
2015-03-16,31
2015-03-23,32
2015-03-30,36
2015-04-06,70
2015-04-13,36
2015-04-20,50
2015-04-27,48
2015-05-04,50
2015-05-11,84
2015-05-18,57
2015-05-25,63
2015-06-01,49
2015-06-08,48
2015-06-15,53
2015-06-22,68
2015-06-29,56
2015-07-06,46
2015-07-13,192
2015-07-20,59
2015-07-27,57
2015-08-03,65
2015-08-10,53
2015-08-17,56
2015-08-24,46
2015-08-31,50
2015-09-07,39
2015-09-14,61
2015-09-21,63
2015-09-28,47
2015-10-05,64
2015-10-12,45
2015-10-19,55
2015-10-26,39
2015-11-02,51
2015-11-09,36
2015-11-16,51
2015-11-23,49
2015-11-30,54
2015-12-07,33
2015-12-14,27
2015-12-21,23
2016-01-04,39
2016-01-11,56
2016-01-18,66
2016-01-25,62
2016-02-01,47
2016-02-08,55
2016-02-15,66
2016-02-22,59
2016-02-29,53
2016-03-07,64
2016-03-14,48
2016-03-21,39
2016-03-28,39
2016-04-04,48
2016-04-11,46
2016-04-18,53
2016-04-25,58
2016-05-02,65
2016-05-09,52
2016-05-16,52
2016-05-23,63
2016-05-30,51
2016-06-06,64
2016-06-13,50
2016-06-20,54
2016-06-27,43
2016-07-04,33
2016-07-11,52
2016-07-18,54
2016-07-25,37
2016-08-01,43
2016-08-08,56
2016-08-15,58
2016-08-22,65
2016-08-29,39
2016-09-05,44
2016-09-12,49
2016-09-19,33
2016-09-26,69
2016-10-03,43
2016-10-10,52
2016-10-17,56
2016-10-24,61
2016-10-31,42
2016-11-07,54
2016-11-14,55
2016-11-21,36
2016-11-28,33
2016-12-05,49
2016-12-12,42
2016-12-19,17
2016-12-26,65
2017-01-02,41
2017-01-09,54
2017-01-16,67
2017-01-23,56
2017-01-30,48
2017-02-06,39
2017-02-13,35
2017-02-20,66
2017-02-27,72
2017-03-06,69
2017-03-13,46
2017-03-20,55
2017-03-27,81
2017-04-03,66
2017-04-10,47
2017-04-17,20
2017-04-24,69
2017-05-01,38
2017-05-08,35
2017-05-15,63
2017-05-22,65
2017-05-29,68
2017-06-05,48
2017-06-12,55
2017-06-19,43
2017-06-26,54
2017-07-03,43
2017-07-10,31
2017-07-17,49
2017-07-24,50
2017-07-31,41
2017-08-07,39
2017-08-14,39
2017-08-21,39
2017-08-28,29
2017-09-04,22
2017-09-11,48
2017-09-18,43
2017-09-25,38
2017-10-02,48
2017-10-09,38
2017-10-16,44
2017-10-23,39
2017-10-30,46
2017-11-06,37
2017-11-13,51
2017-11-20,30
2017-11-27,38
2017-12-04,36
2017-12-11,23
2017-12-18,6
2017-12-25,52
2018-01-01,32
2018-01-08,38
2018-01-15,43
2018-01-22,32
2018-01-29,33
2018-02-05,35
2018-02-12,38
2018-02-19,42
2018-02-26,37
2018-03-05,34
2018-03-12,42
2018-03-19,33
2018-03-26,33
2018-04-02,32
2018-04-09,48
2018-04-16,47
2018-04-23,51
2018-04-30,40
2018-05-07,47
2018-05-14,48
2018-05-21,59
2018-05-28,54
2018-06-04,50
2018-06-11,86
2018-06-18,59
2018-06-25,61
2018-07-02,40
2018-07-09,44
2018-07-16,61
2018-07-23,45
2018-07-30,40
2018-08-06,49
2018-08-13,52
2018-08-20,37
2018-08-27,39
2018-09-03,33
2018-09-10,45
2018-09-17,32
2018-09-24,54
2018-10-01,33
2018-10-08,53
2018-10-15,57
2018-10-22,43
2018-10-29,46
2018-11-05,28
2018-11-12,41
2018-11-19,25
2018-11-26,31
2018-12-03,30
2018-12-10,29
2018-12-17,16
2018-12-24,38
2018-12-31,26
2019-01-07,32
2019-01-14,35
2019-01-21,27
2019-01-28,23
2019-02-04,31
2019-02-11,38
2019-02-18,42
2019-02-25,49
2019-03-04,49
2019-03-11,67
2019-03-18,43
2019-03-25,46
2019-04-01,72
2019-04-08,55
2019-04-15,49
2019-04-22,40
2019-04-29,31
2019-05-06,49
2019-05-13,55
2019-05-20,62
2019-05-27,42
2019-06-03,50
2019-06-10,37
2019-06-17,56
2019-06-24,37
2019-07-01,23
2019-07-08,68
2019-07-15,54
2019-07-22,47
2019-07-29,45
2019-08-05,65
2019-08-12,63
2019-08-19,55
2019-08-26,46
2019-09-02,41
2019-09-09,56
2019-09-16,43
2019-09-23,52
2019-09-30,30
2019-10-07,45
2019-10-14,58
2019-10-21,55
2019-10-28,67
2019-11-04,44
2019-11-11,43
2019-11-18,24
2019-11-25,38
2019-12-02,34
2019-12-09,32
2019-12-16,52
2019-12-23,17
2019-12-30,9
2020-01-06,26
2020-01-13,36
2020-01-20,34
2020-01-27,29
2020-02-03,34
2020-02-10,46
2020-02-17,45
2020-02-24,57
2020-03-02,31
2020-03-09,25
2020-03-16,18
2020-03-23,27
2020-03-30,15
2020-04-06,5
2020-04-13,20
2020-04-20,20
2020-04-27,32
2020-05-04,22
2020-05-11,27
2020-05-18,31
2020-05-25,27
2020-06-01,32
2020-06-08,25
2020-06-15,22
2020-06-22,17
2020-06-29,23
2020-07-06,25
2020-07-13,23
2020-07-20,10
2020-07-27,30
2020-08-03,32
2020-08-10,33
2020-08-17,41
2020-08-24,56
2020-08-31,50
2020-09-07,40
2020-09-14,50
2020-09-21,72
2020-09-28,84
2020-10-05,58
2020-10-12,53
2020-10-19,48
2020-10-26,55
2020-11-02,53
2020-11-09,61
2020-11-16,41
2020-11-23,64
2020-11-30,54
2020-12-07,55
2020-12-14,35
2020-12-21,45
2020-12-28,37
2021-01-04,30
2021-01-11,46
2021-01-18,44
2021-01-25,53
2021-02-01,39
2021-02-08,47
2021-02-15,56
2021-02-22,57
2021-03-01,54
2021-03-08,51
2021-03-15,64
2021-03-22,90
2021-03-29,63
2021-04-05,43
2021-04-12,148
2021-04-19,80
2021-04-26,74
2021-05-03,62
2021-05-10,64
2021-05-17,71
2021-05-24,69
2021-05-31,56
2021-06-07,69
2021-06-14,68
2021-06-21,60
2021-06-28,55
2021-07-05,59
2021-07-12,82
2021-07-19,54
2021-07-26,73
2021-08-02,57
2021-08-09,56
2021-08-16,64
2021-08-23,64
2021-08-30,44
2021-09-06,63
2021-09-13,57
2021-09-20,36
2021-09-27,66
2021-10-04,54
2021-10-11,92
2021-10-18,76
2021-10-25,73
2021-11-01,57
2021-11-08,70
2021-11-15,50
