ds,y
2013-12-30,8
2014-01-06,20
2014-01-13,31
2014-01-20,28
2014-01-27,46
2014-02-03,22
2014-02-10,39
2014-02-17,30
2014-02-24,42
2014-03-03,42
2014-03-10,56
2014-03-17,20
2014-03-24,43
2014-03-31,53
2014-04-07,51
2014-04-14,20
2014-04-21,45
2014-04-28,35
2014-05-05,38
2014-05-12,47
2014-05-19,36
2014-05-26,48
2014-06-02,36
2014-06-09,33
2014-06-16,36
2014-06-23,40
2014-06-30,46
2014-07-07,43
2014-07-14,34
2014-07-21,27
2014-07-28,21
2014-08-04,27
2014-08-11,39
2014-08-18,24
2014-08-25,12
2014-09-01,20
2014-09-08,14
2014-09-15,7
2014-09-22,34
2014-09-29,20
2014-10-06,20
2014-10-13,10
2014-10-20,14
2014-10-27,24
2014-11-03,16
2014-11-10,46
2014-11-17,22
2014-11-24,10
2014-12-01,18
2014-12-08,18
2014-12-15,9
2014-12-22,6
2014-12-29,25
2015-01-05,18
2015-01-12,18
2015-01-19,28
2015-01-26,16
2015-02-02,26
2015-02-09,22
2015-02-16,24
2015-02-23,26
2015-03-02,40
2015-03-09,16
2015-03-16,22
2015-03-23,25
2015-03-30,24
2015-04-06,56
2015-04-13,32
2015-04-20,39
2015-04-27,36
2015-05-04,43
2015-05-11,68
2015-05-18,42
2015-05-25,47
2015-06-01,39
2015-06-08,37
2015-06-15,40
2015-06-22,43
2015-06-29,45
2015-07-06,36
2015-07-13,155
2015-07-20,47
2015-07-27,41
2015-08-03,51
2015-08-10,42
2015-08-17,43
2015-08-24,35
2015-08-31,44
2015-09-07,34
2015-09-14,48
2015-09-21,49
2015-09-28,36
2015-10-05,44
2015-10-12,37
2015-10-19,46
2015-10-26,31
2015-11-02,43
2015-11-09,34
2015-11-16,41
2015-11-23,45
2015-11-30,46
2015-12-07,23
2015-12-14,21
2015-12-21,15
2016-01-04,35
2016-01-11,46
2016-01-18,52
2016-01-25,47
2016-02-01,37
2016-02-08,45
2016-02-15,52
2016-02-22,49
2016-02-29,39
2016-03-07,51
2016-03-14,35
2016-03-21,29
2016-03-28,27
2016-04-04,36
2016-04-11,38
2016-04-18,43
2016-04-25,50
2016-05-02,52
2016-05-09,40
2016-05-16,40
2016-05-23,49
2016-05-30,43
2016-06-06,55
2016-06-13,43
2016-06-20,40
2016-06-27,30
2016-07-04,29
2016-07-11,40
2016-07-18,38
2016-07-25,26
2016-08-01,39
2016-08-08,47
2016-08-15,39
2016-08-22,53
2016-08-29,30
2016-09-05,33
2016-09-12,37
2016-09-19,27
2016-09-26,59
2016-10-03,32
2016-10-10,46
2016-10-17,50
2016-10-24,51
2016-10-31,34
2016-11-07,38
2016-11-14,41
2016-11-21,33
2016-11-28,31
2016-12-05,40
2016-12-12,33
2016-12-19,15
2016-12-26,49
2017-01-02,32
2017-01-09,45
2017-01-16,50
2017-01-23,42
2017-01-30,40
2017-02-06,31
2017-02-13,27
2017-02-20,50
2017-02-27,57
2017-03-06,61
2017-03-13,37
2017-03-20,37
2017-03-27,60
2017-04-03,51
2017-04-10,37
2017-04-17,17
2017-04-24,54
2017-05-01,28
2017-05-08,25
2017-05-15,45
2017-05-22,49
2017-05-29,56
2017-06-05,33
2017-06-12,43
2017-06-19,32
2017-06-26,46
2017-07-03,24
2017-07-10,22
2017-07-17,36
2017-07-24,42
2017-07-31,29
2017-08-07,32
2017-08-14,30
2017-08-21,29
2017-08-28,21
2017-09-04,20
2017-09-11,38
2017-09-18,35
2017-09-25,32
2017-10-02,37
2017-10-09,33
2017-10-16,32
2017-10-23,28
2017-10-30,34
2017-11-06,33
2017-11-13,38
2017-11-20,23
2017-11-27,28
2017-12-04,29
2017-12-11,17
2017-12-18,2
2017-12-25,37
2018-01-01,26
2018-01-08,30
2018-01-15,35
2018-01-22,26
2018-01-29,29
2018-02-05,26
2018-02-12,30
2018-02-19,35
2018-02-26,28
2018-03-05,23
2018-03-12,33
2018-03-19,24
2018-03-26,25
2018-04-02,29
2018-04-09,37
2018-04-16,40
2018-04-23,38
2018-04-30,28
2018-05-07,29
2018-05-14,38
2018-05-21,42
2018-05-28,43
2018-06-04,38
2018-06-11,67
2018-06-18,42
2018-06-25,44
2018-07-02,30
2018-07-09,37
2018-07-16,47
2018-07-23,30
2018-07-30,31
2018-08-06,41
2018-08-13,37
2018-08-20,33
2018-08-27,36
2018-09-03,27
2018-09-10,31
2018-09-17,28
2018-09-24,43
2018-10-01,28
2018-10-08,42
2018-10-15,41
2018-10-22,35
2018-10-29,32
2018-11-05,23
2018-11-12,38
2018-11-19,19
2018-11-26,21
2018-12-03,22
2018-12-10,24
2018-12-17,12
2018-12-24,26
2018-12-31,20
2019-01-07,24
2019-01-14,29
2019-01-21,25
2019-01-28,18
2019-02-04,25
2019-02-11,29
2019-02-18,32
2019-02-25,42
2019-03-04,40
2019-03-11,53
2019-03-18,39
2019-03-25,36
2019-04-01,56
2019-04-08,39
2019-04-15,38
2019-04-22,28
2019-04-29,25
2019-05-06,39
2019-05-13,43
2019-05-20,46
2019-05-27,31
2019-06-03,43
2019-06-10,36
2019-06-17,44
2019-06-24,25
2019-07-01,20
2019-07-08,56
2019-07-15,38
2019-07-22,43
2019-07-29,30
2019-08-05,55
2019-08-12,43
2019-08-19,43
2019-08-26,38
2019-09-02,32
2019-09-09,44
2019-09-16,33
2019-09-23,41
2019-09-30,27
2019-10-07,35
2019-10-14,47
2019-10-21,44
2019-10-28,45
2019-11-04,39
2019-11-11,34
