ds,y
2013-12-30,0
2014-01-06,5
2014-01-13,15
2014-01-20,16
2014-01-27,36
2014-02-03,21
2014-02-10,24
2014-02-17,33
2014-02-24,24
2014-03-03,38
2014-03-10,49
2014-03-17,38
2014-03-24,17
2014-03-31,33
2014-04-07,22
2014-04-14,18
2014-04-21,30
2014-04-28,24
2014-05-05,9
2014-05-12,22
2014-05-19,18
2014-05-26,35
2014-06-02,40
2014-06-09,27
2014-06-16,22
2014-06-23,22
2014-06-30,32
2014-07-07,22
2014-07-14,8
2014-07-21,22
2014-07-28,23
2014-08-04,24
2014-08-11,22
2014-08-18,28
2014-08-25,12
2014-09-01,26
2014-09-08,30
2014-09-15,18
2014-09-22,14
2014-09-29,29
2014-10-06,29
2014-10-13,13
2014-10-20,32
2014-10-27,14
2014-11-03,19
2014-11-10,14
2014-11-17,17
2014-11-24,24
2014-12-01,17
2014-12-08,22
2014-12-15,25
2014-12-22,11
2014-12-29,24
2015-01-05,19
2015-01-12,17
2015-01-19,18
2015-01-26,20
2015-02-02,16
2015-02-09,28
2015-02-16,25
2015-02-23,51
2015-03-02,22
2015-03-09,20
2015-03-16,38
2015-03-23,28
2015-03-30,35
2015-04-06,35
2015-04-13,25
2015-04-20,20
2015-04-27,33
2015-05-04,36
2015-05-11,44
2015-05-18,26
2015-05-25,38
2015-06-01,41
2015-06-08,25
2015-06-15,41
2015-06-22,18
2015-06-29,29
2015-07-06,31
2015-07-13,20
2015-07-20,27
2015-07-27,24
2015-08-03,47
2015-08-10,80
2015-08-17,34
2015-08-24,37
2015-08-31,46
2015-09-07,30
2015-09-14,52
2015-09-21,43
2015-09-28,30
2015-10-05,22
2015-10-12,37
2015-10-19,37
2015-10-26,18
2015-11-02,16
2015-11-09,19
2015-11-16,26
2015-11-23,25
2015-11-30,16
2015-12-07,29
2015-12-14,4
2015-12-21,11
2016-01-04,25
2016-01-11,19
2016-01-18,27
2016-01-25,28
2016-02-01,31
2016-02-08,31
2016-02-15,35
