ds,y
2013-12-30,0
2014-01-06,3
2014-01-13,14
2014-01-20,12
2014-01-27,23
2014-02-03,19
2014-02-10,20
2014-02-17,26
2014-02-24,13
2014-03-03,33
2014-03-10,37
2014-03-17,27
2014-03-24,12
2014-03-31,21
2014-04-07,17
2014-04-14,13
2014-04-21,22
2014-04-28,15
2014-05-05,7
2014-05-12,19
2014-05-19,15
2014-05-26,24
2014-06-02,30
2014-06-09,20
2014-06-16,19
2014-06-23,19
2014-06-30,24
2014-07-07,18
2014-07-14,7
2014-07-21,20
2014-07-28,19
2014-08-04,22
2014-08-11,18
2014-08-18,24
2014-08-25,11
2014-09-01,19
2014-09-08,30
2014-09-15,17
2014-09-22,9
2014-09-29,23
2014-10-06,25
2014-10-13,11
2014-10-20,29
2014-10-27,12
2014-11-03,18
2014-11-10,12
2014-11-17,12
2014-11-24,22
2014-12-01,15
2014-12-08,20
2014-12-15,21
2014-12-22,11
2014-12-29,18
2015-01-05,13
2015-01-12,12
2015-01-19,16
2015-01-26,16
2015-02-02,15
2015-02-09,25
2015-02-16,23
2015-02-23,33
2015-03-02,20
2015-03-09,19
2015-03-16,31
2015-03-23,24
2015-03-30,27
2015-04-06,28
2015-04-13,18
2015-04-20,17
2015-04-27,24
2015-05-04,27
2015-05-11,35
2015-05-18,20
2015-05-25,34
2015-06-01,34
2015-06-08,20
2015-06-15,28
2015-06-22,14
2015-06-29,24
2015-07-06,23
2015-07-13,16
2015-07-20,21
2015-07-27,17
2015-08-03,32
2015-08-10,59
2015-08-17,23
2015-08-24,29
2015-08-31,37
2015-09-07,18
2015-09-14,38
2015-09-21,25
2015-09-28,26
2015-10-05,19
2015-10-12,29
2015-10-19,33
2015-10-26,17
2015-11-02,10
2015-11-09,14
2015-11-16,19
2015-11-23,16
2015-11-30,11
2015-12-07,24
2015-12-14,3
2015-12-21,11
2016-01-04,17
2016-01-11,15
2016-01-18,20
2016-01-25,20
2016-02-01,25
2016-02-08,17
2016-02-15,27
2016-02-22,13
2016-02-29,19
2016-03-07,21
2016-03-14,17
2016-03-21,7
2016-03-28,12
2016-04-04,22
2016-04-11,25
2016-04-18,28
2016-04-25,15
2016-05-02,9
2016-05-09,27
2016-05-16,27
2016-05-23,20
2016-05-30,25
2016-06-06,27
2016-06-13,25
2016-06-20,15
2016-06-27,25
2016-07-04,24
2016-07-11,18
2016-07-18,14
2016-07-25,10
2016-08-01,21
2016-08-08,19
2016-08-15,15
