ds,y
2013-12-30,0
2014-01-06,28
2014-01-13,61
2014-01-20,61
2014-01-27,40
2014-02-03,34
2014-02-10,44
2014-02-17,29
2014-02-24,59
2014-03-03,63
2014-03-10,53
2014-03-17,53
2014-03-24,70
2014-03-31,70
2014-04-07,54
2014-04-14,34
2014-04-21,41
2014-04-28,51
2014-05-05,47
2014-05-12,60
2014-05-19,75
2014-05-26,83
2014-06-02,61
2014-06-09,87
2014-06-16,66
2014-06-23,62
2014-06-30,66
2014-07-07,70
2014-07-14,70
2014-07-21,90
2014-07-28,67
2014-08-04,50
2014-08-11,129
2014-08-18,78
2014-08-25,67
2014-09-01,69
2014-09-08,78
2014-09-15,56
2014-09-22,60
2014-09-29,44
2014-10-06,74
2014-10-13,59
2014-10-20,65
2014-10-27,64
2014-11-03,33
2014-11-10,33
2014-11-17,34
2014-11-24,47
2014-12-01,62
2014-12-08,50
2014-12-15,62
2014-12-22,28
2014-12-29,87
2015-01-05,50
2015-01-12,42
2015-01-19,35
2015-01-26,42
2015-02-02,62
2015-02-09,78
2015-02-16,50
2015-02-23,33
2015-03-02,55
2015-03-09,31
2015-03-16,47
2015-03-23,67
2015-03-30,61
2015-04-06,43
2015-04-13,75
2015-04-20,56
2015-04-27,56
2015-05-04,50
2015-05-11,50
2015-05-18,48
2015-05-25,45
2015-06-01,68
2015-06-08,105
2015-06-15,96
2015-06-22,72
2015-06-29,96
2015-07-06,96
2015-07-13,130
2015-07-20,100
2015-07-27,105
2015-08-03,123
2015-08-10,117
2015-08-17,123
2015-08-24,92
2015-08-31,95
2015-09-07,70
2015-09-14,114
2015-09-21,97
2015-09-28,78
2015-10-05,104
2015-10-12,142
2015-10-19,94
2015-10-26,107
2015-11-02,80
2015-11-09,96
2015-11-16,113
2015-11-23,103
2015-11-30,76
2015-12-07,93
2015-12-14,81
2015-12-21,71
2016-01-04,79
2016-01-11,37
2016-01-18,71
2016-01-25,77
2016-02-01,93
2016-02-08,92
2016-02-15,71
2016-02-22,83
2016-02-29,69
2016-03-07,90
2016-03-14,50
2016-03-21,49
2016-03-28,77
2016-04-04,65
2016-04-11,94
2016-04-18,82
2016-04-25,90
2016-05-02,90
2016-05-09,76
2016-05-16,76
2016-05-23,105
2016-05-30,84
2016-06-06,74
2016-06-13,68
2016-06-20,77
2016-06-27,89
2016-07-04,114
2016-07-11,69
2016-07-18,72
2016-07-25,82
2016-08-01,104
2016-08-08,106
2016-08-15,116
2016-08-22,123
2016-08-29,74
2016-09-05,91
2016-09-12,82
2016-09-19,107
2016-09-26,108
2016-10-03,71
2016-10-10,55
2016-10-17,86
2016-10-24,89
2016-10-31,64
2016-11-07,56
2016-11-14,73
2016-11-21,49
2016-11-28,73
2016-12-05,101
2016-12-12,70
2016-12-19,74
2016-12-26,29
2017-01-02,76
2017-01-09,101
2017-01-16,103
2017-01-23,118
2017-01-30,110
2017-02-06,111
2017-02-13,132
2017-02-20,118
2017-02-27,97
2017-03-06,117
2017-03-13,73
2017-03-20,110
2017-03-27,92
2017-04-03,109
2017-04-10,97
2017-04-17,121
2017-04-24,139
2017-05-01,124
2017-05-08,90
2017-05-15,88
2017-05-22,83
2017-05-29,121
2017-06-05,104
2017-06-12,118
2017-06-19,95
2017-06-26,158
2017-07-03,126
2017-07-10,103
2017-07-17,119
2017-07-24,110
2017-07-31,109
2017-08-07,95
2017-08-14,133
2017-08-21,156
2017-08-28,109
2017-09-04,92
2017-09-11,100
2017-09-18,129
2017-09-25,137
2017-10-02,105
2017-10-09,146
2017-10-16,96
2017-10-23,88
2017-10-30,93
2017-11-06,121
2017-11-13,110
2017-11-20,115
2017-11-27,87
2017-12-04,109
2017-12-11,97
2017-12-18,109
2017-12-25,85
2018-01-01,71
2018-01-08,99
2018-01-15,96
2018-01-22,93
2018-01-29,116
2018-02-05,114
2018-02-12,112
2018-02-19,115
2018-02-26,98
2018-03-05,126
2018-03-12,116
2018-03-19,131
2018-03-26,86
2018-04-02,127
2018-04-09,157
2018-04-16,108
2018-04-23,98
2018-04-30,105
2018-05-07,87
2018-05-14,111
2018-05-21,101
2018-05-28,134
2018-06-04,101
2018-06-11,102
2018-06-18,94
2018-06-25,88
2018-07-02,89
2018-07-09,91
2018-07-16,76
2018-07-23,98
2018-07-30,97
2018-08-06,115
2018-08-13,104
2018-08-20,148
2018-08-27,105
2018-09-03,135
2018-09-10,110
2018-09-17,104
2018-09-24,117
2018-10-01,96
2018-10-08,82
2018-10-15,74
2018-10-22,84
2018-10-29,88
2018-11-05,71
2018-11-12,112
2018-11-19,84
2018-11-26,95
2018-12-03,94
2018-12-10,94
2018-12-17,85
2018-12-24,85
2018-12-31,101
2019-01-07,109
2019-01-14,114
2019-01-21,100
2019-01-28,96
2019-02-04,90
2019-02-11,133
2019-02-18,104
2019-02-25,91
2019-03-04,91
2019-03-11,70
2019-03-18,107
2019-03-25,79
2019-04-01,109
2019-04-08,79
2019-04-15,187
2019-04-22,101
2019-04-29,66
2019-05-06,65
2019-05-13,74
2019-05-20,89
2019-05-27,70
2019-06-03,96
2019-06-10,97
2019-06-17,91
2019-06-24,77
2019-07-01,71
2019-07-08,70
2019-07-15,76
2019-07-22,80
2019-07-29,93
2019-08-05,61
2019-08-12,100
2019-08-19,88
2019-08-26,88
2019-09-02,73
2019-09-09,71
2019-09-16,56
2019-09-23,92
2019-09-30,96
2019-10-07,72
2019-10-14,91
2019-10-21,87
2019-10-28,64
2019-11-04,98
2019-11-11,86
2019-11-18,75
2019-11-25,86
2019-12-02,103
2019-12-09,83
2019-12-16,110
2019-12-23,52
2019-12-30,71
2020-01-06,96
2020-01-13,100
2020-01-20,74
2020-01-27,93
2020-02-03,82
2020-02-10,101
2020-02-17,105
2020-02-24,105
2020-03-02,98
2020-03-09,119
2020-03-16,79
2020-03-23,65
2020-03-30,53
2020-04-06,52
2020-04-13,58
2020-04-20,33
2020-04-27,45
2020-05-04,65
2020-05-11,56
2020-05-18,48
2020-05-25,120
2020-06-01,78
2020-06-08,58
2020-06-15,54
2020-06-22,74
2020-06-29,36
2020-07-06,41
2020-07-13,37
2020-07-20,28
2020-07-27,37
2020-08-03,45
2020-08-10,46
2020-08-17,53
2020-08-24,40
2020-08-31,56
2020-09-07,47
2020-09-14,73
2020-09-21,104
2020-09-28,68
2020-10-05,68
2020-10-12,37
2020-10-19,61
2020-10-26,58
2020-11-02,88
2020-11-09,52
2020-11-16,70
2020-11-23,66
2020-11-30,69
2020-12-07,59
2020-12-14,45
2020-12-21,36
2020-12-28,34
2021-01-04,59
2021-01-11,61
2021-01-18,36
2021-01-25,38
2021-02-01,70
2021-02-08,50
2021-02-15,71
2021-02-22,89
2021-03-01,59
2021-03-08,70
2021-03-15,58
2021-03-22,61
2021-03-29,74
2021-04-05,106
2021-04-12,99
2021-04-19,78
2021-04-26,85
2021-05-03,77
2021-05-10,66
2021-05-17,72
2021-05-24,69
2021-05-31,74
2021-06-07,90
2021-06-14,73
2021-06-21,94
2021-06-28,78
2021-07-05,46
2021-07-12,46
2021-07-19,65
2021-07-26,78
2021-08-02,78
2021-08-09,59
2021-08-16,69
2021-08-23,67
2021-08-30,46
2021-09-06,85
2021-09-13,65
2021-09-20,75
2021-09-27,61
2021-10-04,80
2021-10-11,74
2021-10-18,86
2021-10-25,64
2021-11-01,48
2021-11-08,84
2021-11-15,54
2021-11-22,79
2021-11-29,58
2021-12-06,76
2021-12-13,114
2021-12-20,84
2021-12-27,35
2022-01-03,60
2022-01-10,74
2022-01-17,56
2022-01-24,51
2022-01-31,64
2022-02-07,35
2022-02-14,62
2022-02-21,78
2022-02-28,66
2022-03-07,59
2022-03-14,105
2022-03-21,81
2022-03-28,76
2022-04-04,71
2022-04-11,97
2022-04-18,87
2022-04-25,75
2022-05-02,76
2022-05-09,80
2022-05-16,84
2022-05-23,98
2022-05-30,81
2022-06-06,110
2022-06-13,93
2022-06-20,60
2022-06-27,62
2022-07-04,81
2022-07-11,67
