ds,y
2013-12-30,0
2014-01-06,4
2014-01-13,13
2014-01-20,7
2014-01-27,5
2014-02-03,11
2014-02-10,7
2014-02-17,7
2014-02-24,10
2014-03-03,10
2014-03-10,14
2014-03-17,14
2014-03-24,18
2014-03-31,24
2014-04-07,12
2014-04-14,5
2014-04-21,11
2014-04-28,6
2014-05-05,8
2014-05-12,12
2014-05-19,15
2014-05-26,17
2014-06-02,15
2014-06-09,18
2014-06-16,10
2014-06-23,19
2014-06-30,13
2014-07-07,12
2014-07-14,22
2014-07-21,21
2014-07-28,10
2014-08-04,9
2014-08-11,32
2014-08-18,18
2014-08-25,14
2014-09-01,16
2014-09-08,15
2014-09-15,15
2014-09-22,12
2014-09-29,12
2014-10-06,23
2014-10-13,17
2014-10-20,17
2014-10-27,16
2014-11-03,9
2014-11-10,10
2014-11-17,12
2014-11-24,19
2014-12-01,11
2014-12-08,13
2014-12-15,25
2014-12-22,12
2014-12-29,26
2015-01-05,16
2015-01-12,11
2015-01-19,6
2015-01-26,15
2015-02-02,26
2015-02-09,18
2015-02-16,20
2015-02-23,8
2015-03-02,28
2015-03-09,4
2015-03-16,16
2015-03-23,18
2015-03-30,23
2015-04-06,9
2015-04-13,28
2015-04-20,18
2015-04-27,16
2015-05-04,18
2015-05-11,21
2015-05-18,16
2015-05-25,16
2015-06-01,23
2015-06-08,35
2015-06-15,42
2015-06-22,17
2015-06-29,37
2015-07-06,36
2015-07-13,35
2015-07-20,23
2015-07-27,32
2015-08-03,38
2015-08-10,48
2015-08-17,40
2015-08-24,32
2015-08-31,33
2015-09-07,20
2015-09-14,40
2015-09-21,36
2015-09-28,27
2015-10-05,46
2015-10-12,50
2015-10-19,32
2015-10-26,32
2015-11-02,32
2015-11-09,29
2015-11-16,42
2015-11-23,39
2015-11-30,25
2015-12-07,32
2015-12-14,31
2015-12-21,29
2016-01-04,33
2016-01-11,9
2016-01-18,23
2016-01-25,28
2016-02-01,31
2016-02-08,36
2016-02-15,25
2016-02-22,32
2016-02-29,25
2016-03-07,34
2016-03-14,17
2016-03-21,11
2016-03-28,26
2016-04-04,20
2016-04-11,29
2016-04-18,19
2016-04-25,26
2016-05-02,28
2016-05-09,22
2016-05-16,22
2016-05-23,32
2016-05-30,25
2016-06-06,22
2016-06-13,23
2016-06-20,18
2016-06-27,22
2016-07-04,48
2016-07-11,23
2016-07-18,24
2016-07-25,28
2016-08-01,29
2016-08-08,33
2016-08-15,43
2016-08-22,35
2016-08-29,23
2016-09-05,35
2016-09-12,28
2016-09-19,38
2016-09-26,39
2016-10-03,23
2016-10-10,18
2016-10-17,23
2016-10-24,36
2016-10-31,15
2016-11-07,16
2016-11-14,29
2016-11-21,19
2016-11-28,31
2016-12-05,42
2016-12-12,25
2016-12-19,26
2016-12-26,8
2017-01-02,30
2017-01-09,33
2017-01-16,34
2017-01-23,49
2017-01-30,38
2017-02-06,43
2017-02-13,39
2017-02-20,33
2017-02-27,31
2017-03-06,46
2017-03-13,15
2017-03-20,37
2017-03-27,22
2017-04-03,38
2017-04-10,32
2017-04-17,39
2017-04-24,51
2017-05-01,56
2017-05-08,26
2017-05-15,26
2017-05-22,30
2017-05-29,34
2017-06-05,24
2017-06-12,35
2017-06-19,27
