ds,y
2013-12-30,0
2014-01-06,24
2014-01-13,48
2014-01-20,54
2014-01-27,35
2014-02-03,23
2014-02-10,37
2014-02-17,22
2014-02-24,49
2014-03-03,53
2014-03-10,39
2014-03-17,39
2014-03-24,52
2014-03-31,46
2014-04-07,42
2014-04-14,29
2014-04-21,30
2014-04-28,45
2014-05-05,39
2014-05-12,48
2014-05-19,60
2014-05-26,66
2014-06-02,46
2014-06-09,69
2014-06-16,56
2014-06-23,43
2014-06-30,53
2014-07-07,58
2014-07-14,48
2014-07-21,69
2014-07-28,57
2014-08-04,41
2014-08-11,97
2014-08-18,60
2014-08-25,53
2014-09-01,53
2014-09-08,63
2014-09-15,41
2014-09-22,48
2014-09-29,32
2014-10-06,51
2014-10-13,42
2014-10-20,48
2014-10-27,48
2014-11-03,24
2014-11-10,23
2014-11-17,22
2014-11-24,28
2014-12-01,51
2014-12-08,37
2014-12-15,37
2014-12-22,16
2014-12-29,61
2015-01-05,34
2015-01-12,31
2015-01-19,29
2015-01-26,27
2015-02-02,36
2015-02-09,60
2015-02-16,30
2015-02-23,25
2015-03-02,27
2015-03-09,27
2015-03-16,31
2015-03-23,49
2015-03-30,38
2015-04-06,34
2015-04-13,47
2015-04-20,38
2015-04-27,40
2015-05-04,32
2015-05-11,29
2015-05-18,32
2015-05-25,29
2015-06-01,45
2015-06-08,70
2015-06-15,54
2015-06-22,55
2015-06-29,59
2015-07-06,60
2015-07-13,95
2015-07-20,77
2015-07-27,73
2015-08-03,85
2015-08-10,69
2015-08-17,83
2015-08-24,60
2015-08-31,62
2015-09-07,50
2015-09-14,74
2015-09-21,61
2015-09-28,51
2015-10-05,58
2015-10-12,92
2015-10-19,62
2015-10-26,75
2015-11-02,48
2015-11-09,67
2015-11-16,71
2015-11-23,64
2015-11-30,51
2015-12-07,61
2015-12-14,50
2015-12-21,42
2016-01-04,46
2016-01-11,28
2016-01-18,48
2016-01-25,49
2016-02-01,62
2016-02-08,56
2016-02-15,46
2016-02-22,51
2016-02-29,44
2016-03-07,56
2016-03-14,33
2016-03-21,38
2016-03-28,51
2016-04-04,45
2016-04-11,65
2016-04-18,63
2016-04-25,64
2016-05-02,62
2016-05-09,54
2016-05-16,54
2016-05-23,73
2016-05-30,59
2016-06-06,52
2016-06-13,45
2016-06-20,59
2016-06-27,67
2016-07-04,66
2016-07-11,46
2016-07-18,48
2016-07-25,54
2016-08-01,75
2016-08-08,73
2016-08-15,73
2016-08-22,88
2016-08-29,51
2016-09-05,56
2016-09-12,54
2016-09-19,69
2016-09-26,69
2016-10-03,48
2016-10-10,37
2016-10-17,63
2016-10-24,53
2016-10-31,49
2016-11-07,40
2016-11-14,44
