ds,y
2013-12-30,0
2014-01-06,0
2014-01-13,0
2014-01-20,1
2014-01-27,0
2014-02-03,0
2014-02-10,0
2014-02-17,3
2014-02-24,7
2014-03-03,0
2014-03-10,5
2014-03-17,0
2014-03-24,5
2014-03-31,7
2014-04-07,0
2014-04-14,6
2014-04-21,5
2014-04-28,4
2014-05-05,5
2014-05-12,8
2014-05-19,0
2014-05-26,2
2014-06-02,4
2014-06-09,3
2014-06-16,1
2014-06-23,4
2014-06-30,5
2014-07-07,12
2014-07-14,3
2014-07-21,4
2014-07-28,3
2014-08-04,1
2014-08-11,1
2014-08-18,3
2014-08-25,4
2014-09-01,0
2014-09-08,2
2014-09-15,6
2014-09-22,5
2014-09-29,6
2014-10-06,4
2014-10-13,6
2014-10-20,8
2014-10-27,3
2014-11-03,5
2014-11-10,6
2014-11-17,6
2014-11-24,5
2014-12-01,5
2014-12-08,1
2014-12-15,3
2014-12-22,4
2014-12-29,2
2015-01-05,0
2015-01-12,0
2015-01-19,1
2015-01-26,6
2015-02-02,9
2015-02-09,5
2015-02-16,9
2015-02-23,12
2015-03-02,9
2015-03-09,12
2015-03-16,15
2015-03-23,13
2015-03-30,15
2015-04-06,9
2015-04-13,12
2015-04-20,20
2015-04-27,22
2015-05-04,13
2015-05-11,16
2015-05-18,6
2015-05-25,14
2015-06-01,15
2015-06-08,17
2015-06-15,18
2015-06-22,6
2015-06-29,13
2015-07-06,12
2015-07-13,19
2015-07-20,10
2015-07-27,8
2015-08-03,14
2015-08-10,15
2015-08-17,12
2015-08-24,19
2015-08-31,20
2015-09-07,5
2015-09-14,12
2015-09-21,16
2015-09-28,15
2015-10-05,13
2015-10-12,21
2015-10-19,9
2015-10-26,8
2015-11-02,9
2015-11-09,10
2015-11-16,21
2015-11-23,7
2015-11-30,4
2015-12-07,14
2015-12-14,2
2015-12-21,5
2016-01-04,9
2016-01-11,13
2016-01-18,7
2016-01-25,7
2016-02-01,8
2016-02-08,6
