ds,y
2013-12-30,0
2014-01-06,0
2014-01-13,0
2014-01-20,1
2014-01-27,0
2014-02-03,0
2014-02-10,0
2014-02-17,2
2014-02-24,6
2014-03-03,0
2014-03-10,3
2014-03-17,0
2014-03-24,2
2014-03-31,5
2014-04-07,0
2014-04-14,5
2014-04-21,5
2014-04-28,2
2014-05-05,3
2014-05-12,3
2014-05-19,0
2014-05-26,2
2014-06-02,3
2014-06-09,1
2014-06-16,1
2014-06-23,3
2014-06-30,3
2014-07-07,10
2014-07-14,3
2014-07-21,4
2014-07-28,3
2014-08-04,1
2014-08-11,1
2014-08-18,3
2014-08-25,3
2014-09-01,0
2014-09-08,2
2014-09-15,5
2014-09-22,3
2014-09-29,6
2014-10-06,3
2014-10-13,5
2014-10-20,8
2014-10-27,3
2014-11-03,3
2014-11-10,6
2014-11-17,4
2014-11-24,3
2014-12-01,3
2014-12-08,0
2014-12-15,3
2014-12-22,3
2014-12-29,1
2015-01-05,0
2015-01-12,0
2015-01-19,1
2015-01-26,6
2015-02-02,8
2015-02-09,3
2015-02-16,8
2015-02-23,6
2015-03-02,7
2015-03-09,10
2015-03-16,12
2015-03-23,12
2015-03-30,12
2015-04-06,7
2015-04-13,10
2015-04-20,13
2015-04-27,15
2015-05-04,10
2015-05-11,10
2015-05-18,6
2015-05-25,13
2015-06-01,11
2015-06-08,12
2015-06-15,15
2015-06-22,6
2015-06-29,10
2015-07-06,9
2015-07-13,15
2015-07-20,8
2015-07-27,8
2015-08-03,10
2015-08-10,14
2015-08-17,7
2015-08-24,17
2015-08-31,18
2015-09-07,5
2015-09-14,8
2015-09-21,14
2015-09-28,13
2015-10-05,8
2015-10-12,17
2015-10-19,5
2015-10-26,7
2015-11-02,9
2015-11-09,8
2015-11-16,17
2015-11-23,5
2015-11-30,3
2015-12-07,9
2015-12-14,1
2015-12-21,5
2016-01-04,6
2016-01-11,11
2016-01-18,4
2016-01-25,4
2016-02-01,7
2016-02-08,6
