ds,y
2013-12-30,16
2014-01-06,31
2014-01-13,35
2014-01-20,73
2014-01-27,120
2014-02-03,99
2014-02-10,113
2014-02-17,72
2014-02-24,74
2014-03-03,83
2014-03-10,75
2014-03-17,102
2014-03-24,70
2014-03-31,95
2014-04-07,62
2014-04-14,47
2014-04-21,108
2014-04-28,34
2014-05-05,61
2014-05-12,87
2014-05-19,64
2014-05-26,47
2014-06-02,57
2014-06-09,73
2014-06-16,55
2014-06-23,39
2014-06-30,56
2014-07-07,53
2014-07-14,36
2014-07-21,61
2014-07-28,32
2014-08-04,52
2014-08-11,57
2014-08-18,49
2014-08-25,42
2014-09-01,146
2014-09-08,114
2014-09-15,35
2014-09-22,83
2014-09-29,50
2014-10-06,64
2014-10-13,67
2014-10-20,39
2014-10-27,40
2014-11-03,86
2014-11-10,71
2014-11-17,54
2014-11-24,65
2014-12-01,46
2014-12-08,56
2014-12-15,75
2014-12-22,50
2014-12-29,29
2015-01-05,63
2015-01-12,63
2015-01-19,87
2015-01-26,86
2015-02-02,84
2015-02-09,51
2015-02-16,67
2015-02-23,54
2015-03-02,59
2015-03-09,69
2015-03-16,55
2015-03-23,77
2015-03-30,60
2015-04-06,89
2015-04-13,96
2015-04-20,81
2015-04-27,96
2015-05-04,103
2015-05-11,132
2015-05-18,106
2015-05-25,110
2015-06-01,147
2015-06-08,129
2015-06-15,107
2015-06-22,93
2015-06-29,98
2015-07-06,83
2015-07-13,70
2015-07-20,75
2015-07-27,49
2015-08-03,69
2015-08-10,93
2015-08-17,89
2015-08-24,85
2015-08-31,83
2015-09-07,78
2015-09-14,100
2015-09-21,87
2015-09-28,97
2015-10-05,112
2015-10-12,80
2015-10-19,92
2015-10-26,92
2015-11-02,79
2015-11-09,99
2015-11-16,77
2015-11-23,65
2015-11-30,70
2015-12-07,86
2015-12-14,34
2015-12-21,52
2016-01-04,58
2016-01-11,100
2016-01-18,71
2016-01-25,92
2016-02-01,115
2016-02-08,69
2016-02-15,109
2016-02-22,93
2016-02-29,92
2016-03-07,93
2016-03-14,68
2016-03-21,32
2016-03-28,76
2016-04-04,130
2016-04-11,99
2016-04-18,103
2016-04-25,80
2016-05-02,118
2016-05-09,113
2016-05-16,113
2016-05-23,113
2016-05-30,117
2016-06-06,117
2016-06-13,110
2016-06-20,64
2016-06-27,113
2016-07-04,68
2016-07-11,93
2016-07-18,83
2016-07-25,133
2016-08-01,26
2016-08-08,81
2016-08-15,87
2016-08-22,68
2016-08-29,79
2016-09-05,99
2016-09-12,70
2016-09-19,99
2016-09-26,108
2016-10-03,119
2016-10-10,105
2016-10-17,77
2016-10-24,75
2016-10-31,74
2016-11-07,94
2016-11-14,72
2016-11-21,75
2016-11-28,87
2016-12-05,84
2016-12-12,26
2016-12-19,72
2016-12-26,54
2017-01-02,92
2017-01-09,101
2017-01-16,131
2017-01-23,171
2017-01-30,89
2017-02-06,117
2017-02-13,85
2017-02-20,120
2017-02-27,105
2017-03-06,72
2017-03-13,135
2017-03-20,108
2017-03-27,88
2017-04-03,71
2017-04-10,75
2017-04-17,94
2017-04-24,90
2017-05-01,88
2017-05-08,85
2017-05-15,96
2017-05-22,147
2017-05-29,143
2017-06-05,147
2017-06-12,165
2017-06-19,143
2017-06-26,143
2017-07-03,131
2017-07-10,113
2017-07-17,112
2017-07-24,127
2017-07-31,101
2017-08-07,153
2017-08-14,112
2017-08-21,109
2017-08-28,159
2017-09-04,115
2017-09-11,130
2017-09-18,162
2017-09-25,174
2017-10-02,140
2017-10-09,124
2017-10-16,162
2017-10-23,101
2017-10-30,112
2017-11-06,134
2017-11-13,112
2017-11-20,101
2017-11-27,137
2017-12-04,97
2017-12-11,107
2017-12-18,90
2017-12-25,56
2018-01-01,58
2018-01-08,92
2018-01-15,103
2018-01-22,129
2018-01-29,134
2018-02-05,103
2018-02-12,129
2018-02-19,158
2018-02-26,130
2018-03-05,130
2018-03-12,126
2018-03-19,133
2018-03-26,125
2018-04-02,106
2018-04-09,131
2018-04-16,116
2018-04-23,146
2018-04-30,115
2018-05-07,129
2018-05-14,117
2018-05-21,100
2018-05-28,167
2018-06-04,158
2018-06-11,133
2018-06-18,105
2018-06-25,116
2018-07-02,143
2018-07-09,113
2018-07-16,108
2018-07-23,90
2018-07-30,118
2018-08-06,122
2018-08-13,124
2018-08-20,133
2018-08-27,128
2018-09-03,124
2018-09-10,119
2018-09-17,139
2018-09-24,130
2018-10-01,123
2018-10-08,143
2018-10-15,135
2018-10-22,174
2018-10-29,88
2018-11-05,134
2018-11-12,126
2018-11-19,85
2018-11-26,110
2018-12-03,169
2018-12-10,91
2018-12-17,76
2018-12-24,32
2018-12-31,68
2019-01-07,154
2019-01-14,104
2019-01-21,130
2019-01-28,142
2019-02-04,122
2019-02-11,172
2019-02-18,147
2019-02-25,191
2019-03-04,187
2019-03-11,181
2019-03-18,130
2019-03-25,162
2019-04-01,159
2019-04-08,162
2019-04-15,102
2019-04-22,132
2019-04-29,158
2019-05-06,132
2019-05-13,165
2019-05-20,155
2019-05-27,147
2019-06-03,175
2019-06-10,156
2019-06-17,124
2019-06-24,159
2019-07-01,153
2019-07-08,176
2019-07-15,109
2019-07-22,115
2019-07-29,112
2019-08-05,150
2019-08-12,106
2019-08-19,144
2019-08-26,130
2019-09-02,109
2019-09-09,133
2019-09-16,91
2019-09-23,149
2019-09-30,103
2019-10-07,120
2019-10-14,116
2019-10-21,105
2019-10-28,97
2019-11-04,132
2019-11-11,98
2019-11-18,94
2019-11-25,118
2019-12-02,131
2019-12-09,158
2019-12-16,65
2019-12-23,36
2019-12-30,111
2020-01-06,137
2020-01-13,125
2020-01-20,123
2020-01-27,139
2020-02-03,130
2020-02-10,150
2020-02-17,170
2020-02-24,158
2020-03-02,111
2020-03-09,104
2020-03-16,142
2020-03-23,91
2020-03-30,46
2020-04-06,39
2020-04-13,59
2020-04-20,64
2020-04-27,41
2020-05-04,31
2020-05-11,46
2020-05-18,26
2020-05-25,72
2020-06-01,68
2020-06-08,42
2020-06-15,45
2020-06-22,49
2020-06-29,62
2020-07-06,21
2020-07-13,48
2020-07-20,33
2020-07-27,55
2020-08-03,53
2020-08-10,75
2020-08-17,53
2020-08-24,72
2020-08-31,71
2020-09-07,72
2020-09-14,45
2020-09-21,81
2020-09-28,102
2020-10-05,87
2020-10-12,73
2020-10-19,79
2020-10-26,91
2020-11-02,87
2020-11-09,90
2020-11-16,74
2020-11-23,88
2020-11-30,81
2020-12-07,102
2020-12-14,73
2020-12-21,18
2020-12-28,15
2021-01-04,78
2021-01-11,123
2021-01-18,113
2021-01-25,93
2021-02-01,78
2021-02-08,107
2021-02-15,104
2021-02-22,133
2021-03-01,113
2021-03-08,107
2021-03-15,111
2021-03-22,126
2021-03-29,86
2021-04-05,97
2021-04-12,99
2021-04-19,93
2021-04-26,120
2021-05-03,109
2021-05-10,101
2021-05-17,129
2021-05-24,124
2021-05-31,139
2021-06-07,118
2021-06-14,137
2021-06-21,137
2021-06-28,88
2021-07-05,130
2021-07-12,84
2021-07-19,117
2021-07-26,98
2021-08-02,98
2021-08-09,89
2021-08-16,96
2021-08-23,144
2021-08-30,107
2021-09-06,99
2021-09-13,88
2021-09-20,137
2021-09-27,115
2021-10-04,136
2021-10-11,125
2021-10-18,125
2021-10-25,166
2021-11-01,109
2021-11-08,127
2021-11-15,127
2021-11-22,139
2021-11-29,130
2021-12-06,133
2021-12-13,135
2021-12-20,66
2021-12-27,43
2022-01-03,77
2022-01-10,98
2022-01-17,108
2022-01-24,119
2022-01-31,111
2022-02-07,115
2022-02-14,123
2022-02-21,161
2022-02-28,130
2022-03-07,171
2022-03-14,137
2022-03-21,126
2022-03-28,154
2022-04-04,137
2022-04-11,112
2022-04-18,170
2022-04-25,174
2022-05-02,120
2022-05-09,137
2022-05-16,129
2022-05-23,163
2022-05-30,156
2022-06-06,172
2022-06-13,137
2022-06-20,123
2022-06-27,149
2022-07-04,161
2022-07-11,179
2022-07-18,141
2022-07-25,166
2022-08-01,158
2022-08-08,139
2022-08-15,135
2022-08-22,139
2022-08-29,182
2022-09-05,169
2022-09-12,123
2022-09-19,148
2022-09-26,146
2022-10-03,161
2022-10-10,142
2022-10-17,143
2022-10-24,144
2022-10-31,130
2022-11-07,178
2022-11-14,139
2022-11-21,122
2022-11-28,139
2022-12-05,133
2022-12-12,157
2022-12-19,78
2022-12-26,77
2023-01-02,94
2023-01-09,138
2023-01-16,147
2023-01-23,134
2023-01-30,129
2023-02-06,129
2023-02-13,134
2023-02-20,159
2023-02-27,152
2023-03-06,178
2023-03-13,167
2023-03-20,134
2023-03-27,166
2023-04-03,102
2023-04-10,153
2023-04-17,170
2023-04-24,175
2023-05-01,96
2023-05-08,136
2023-05-15,202
2023-05-22,136
2023-05-29,109
2023-06-05,142
2023-06-12,158
2023-06-19,138
2023-06-26,170
2023-07-03,131
2023-07-10,168
2023-07-17,141
2023-07-24,195
2023-07-31,123
2023-08-07,115
2023-08-14,137
2023-08-21,126
2023-08-28,119
2023-09-04,124
2023-09-11,142
2023-09-18,159
2023-09-25,143
2023-10-02,112
2023-10-09,142
2023-10-16,127
2023-10-23,111
2023-10-30,88
2023-11-06,144
2023-11-13,151
2023-11-20,110
2023-11-27,125
2023-12-04,126
2023-12-11,85
2023-12-18,24
2023-12-25,27
2024-01-01,80
2024-01-08,92
2024-01-15,144
2024-01-22,153
2024-01-29,130
2024-02-05,114
2024-02-12,135
2024-02-19,132
2024-02-26,147
2024-03-04,148
2024-03-11,148
2024-03-18,125
2024-03-25,74
2024-04-01,133
2024-04-08,167
2024-04-15,155
2024-04-22,143
2024-04-29,99
2024-05-06,118
2024-05-13,111
2024-05-20,124
2024-05-27,119
2024-06-03,115
2024-06-10,149
2024-06-17,102
2024-06-24,137
2024-07-01,119
2024-07-08,135
2024-07-15,136
2024-07-22,114
2024-07-29,166
2024-08-05,124
2024-08-12,128
2024-08-19,154
2024-08-26,152
2024-09-02,104
2024-09-09,99
2024-09-16,126
2024-09-23,129
2024-09-30,106
2024-10-07,131
2024-10-14,133
2024-10-21,132
2024-10-28,104
2024-11-04,125
2024-11-11,108
2024-11-18,107
2024-11-25,124
2024-12-02,113
2024-12-09,80
2024-12-16,89
2024-12-23,49
2024-12-30,42
