ds,y
2013-12-30,7
2014-01-06,5
2014-01-13,5
2014-01-20,13
2014-01-27,19
2014-02-03,18
2014-02-10,16
2014-02-17,13
2014-02-24,20
2014-03-03,16
2014-03-10,15
2014-03-17,20
2014-03-24,16
2014-03-31,27
2014-04-07,11
2014-04-14,13
2014-04-21,19
2014-04-28,12
2014-05-05,14
2014-05-12,33
2014-05-19,17
2014-05-26,7
2014-06-02,12
2014-06-09,18
2014-06-16,10
2014-06-23,10
2014-06-30,7
2014-07-07,9
2014-07-14,10
2014-07-21,13
2014-07-28,2
2014-08-04,10
2014-08-11,14
2014-08-18,12
2014-08-25,11
2014-09-01,29
2014-09-08,20
2014-09-15,7
2014-09-22,16
2014-09-29,4
2014-10-06,14
2014-10-13,13
2014-10-20,10
2014-10-27,8
2014-11-03,28
2014-11-10,20
2014-11-17,11
2014-11-24,9
2014-12-01,15
2014-12-08,4
2014-12-15,25
2014-12-22,5
2014-12-29,6
2015-01-05,11
2015-01-12,14
2015-01-19,16
2015-01-26,16
2015-02-02,17
2015-02-09,11
2015-02-16,15
2015-02-23,7
2015-03-02,11
2015-03-09,14
2015-03-16,13
2015-03-23,14
2015-03-30,10
2015-04-06,20
2015-04-13,14
2015-04-20,17
2015-04-27,18
2015-05-04,21
2015-05-11,15
2015-05-18,17
2015-05-25,21
2015-06-01,38
2015-06-08,24
2015-06-15,19
2015-06-22,13
2015-06-29,18
2015-07-06,11
2015-07-13,9
2015-07-20,21
2015-07-27,6
2015-08-03,13
2015-08-10,12
2015-08-17,15
2015-08-24,18
2015-08-31,16
2015-09-07,23
2015-09-14,11
2015-09-21,18
2015-09-28,24
2015-10-05,31
2015-10-12,16
2015-10-19,25
2015-10-26,16
2015-11-02,18
2015-11-09,19
2015-11-16,20
2015-11-23,17
2015-11-30,13
2015-12-07,20
2015-12-14,4
2015-12-21,15
2016-01-04,17
2016-01-11,19
2016-01-18,14
2016-01-25,19
2016-02-01,39
2016-02-08,9
2016-02-15,27
2016-02-22,22
2016-02-29,18
2016-03-07,18
2016-03-14,17
2016-03-21,4
2016-03-28,20
2016-04-04,30
2016-04-11,22
2016-04-18,23
2016-04-25,19
2016-05-02,24
