ds,y
2013-12-30,9
2014-01-06,26
2014-01-13,30
2014-01-20,60
2014-01-27,101
2014-02-03,81
2014-02-10,97
2014-02-17,59
2014-02-24,54
2014-03-03,67
2014-03-10,60
2014-03-17,82
2014-03-24,54
2014-03-31,68
2014-04-07,51
2014-04-14,34
2014-04-21,89
2014-04-28,22
2014-05-05,47
2014-05-12,54
2014-05-19,47
2014-05-26,40
2014-06-02,45
2014-06-09,55
2014-06-16,45
2014-06-23,29
2014-06-30,49
2014-07-07,44
2014-07-14,26
2014-07-21,48
2014-07-28,30
2014-08-04,42
2014-08-11,43
2014-08-18,37
2014-08-25,31
2014-09-01,117
2014-09-08,94
2014-09-15,28
2014-09-22,67
2014-09-29,46
2014-10-06,50
2014-10-13,54
2014-10-20,29
2014-10-27,32
2014-11-03,58
2014-11-10,51
2014-11-17,43
2014-11-24,56
2014-12-01,31
2014-12-08,52
2014-12-15,50
2014-12-22,45
2014-12-29,23
2015-01-05,52
2015-01-12,49
2015-01-19,71
2015-01-26,70
2015-02-02,67
2015-02-09,40
2015-02-16,52
2015-02-23,47
2015-03-02,48
2015-03-09,55
2015-03-16,42
2015-03-23,63
2015-03-30,50
2015-04-06,69
2015-04-13,82
2015-04-20,64
2015-04-27,78
2015-05-04,82
2015-05-11,117
2015-05-18,89
2015-05-25,89
2015-06-01,109
2015-06-08,105
2015-06-15,88
2015-06-22,80
2015-06-29,80
2015-07-06,72
2015-07-13,61
2015-07-20,54
2015-07-27,43
2015-08-03,56
2015-08-10,81
2015-08-17,74
2015-08-24,67
2015-08-31,67
2015-09-07,55
2015-09-14,89
2015-09-21,69
2015-09-28,73
2015-10-05,81
2015-10-12,64
2015-10-19,67
2015-10-26,76
2015-11-02,61
2015-11-09,80
2015-11-16,57
2015-11-23,48
2015-11-30,57
2015-12-07,66
2015-12-14,30
2015-12-21,37
2016-01-04,41
2016-01-11,81
2016-01-18,57
2016-01-25,73
2016-02-01,76
2016-02-08,60
2016-02-15,82
2016-02-22,71
2016-02-29,74
2016-03-07,75
2016-03-14,51
2016-03-21,28
2016-03-28,56
2016-04-04,100
2016-04-11,77
2016-04-18,80
2016-04-25,61
2016-05-02,94
2016-05-09,87
2016-05-16,87
2016-05-23,86
2016-05-30,97
2016-06-06,96
2016-06-13,76
2016-06-20,50
2016-06-27,83
2016-07-04,57
2016-07-11,80
2016-07-18,62
2016-07-25,104
2016-08-01,20
2016-08-08,64
2016-08-15,65
2016-08-22,48
2016-08-29,50
2016-09-05,85
2016-09-12,48
2016-09-19,80
2016-09-26,87
2016-10-03,95
2016-10-10,89
2016-10-17,62
2016-10-24,58
2016-10-31,55
2016-11-07,74
2016-11-14,57
2016-11-21,59
2016-11-28,70
2016-12-05,63
2016-12-12,18
2016-12-19,50
2016-12-26,37
2017-01-02,69
2017-01-09,82
2017-01-16,106
2017-01-23,132
2017-01-30,70
2017-02-06,89
2017-02-13,62
2017-02-20,93
2017-02-27,81
2017-03-06,51
2017-03-13,96
2017-03-20,79
2017-03-27,70
2017-04-03,53
2017-04-10,60
2017-04-17,78
2017-04-24,69
2017-05-01,71
2017-05-08,67
2017-05-15,78
2017-05-22,104
2017-05-29,116
2017-06-05,116
2017-06-12,136
2017-06-19,116
2017-06-26,108
2017-07-03,104
2017-07-10,75
2017-07-17,90
2017-07-24,95
2017-07-31,80
2017-08-07,120
2017-08-14,93
2017-08-21,88
2017-08-28,112
2017-09-04,83
2017-09-11,95
2017-09-18,123
2017-09-25,128
2017-10-02,105
2017-10-09,91
2017-10-16,128
2017-10-23,82
2017-10-30,80
2017-11-06,114
2017-11-13,82
2017-11-20,85
2017-11-27,105
2017-12-04,78
2017-12-11,93
2017-12-18,74
2017-12-25,34
2018-01-01,42
2018-01-08,72
2018-01-15,80
2018-01-22,103
2018-01-29,103
2018-02-05,81
2018-02-12,100
2018-02-19,118
2018-02-26,97
2018-03-05,99
2018-03-12,100
2018-03-19,95
2018-03-26,95
2018-04-02,80
2018-04-09,94
2018-04-16,95
2018-04-23,106
2018-04-30,92
2018-05-07,107
2018-05-14,88
2018-05-21,77
2018-05-28,122
2018-06-04,124
2018-06-11,100
2018-06-18,95
2018-06-25,87
2018-07-02,117
2018-07-09,91
2018-07-16,75
2018-07-23,69
2018-07-30,89
2018-08-06,102
2018-08-13,91
2018-08-20,113
2018-08-27,104
2018-09-03,94
2018-09-10,92
2018-09-17,101
2018-09-24,99
2018-10-01,92
2018-10-08,114
2018-10-15,105
2018-10-22,141
2018-10-29,69
2018-11-05,105
2018-11-12,94
2018-11-19,57
2018-11-26,86
2018-12-03,134
2018-12-10,75
2018-12-17,59
2018-12-24,28
2018-12-31,54
2019-01-07,114
2019-01-14,82
2019-01-21,104
2019-01-28,102
2019-02-04,94
2019-02-11,136
2019-02-18,117
2019-02-25,140
2019-03-04,132
2019-03-11,132
2019-03-18,100
2019-03-25,126
2019-04-01,117
2019-04-08,124
2019-04-15,70
2019-04-22,87
2019-04-29,114
2019-05-06,93
2019-05-13,120
2019-05-20,115
2019-05-27,108
2019-06-03,125
2019-06-10,116
2019-06-17,93
2019-06-24,114
2019-07-01,109
2019-07-08,142
2019-07-15,81
2019-07-22,88
2019-07-29,73
2019-08-05,115
2019-08-12,88
2019-08-19,108
2019-08-26,97
2019-09-02,84
2019-09-09,97
2019-09-16,69
2019-09-23,116
2019-09-30,78
2019-10-07,93
2019-10-14,97
2019-10-21,86
2019-10-28,73
2019-11-04,102
2019-11-11,73
2019-11-18,67
2019-11-25,95
2019-12-02,103
2019-12-09,121
2019-12-16,55
2019-12-23,29
2019-12-30,74
2020-01-06,110
2020-01-13,90
2020-01-20,95
2020-01-27,109
2020-02-03,105
2020-02-10,113
2020-02-17,141
2020-02-24,120
2020-03-02,81
2020-03-09,79
2020-03-16,105
2020-03-23,66
2020-03-30,34
2020-04-06,32
2020-04-13,33
2020-04-20,46
2020-04-27,29
2020-05-04,24
2020-05-11,36
2020-05-18,10
2020-05-25,49
2020-06-01,50
2020-06-08,32
2020-06-15,27
2020-06-22,39
2020-06-29,40
2020-07-06,12
2020-07-13,38
2020-07-20,25
2020-07-27,40
2020-08-03,37
2020-08-10,59
2020-08-17,36
2020-08-24,58
2020-08-31,55
2020-09-07,38
2020-09-14,32
2020-09-21,55
2020-09-28,66
2020-10-05,61
2020-10-12,56
2020-10-19,56
2020-10-26,62
2020-11-02,61
2020-11-09,64
2020-11-16,55
2020-11-23,68
2020-11-30,61
2020-12-07,79
2020-12-14,52
2020-12-21,9
2020-12-28,8
2021-01-04,58
2021-01-11,92
2021-01-18,83
2021-01-25,68
2021-02-01,57
2021-02-08,76
2021-02-15,76
2021-02-22,91
2021-03-01,89
2021-03-08,79
2021-03-15,79
2021-03-22,93
2021-03-29,65
2021-04-05,70
2021-04-12,74
2021-04-19,73
2021-04-26,90
2021-05-03,77
2021-05-10,73
2021-05-17,93
2021-05-24,91
2021-05-31,101
2021-06-07,85
2021-06-14,97
2021-06-21,96
2021-06-28,59
2021-07-05,96
2021-07-12,57
2021-07-19,85
2021-07-26,72
2021-08-02,78
2021-08-09,65
2021-08-16,69
2021-08-23,109
2021-08-30,75
2021-09-06,77
2021-09-13,71
2021-09-20,107
2021-09-27,93
2021-10-04,111
2021-10-11,96
2021-10-18,94
2021-10-25,128
2021-11-01,84
2021-11-08,101
2021-11-15,101
2021-11-22,97
2021-11-29,99
2021-12-06,102
2021-12-13,99
2021-12-20,45
2021-12-27,29
2022-01-03,54
2022-01-10,67
2022-01-17,88
2022-01-24,93
2022-01-31,83
2022-02-07,86
2022-02-14,104
2022-02-21,115
2022-02-28,107
2022-03-07,139
2022-03-14,110
2022-03-21,93
2022-03-28,133
2022-04-04,104
2022-04-11,88
2022-04-18,136
2022-04-25,144
2022-05-02,94
2022-05-09,105
2022-05-16,107
2022-05-23,123
2022-05-30,120
2022-06-06,132
2022-06-13,103
2022-06-20,99
2022-06-27,115
2022-07-04,126
2022-07-11,133
2022-07-18,100
2022-07-25,103
2022-08-01,123
2022-08-08,104
2022-08-15,101
2022-08-22,94
2022-08-29,142
2022-09-05,127
2022-09-12,87
2022-09-19,114
2022-09-26,108
2022-10-03,124
2022-10-10,102
2022-10-17,117
2022-10-24,106
2022-10-31,105
2022-11-07,144
