ds,y
2013-12-30,19
2014-01-06,18
2014-01-13,28
2014-01-20,8
2014-01-27,23
2014-02-03,16
2014-02-10,27
2014-02-17,31
2014-02-24,43
2014-03-03,24
2014-03-10,38
2014-03-17,25
2014-03-24,23
2014-03-31,33
2014-04-07,24
2014-04-14,12
2014-04-21,24
2014-04-28,14
2014-05-05,26
2014-05-12,35
2014-05-19,33
2014-05-26,28
2014-06-02,27
2014-06-09,24
2014-06-16,41
2014-06-23,28
2014-06-30,24
2014-07-07,34
2014-07-14,46
2014-07-21,26
2014-07-28,26
2014-08-04,26
2014-08-11,30
2014-08-18,40
2014-08-25,53
2014-09-01,5
2014-09-08,51
2014-09-15,37
2014-09-22,30
2014-09-29,12
2014-10-06,14
2014-10-13,16
2014-10-20,5
2014-10-27,26
2014-11-03,15
2014-11-10,5
2014-11-17,9
2014-11-24,8
2014-12-01,11
2014-12-08,0
2014-12-15,11
2014-12-22,3
2014-12-29,8
2015-01-05,9
2015-01-12,14
2015-01-19,3
2015-01-26,34
2015-02-02,34
2015-02-09,43
2015-02-16,37
2015-02-23,23
2015-03-02,45
2015-03-09,33
2015-03-16,36
2015-03-23,32
2015-03-30,47
2015-04-06,31
2015-04-13,29
2015-04-20,31
2015-04-27,24
2015-05-04,38
2015-05-11,22
2015-05-18,36
2015-05-25,34
2015-06-01,27
2015-06-08,42
2015-06-15,44
2015-06-22,33
2015-06-29,33
2015-07-06,29
2015-07-13,34
2015-07-20,22
2015-07-27,29
2015-08-03,16
2015-08-10,29
2015-08-17,27
2015-08-24,111
2015-08-31,27
2015-09-07,16
2015-09-14,24
2015-09-21,8
2015-09-28,22
2015-10-05,21
2015-10-12,28
2015-10-19,30
2015-10-26,24
2015-11-02,22
2015-11-09,17
2015-11-16,29
2015-11-23,21
2015-11-30,17
2015-12-07,35
2015-12-14,15
2015-12-21,14
2016-01-04,11
2016-01-11,20
2016-01-18,31
2016-01-25,29
2016-02-01,12
2016-02-08,15
2016-02-15,25
2016-02-22,40
2016-02-29,27
2016-03-07,22
2016-03-14,20
2016-03-21,12
2016-03-28,33
2016-04-04,20
2016-04-11,18
2016-04-18,26
2016-04-25,25
2016-05-02,25
2016-05-09,36
2016-05-16,36
2016-05-23,44
2016-05-30,29
2016-06-06,27
2016-06-13,20
2016-06-20,32
2016-06-27,16
2016-07-04,20
2016-07-11,30
2016-07-18,34
2016-07-25,15
2016-08-01,26
2016-08-08,25
2016-08-15,35
2016-08-22,37
2016-08-29,33
2016-09-05,28
2016-09-12,14
2016-09-19,26
2016-09-26,18
2016-10-03,16
2016-10-10,22
2016-10-17,16
2016-10-24,21
2016-10-31,20
2016-11-07,20
2016-11-14,27
2016-11-21,30
2016-11-28,19
2016-12-05,29
2016-12-12,24
2016-12-19,27
2016-12-26,25
2017-01-02,28
2017-01-09,23
2017-01-16,48
2017-01-23,35
2017-01-30,61
2017-02-06,34
2017-02-13,43
2017-02-20,38
2017-02-27,27
2017-03-06,49
2017-03-13,51
2017-03-20,35
2017-03-27,46
2017-04-03,32
2017-04-10,29
2017-04-17,40
2017-04-24,34
2017-05-01,74
2017-05-08,97
2017-05-15,36
2017-05-22,42
2017-05-29,83
2017-06-05,42
2017-06-12,91
2017-06-19,66
2017-06-26,70
2017-07-03,29
2017-07-10,30
2017-07-17,82
2017-07-24,64
2017-07-31,36
2017-08-07,35
2017-08-14,68
2017-08-21,48
2017-08-28,43
2017-09-04,32
2017-09-11,72
2017-09-18,21
2017-09-25,35
2017-10-02,32
2017-10-09,37
2017-10-16,50
2017-10-23,36
2017-10-30,39
2017-11-06,31
2017-11-13,28
2017-11-20,27
2017-11-27,46
2017-12-04,38
2017-12-11,34
2017-12-18,30
2017-12-25,17
2018-01-01,28
2018-01-08,33
2018-01-15,26
2018-01-22,32
2018-01-29,28
2018-02-05,34
2018-02-12,31
2018-02-19,43
2018-02-26,39
2018-03-05,47
2018-03-12,48
2018-03-19,33
2018-03-26,21
2018-04-02,43
2018-04-09,39
2018-04-16,46
2018-04-23,35
2018-04-30,28
2018-05-07,32
2018-05-14,32
2018-05-21,44
2018-05-28,32
2018-06-04,35
2018-06-11,40
2018-06-18,33
2018-06-25,30
2018-07-02,36
2018-07-09,33
2018-07-16,26
2018-07-23,25
2018-07-30,34
2018-08-06,33
2018-08-13,35
2018-08-20,41
2018-08-27,34
2018-09-03,43
2018-09-10,52
2018-09-17,42
2018-09-24,45
2018-10-01,32
2018-10-08,73
2018-10-15,35
2018-10-22,36
2018-10-29,53
2018-11-05,24
2018-11-12,49
2018-11-19,24
2018-11-26,47
2018-12-03,32
2018-12-10,38
2018-12-17,15
2018-12-24,17
2018-12-31,13
2019-01-07,42
2019-01-14,25
2019-01-21,36
2019-01-28,44
2019-02-04,28
2019-02-11,43
2019-02-18,26
2019-02-25,63
2019-03-04,56
2019-03-11,37
2019-03-18,43
2019-03-25,37
2019-04-01,42
2019-04-08,32
2019-04-15,21
2019-04-22,28
2019-04-29,28
2019-05-06,30
2019-05-13,40
2019-05-20,47
2019-05-27,30
2019-06-03,38
2019-06-10,46
2019-06-17,37
2019-06-24,41
2019-07-01,40
2019-07-08,36
2019-07-15,24
2019-07-22,7
2019-07-29,33
2019-08-05,21
2019-08-12,32
2019-08-19,38
2019-08-26,34
2019-09-02,35
2019-09-09,29
2019-09-16,29
2019-09-23,45
2019-09-30,21
2019-10-07,29
2019-10-14,27
2019-10-21,22
2019-10-28,29
2019-11-04,28
2019-11-11,42
2019-11-18,39
2019-11-25,56
2019-12-02,36
2019-12-09,33
2019-12-16,25
2019-12-23,25
2019-12-30,11
2020-01-06,27
2020-01-13,38
2020-01-20,35
2020-01-27,47
2020-02-03,36
2020-02-10,56
2020-02-17,49
2020-02-24,26
2020-03-02,42
2020-03-09,38
2020-03-16,17
2020-03-23,16
2020-03-30,11
2020-04-06,4
2020-04-13,8
2020-04-20,7
2020-04-27,5
2020-05-04,11
2020-05-11,10
2020-05-18,13
2020-05-25,16
2020-06-01,4
2020-06-08,14
2020-06-15,12
2020-06-22,17
2020-06-29,9
2020-07-06,12
2020-07-13,12
2020-07-20,13
2020-07-27,6
2020-08-03,6
2020-08-10,5
2020-08-17,16
2020-08-24,11
2020-08-31,16
2020-09-07,13
2020-09-14,22
2020-09-21,19
2020-09-28,22
2020-10-05,17
2020-10-12,20
2020-10-19,17
2020-10-26,10
2020-11-02,24
2020-11-09,31
2020-11-16,3
2020-11-23,29
2020-11-30,25
2020-12-07,11
2020-12-14,20
2020-12-21,11
2020-12-28,17
2021-01-04,20
2021-01-11,29
2021-01-18,24
2021-01-25,23
2021-02-01,19
2021-02-08,24
2021-02-15,27
2021-02-22,24
2021-03-01,38
2021-03-08,41
2021-03-15,32
2021-03-22,21
2021-03-29,17
2021-04-05,34
2021-04-12,24
2021-04-19,30
2021-04-26,25
2021-05-03,35
2021-05-10,23
2021-05-17,32
2021-05-24,24
2021-05-31,35
2021-06-07,14
2021-06-14,34
2021-06-21,29
2021-06-28,31
2021-07-05,36
2021-07-12,39
2021-07-19,33
2021-07-26,28
2021-08-02,39
2021-08-09,25
2021-08-16,40
2021-08-23,38
2021-08-30,31
2021-09-06,36
2021-09-13,31
2021-09-20,55
2021-09-27,40
2021-10-04,36
2021-10-11,32
2021-10-18,52
2021-10-25,43
2021-11-01,30
2021-11-08,34
2021-11-15,24
2021-11-22,47
2021-11-29,47
2021-12-06,38
2021-12-13,56
2021-12-20,32
2021-12-27,28
2022-01-03,36
2022-01-10,24
2022-01-17,28
2022-01-24,28
2022-01-31,40
2022-02-07,27
2022-02-14,40
2022-02-21,50
2022-02-28,56
2022-03-07,44
2022-03-14,46
2022-03-21,31
2022-03-28,80
2022-04-04,40
2022-04-11,42
2022-04-18,63
2022-04-25,69
2022-05-02,39
2022-05-09,55
2022-05-16,27
2022-05-23,64
2022-05-30,89
2022-06-06,79
2022-06-13,67
2022-06-20,70
2022-06-27,59
2022-07-04,54
2022-07-11,59
2022-07-18,62
2022-07-25,44
2022-08-01,57
2022-08-08,64
2022-08-15,41
2022-08-22,63
2022-08-29,36
2022-09-05,36
2022-09-12,40
2022-09-19,66
2022-09-26,57
2022-10-03,68
2022-10-10,61
2022-10-17,49
2022-10-24,50
2022-10-31,44
2022-11-07,48
2022-11-14,48
2022-11-21,34
2022-11-28,42
2022-12-05,38
2022-12-12,42
2022-12-19,50
2022-12-26,31
2023-01-02,47
2023-01-09,46
2023-01-16,40
2023-01-23,51
2023-01-30,53
2023-02-06,31
2023-02-13,41
2023-02-20,40
2023-02-27,39
2023-03-06,61
2023-03-13,53
2023-03-20,40
2023-03-27,44
2023-04-03,27
2023-04-10,47
2023-04-17,56
2023-04-24,40
2023-05-01,25
2023-05-08,40
2023-05-15,39
2023-05-22,60
2023-05-29,65
2023-06-05,91
2023-06-12,80
2023-06-19,84
2023-06-26,71
2023-07-03,90
2023-07-10,72
