ds,y
2013-12-30,14
2014-01-06,13
2014-01-13,23
2014-01-20,8
2014-01-27,19
2014-02-03,12
2014-02-10,24
2014-02-17,29
2014-02-24,37
2014-03-03,19
2014-03-10,29
2014-03-17,19
2014-03-24,16
2014-03-31,26
2014-04-07,20
2014-04-14,9
2014-04-21,21
2014-04-28,13
2014-05-05,20
2014-05-12,30
2014-05-19,28
2014-05-26,25
2014-06-02,21
2014-06-09,22
2014-06-16,29
2014-06-23,17
2014-06-30,20
2014-07-07,26
2014-07-14,34
2014-07-21,21
2014-07-28,20
2014-08-04,22
2014-08-11,25
2014-08-18,38
2014-08-25,44
2014-09-01,5
2014-09-08,36
2014-09-15,26
2014-09-22,19
2014-09-29,8
2014-10-06,12
2014-10-13,11
2014-10-20,5
2014-10-27,21
2014-11-03,13
2014-11-10,5
2014-11-17,8
2014-11-24,8
2014-12-01,11
2014-12-08,0
2014-12-15,9
2014-12-22,3
2014-12-29,5
2015-01-05,5
2015-01-12,11
2015-01-19,2
2015-01-26,30
2015-02-02,31
2015-02-09,27
2015-02-16,31
2015-02-23,18
2015-03-02,38
2015-03-09,27
2015-03-16,27
2015-03-23,24
2015-03-30,37
2015-04-06,26
2015-04-13,24
2015-04-20,18
2015-04-27,20
2015-05-04,30
2015-05-11,19
2015-05-18,26
2015-05-25,26
2015-06-01,25
2015-06-08,29
2015-06-15,36
2015-06-22,26
2015-06-29,28
2015-07-06,27
2015-07-13,27
2015-07-20,18
2015-07-27,22
2015-08-03,12
2015-08-10,27
2015-08-17,22
2015-08-24,91
2015-08-31,20
2015-09-07,12
2015-09-14,20
2015-09-21,6
2015-09-28,20
2015-10-05,19
2015-10-12,20
2015-10-19,24
2015-10-26,22
2015-11-02,19
2015-11-09,14
2015-11-16,21
2015-11-23,18
2015-11-30,14
2015-12-07,26
2015-12-14,10
2015-12-21,9
2016-01-04,8
2016-01-11,13
2016-01-18,25
2016-01-25,19
2016-02-01,10
2016-02-08,12
2016-02-15,17
2016-02-22,33
2016-02-29,20
2016-03-07,21
2016-03-14,13
2016-03-21,10
2016-03-28,28
2016-04-04,18
2016-04-11,15
2016-04-18,21
2016-04-25,20
2016-05-02,22
2016-05-09,28
2016-05-16,28
2016-05-23,38
2016-05-30,27
2016-06-06,26
2016-06-13,17
2016-06-20,23
2016-06-27,12
2016-07-04,14
2016-07-11,24
2016-07-18,31
2016-07-25,13
2016-08-01,21
2016-08-08,22
2016-08-15,32
2016-08-22,32
2016-08-29,28
2016-09-05,20
2016-09-12,10
2016-09-19,23
2016-09-26,13
2016-10-03,12
2016-10-10,19
2016-10-17,15
2016-10-24,20
2016-10-31,17
2016-11-07,17
2016-11-14,23
2016-11-21,25
2016-11-28,14
2016-12-05,19
2016-12-12,19
2016-12-19,20
2016-12-26,19
2017-01-02,22
2017-01-09,20
2017-01-16,35
2017-01-23,28
2017-01-30,58
2017-02-06,26
2017-02-13,35
2017-02-20,31
2017-02-27,24
2017-03-06,39
2017-03-13,41
2017-03-20,30
2017-03-27,36
2017-04-03,24
2017-04-10,21
2017-04-17,32
2017-04-24,25
2017-05-01,48
2017-05-08,89
2017-05-15,27
2017-05-22,35
2017-05-29,55
2017-06-05,32
2017-06-12,61
2017-06-19,58
2017-06-26,40
2017-07-03,27
2017-07-10,24
2017-07-17,52
2017-07-24,41
2017-07-31,29
2017-08-07,30
2017-08-14,42
2017-08-21,35
2017-08-28,37
2017-09-04,27
2017-09-11,40
2017-09-18,18
2017-09-25,30
2017-10-02,25
2017-10-09,28
2017-10-16,43
2017-10-23,28
2017-10-30,28
2017-11-06,21
2017-11-13,26
2017-11-20,23
2017-11-27,36
2017-12-04,29
2017-12-11,27
2017-12-18,25
2017-12-25,13
2018-01-01,22
2018-01-08,27
2018-01-15,20
2018-01-22,24
2018-01-29,20
2018-02-05,29
2018-02-12,25
2018-02-19,36
2018-02-26,31
2018-03-05,35
2018-03-12,37
2018-03-19,29
2018-03-26,20
2018-04-02,37
2018-04-09,33
2018-04-16,36
2018-04-23,30
2018-04-30,25
2018-05-07,24
2018-05-14,26
2018-05-21,33
2018-05-28,24
2018-06-04,26
2018-06-11,32
2018-06-18,25
2018-06-25,21
2018-07-02,21
2018-07-09,20
2018-07-16,20
2018-07-23,16
2018-07-30,26
2018-08-06,27
2018-08-13,28
2018-08-20,36
2018-08-27,28
2018-09-03,35
2018-09-10,46
2018-09-17,32
2018-09-24,31
2018-10-01,27
2018-10-08,69
2018-10-15,33
2018-10-22,28
2018-10-29,46
2018-11-05,18
2018-11-12,37
2018-11-19,21
2018-11-26,41
2018-12-03,26
2018-12-10,30
2018-12-17,12
2018-12-24,14
2018-12-31,9
2019-01-07,36
2019-01-14,21
2019-01-21,27
2019-01-28,34
2019-02-04,24
2019-02-11,34
2019-02-18,21
2019-02-25,52
2019-03-04,47
2019-03-11,27
2019-03-18,33
2019-03-25,31
2019-04-01,36
2019-04-08,25
2019-04-15,18
2019-04-22,21
2019-04-29,23
2019-05-06,22
2019-05-13,30
2019-05-20,39
2019-05-27,27
2019-06-03,32
2019-06-10,39
2019-06-17,31
2019-06-24,24
2019-07-01,34
2019-07-08,29
2019-07-15,19
2019-07-22,7
2019-07-29,23
2019-08-05,17
2019-08-12,27
2019-08-19,32
2019-08-26,30
2019-09-02,25
2019-09-09,24
2019-09-16,24
2019-09-23,35
2019-09-30,16
2019-10-07,27
2019-10-14,19
2019-10-21,17
2019-10-28,22
2019-11-04,22
2019-11-11,40
2019-11-18,27
2019-11-25,54
2019-12-02,32
2019-12-09,25
2019-12-16,18
2019-12-23,14
2019-12-30,6
2020-01-06,19
2020-01-13,33
2020-01-20,28
2020-01-27,39
2020-02-03,26
2020-02-10,49
2020-02-17,39
2020-02-24,21
2020-03-02,31
2020-03-09,25
2020-03-16,13
2020-03-23,13
2020-03-30,10
2020-04-06,3
2020-04-13,7
2020-04-20,7
2020-04-27,3
2020-05-04,6
2020-05-11,8
2020-05-18,10
2020-05-25,13
2020-06-01,3
2020-06-08,12
2020-06-15,9
2020-06-22,14
2020-06-29,7
2020-07-06,8
2020-07-13,10
2020-07-20,13
2020-07-27,4
2020-08-03,5
2020-08-10,5
2020-08-17,13
2020-08-24,9
2020-08-31,10
2020-09-07,10
2020-09-14,14
2020-09-21,16
2020-09-28,14
2020-10-05,12
2020-10-12,13
2020-10-19,14
2020-10-26,8
2020-11-02,16
2020-11-09,20
2020-11-16,2
2020-11-23,19
2020-11-30,18
2020-12-07,9
2020-12-14,16
2020-12-21,8
2020-12-28,14
2021-01-04,13
2021-01-11,24
2021-01-18,15
2021-01-25,14
2021-02-01,15
2021-02-08,22
2021-02-15,20
2021-02-22,20
2021-03-01,32
2021-03-08,27
2021-03-15,26
2021-03-22,19
2021-03-29,16
2021-04-05,27
2021-04-12,20
2021-04-19,25
2021-04-26,17
2021-05-03,22
2021-05-10,17
2021-05-17,25
2021-05-24,16
2021-05-31,28
2021-06-07,10
2021-06-14,24
2021-06-21,20
2021-06-28,23
2021-07-05,29
2021-07-12,27
2021-07-19,21
2021-07-26,22
2021-08-02,27
2021-08-09,16
2021-08-16,31
2021-08-23,25
2021-08-30,20
2021-09-06,22
2021-09-13,25
2021-09-20,40
2021-09-27,33
2021-10-04,28
2021-10-11,22
2021-10-18,40
2021-10-25,30
2021-11-01,22
2021-11-08,26
2021-11-15,19
2021-11-22,36
2021-11-29,38
2021-12-06,34
2021-12-13,33
2021-12-20,18
2021-12-27,23
2022-01-03,27
2022-01-10,18
2022-01-17,23
2022-01-24,21
2022-01-31,31
2022-02-07,22
2022-02-14,22
2022-02-21,41
2022-02-28,43
2022-03-07,37
2022-03-14,30
2022-03-21,23
2022-03-28,63
2022-04-04,23
2022-04-11,31
2022-04-18,51
2022-04-25,51
2022-05-02,25
2022-05-09,39
2022-05-16,21
2022-05-23,43
2022-05-30,63
2022-06-06,57
2022-06-13,47
2022-06-20,59
2022-06-27,47
2022-07-04,44
2022-07-11,47
2022-07-18,52
2022-07-25,34
2022-08-01,47
2022-08-08,43
2022-08-15,34
2022-08-22,52
2022-08-29,28
2022-09-05,28
2022-09-12,31
2022-09-19,47
2022-09-26,41
2022-10-03,50
2022-10-10,43
2022-10-17,39
2022-10-24,34
2022-10-31,30
2022-11-07,38
2022-11-14,30
2022-11-21,28
2022-11-28,29
2022-12-05,28
2022-12-12,31
2022-12-19,40
2022-12-26,22
2023-01-02,36
2023-01-09,35
2023-01-16,32
2023-01-23,40
2023-01-30,42
2023-02-06,24
2023-02-13,31
2023-02-20,31
2023-02-27,32
2023-03-06,45
2023-03-13,38
2023-03-20,32
2023-03-27,33
2023-04-03,21
2023-04-10,35
2023-04-17,42
2023-04-24,33
2023-05-01,22
2023-05-08,27
2023-05-15,25
2023-05-22,44
2023-05-29,50
2023-06-05,66
2023-06-12,56
2023-06-19,61
2023-06-26,54
2023-07-03,65
2023-07-10,57
2023-07-17,72
2023-07-24,62
2023-07-31,75
2023-08-07,69
2023-08-14,62
2023-08-21,52
2023-08-28,58
2023-09-04,33
2023-09-11,37
2023-09-18,53
2023-09-25,57
2023-10-02,72
2023-10-09,60
2023-10-16,63
2023-10-23,43
2023-10-30,61
2023-11-06,51
2023-11-13,42
2023-11-20,35
2023-11-27,31
2023-12-04,39
2023-12-11,44
2023-12-18,31
2023-12-25,25
2024-01-01,25
2024-01-08,46
2024-01-15,64
2024-01-22,68
2024-01-29,48
2024-02-05,38
2024-02-12,49
2024-02-19,67
2024-02-26,64
2024-03-04,62
2024-03-11,74
2024-03-18,51
2024-03-25,54
2024-04-01,62
2024-04-08,79
2024-04-15,51
2024-04-22,78
2024-04-29,52
2024-05-06,60
2024-05-13,42
2024-05-20,46
2024-05-27,55
2024-06-03,63
2024-06-10,75
2024-06-17,43
2024-06-24,60
2024-07-01,23
2024-07-08,45
2024-07-15,74
2024-07-22,56
2024-07-29,77
2024-08-05,59
2024-08-12,64
2024-08-19,68
2024-08-26,81
2024-09-02,53
