ds,y
2013-12-30,0
2014-01-06,4
2014-01-13,6
2014-01-20,4
2014-01-27,1
2014-02-03,4
2014-02-10,4
2014-02-17,3
2014-02-24,3
2014-03-03,4
2014-03-10,3
2014-03-17,6
2014-03-24,3
2014-03-31,4
2014-04-07,4
2014-04-14,4
2014-04-21,3
2014-04-28,3
2014-05-05,3
2014-05-12,6
2014-05-19,5
2014-05-26,11
2014-06-02,7
2014-06-09,7
2014-06-16,4
2014-06-23,11
2014-06-30,3
2014-07-07,10
2014-07-14,6
2014-07-21,3
2014-07-28,2
2014-08-04,4
2014-08-11,7
2014-08-18,8
2014-08-25,6
2014-09-01,5
2014-09-08,3
2014-09-15,3
2014-09-22,4
2014-09-29,3
2014-10-06,6
2014-10-13,3
2014-10-20,3
2014-10-27,6
2014-11-03,0
2014-11-10,2
2014-11-17,5
2014-11-24,6
2014-12-01,5
2014-12-08,3
2014-12-15,3
2014-12-22,1
2014-12-29,4
2015-01-05,7
2015-01-12,6
2015-01-19,3
2015-01-26,6
2015-02-02,7
2015-02-09,2
2015-02-16,2
2015-02-23,3
2015-03-02,1
2015-03-09,2
2015-03-16,3
2015-03-23,5
2015-03-30,4
2015-04-06,5
2015-04-13,4
2015-04-20,4
2015-04-27,4
2015-05-04,5
2015-05-11,5
2015-05-18,7
2015-05-25,5
2015-06-01,10
2015-06-08,10
2015-06-15,3
2015-06-22,13
2015-06-29,2
2015-07-06,3
2015-07-13,5
2015-07-20,4
2015-07-27,2
2015-08-03,1
2015-08-10,5
2015-08-17,4
2015-08-24,6
2015-08-31,1
2015-09-07,4
2015-09-14,5
2015-09-21,9
2015-09-28,7
2015-10-05,6
2015-10-12,4
2015-10-19,2
2015-10-26,2
2015-11-02,3
2015-11-09,1
2015-11-16,2
2015-11-23,7
2015-11-30,3
2015-12-07,3
2015-12-14,2
2015-12-21,0
2016-01-04,4
2016-01-11,1
2016-01-18,0
2016-01-25,1
2016-02-01,0
2016-02-08,5
2016-02-15,8
2016-02-22,7
2016-02-29,3
2016-03-07,3
2016-03-14,8
2016-03-21,0
2016-03-28,5
2016-04-04,9
2016-04-11,7
2016-04-18,5
2016-04-25,3
2016-05-02,5
2016-05-09,7
2016-05-16,7
2016-05-23,8
2016-05-30,9
2016-06-06,7
2016-06-13,6
2016-06-20,7
2016-06-27,0
2016-07-04,2
2016-07-11,1
2016-07-18,3
2016-07-25,3
2016-08-01,5
2016-08-08,4
2016-08-15,4
2016-08-22,3
2016-08-29,5
2016-09-05,4
2016-09-12,2
2016-09-19,6
2016-09-26,5
2016-10-03,3
2016-10-10,2
2016-10-17,5
2016-10-24,9
2016-10-31,5
2016-11-07,5
2016-11-14,7
2016-11-21,2
2016-11-28,7
2016-12-05,1
2016-12-12,5
2016-12-19,3
2016-12-26,3
2017-01-02,7
2017-01-09,12
2017-01-16,7
2017-01-23,7
2017-01-30,5
2017-02-06,6
2017-02-13,10
2017-02-20,7
2017-02-27,4
2017-03-06,5
2017-03-13,5
2017-03-20,7
2017-03-27,3
2017-04-03,9
2017-04-10,4
2017-04-17,6
2017-04-24,8
2017-05-01,6
2017-05-08,7
2017-05-15,9
2017-05-22,5
2017-05-29,10
2017-06-05,14
2017-06-12,13
2017-06-19,5
