ds,y
2013-12-30,1
2014-01-06,11
2014-01-13,13
2014-01-20,12
2014-01-27,10
2014-02-03,9
2014-02-10,15
2014-02-17,13
2014-02-24,25
2014-03-03,19
2014-03-10,17
2014-03-17,11
2014-03-24,15
2014-03-31,15
2014-04-07,21
2014-04-14,17
2014-04-21,19
2014-04-28,13
2014-05-05,7
2014-05-12,16
2014-05-19,22
2014-05-26,13
2014-06-02,18
2014-06-09,26
2014-06-16,15
2014-06-23,23
2014-06-30,25
2014-07-07,20
2014-07-14,15
2014-07-21,11
2014-07-28,7
2014-08-04,12
2014-08-11,21
2014-08-18,13
2014-08-25,20
2014-09-01,13
2014-09-08,20
2014-09-15,14
2014-09-22,18
2014-09-29,9
2014-10-06,14
2014-10-13,15
2014-10-20,16
2014-10-27,18
2014-11-03,6
2014-11-10,8
2014-11-17,8
2014-11-24,11
2014-12-01,18
2014-12-08,5
2014-12-15,9
2014-12-22,1
2014-12-29,18
2015-01-05,10
2015-01-12,21
2015-01-19,18
2015-01-26,11
2015-02-02,19
2015-02-09,11
2015-02-16,4
2015-02-23,13
2015-03-02,13
2015-03-09,6
2015-03-16,13
2015-03-23,15
2015-03-30,9
2015-04-06,17
2015-04-13,16
2015-04-20,19
2015-04-27,16
2015-05-04,17
2015-05-11,29
2015-05-18,21
2015-05-25,19
2015-06-01,13
2015-06-08,21
2015-06-15,18
2015-06-22,20
2015-06-29,21
2015-07-06,18
2015-07-13,17
2015-07-20,11
2015-07-27,12
2015-08-03,18
2015-08-10,12
2015-08-17,20
2015-08-24,17
2015-08-31,17
2015-09-07,13
2015-09-14,17
2015-09-21,28
2015-09-28,34
2015-10-05,27
2015-10-12,12
2015-10-19,8
2015-10-26,12
2015-11-02,18
2015-11-09,13
2015-11-16,17
2015-11-23,7
2015-11-30,16
2015-12-07,9
2015-12-14,13
2015-12-21,8
2016-01-04,13
2016-01-11,16
2016-01-18,15
2016-01-25,6
2016-02-01,13
2016-02-08,6
2016-02-15,10
2016-02-22,12
2016-02-29,9
2016-03-07,15
2016-03-14,25
2016-03-21,5
2016-03-28,18
2016-04-04,30
2016-04-11,16
2016-04-18,13
2016-04-25,14
2016-05-02,27
2016-05-09,24
2016-05-16,24
2016-05-23,29
2016-05-30,20
2016-06-06,23
2016-06-13,16
2016-06-20,29
2016-06-27,9
2016-07-04,10
2016-07-11,10
2016-07-18,32
2016-07-25,21
2016-08-01,15
2016-08-08,15
2016-08-15,19
2016-08-22,22
2016-08-29,14
2016-09-05,12
2016-09-12,13
2016-09-19,14
2016-09-26,20
2016-10-03,16
2016-10-10,17
2016-10-17,18
2016-10-24,15
2016-10-31,20
2016-11-07,15
2016-11-14,18
2016-11-21,22
2016-11-28,9
2016-12-05,15
2016-12-12,16
2016-12-19,9
2016-12-26,6
2017-01-02,19
2017-01-09,23
2017-01-16,18
2017-01-23,21
2017-01-30,16
2017-02-06,17
2017-02-13,23
2017-02-20,23
2017-02-27,15
2017-03-06,26
2017-03-13,34
2017-03-20,44
2017-03-27,19
2017-04-03,31
2017-04-10,18
2017-04-17,16
2017-04-24,41
2017-05-01,36
2017-05-08,19
2017-05-15,23
2017-05-22,27
2017-05-29,39
2017-06-05,25
2017-06-12,37
2017-06-19,18
2017-06-26,30
2017-07-03,34
2017-07-10,32
2017-07-17,24
2017-07-24,17
2017-07-31,29
2017-08-07,18
2017-08-14,20
2017-08-21,30
2017-08-28,18
2017-09-04,27
2017-09-11,25
2017-09-18,29
2017-09-25,34
2017-10-02,40
2017-10-09,25
2017-10-16,27
2017-10-23,18
2017-10-30,31
2017-11-06,27
2017-11-13,18
2017-11-20,20
2017-11-27,15
2017-12-04,17
2017-12-11,20
2017-12-18,11
2017-12-25,14
2018-01-01,17
2018-01-08,15
2018-01-15,21
2018-01-22,24
2018-01-29,11
2018-02-05,23
2018-02-12,19
2018-02-19,13
2018-02-26,11
2018-03-05,27
2018-03-12,31
2018-03-19,25
2018-03-26,12
2018-04-02,27
2018-04-09,27
2018-04-16,27
2018-04-23,26
2018-04-30,20
2018-05-07,13
2018-05-14,23
2018-05-21,24
2018-05-28,32
2018-06-04,22
2018-06-11,41
2018-06-18,26
2018-06-25,31
2018-07-02,26
2018-07-09,21
2018-07-16,25
2018-07-23,22
2018-07-30,21
2018-08-06,29
2018-08-13,25
2018-08-20,51
2018-08-27,25
2018-09-03,28
2018-09-10,27
2018-09-17,16
2018-09-24,24
2018-10-01,17
2018-10-08,42
2018-10-15,26
2018-10-22,25
2018-10-29,23
2018-11-05,21
2018-11-12,37
2018-11-19,29
2018-11-26,17
2018-12-03,24
2018-12-10,21
2018-12-17,17
2018-12-24,25
2018-12-31,22
2019-01-07,27
2019-01-14,30
2019-01-21,31
2019-01-28,34
2019-02-04,25
2019-02-11,25
2019-02-18,35
2019-02-25,24
2019-03-04,28
2019-03-11,30
2019-03-18,22
2019-03-25,39
2019-04-01,22
2019-04-08,29
2019-04-15,17
2019-04-22,29
2019-04-29,16
2019-05-06,19
2019-05-13,26
2019-05-20,32
2019-05-27,39
2019-06-03,35
2019-06-10,30
2019-06-17,22
2019-06-24,35
2019-07-01,25
2019-07-08,36
2019-07-15,26
2019-07-22,11
2019-07-29,27
2019-08-05,36
2019-08-12,36
2019-08-19,27
2019-08-26,30
2019-09-02,34
2019-09-09,30
2019-09-16,31
2019-09-23,27
2019-09-30,33
2019-10-07,42
2019-10-14,38
2019-10-21,35
2019-10-28,26
2019-11-04,38
2019-11-11,24
2019-11-18,26
2019-11-25,36
2019-12-02,21
2019-12-09,21
2019-12-16,32
2019-12-23,11
2019-12-30,13
2020-01-06,18
2020-01-13,36
2020-01-20,30
2020-01-27,25
2020-02-03,32
2020-02-10,30
2020-02-17,42
2020-02-24,27
2020-03-02,33
2020-03-09,46
2020-03-16,27
2020-03-23,20
2020-03-30,17
2020-04-06,9
2020-04-13,14
2020-04-20,11
2020-04-27,13
2020-05-04,19
2020-05-11,16
2020-05-18,26
2020-05-25,24
2020-06-01,16
2020-06-08,17
2020-06-15,14
2020-06-22,19
2020-06-29,12
2020-07-06,21
2020-07-13,17
2020-07-20,13
2020-07-27,5
2020-08-03,24
2020-08-10,18
2020-08-17,23
2020-08-24,17
2020-08-31,23
2020-09-07,31
2020-09-14,19
2020-09-21,15
2020-09-28,24
2020-10-05,23
2020-10-12,25
2020-10-19,24
2020-10-26,22
2020-11-02,13
2020-11-09,17
2020-11-16,13
2020-11-23,30
2020-11-30,11
2020-12-07,13
2020-12-14,12
2020-12-21,12
2020-12-28,7
2021-01-04,14
2021-01-11,11
2021-01-18,11
2021-01-25,18
2021-02-01,20
2021-02-08,20
2021-02-15,23
2021-02-22,34
2021-03-01,21
2021-03-08,33
2021-03-15,33
2021-03-22,25
2021-03-29,20
2021-04-05,33
2021-04-12,30
2021-04-19,28
2021-04-26,27
2021-05-03,19
2021-05-10,28
2021-05-17,29
2021-05-24,25
2021-05-31,24
2021-06-07,18
2021-06-14,13
2021-06-21,20
2021-06-28,23
2021-07-05,19
2021-07-12,23
2021-07-19,22
2021-07-26,23
2021-08-02,22
2021-08-09,21
2021-08-16,29
2021-08-23,17
2021-08-30,25
2021-09-06,20
2021-09-13,29
2021-09-20,33
2021-09-27,30
2021-10-04,34
2021-10-11,36
2021-10-18,40
2021-10-25,14
2021-11-01,23
2021-11-08,17
2021-11-15,32
2021-11-22,18
2021-11-29,22
2021-12-06,16
2021-12-13,28
2021-12-20,12
2021-12-27,19
2022-01-03,18
2022-01-10,14
2022-01-17,19
2022-01-24,14
2022-01-31,32
2022-02-07,19
2022-02-14,14
2022-02-21,32
2022-02-28,28
2022-03-07,21
2022-03-14,26
2022-03-21,22
2022-03-28,25
2022-04-04,20
2022-04-11,19
2022-04-18,35
2022-04-25,31
2022-05-02,37
2022-05-09,19
2022-05-16,26
2022-05-23,26
2022-05-30,40
2022-06-06,34
2022-06-13,27
2022-06-20,29
2022-06-27,30
2022-07-04,22
2022-07-11,21
2022-07-18,28
2022-07-25,30
2022-08-01,14
2022-08-08,21
2022-08-15,34
2022-08-22,33
2022-08-29,30
2022-09-05,23
2022-09-12,8
