padecimiento,sexo,rmse,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,archivo_modelo,Entidad
Depresión,incrementos_hombres,100.2011821077355,additive,0.01,1.0,nacional,Prophet_Depresion_hombres_20260216.pkl,
Depresión,incrementos_mujeres,266.99403324876755,multiplicative,0.1,0.1,nacional,Prophet_Depresion_mujeres_20260216.pkl,
Depresión,incrementos_total,363.13021861552033,multiplicative,0.1,5.0,nacional,Prophet_Depresion_general_20260216.pkl,
Depresión,incrementos_hombres,3.9369916335179163,additive,0.01,1.0,regional,Prophet_Depresion_Aguascalientes_hombres_20260216.pkl,Aguascalientes
Depresión,incrementos_mujeres,8.263017600825254,additive,0.05,5.0,regional,Prophet_Depresion_Aguascalientes_mujeres_20260216.pkl,Aguascalientes
Depresión,incrementos_total,10.36274445868915,additive,0.1,0.1,regional,Prophet_Depresion_Aguascalientes_general_20260216.pkl,Aguascalientes
Depresión,incrementos_hombres,9.004797480836464,additive,0.05,5.0,regional,Prophet_Depresion_Baja_California_hombres_20260216.pkl,Baja California
Depresión,incrementos_mujeres,13.901895677706921,additive,0.05,5.0,regional,Prophet_Depresion_Baja_California_mujeres_20260216.pkl,Baja California
Depresión,incrementos_total,20.536693835924364,additive,0.05,5.0,regional,Prophet_Depresion_Baja_California_general_20260216.pkl,Baja California
Depresión,incrementos_hombres,6.675099549785253,additive,0.01,0.1,regional,Prophet_Depresion_Baja_California_Sur_hombres_20260216.pkl,Baja California Sur
Depresión,incrementos_mujeres,6.522556946143879,additive,0.01,0.1,regional,Prophet_Depresion_Baja_California_Sur_mujeres_20260216.pkl,Baja California Sur
Depresión,incrementos_total,12.133202199749036,multiplicative,0.01,0.1,regional,Prophet_Depresion_Baja_California_Sur_general_20260216.pkl,Baja California Sur
Depresión,incrementos_hombres,3.1700040375900977,additive,0.01,0.1,regional,Prophet_Depresion_Campeche_hombres_20260216.pkl,Campeche
Depresión,incrementos_mujeres,5.949549637784446,additive,0.01,5.0,regional,Prophet_Depresion_Campeche_mujeres_20260216.pkl,Campeche
Depresión,incrementos_total,7.725379932997217,additive,0.1,1.0,regional,Prophet_Depresion_Campeche_general_20260216.pkl,Campeche
Depresión,incrementos_hombres,4.70845021516813,additive,0.01,5.0,regional,Prophet_Depresion_Chiapas_hombres_20260216.pkl,Chiapas
Depresión,incrementos_mujeres,15.872939032393884,multiplicative,0.05,0.1,regional,Prophet_Depresion_Chiapas_mujeres_20260216.pkl,Chiapas
Depresión,incrementos_total,19.7642311405528,multiplicative,0.05,0.1,regional,Prophet_Depresion_Chiapas_general_20260216.pkl,Chiapas
Depresión,incrementos_hombres,17.630574329097996,multiplicative,0.05,0.1,regional,Prophet_Depresion_Chihuahua_hombres_20260216.pkl,Chihuahua
Depresión,incrementos_mujeres,34.14633482831296,multiplicative,0.1,5.0,regional,Prophet_Depresion_Chihuahua_mujeres_20260216.pkl,Chihuahua
Depresión,incrementos_total,47.29450932233509,multiplicative,0.1,5.0,regional,Prophet_Depresion_Chihuahua_general_20260216.pkl,Chihuahua
Depresión,incrementos_hombres,25.297513199151364,multiplicative,0.01,1.0,regional,Prophet_Depresion_Ciudad_de_Mexico_hombres_20260216.pkl,Ciudad de México
Depresión,incrementos_mujeres,61.69510169677538,additive,0.01,0.1,regional,Prophet_Depresion_Ciudad_de_Mexico_mujeres_20260216.pkl,Ciudad de México
Depresión,incrementos_total,83.27533048730479,additive,0.01,5.0,regional,Prophet_Depresion_Ciudad_de_Mexico_general_20260216.pkl,Ciudad de México
Depresión,incrementos_hombres,8.10379321871624,additive,0.1,0.1,regional,Prophet_Depresion_Coahuila_hombres_20260216.pkl,Coahuila
Depresión,incrementos_mujeres,14.451657040481248,additive,0.1,0.1,regional,Prophet_Depresion_Coahuila_mujeres_20260216.pkl,Coahuila
Depresión,incrementos_total,20.717379988962012,additive,0.1,5.0,regional,Prophet_Depresion_Coahuila_general_20260216.pkl,Coahuila
Depresión,incrementos_hombres,6.2427601325157305,multiplicative,0.1,0.1,regional,Prophet_Depresion_Colima_hombres_20260216.pkl,Colima
Depresión,incrementos_mujeres,10.551303763389111,additive,0.01,5.0,regional,Prophet_Depresion_Colima_mujeres_20260216.pkl,Colima
Depresión,incrementos_total,16.145847416348367,additive,0.01,5.0,regional,Prophet_Depresion_Colima_general_20260216.pkl,Colima
