ds,y
2013-12-30,131
2014-01-06,659
2014-01-13,936
2014-01-20,1035
2014-01-27,1224
2014-02-03,926
2014-02-10,1365
2014-02-17,1263
2014-02-24,1409
2014-03-03,1317
2014-03-10,1551
2014-03-17,1341
2014-03-24,1481
2014-03-31,1505
2014-04-07,1530
2014-04-14,949
2014-04-21,1467
2014-04-28,1268
2014-05-05,1382
2014-05-12,1482
2014-05-19,1640
2014-05-26,1588
2014-06-02,1624
2014-06-09,1722
2014-06-16,1714
2014-06-23,1597
2014-06-30,1488
2014-07-07,1505
2014-07-14,1426
2014-07-21,1435
2014-07-28,1199
2014-08-04,1461
2014-08-11,1663
2014-08-18,1732
2014-08-25,1503
2014-09-01,1622
2014-09-08,1559
2014-09-15,1347
2014-09-22,1692
2014-09-29,1432
2014-10-06,1459
2014-10-13,1537
2014-10-20,1703
2014-10-27,1418
2014-11-03,1420
2014-11-10,1446
2014-11-17,1193
2014-11-24,1355
2014-12-01,1317
2014-12-08,1076
2014-12-15,972
2014-12-22,606
2014-12-29,1647
2015-01-05,1217
2015-01-12,1447
2015-01-19,1279
2015-01-26,1276
2015-02-02,1363
2015-02-09,1551
2015-02-16,1452
2015-02-23,1459
2015-03-02,1360
2015-03-09,1272
2015-03-16,1639
2015-03-23,1537
2015-03-30,1951
2015-04-06,2030
2015-04-13,1989
2015-04-20,1909
2015-04-27,1899
2015-05-04,1986
2015-05-11,2318
2015-05-18,2041
2015-05-25,2230
2015-06-01,2251
2015-06-08,2133
2015-06-15,2062
2015-06-22,2086
2015-06-29,1959
2015-07-06,1827
2015-07-13,2059
2015-07-20,1888
2015-07-27,1963
2015-08-03,2143
2015-08-10,2256
2015-08-17,2097
2015-08-24,2286
2015-08-31,2109
2015-09-07,1673
2015-09-14,2112
2015-09-21,2059
2015-09-28,2086
2015-10-05,2210
2015-10-12,2132
2015-10-19,1918
2015-10-26,1757
2015-11-02,1905
2015-11-09,1875
2015-11-16,1875
2015-11-23,1970
2015-11-30,1748
2015-12-07,1470
2015-12-14,1190
2015-12-21,1090
2016-01-04,1461
2016-01-11,1801
2016-01-18,1976
2016-01-25,1819
2016-02-01,1887
2016-02-08,1969
2016-02-15,1968
2016-02-22,2327
2016-02-29,1997
2016-03-07,2033
2016-03-14,1948
2016-03-21,1177
2016-03-28,2034
2016-04-04,2219
2016-04-11,2250
2016-04-18,2236
2016-04-25,2135
2016-05-02,2073
2016-05-09,2218
2016-05-16,2192
2016-05-23,2261
2016-05-30,2168
2016-06-06,2217
2016-06-13,2205
2016-06-20,2029
2016-06-27,1890
2016-07-04,2007
2016-07-11,2004
2016-07-18,2079
2016-07-25,1833
2016-08-01,1974
2016-08-08,2077
2016-08-15,2224
2016-08-22,2299
2016-08-29,2123
2016-09-05,2177
2016-09-12,1605
2016-09-19,2223
2016-09-26,2124
2016-10-03,2181
2016-10-10,2464
2016-10-17,2274
2016-10-24,2039
2016-10-31,2057
2016-11-07,2467
2016-11-14,1946
2016-11-21,1739
2016-11-28,1764
2016-12-05,1809
2016-12-12,1639
2016-12-19,1335
2016-12-26,1348
2017-01-02,1617
2017-01-09,2306
2017-01-16,2622
2017-01-23,2561
2017-01-30,2218
2017-02-06,2153
2017-02-13,2376
2017-02-20,2596
2017-02-27,2447
2017-03-06,2482
2017-03-13,2607
2017-03-20,2327
2017-03-27,2674
2017-04-03,2302
2017-04-10,1823
2017-04-17,2341
2017-04-24,2440
2017-05-01,1954
2017-05-08,2316
2017-05-15,2500
2017-05-22,2741
2017-05-29,2810
2017-06-05,2588
2017-06-12,2766
2017-06-19,2519
2017-06-26,2653
2017-07-03,2325
2017-07-10,2180
2017-07-17,2301
2017-07-24,2250
2017-07-31,2218
2017-08-07,2237
2017-08-14,2462
2017-08-21,2455
2017-08-28,2571
2017-09-04,2334
2017-09-11,2300
2017-09-18,2420
2017-09-25,2470
2017-10-02,2660
2017-10-09,2502
2017-10-16,2819
2017-10-23,2339
2017-10-30,1975
2017-11-06,2453
2017-11-13,2467
2017-11-20,2073
2017-11-27,2320
2017-12-04,2143
2017-12-11,1871
2017-12-18,1564
2017-12-25,1549
2018-01-01,1384
2018-01-08,2002
2018-01-15,2142
2018-01-22,2297
2018-01-29,2268
2018-02-05,2148
2018-02-12,2349
2018-02-19,2484
2018-02-26,2392
2018-03-05,2511
2018-03-12,2449
2018-03-19,2152
2018-03-26,1844
2018-04-02,2300
2018-04-09,2552
2018-04-16,2615
2018-04-23,2341
2018-04-30,2027
2018-05-07,2064
2018-05-14,2423
2018-05-21,2398
2018-05-28,2499
2018-06-04,2535
2018-06-11,2446
2018-06-18,2535
2018-06-25,2387
2018-07-02,2278
2018-07-09,2304
2018-07-16,2285
2018-07-23,2415
2018-07-30,2079
2018-08-06,2480
2018-08-13,2602
2018-08-20,2667
2018-08-27,2591
2018-09-03,2479
2018-09-10,2706
2018-09-17,2573
