ds,y
2013-12-30,29
2014-01-06,129
2014-01-13,193
2014-01-20,232
2014-01-27,264
2014-02-03,198
2014-02-10,308
2014-02-17,273
2014-02-24,318
2014-03-03,278
2014-03-10,385
2014-03-17,322
2014-03-24,314
2014-03-31,341
2014-04-07,331
2014-04-14,227
2014-04-21,334
2014-04-28,300
2014-05-05,309
2014-05-12,342
2014-05-19,364
2014-05-26,346
2014-06-02,407
2014-06-09,389
2014-06-16,369
2014-06-23,388
2014-06-30,347
2014-07-07,341
2014-07-14,319
2014-07-21,333
2014-07-28,249
2014-08-04,302
2014-08-11,363
2014-08-18,359
2014-08-25,342
2014-09-01,359
2014-09-08,338
2014-09-15,316
2014-09-22,374
2014-09-29,334
2014-10-06,365
2014-10-13,368
2014-10-20,378
2014-10-27,340
2014-11-03,321
2014-11-10,333
2014-11-17,299
2014-11-24,306
2014-12-01,306
2014-12-08,267
2014-12-15,227
2014-12-22,171
2014-12-29,430
2015-01-05,308
2015-01-12,316
2015-01-19,348
2015-01-26,317
2015-02-02,326
2015-02-09,410
2015-02-16,349
2015-02-23,347
2015-03-02,356
2015-03-09,291
2015-03-16,372
2015-03-23,363
2015-03-30,451
2015-04-06,445
2015-04-13,490
2015-04-20,469
2015-04-27,433
2015-05-04,445
2015-05-11,511
2015-05-18,469
2015-05-25,484
2015-06-01,518
2015-06-08,492
2015-06-15,485
2015-06-22,494
2015-06-29,466
2015-07-06,430
2015-07-13,464
2015-07-20,467
2015-07-27,453
2015-08-03,554
2015-08-10,587
2015-08-17,500
2015-08-24,526
2015-08-31,486
2015-09-07,384
2015-09-14,483
2015-09-21,497
2015-09-28,478
2015-10-05,515
2015-10-12,541
2015-10-19,474
2015-10-26,426
2015-11-02,435
2015-11-09,430
2015-11-16,484
2015-11-23,522
2015-11-30,435
2015-12-07,356
2015-12-14,351
2015-12-21,311
2016-01-04,404
2016-01-11,438
2016-01-18,467
2016-01-25,458
2016-02-01,463
2016-02-08,501
2016-02-15,514
2016-02-22,587
2016-02-29,441
2016-03-07,491
2016-03-14,486
2016-03-21,279
2016-03-28,495
2016-04-04,504
2016-04-11,528
2016-04-18,531
2016-04-25,495
2016-05-02,520
2016-05-09,580
2016-05-16,554
2016-05-23,520
2016-05-30,507
2016-06-06,484
2016-06-13,519
2016-06-20,494
2016-06-27,475
2016-07-04,487
2016-07-11,467
2016-07-18,514
2016-07-25,426
2016-08-01,460
2016-08-08,494
2016-08-15,529
2016-08-22,564
2016-08-29,527
2016-09-05,518
2016-09-12,401
2016-09-19,548
2016-09-26,527
2016-10-03,490
2016-10-10,548
2016-10-17,538
2016-10-24,537
2016-10-31,533
2016-11-07,597
2016-11-14,496
2016-11-21,445
2016-11-28,473
2016-12-05,443
2016-12-12,385
2016-12-19,382
2016-12-26,379
2017-01-02,433
2017-01-09,628
2017-01-16,667
2017-01-23,691
2017-01-30,549
2017-02-06,554
2017-02-13,586
2017-02-20,658
2017-02-27,640
2017-03-06,581
2017-03-13,666
2017-03-20,576
2017-03-27,658
2017-04-03,598
2017-04-10,488
2017-04-17,565
2017-04-24,590
2017-05-01,517
2017-05-08,618
2017-05-15,571
2017-05-22,718
2017-05-29,752
2017-06-05,655
2017-06-12,693
2017-06-19,612
2017-06-26,679
2017-07-03,606
2017-07-10,559
2017-07-17,621
2017-07-24,620
2017-07-31,594
2017-08-07,589
2017-08-14,591
2017-08-21,671
2017-08-28,754
2017-09-04,598
2017-09-11,567
2017-09-18,603
2017-09-25,649
2017-10-02,684
2017-10-09,694
2017-10-16,716
2017-10-23,611
2017-10-30,506
2017-11-06,606
2017-11-13,695
2017-11-20,583
2017-11-27,629
2017-12-04,587
2017-12-11,547
2017-12-18,462
2017-12-25,451
2018-01-01,396
2018-01-08,507
2018-01-15,578
2018-01-22,588
2018-01-29,619
2018-02-05,552
2018-02-12,588
2018-02-19,635
2018-02-26,631
2018-03-05,684
2018-03-12,635
2018-03-19,544
2018-03-26,486
2018-04-02,621
2018-04-09,644
2018-04-16,618
2018-04-23,607
2018-04-30,517
2018-05-07,549
2018-05-14,586
2018-05-21,604
2018-05-28,666
2018-06-04,655
2018-06-11,657
2018-06-18,655
2018-06-25,650
2018-07-02,574
2018-07-09,602
2018-07-16,630
2018-07-23,629
2018-07-30,538
2018-08-06,684
2018-08-13,721
2018-08-20,646
2018-08-27,662
2018-09-03,635
2018-09-10,696
2018-09-17,713
2018-09-24,691
2018-10-01,640
2018-10-08,620
2018-10-15,640
2018-10-22,663
2018-10-29,578
2018-11-05,625
2018-11-12,632
2018-11-19,565
2018-11-26,615
2018-12-03,589
2018-12-10,524
2018-12-17,414
2018-12-24,413
2018-12-31,424
2019-01-07,565
2019-01-14,601
2019-01-21,599
2019-01-28,641
2019-02-04,511
2019-02-11,642
2019-02-18,681
2019-02-25,669
2019-03-04,691
2019-03-11,647
2019-03-18,593
2019-03-25,672
2019-04-01,731
2019-04-08,632
2019-04-15,502
2019-04-22,649
2019-04-29,573
2019-05-06,614
2019-05-13,688
2019-05-20,663
2019-05-27,680
2019-06-03,689
2019-06-10,614
2019-06-17,660
2019-06-24,630
2019-07-01,674
2019-07-08,794
2019-07-15,574
2019-07-22,629
2019-07-29,636
2019-08-05,625
2019-08-12,587
2019-08-19,653
2019-08-26,624
2019-09-02,622
2019-09-09,669
2019-09-16,578
2019-09-23,659
2019-09-30,592
2019-10-07,598
2019-10-14,620
2019-10-21,671
2019-10-28,653
2019-11-04,679
2019-11-11,672
2019-11-18,579
2019-11-25,704
2019-12-02,780
2019-12-09,645
2019-12-16,532
2019-12-23,354
2019-12-30,385
2020-01-06,502
2020-01-13,649
2020-01-20,637
2020-01-27,674
2020-02-03,603
2020-02-10,677
2020-02-17,700
2020-02-24,659
2020-03-02,623
2020-03-09,675
2020-03-16,469
2020-03-23,450
2020-03-30,347
2020-04-06,274
2020-04-13,330
2020-04-20,285
2020-04-27,257
2020-05-04,321
2020-05-11,331
2020-05-18,340
2020-05-25,368
2020-06-01,353
2020-06-08,343
2020-06-15,368
2020-06-22,376
2020-06-29,375
2020-07-06,369
2020-07-13,435
2020-07-20,379
2020-07-27,399
2020-08-03,394
2020-08-10,387
2020-08-17,409
2020-08-24,434
2020-08-31,492
2020-09-07,492
2020-09-14,453
2020-09-21,483
2020-09-28,543
2020-10-05,431
2020-10-12,477
2020-10-19,512
2020-10-26,502
2020-11-02,435
2020-11-09,440
2020-11-16,447
2020-11-23,497
2020-11-30,432
2020-12-07,411
2020-12-14,336
2020-12-21,291
2020-12-28,310
2021-01-04,316
2021-01-11,417
2021-01-18,396
2021-01-25,490
2021-02-01,390
2021-02-08,475
2021-02-15,447
2021-02-22,564
2021-03-01,523
2021-03-08,489
2021-03-15,505
2021-03-22,529
2021-03-29,467
2021-04-05,515
2021-04-12,688
2021-04-19,510
2021-04-26,610
2021-05-03,554
2021-05-10,536
2021-05-17,612
2021-05-24,652
2021-05-31,538
2021-06-07,616
2021-06-14,597
2021-06-21,628
2021-06-28,596
2021-07-05,603
2021-07-12,579
2021-07-19,559
2021-07-26,561
2021-08-02,510
2021-08-09,548
2021-08-16,562
2021-08-23,539
2021-08-30,514
2021-09-06,523
2021-09-13,554
2021-09-20,623
2021-09-27,641
2021-10-04,647
2021-10-11,658
2021-10-18,645
2021-10-25,646
2021-11-01,527
2021-11-08,630
2021-11-15,588
2021-11-22,654
2021-11-29,671
2021-12-06,672
2021-12-13,517
2021-12-20,442
2021-12-27,379
2022-01-03,399
2022-01-10,549
2022-01-17,516
2022-01-24,578
2022-01-31,547
2022-02-07,568
2022-02-14,677
2022-02-21,674
2022-02-28,636
