ds,y
2013-12-30,102
2014-01-06,530
2014-01-13,743
2014-01-20,803
2014-01-27,960
2014-02-03,728
2014-02-10,1057
2014-02-17,990
2014-02-24,1091
2014-03-03,1039
2014-03-10,1166
2014-03-17,1019
2014-03-24,1167
2014-03-31,1164
2014-04-07,1199
2014-04-14,722
2014-04-21,1133
2014-04-28,968
2014-05-05,1073
2014-05-12,1140
2014-05-19,1276
2014-05-26,1242
2014-06-02,1217
2014-06-09,1333
2014-06-16,1345
2014-06-23,1209
2014-06-30,1141
2014-07-07,1164
2014-07-14,1107
2014-07-21,1102
2014-07-28,950
2014-08-04,1159
2014-08-11,1300
2014-08-18,1373
2014-08-25,1161
2014-09-01,1263
2014-09-08,1221
2014-09-15,1031
2014-09-22,1318
2014-09-29,1098
2014-10-06,1094
2014-10-13,1169
2014-10-20,1325
2014-10-27,1078
2014-11-03,1099
2014-11-10,1113
2014-11-17,894
2014-11-24,1049
2014-12-01,1011
2014-12-08,809
2014-12-15,745
2014-12-22,435
2014-12-29,1217
2015-01-05,909
2015-01-12,1131
2015-01-19,931
2015-01-26,959
2015-02-02,1037
2015-02-09,1141
2015-02-16,1103
2015-02-23,1112
2015-03-02,1004
2015-03-09,981
2015-03-16,1267
2015-03-23,1174
2015-03-30,1500
2015-04-06,1585
2015-04-13,1499
2015-04-20,1440
2015-04-27,1466
2015-05-04,1541
2015-05-11,1807
2015-05-18,1572
2015-05-25,1746
2015-06-01,1733
2015-06-08,1641
2015-06-15,1577
2015-06-22,1592
2015-06-29,1493
2015-07-06,1397
2015-07-13,1595
2015-07-20,1421
2015-07-27,1510
2015-08-03,1589
2015-08-10,1669
2015-08-17,1597
2015-08-24,1760
2015-08-31,1623
2015-09-07,1289
2015-09-14,1629
2015-09-21,1562
2015-09-28,1608
2015-10-05,1695
2015-10-12,1591
2015-10-19,1444
2015-10-26,1331
2015-11-02,1470
2015-11-09,1445
2015-11-16,1391
2015-11-23,1448
2015-11-30,1313
2015-12-07,1114
2015-12-14,839
2015-12-21,779
2016-01-04,1057
2016-01-11,1363
2016-01-18,1509
2016-01-25,1361
2016-02-01,1424
2016-02-08,1468
2016-02-15,1454
2016-02-22,1740
2016-02-29,1556
2016-03-07,1542
2016-03-14,1462
2016-03-21,898
2016-03-28,1539
2016-04-04,1715
2016-04-11,1722
2016-04-18,1705
2016-04-25,1640
2016-05-02,1553
2016-05-09,1638
2016-05-16,1638
2016-05-23,1741
2016-05-30,1661
2016-06-06,1733
2016-06-13,1686
2016-06-20,1535
2016-06-27,1415
2016-07-04,1520
2016-07-11,1537
2016-07-18,1565
2016-07-25,1407
2016-08-01,1514
2016-08-08,1583
2016-08-15,1695
2016-08-22,1735
2016-08-29,1596
2016-09-05,1659
2016-09-12,1204
2016-09-19,1675
2016-09-26,1597
2016-10-03,1691
2016-10-10,1916
2016-10-17,1736
2016-10-24,1502
2016-10-31,1524
2016-11-07,1870
2016-11-14,1450
2016-11-21,1294
2016-11-28,1291
2016-12-05,1366
2016-12-12,1254
2016-12-19,953
2016-12-26,969
2017-01-02,1184
2017-01-09,1678
2017-01-16,1955
2017-01-23,1870
2017-01-30,1669
2017-02-06,1599
2017-02-13,1790
2017-02-20,1938
2017-02-27,1807
2017-03-06,1901
2017-03-13,1941
2017-03-20,1751
2017-03-27,2016
2017-04-03,1704
2017-04-10,1335
2017-04-17,1776
2017-04-24,1850
2017-05-01,1437
2017-05-08,1698
2017-05-15,1929
2017-05-22,2023
2017-05-29,2058
