ds,y
2013-12-30,0
2014-01-06,6
2014-01-13,11
2014-01-20,10
2014-01-27,46
2014-02-03,10
2014-02-10,2
2014-02-17,10
2014-02-24,5
2014-03-03,1
2014-03-10,5
2014-03-17,4
2014-03-24,8
2014-03-31,2
2014-04-07,4
2014-04-14,4
2014-04-21,3
2014-04-28,3
2014-05-05,0
2014-05-12,0
2014-05-19,0
2014-05-26,5
2014-06-02,5
2014-06-09,3
2014-06-16,4
2014-06-23,5
2014-06-30,2
2014-07-07,2
2014-07-14,1
2014-07-21,6
2014-07-28,7
2014-08-04,9
2014-08-11,7
2014-08-18,4
2014-08-25,3
2014-09-01,0
2014-09-08,0
2014-09-15,1
2014-09-22,2
2014-09-29,5
2014-10-06,1
2014-10-13,4
2014-10-20,1
2014-10-27,6
2014-11-03,10
2014-11-10,4
2014-11-17,2
2014-11-24,4
2014-12-01,4
2014-12-08,7
2014-12-15,1
2014-12-22,3
2014-12-29,2
2015-01-05,4
2015-01-12,1
2015-01-19,6
2015-01-26,1
2015-02-02,2
2015-02-09,3
2015-02-16,3
2015-02-23,5
2015-03-02,3
2015-03-09,1
2015-03-16,6
2015-03-23,13
2015-03-30,18
2015-04-06,16
2015-04-13,10
2015-04-20,10
2015-04-27,11
2015-05-04,11
2015-05-11,15
2015-05-18,10
2015-05-25,17
2015-06-01,9
2015-06-08,10
2015-06-15,15
2015-06-22,7
2015-06-29,9
2015-07-06,14
2015-07-13,4
2015-07-20,16
2015-07-27,10
2015-08-03,11
2015-08-10,17
2015-08-17,10
2015-08-24,17
2015-08-31,13
2015-09-07,9
2015-09-14,12
2015-09-21,14
2015-09-28,15
2015-10-05,8
2015-10-12,17
2015-10-19,11
2015-10-26,18
2015-11-02,19
2015-11-09,13
2015-11-16,14
2015-11-23,7
2015-11-30,13
2015-12-07,11
2015-12-14,5
2015-12-21,2
2016-01-04,10
2016-01-11,16
2016-01-18,15
2016-01-25,11
2016-02-01,4
2016-02-08,13
2016-02-15,12
2016-02-22,7
2016-02-29,14
2016-03-07,10
2016-03-14,14
2016-03-21,4
2016-03-28,20
2016-04-04,6
2016-04-11,17
2016-04-18,15
2016-04-25,11
2016-05-02,6
2016-05-09,8
2016-05-16,8
2016-05-23,15
2016-05-30,19
2016-06-06,13
2016-06-13,16
2016-06-20,13
2016-06-27,13
2016-07-04,23
2016-07-11,15
2016-07-18,18
2016-07-25,9
2016-08-01,19
2016-08-08,8
2016-08-15,20
2016-08-22,8
2016-08-29,13
2016-09-05,16
2016-09-12,7
2016-09-19,11
2016-09-26,5
2016-10-03,10
2016-10-10,11
2016-10-17,6
2016-10-24,8
2016-10-31,13
2016-11-07,6
2016-11-14,8
2016-11-21,3
2016-11-28,9
2016-12-05,8
2016-12-12,4
2016-12-19,6
2016-12-26,10
2017-01-02,9
2017-01-09,2
2017-01-16,11
2017-01-23,9
2017-01-30,12
2017-02-06,6
2017-02-13,9
2017-02-20,13
2017-02-27,10
2017-03-06,10
2017-03-13,9
2017-03-20,6
2017-03-27,12
2017-04-03,10
2017-04-10,8
2017-04-17,15
2017-04-24,8
2017-05-01,7
2017-05-08,7
2017-05-15,10
2017-05-22,9
2017-05-29,15
2017-06-05,13
2017-06-12,4
2017-06-19,4
2017-06-26,12
2017-07-03,19
2017-07-10,11
2017-07-17,11
2017-07-24,4
2017-07-31,10
2017-08-07,14
2017-08-14,44
2017-08-21,75
2017-08-28,5
2017-09-04,10
2017-09-11,0
2017-09-18,10
2017-09-25,4
2017-10-02,5
2017-10-09,18
2017-10-16,12
2017-10-23,13
2017-10-30,4
2017-11-06,10
2017-11-13,8
2017-11-20,10
2017-11-27,5
2017-12-04,7
2017-12-11,5
2017-12-18,5
2017-12-25,11
2018-01-01,11
2018-01-08,10
2018-01-15,5
2018-01-22,7
2018-01-29,7
2018-02-05,11
2018-02-12,13
2018-02-19,9
2018-02-26,10
2018-03-05,24
2018-03-12,11
2018-03-19,4
2018-03-26,6
2018-04-02,11
2018-04-09,18
2018-04-16,14
2018-04-23,16
2018-04-30,11
2018-05-07,5
2018-05-14,10
2018-05-21,6
2018-05-28,14
2018-06-04,11
2018-06-11,21
2018-06-18,9
2018-06-25,5
2018-07-02,6
2018-07-09,10
2018-07-16,12
2018-07-23,12
2018-07-30,11
2018-08-06,14
2018-08-13,14
2018-08-20,24
2018-08-27,39
2018-09-03,52
2018-09-10,44
2018-09-17,48
2018-09-24,48
2018-10-01,38
2018-10-08,46
2018-10-15,40
2018-10-22,55
2018-10-29,19
2018-11-05,16
2018-11-12,52
2018-11-19,37
2018-11-26,45
2018-12-03,40
2018-12-10,42
2018-12-17,41
2018-12-24,15
2018-12-31,26
2019-01-07,15
2019-01-14,39
2019-01-21,61
2019-01-28,64
2019-02-04,45
2019-02-11,49
2019-02-18,38
2019-02-25,78
2019-03-04,47
2019-03-11,47
2019-03-18,39
2019-03-25,7
2019-04-01,83
2019-04-08,45
2019-04-15,26
2019-04-22,55
2019-04-29,36
2019-05-06,46
2019-05-13,51
2019-05-20,53
2019-05-27,20
2019-06-03,17
2019-06-10,12
2019-06-17,6
2019-06-24,9
2019-07-01,6
2019-07-08,49
2019-07-15,8
2019-07-22,11
2019-07-29,11
2019-08-05,11
2019-08-12,12
2019-08-19,14
2019-08-26,9
2019-09-02,6
2019-09-09,5
2019-09-16,6
2019-09-23,14
2019-09-30,12
2019-10-07,10
2019-10-14,14
2019-10-21,11
2019-10-28,15
2019-11-04,15
2019-11-11,7
2019-11-18,4
2019-11-25,12
2019-12-02,14
2019-12-09,7
2019-12-16,9
2019-12-23,2
2019-12-30,4
2020-01-06,13
2020-01-13,9
2020-01-20,11
2020-01-27,8
2020-02-03,8
2020-02-10,25
2020-02-17,6
2020-02-24,21
2020-03-02,13
2020-03-09,21
2020-03-16,10
2020-03-23,8
2020-03-30,4
2020-04-06,3
2020-04-13,4
2020-04-20,10
2020-04-27,1
2020-05-04,2
2020-05-11,4
2020-05-18,3
2020-05-25,3
2020-06-01,1
2020-06-08,3
2020-06-15,1
2020-06-22,2
2020-06-29,3
2020-07-06,2
2020-07-13,4
2020-07-20,4
2020-07-27,2
2020-08-03,3
2020-08-10,1
2020-08-17,3
2020-08-24,2
2020-08-31,3
2020-09-07,1
2020-09-14,2
2020-09-21,4
2020-09-28,6
2020-10-05,3
2020-10-12,7
2020-10-19,5
2020-10-26,6
2020-11-02,3
2020-11-09,3
2020-11-16,8
2020-11-23,6
2020-11-30,4
2020-12-07,5
2020-12-14,2
2020-12-21,1
2020-12-28,0
2021-01-04,1
2021-01-11,5
2021-01-18,2
2021-01-25,6
2021-02-01,4
2021-02-08,3
2021-02-15,7
2021-02-22,1
