ds,y
2013-12-30,0
2014-01-06,0
2014-01-13,1
2014-01-20,0
2014-01-27,2
2014-02-03,5
2014-02-10,0
2014-02-17,0
2014-02-24,0
2014-03-03,4
2014-03-10,4
2014-03-17,0
2014-03-24,7
2014-03-31,5
2014-04-07,9
2014-04-14,7
2014-04-21,9
2014-04-28,4
2014-05-05,7
2014-05-12,5
2014-05-19,3
2014-05-26,10
2014-06-02,2
2014-06-09,5
2014-06-16,1
2014-06-23,4
2014-06-30,5
2014-07-07,19
2014-07-14,7
2014-07-21,4
2014-07-28,16
2014-08-04,3
2014-08-11,1
2014-08-18,8
2014-08-25,10
2014-09-01,2
2014-09-08,7
2014-09-15,3
2014-09-22,11
2014-09-29,3
2014-10-06,7
2014-10-13,3
2014-10-20,5
2014-10-27,4
2014-11-03,9
2014-11-10,3
2014-11-17,10
2014-11-24,18
2014-12-01,11
2014-12-08,4
2014-12-15,4
2014-12-22,1
2014-12-29,8
2015-01-05,8
2015-01-12,6
2015-01-19,6
2015-01-26,3
2015-02-02,8
2015-02-09,6
2015-02-16,7
2015-02-23,4
2015-03-02,6
2015-03-09,3
2015-03-16,4
2015-03-23,17
2015-03-30,16
2015-04-06,15
2015-04-13,22
2015-04-20,10
2015-04-27,24
2015-05-04,19
2015-05-11,18
2015-05-18,19
2015-05-25,22
2015-06-01,36
2015-06-08,17
2015-06-15,22
2015-06-22,14
2015-06-29,14
2015-07-06,20
2015-07-13,25
2015-07-20,16
2015-07-27,21
2015-08-03,15
2015-08-10,23
2015-08-17,18
2015-08-24,20
2015-08-31,15
2015-09-07,22
2015-09-14,23
2015-09-21,21
2015-09-28,23
2015-10-05,24
2015-10-12,20
2015-10-19,28
2015-10-26,16
2015-11-02,29
2015-11-09,13
2015-11-16,15
2015-11-23,20
2015-11-30,13
2015-12-07,14
2015-12-14,7
2015-12-21,16
2016-01-04,18
2016-01-11,19
2016-01-18,18
2016-01-25,32
2016-02-01,13
2016-02-08,13
