padecimiento,sexo,rmse,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,archivo_modelo,Entidad
Parkinson,incrementos_hombres,19.867843499677686,multiplicative,0.01,1.0,nacional,Prophet_Parkinson_hombres_20260218.pkl,
Parkinson,incrementos_mujeres,22.607563773147415,multiplicative,0.1,1.0,nacional,Prophet_Parkinson_mujeres_20260218.pkl,
Parkinson,incrementos_total,43.24907277396088,multiplicative,0.1,5.0,nacional,Prophet_Parkinson_general_20260218.pkl,
Parkinson,incrementos_hombres,0.9273833792200739,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Aguascalientes_hombres_20260218.pkl,Aguascalientes
Parkinson,incrementos_mujeres,0.7341829192786774,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Aguascalientes_mujeres_20260218.pkl,Aguascalientes
Parkinson,incrementos_total,1.2268254076279317,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Aguascalientes_general_20260218.pkl,Aguascalientes
Parkinson,incrementos_hombres,1.5756225994939732,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Baja_California_hombres_20260218.pkl,Baja California
Parkinson,incrementos_mujeres,2.0732088329867198,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Baja_California_mujeres_20260218.pkl,Baja California
Parkinson,incrementos_total,2.7604225723525824,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Baja_California_general_20260218.pkl,Baja California
Parkinson,incrementos_hombres,0.8578888248852925,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Baja_California_Sur_hombres_20260218.pkl,Baja California Sur
Parkinson,incrementos_mujeres,0.6405861102612787,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Baja_California_Sur_mujeres_20260218.pkl,Baja California Sur
Parkinson,incrementos_total,1.1013264155828069,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Baja_California_Sur_general_20260218.pkl,Baja California Sur
Parkinson,incrementos_hombres,1.0538223922974215,multiplicative,0.1,0.1,regional,Prophet_Parkinson_Campeche_hombres_20260218.pkl,Campeche
Parkinson,incrementos_mujeres,0.7847779823119266,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Campeche_mujeres_20260218.pkl,Campeche
Parkinson,incrementos_total,1.3514207417621904,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Campeche_general_20260218.pkl,Campeche
Parkinson,incrementos_hombres,1.4361336462754997,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Chiapas_hombres_20260218.pkl,Chiapas
Parkinson,incrementos_mujeres,1.4210207169969595,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Chiapas_mujeres_20260218.pkl,Chiapas
Parkinson,incrementos_total,2.1516010939625634,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Chiapas_general_20260218.pkl,Chiapas
Parkinson,incrementos_hombres,2.3980165671638174,additive,0.01,5.0,regional,Prophet_Parkinson_Chihuahua_hombres_20260218.pkl,Chihuahua
Parkinson,incrementos_mujeres,2.502548914957064,multiplicative,0.1,0.1,regional,Prophet_Parkinson_Chihuahua_mujeres_20260218.pkl,Chihuahua
Parkinson,incrementos_total,3.946934947202631,multiplicative,0.1,0.1,regional,Prophet_Parkinson_Chihuahua_general_20260218.pkl,Chihuahua
Parkinson,incrementos_hombres,3.5050653799674585,multiplicative,0.1,5.0,regional,Prophet_Parkinson_Ciudad_de_Mexico_hombres_20260218.pkl,Ciudad de México
Parkinson,incrementos_mujeres,3.487924308534471,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Ciudad_de_Mexico_mujeres_20260218.pkl,Ciudad de México
Parkinson,incrementos_total,6.2264102207801475,multiplicative,0.1,5.0,regional,Prophet_Parkinson_Ciudad_de_Mexico_general_20260218.pkl,Ciudad de México
Parkinson,incrementos_hombres,1.7925036918227923,additive,0.1,0.1,regional,Prophet_Parkinson_Coahuila_hombres_20260218.pkl,Coahuila
Parkinson,incrementos_mujeres,1.9561525084779527,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Coahuila_mujeres_20260218.pkl,Coahuila
Parkinson,incrementos_total,2.957277074475415,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Coahuila_general_20260218.pkl,Coahuila
Parkinson,incrementos_hombres,1.682605324794963,additive,0.05,1.0,regional,Prophet_Parkinson_Colima_hombres_20260218.pkl,Colima
Parkinson,incrementos_mujeres,1.6525919507712807,additive,0.01,1.0,regional,Prophet_Parkinson_Colima_mujeres_20260218.pkl,Colima
Parkinson,incrementos_total,2.5702310577940226,additive,0.01,1.0,regional,Prophet_Parkinson_Colima_general_20260218.pkl,Colima
Parkinson,incrementos_hombres,2.3180475833560283,additive,0.1,1.0,regional,Prophet_Parkinson_Durango_hombres_20260218.pkl,Durango
Parkinson,incrementos_mujeres,2.108621399194433,multiplicative,0.05,0.1,regional,Prophet_Parkinson_Durango_mujeres_20260218.pkl,Durango
Parkinson,incrementos_total,3.9331594298756887,additive,0.1,1.0,regional,Prophet_Parkinson_Durango_general_20260218.pkl,Durango
Parkinson,incrementos_hombres,1.5436850733225833,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Guanajuato_hombres_20260218.pkl,Guanajuato
Parkinson,incrementos_mujeres,1.3530698493124276,additive,0.01,5.0,regional,Prophet_Parkinson_Guanajuato_mujeres_20260218.pkl,Guanajuato
Parkinson,incrementos_total,2.136438112831372,additive,0.01,1.0,regional,Prophet_Parkinson_Guanajuato_general_20260218.pkl,Guanajuato
Parkinson,incrementos_hombres,1.294108713878879,multiplicative,0.1,5.0,regional,Prophet_Parkinson_Guerrero_hombres_20260218.pkl,Guerrero
Parkinson,incrementos_mujeres,1.4414654218588965,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Guerrero_mujeres_20260218.pkl,Guerrero
Parkinson,incrementos_total,2.275962201222307,additive,0.01,1.0,regional,Prophet_Parkinson_Guerrero_general_20260218.pkl,Guerrero
Parkinson,incrementos_hombres,1.139793972104955,multiplicative,0.1,0.1,regional,Prophet_Parkinson_Hidalgo_hombres_20260218.pkl,Hidalgo
Parkinson,incrementos_mujeres,1.1658510446117596,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Hidalgo_mujeres_20260218.pkl,Hidalgo
Parkinson,incrementos_total,1.7953814828756989,multiplicative,0.1,0.1,regional,Prophet_Parkinson_Hidalgo_general_20260218.pkl,Hidalgo
Parkinson,incrementos_hombres,4.777443068079191,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Jalisco_hombres_20260218.pkl,Jalisco
Parkinson,incrementos_mujeres,4.713502337467586,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Jalisco_mujeres_20260218.pkl,Jalisco
Parkinson,incrementos_total,8.054042550182922,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Jalisco_general_20260218.pkl,Jalisco
Parkinson,incrementos_hombres,2.1739171022617114,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Michoacan_hombres_20260218.pkl,Michoacán
Parkinson,incrementos_mujeres,1.9562899235480158,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Michoacan_mujeres_20260218.pkl,Michoacán
Parkinson,incrementos_total,3.1948113692845395,additive,0.01,0.1,regional,Prophet_Parkinson_Michoacan_general_20260218.pkl,Michoacán
Parkinson,incrementos_hombres,2.0634719426533294,additive,0.05,0.1,regional,Prophet_Parkinson_Morelos_hombres_20260218.pkl,Morelos
Parkinson,incrementos_mujeres,2.094108086614038,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Morelos_mujeres_20260218.pkl,Morelos
Parkinson,incrementos_total,3.5615217845663123,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Morelos_general_20260218.pkl,Morelos
Parkinson,incrementos_hombres,4.339714613313013,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Mexico_hombres_20260218.pkl,México
Parkinson,incrementos_mujeres,4.0452648265561315,additive,0.01,1.0,regional,Prophet_Parkinson_Mexico_mujeres_20260218.pkl,México
Parkinson,incrementos_total,7.510823523407462,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Mexico_general_20260218.pkl,México
Parkinson,incrementos_hombres,1.1623058361917167,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Nayarit_hombres_20260218.pkl,Nayarit
Parkinson,incrementos_mujeres,1.001156939054308,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Nayarit_mujeres_20260218.pkl,Nayarit
Parkinson,incrementos_total,1.7276613049563043,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Nayarit_general_20260218.pkl,Nayarit
Parkinson,incrementos_hombres,1.9448434111617336,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Nuevo_Leon_hombres_20260218.pkl,Nuevo León
Parkinson,incrementos_mujeres,1.610408981347618,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Nuevo_Leon_mujeres_20260218.pkl,Nuevo León
Parkinson,incrementos_total,2.771945579282464,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Nuevo_Leon_general_20260218.pkl,Nuevo León
Parkinson,incrementos_hombres,1.5332324575781502,multiplicative,0.1,1.0,regional,Prophet_Parkinson_Oaxaca_hombres_20260218.pkl,Oaxaca
Parkinson,incrementos_mujeres,1.3921614614825464,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Oaxaca_mujeres_20260218.pkl,Oaxaca
Parkinson,incrementos_total,2.3813082313524134,multiplicative,0.05,0.1,regional,Prophet_Parkinson_Oaxaca_general_20260218.pkl,Oaxaca
Parkinson,incrementos_hombres,6.604953636598213,additive,0.01,0.1,regional,Prophet_Parkinson_Puebla_hombres_20260218.pkl,Puebla
Parkinson,incrementos_mujeres,6.415653367217802,additive,0.01,1.0,regional,Prophet_Parkinson_Puebla_mujeres_20260218.pkl,Puebla
Parkinson,incrementos_total,12.860116312075636,additive,0.01,5.0,regional,Prophet_Parkinson_Puebla_general_20260218.pkl,Puebla
Parkinson,incrementos_hombres,0.7494774135104911,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Queretaro_hombres_20260218.pkl,Querétaro
Parkinson,incrementos_mujeres,0.6168922313786764,multiplicative,0.05,5.0,regional,Prophet_Parkinson_Queretaro_mujeres_20260218.pkl,Querétaro
Parkinson,incrementos_total,0.9593305242282181,multiplicative,0.05,5.0,regional,Prophet_Parkinson_Queretaro_general_20260218.pkl,Querétaro
Parkinson,incrementos_hombres,0.908651288083492,multiplicative,0.1,0.1,regional,Prophet_Parkinson_Quintana_Roo_hombres_20260218.pkl,Quintana Roo
Parkinson,incrementos_mujeres,0.9643562275612765,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Quintana_Roo_mujeres_20260218.pkl,Quintana Roo
Parkinson,incrementos_total,1.446320154572762,multiplicative,0.01,1.0,regional,Prophet_Parkinson_Quintana_Roo_general_20260218.pkl,Quintana Roo
Parkinson,incrementos_hombres,1.4968606459875449,multiplicative,0.05,0.1,regional,Prophet_Parkinson_San_Luis_Potosi_hombres_20260218.pkl,San Luis Potosí
Parkinson,incrementos_mujeres,1.4107361367829028,multiplicative,0.1,0.1,regional,Prophet_Parkinson_San_Luis_Potosi_mujeres_20260218.pkl,San Luis Potosí
Parkinson,incrementos_total,2.2755895920525946,multiplicative,0.05,0.1,regional,Prophet_Parkinson_San_Luis_Potosi_general_20260218.pkl,San Luis Potosí
Parkinson,incrementos_hombres,2.243741933128021,additive,0.01,0.1,regional,Prophet_Parkinson_Sinaloa_hombres_20260218.pkl,Sinaloa
Parkinson,incrementos_mujeres,2.646313749298063,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Sinaloa_mujeres_20260218.pkl,Sinaloa
Parkinson,incrementos_total,4.119124597857709,multiplicative,0.01,0.1,regional,Prophet_Parkinson_Sinaloa_general_20260218.pkl,Sinaloa
Parkinson,incrementos_hombres,1.537066020353726,multiplicative,0.01,5.0,regional,Prophet_Parkinson_Sonora_hombres_20260218.pkl,Sonora
