ds,y
2013-12-30,11
2014-01-06,89
2014-01-13,127
2014-01-20,114
2014-01-27,169
2014-02-03,120
2014-02-10,118
2014-02-17,120
2014-02-24,105
2014-03-03,120
2014-03-10,126
2014-03-17,104
2014-03-24,133
2014-03-31,116
2014-04-07,103
2014-04-14,80
2014-04-21,138
2014-04-28,129
2014-05-05,128
2014-05-12,89
2014-05-19,105
2014-05-26,123
2014-06-02,139
2014-06-09,118
2014-06-16,132
2014-06-23,123
2014-06-30,117
2014-07-07,128
2014-07-14,107
2014-07-21,103
2014-07-28,113
2014-08-04,122
2014-08-11,117
2014-08-18,130
2014-08-25,113
2014-09-01,74
2014-09-08,140
2014-09-15,73
2014-09-22,114
2014-09-29,86
2014-10-06,112
2014-10-13,80
2014-10-20,91
2014-10-27,82
2014-11-03,84
2014-11-10,104
2014-11-17,62
2014-11-24,85
2014-12-01,76
2014-12-08,62
2014-12-15,61
2014-12-22,44
2014-12-29,110
2015-01-05,92
2015-01-12,60
2015-01-19,83
2015-01-26,53
2015-02-02,80
2015-02-09,83
2015-02-16,72
2015-02-23,80
2015-03-02,107
2015-03-09,66
2015-03-16,87
2015-03-23,108
2015-03-30,126
2015-04-06,153
2015-04-13,154
2015-04-20,136
2015-04-27,167
2015-05-04,141
2015-05-11,166
2015-05-18,150
2015-05-25,168
2015-06-01,147
2015-06-08,151
2015-06-15,156
2015-06-22,131
2015-06-29,136
2015-07-06,170
2015-07-13,146
2015-07-20,151
2015-07-27,163
2015-08-03,214
2015-08-10,277
2015-08-17,213
2015-08-24,205
2015-08-31,165
2015-09-07,112
2015-09-14,149
2015-09-21,180
2015-09-28,180
2015-10-05,148
2015-10-12,143
2015-10-19,157
2015-10-26,162
2015-11-02,187
2015-11-09,124
2015-11-16,150
2015-11-23,159
2015-11-30,192
2015-12-07,122
2015-12-14,82
2015-12-21,92
2016-01-04,139
2016-01-11,189
2016-01-18,140
2016-01-25,191
2016-02-01,138
2016-02-08,179
2016-02-15,172
2016-02-22,160
2016-02-29,157
