ds,y
2013-12-30,5
2014-01-06,48
2014-01-13,78
2014-01-20,60
2014-01-27,56
2014-02-03,55
2014-02-10,55
2014-02-17,71
2014-02-24,61
2014-03-03,65
2014-03-10,67
2014-03-17,44
2014-03-24,58
2014-03-31,59
2014-04-07,55
2014-04-14,41
2014-04-21,80
2014-04-28,67
2014-05-05,69
2014-05-12,46
2014-05-19,54
2014-05-26,64
2014-06-02,74
2014-06-09,61
2014-06-16,67
2014-06-23,55
2014-06-30,57
2014-07-07,78
2014-07-14,73
2014-07-21,55
2014-07-28,61
2014-08-04,69
2014-08-11,60
2014-08-18,72
2014-08-25,58
2014-09-01,40
2014-09-08,75
2014-09-15,40
2014-09-22,65
2014-09-29,49
2014-10-06,52
2014-10-13,47
2014-10-20,37
2014-10-27,51
2014-11-03,42
2014-11-10,56
2014-11-17,33
2014-11-24,45
2014-12-01,32
2014-12-08,30
2014-12-15,30
2014-12-22,20
2014-12-29,61
2015-01-05,53
2015-01-12,33
2015-01-19,39
2015-01-26,21
2015-02-02,45
2015-02-09,36
2015-02-16,33
2015-02-23,40
2015-03-02,52
2015-03-09,29
2015-03-16,38
2015-03-23,64
2015-03-30,69
2015-04-06,77
2015-04-13,73
2015-04-20,70
2015-04-27,94
2015-05-04,71
2015-05-11,97
2015-05-18,68
2015-05-25,85
2015-06-01,75
2015-06-08,78
2015-06-15,80
2015-06-22,73
2015-06-29,69
2015-07-06,92
2015-07-13,65
2015-07-20,87
2015-07-27,89
2015-08-03,106
2015-08-10,108
2015-08-17,103
2015-08-24,104
2015-08-31,82
2015-09-07,65
2015-09-14,97
2015-09-21,109
2015-09-28,92
2015-10-05,74
2015-10-12,71
2015-10-19,91
2015-10-26,86
2015-11-02,100
2015-11-09,70
2015-11-16,86
2015-11-23,100
2015-11-30,86
2015-12-07,70
2015-12-14,41
2015-12-21,47
2016-01-04,80
2016-01-11,112
2016-01-18,66
2016-01-25,95
2016-02-01,80
2016-02-08,90
2016-02-15,89
2016-02-22,81
2016-02-29,78
2016-03-07,81
2016-03-14,98
2016-03-21,34
2016-03-28,82
2016-04-04,94
2016-04-11,96
2016-04-18,77
2016-04-25,82
2016-05-02,90
2016-05-09,63
2016-05-16,63
2016-05-23,79
2016-05-30,90
2016-06-06,77
2016-06-13,79
2016-06-20,99
2016-06-27,76
2016-07-04,86
2016-07-11,89
2016-07-18,71
2016-07-25,83
2016-08-01,78
2016-08-08,73
2016-08-15,88
2016-08-22,93
2016-08-29,87
2016-09-05,100
2016-09-12,62
2016-09-19,73
2016-09-26,86
2016-10-03,78
2016-10-10,87
2016-10-17,62
2016-10-24,74
2016-10-31,75
2016-11-07,109
2016-11-14,83
2016-11-21,48
2016-11-28,68
2016-12-05,65
2016-12-12,43
2016-12-19,67
2016-12-26,62
2017-01-02,69
2017-01-09,99
2017-01-16,85
2017-01-23,85
2017-01-30,79
2017-02-06,74
2017-02-13,97
2017-02-20,79
2017-02-27,73
2017-03-06,90
2017-03-13,101
2017-03-20,77
2017-03-27,101
2017-04-03,75
2017-04-10,57
2017-04-17,89
2017-04-24,70
2017-05-01,67
2017-05-08,69
2017-05-15,96
2017-05-22,73
2017-05-29,88
2017-06-05,100
2017-06-12,95
2017-06-19,78
2017-06-26,81
2017-07-03,72
2017-07-10,73
2017-07-17,72
2017-07-24,65
2017-07-31,87
2017-08-07,85
2017-08-14,99
2017-08-21,113
2017-08-28,77
2017-09-04,83
2017-09-11,78
2017-09-18,106
2017-09-25,79
2017-10-02,106
2017-10-09,82
2017-10-16,95
2017-10-23,77
2017-10-30,59
2017-11-06,83
2017-11-13,75
2017-11-20,65
