ds,y
2013-12-30,6
2014-01-06,41
2014-01-13,49
2014-01-20,54
2014-01-27,113
2014-02-03,65
2014-02-10,63
2014-02-17,49
2014-02-24,44
2014-03-03,55
2014-03-10,59
2014-03-17,60
2014-03-24,75
2014-03-31,57
2014-04-07,48
2014-04-14,39
2014-04-21,58
2014-04-28,62
2014-05-05,59
2014-05-12,43
2014-05-19,51
2014-05-26,59
2014-06-02,65
2014-06-09,57
2014-06-16,65
2014-06-23,68
2014-06-30,60
2014-07-07,50
2014-07-14,34
2014-07-21,48
2014-07-28,52
2014-08-04,53
2014-08-11,57
2014-08-18,58
2014-08-25,55
2014-09-01,34
2014-09-08,65
2014-09-15,33
2014-09-22,49
2014-09-29,37
2014-10-06,60
2014-10-13,33
2014-10-20,54
2014-10-27,31
2014-11-03,42
2014-11-10,48
2014-11-17,29
2014-11-24,40
2014-12-01,44
2014-12-08,32
2014-12-15,31
2014-12-22,24
2014-12-29,49
2015-01-05,39
2015-01-12,27
2015-01-19,44
2015-01-26,32
2015-02-02,35
2015-02-09,47
2015-02-16,39
2015-02-23,40
2015-03-02,55
2015-03-09,37
2015-03-16,49
2015-03-23,44
2015-03-30,57
2015-04-06,76
2015-04-13,81
2015-04-20,66
2015-04-27,73
2015-05-04,70
2015-05-11,69
2015-05-18,82
2015-05-25,83
2015-06-01,72
2015-06-08,73
2015-06-15,76
2015-06-22,58
2015-06-29,67
2015-07-06,78
2015-07-13,81
2015-07-20,64
2015-07-27,74
2015-08-03,108
2015-08-10,169
2015-08-17,110
2015-08-24,101
2015-08-31,83
2015-09-07,47
2015-09-14,52
2015-09-21,71
2015-09-28,88
2015-10-05,74
2015-10-12,72
2015-10-19,66
2015-10-26,76
2015-11-02,87
2015-11-09,54
2015-11-16,64
2015-11-23,59
2015-11-30,106
2015-12-07,52
2015-12-14,41
2015-12-21,45
2016-01-04,59
2016-01-11,77
2016-01-18,74
2016-01-25,96
2016-02-01,58
2016-02-08,89
2016-02-15,83
2016-02-22,79
2016-02-29,79
2016-03-07,83
2016-03-14,65
2016-03-21,32
2016-03-28,116
2016-04-04,71
2016-04-11,89
2016-04-18,84
2016-04-25,94
2016-05-02,81
2016-05-09,55
2016-05-16,55
2016-05-23,86
2016-05-30,84
2016-06-06,71
2016-06-13,65
2016-06-20,74
2016-06-27,83
2016-07-04,92
2016-07-11,62
2016-07-18,88
2016-07-25,95
2016-08-01,127
2016-08-08,72
2016-08-15,78
2016-08-22,91
2016-08-29,82
2016-09-05,72
2016-09-12,46
2016-09-19,75
2016-09-26,79
2016-10-03,69
2016-10-10,66
2016-10-17,74
2016-10-24,71
2016-10-31,76
2016-11-07,80
2016-11-14,72
2016-11-21,57
2016-11-28,67
2016-12-05,62
2016-12-12,47
2016-12-19,53
2016-12-26,57
2017-01-02,48
2017-01-09,62
2017-01-16,73
2017-01-23,85
2017-01-30,86
2017-02-06,72
2017-02-13,80
2017-02-20,81
2017-02-27,66
2017-03-06,64
2017-03-13,99
2017-03-20,67
2017-03-27,114
2017-04-03,72
2017-04-10,50
2017-04-17,72
2017-04-24,92
2017-05-01,68
2017-05-08,70
2017-05-15,87
2017-05-22,74
2017-05-29,75
2017-06-05,83
2017-06-12,90
2017-06-19,80
2017-06-26,73
2017-07-03,71
2017-07-10,70
2017-07-17,60
2017-07-24,86
2017-07-31,96
2017-08-07,132
2017-08-14,119
2017-08-21,108
2017-08-28,57
2017-09-04,76
2017-09-11,75
2017-09-18,75
2017-09-25,61
2017-10-02,84
2017-10-09,71
2017-10-16,94
2017-10-23,85
2017-10-30,61
2017-11-06,78
2017-11-13,73
2017-11-20,70
2017-11-27,55
2017-12-04,77
2017-12-11,66
2017-12-18,47
2017-12-25,58
2018-01-01,54
2018-01-08,81
2018-01-15,75
2018-01-22,65
2018-01-29,59
2018-02-05,64
2018-02-12,91
2018-02-19,68
2018-02-26,92
2018-03-05,71
2018-03-12,75
2018-03-19,67
2018-03-26,55
2018-04-02,78
2018-04-09,73
2018-04-16,92
2018-04-23,86
2018-04-30,58
2018-05-07,64
2018-05-14,97
2018-05-21,94
2018-05-28,85
2018-06-04,74
2018-06-11,66
2018-06-18,89
2018-06-25,67
2018-07-02,77
2018-07-09,79
2018-07-16,65
2018-07-23,83
2018-07-30,66
2018-08-06,96
2018-08-13,118
2018-08-20,92
2018-08-27,85
2018-09-03,95
2018-09-10,93
2018-09-17,95
2018-09-24,108
2018-10-01,83
2018-10-08,93
2018-10-15,77
2018-10-22,98
2018-10-29,69
2018-11-05,69
2018-11-12,88
2018-11-19,54
2018-11-26,70
2018-12-03,78
2018-12-10,73
2018-12-17,59
2018-12-24,57
2018-12-31,49
2019-01-07,67
2019-01-14,78
2019-01-21,94
2019-01-28,93
2019-02-04,94
2019-02-11,99
2019-02-18,95
2019-02-25,123
2019-03-04,95
2019-03-11,92
2019-03-18,79
2019-03-25,74
2019-04-01,118
2019-04-08,86
2019-04-15,71
2019-04-22,110
2019-04-29,85
2019-05-06,101
2019-05-13,95
2019-05-20,94
2019-05-27,95
2019-06-03,72
2019-06-10,76
2019-06-17,100
2019-06-24,94
2019-07-01,68
2019-07-08,98
2019-07-15,75
2019-07-22,89
2019-07-29,82
2019-08-05,79
2019-08-12,69
2019-08-19,63
2019-08-26,70
2019-09-02,72
2019-09-09,100
2019-09-16,96
2019-09-23,97
2019-09-30,85
2019-10-07,84
2019-10-14,64
2019-10-21,116
2019-10-28,86
2019-11-04,77
2019-11-11,79
2019-11-18,75
2019-11-25,114
2019-12-02,122
2019-12-09,107
2019-12-16,64
2019-12-23,45
2019-12-30,44
2020-01-06,60
2020-01-13,81
2020-01-20,89
2020-01-27,76
2020-02-03,67
2020-02-10,78
2020-02-17,76
2020-02-24,90
2020-03-02,73
2020-03-09,85
2020-03-16,76
2020-03-23,37
2020-03-30,41
2020-04-06,21
2020-04-13,21
2020-04-20,21
2020-04-27,18
2020-05-04,25
2020-05-11,27
2020-05-18,30
2020-05-25,29
2020-06-01,27
2020-06-08,24
2020-06-15,22
2020-06-22,21
2020-06-29,26
2020-07-06,28
2020-07-13,23
2020-07-20,22
2020-07-27,27
2020-08-03,24
2020-08-10,23
2020-08-17,31
2020-08-24,42
2020-08-31,31
2020-09-07,34
2020-09-14,24
2020-09-21,27
2020-09-28,25
2020-10-05,34
2020-10-12,38
2020-10-19,41
2020-10-26,59
2020-11-02,35
2020-11-09,39
2020-11-16,40
2020-11-23,43
2020-11-30,38
2020-12-07,36
2020-12-14,35
2020-12-21,23
2020-12-28,20
2021-01-04,30
2021-01-11,32
2021-01-18,27
2021-01-25,33
2021-02-01,28
