ds,Total,y_original,y
2013-12-30,928363,0,0.0
2014-01-06,928363,0,0.0
2014-01-13,928363,1,0.1023006764312186
2014-01-20,928363,1,0.1023006764312186
2014-01-27,928363,3,0.2800148475364166
2014-02-03,928363,1,0.1023006764312186
2014-02-10,928363,1,0.1023006764312186
2014-02-17,928363,0,0.0
2014-02-24,928363,1,0.1023006764312186
2014-03-03,928363,0,0.0
2014-03-10,928363,1,0.1023006764312186
2014-03-17,928363,0,0.0
2014-03-24,928363,1,0.1023006764312186
2014-03-31,928363,1,0.1023006764312186
2014-04-07,928363,0,0.0
2014-04-14,928363,0,0.0
2014-04-21,928363,0,0.0
2014-04-28,928363,1,0.1023006764312186
2014-05-05,928363,0,0.0
2014-05-12,928363,3,0.2800148475364166
2014-05-19,928363,0,0.0
2014-05-26,928363,1,0.1023006764312186
2014-06-02,928363,0,0.0
2014-06-09,928363,0,0.0
2014-06-16,928363,1,0.1023006764312186
2014-06-23,928363,0,0.0
2014-06-30,928363,0,0.0
2014-07-07,928363,3,0.2800148475364166
2014-07-14,928363,0,0.0
2014-07-21,928363,0,0.0
2014-07-28,928363,0,0.0
2014-08-04,928363,2,0.19510036870469777
2014-08-11,928363,1,0.1023006764312186
2014-08-18,928363,1,0.1023006764312186
2014-08-25,928363,1,0.1023006764312186
2014-09-01,928363,1,0.1023006764312186
2014-09-08,928363,0,0.0
2014-09-15,928363,0,0.0
2014-09-22,928363,0,0.0
2014-09-29,928363,0,0.0
2014-10-06,928363,2,0.19510036870469777
2014-10-13,928363,0,0.0
2014-10-20,928363,0,0.0
2014-10-27,928363,0,0.0
2014-11-03,928363,0,0.0
2014-11-10,928363,0,0.0
2014-11-17,928363,0,0.0
2014-11-24,928363,0,0.0
2014-12-01,928363,0,0.0
2014-12-08,928363,0,0.0
2014-12-15,928363,0,0.0
2014-12-22,928363,0,0.0
2014-12-29,1856726,1,0.1023006764312186
2015-01-05,928363,1,0.1023006764312186
2015-01-12,928363,1,0.1023006764312186
2015-01-19,928363,1,0.1023006764312186
2015-01-26,928363,0,0.0
2015-02-02,928363,0,0.0
2015-02-09,928363,1,0.1023006764312186
2015-02-16,928363,1,0.1023006764312186
2015-02-23,928363,0,0.0
2015-03-02,928363,0,0.0
2015-03-09,928363,0,0.0
2015-03-16,928363,1,0.1023006764312186
2015-03-23,928363,1,0.1023006764312186
2015-03-30,928363,0,0.0
2015-04-06,928363,0,0.0
2015-04-13,928363,0,0.0
2015-04-20,928363,1,0.1023006764312186
2015-04-27,928363,0,0.0
2015-05-04,928363,1,0.1023006764312186
2015-05-11,928363,2,0.19510036870469777
2015-05-18,928363,0,0.0
2015-05-25,928363,0,0.0
2015-06-01,928363,0,0.0
2015-06-08,928363,1,0.1023006764312186
2015-06-15,928363,1,0.1023006764312186
2015-06-22,928363,0,0.0
2015-06-29,928363,0,0.0
2015-07-06,928363,0,0.0
2015-07-13,928363,0,0.0
2015-07-20,928363,0,0.0
2015-07-27,928363,0,0.0
2015-08-03,928363,1,0.1023006764312186
2015-08-10,928363,1,0.1023006764312186
2015-08-17,928363,0,0.0
2015-08-24,928363,0,0.0
2015-08-31,928363,4,0.3582798159636874
2015-09-07,928363,0,0.0
2015-09-14,928363,0,0.0
2015-09-21,928363,3,0.2800148475364166
2015-09-28,928363,1,0.1023006764312186
2015-10-05,928363,0,0.0
2015-10-12,928363,1,0.1023006764312186
2015-10-19,928363,0,0.0
2015-10-26,928363,1,0.1023006764312186
2015-11-02,928363,0,0.0
2015-11-09,928363,1,0.1023006764312186
2015-11-16,928363,0,0.0
2015-11-23,928363,2,0.19510036870469777
2015-11-30,928363,0,0.0
2015-12-07,928363,0,0.0
2015-12-14,928363,0,0.0
2015-12-21,928363,0,0.0
2016-01-04,928363,1,0.1023006764312186
2016-01-11,928363,0,0.0
2016-01-18,928363,0,0.0
2016-01-25,928363,0,0.0
2016-02-01,928363,0,0.0
2016-02-08,928363,0,0.0
2016-02-15,928363,1,0.1023006764312186
2016-02-22,928363,1,0.1023006764312186
2016-02-29,928363,1,0.1023006764312186
2016-03-07,928363,0,0.0
2016-03-14,928363,2,0.19510036870469777
2016-03-21,928363,3,0.2800148475364166
2016-03-28,928363,0,0.0
2016-04-04,928363,1,0.1023006764312186
2016-04-11,928363,3,0.2800148475364166
2016-04-18,928363,0,0.0
2016-04-25,928363,1,0.1023006764312186
2016-05-02,928363,0,0.0
2016-05-09,928363,3,0.2800148475364166
2016-05-16,928363,2,0.19510036870469777
2016-05-23,928363,1,0.1023006764312186
2016-05-30,928363,0,0.0
2016-06-06,928363,0,0.0
2016-06-13,928363,0,0.0
2016-06-20,928363,0,0.0
2016-06-27,928363,0,0.0
2016-07-04,928363,1,0.1023006764312186
2016-07-11,928363,0,0.0
2016-07-18,928363,1,0.1023006764312186
2016-07-25,928363,0,0.0
2016-08-01,928363,0,0.0
2016-08-08,928363,0,0.0
2016-08-15,928363,0,0.0
2016-08-22,928363,0,0.0
2016-08-29,928363,1,0.1023006764312186
2016-09-05,928363,1,0.1023006764312186
2016-09-12,928363,1,0.1023006764312186
2016-09-19,928363,0,0.0
2016-09-26,928363,0,0.0
2016-10-03,928363,0,0.0
2016-10-10,928363,0,0.0
2016-10-17,928363,0,0.0
2016-10-24,928363,0,0.0
2016-10-31,928363,0,0.0
2016-11-07,928363,0,0.0
2016-11-14,928363,0,0.0
2016-11-21,928363,0,0.0
2016-11-28,928363,1,0.1023006764312186
2016-12-05,928363,0,0.0
2016-12-12,928363,1,0.1023006764312186
2016-12-19,928363,0,0.0
2016-12-26,928363,1,0.1023006764312186
2017-01-02,928363,1,0.1023006764312186
2017-01-09,928363,0,0.0
2017-01-16,928363,0,0.0
2017-01-23,928363,1,0.1023006764312186
2017-01-30,928363,0,0.0
2017-02-06,928363,0,0.0
2017-02-13,928363,0,0.0
2017-02-20,928363,1,0.1023006764312186
2017-02-27,928363,2,0.19510036870469777
2017-03-06,928363,0,0.0
2017-03-13,928363,0,0.0
2017-03-20,928363,0,0.0
2017-03-27,928363,0,0.0
2017-04-03,928363,1,0.1023006764312186
2017-04-10,928363,0,0.0
2017-04-17,928363,0,0.0
2017-04-24,928363,1,0.1023006764312186
2017-05-01,928363,0,0.0
2017-05-08,928363,0,0.0
2017-05-15,928363,3,0.2800148475364166
2017-05-22,928363,0,0.0
2017-05-29,928363,0,0.0
2017-06-05,928363,1,0.1023006764312186
2017-06-12,928363,1,0.1023006764312186
2017-06-19,928363,0,0.0
2017-06-26,928363,0,0.0
2017-07-03,928363,0,0.0
2017-07-10,928363,0,0.0
2017-07-17,928363,0,0.0
2017-07-24,928363,1,0.1023006764312186
2017-07-31,928363,0,0.0
2017-08-07,928363,0,0.0
2017-08-14,928363,0,0.0
2017-08-21,928363,0,0.0
2017-08-28,928363,1,0.1023006764312186
2017-09-04,928363,0,0.0
2017-09-11,928363,2,0.19510036870469777
2017-09-18,928363,0,0.0
2017-09-25,928363,0,0.0
2017-10-02,928363,0,0.0
2017-10-09,928363,1,0.1023006764312186
2017-10-16,928363,2,0.19510036870469777
2017-10-23,928363,0,0.0
2017-10-30,928363,2,0.19510036870469777
2017-11-06,928363,0,0.0
2017-11-13,928363,1,0.1023006764312186
2017-11-20,928363,2,0.19510036870469777
2017-11-27,928363,0,0.0
2017-12-04,928363,1,0.1023006764312186
2017-12-11,928363,1,0.1023006764312186
2017-12-18,928363,0,0.0
2017-12-25,928363,0,0.0
2018-01-01,928363,0,0.0
2018-01-08,928363,1,0.1023006764312186
2018-01-15,928363,0,0.0
2018-01-22,928363,2,0.19510036870469777
2018-01-29,928363,0,0.0
2018-02-05,928363,0,0.0
2018-02-12,928363,2,0.19510036870469777
2018-02-19,928363,1,0.1023006764312186
2018-02-26,928363,0,0.0
2018-03-05,928363,0,0.0
2018-03-12,928363,0,0.0
2018-03-19,928363,1,0.1023006764312186
2018-03-26,928363,0,0.0
2018-04-02,928363,0,0.0
2018-04-09,928363,2,0.19510036870469777
2018-04-16,928363,0,0.0
2018-04-23,928363,0,0.0
2018-04-30,928363,0,0.0
2018-05-07,928363,0,0.0
2018-05-14,928363,0,0.0
2018-05-21,928363,0,0.0
2018-05-28,928363,1,0.1023006764312186
2018-06-04,928363,0,0.0
2018-06-11,928363,0,0.0
2018-06-18,928363,0,0.0
2018-06-25,928363,1,0.1023006764312186
2018-07-02,928363,1,0.1023006764312186
2018-07-09,928363,0,0.0
2018-07-16,928363,0,0.0
2018-07-23,928363,0,0.0
2018-07-30,928363,1,0.1023006764312186
2018-08-06,928363,0,0.0
2018-08-13,928363,0,0.0
2018-08-20,928363,0,0.0
2018-08-27,928363,1,0.1023006764312186
2018-09-03,928363,1,0.1023006764312186
2018-09-10,928363,0,0.0
2018-09-17,928363,1,0.1023006764312186
2018-09-24,928363,2,0.19510036870469777
2018-10-01,928363,2,0.19510036870469777
2018-10-08,928363,0,0.0
2018-10-15,928363,2,0.19510036870469777
2018-10-22,928363,0,0.0
2018-10-29,928363,1,0.1023006764312186
2018-11-05,928363,0,0.0
2018-11-12,928363,0,0.0
2018-11-19,928363,1,0.1023006764312186
2018-11-26,928363,0,0.0
2018-12-03,928363,2,0.19510036870469777
2018-12-10,928363,2,0.19510036870469777
2018-12-17,928363,0,0.0
2018-12-24,928363,0,0.0
2018-12-31,928363,0,0.0
2019-01-07,928363,0,0.0
2019-01-14,928363,0,0.0
2019-01-21,928363,0,0.0
2019-01-28,928363,1,0.1023006764312186
2019-02-04,928363,0,0.0
2019-02-11,928363,0,0.0
2019-02-18,928363,2,0.19510036870469777
2019-02-25,928363,0,0.0
2019-03-04,928363,2,0.19510036870469777
2019-03-11,928363,2,0.19510036870469777
2019-03-18,928363,1,0.1023006764312186
2019-03-25,928363,0,0.0
2019-04-01,928363,0,0.0
2019-04-08,928363,1,0.1023006764312186
2019-04-15,928363,1,0.1023006764312186
2019-04-22,928363,0,0.0
2019-04-29,928363,1,0.1023006764312186
2019-05-06,928363,2,0.19510036870469777
2019-05-13,928363,0,0.0
2019-05-20,928363,2,0.19510036870469777
2019-05-27,928363,0,0.0
2019-06-03,928363,0,0.0
2019-06-10,928363,0,0.0
2019-06-17,928363,1,0.1023006764312186
2019-06-24,928363,0,0.0
2019-07-01,928363,0,0.0
2019-07-08,928363,0,0.0
2019-07-15,928363,0,0.0
2019-07-22,928363,1,0.1023006764312186
2019-07-29,928363,0,0.0
2019-08-05,928363,0,0.0
2019-08-12,928363,0,0.0
2019-08-19,928363,1,0.1023006764312186
2019-08-26,928363,0,0.0
2019-09-02,928363,1,0.1023006764312186
2019-09-09,928363,1,0.1023006764312186
2019-09-16,928363,0,0.0
2019-09-23,928363,2,0.19510036870469777
2019-09-30,928363,0,0.0
2019-10-07,928363,1,0.1023006764312186
2019-10-14,928363,1,0.1023006764312186
2019-10-21,928363,2,0.19510036870469777
2019-10-28,928363,0,0.0
2019-11-04,928363,1,0.1023006764312186
2019-11-11,928363,1,0.1023006764312186
2019-11-18,928363,0,0.0
2019-11-25,928363,0,0.0
2019-12-02,928363,0,0.0
2019-12-09,928363,0,0.0
2019-12-16,928363,1,0.1023006764312186
2019-12-23,928363,0,0.0
2019-12-30,928363,0,0.0
2020-01-06,928363,0,0.0
2020-01-13,928363,1,0.1023006764312186
2020-01-20,928363,0,0.0
2020-01-27,928363,0,0.0
2020-02-03,928363,1,0.1023006764312186
2020-02-10,928363,0,0.0
2020-02-17,928363,2,0.19510036870469777
2020-02-24,928363,1,0.1023006764312186
2020-03-02,928363,1,0.1023006764312186
2020-03-09,928363,1,0.1023006764312186
2020-03-16,928363,0,0.0
2020-03-23,928363,0,0.0
2020-03-30,928363,0,0.0
2020-04-06,928363,1,0.1023006764312186
2020-04-13,928363,0,0.0
2020-04-20,928363,0,0.0
2020-04-27,928363,0,0.0
2020-05-04,928363,0,0.0
2020-05-11,928363,0,0.0
2020-05-18,928363,0,0.0
2020-05-25,928363,0,0.0
2020-06-01,928363,0,0.0
2020-06-08,928363,0,0.0
2020-06-15,928363,1,0.1023006764312186
2020-06-22,928363,0,0.0
2020-06-29,928363,0,0.0
2020-07-06,928363,0,0.0
2020-07-13,928363,0,0.0
2020-07-20,928363,0,0.0
2020-07-27,928363,0,0.0
2020-08-03,928363,0,0.0
2020-08-10,928363,0,0.0
2020-08-17,928363,0,0.0
2020-08-24,928363,0,0.0
2020-08-31,928363,0,0.0
2020-09-07,928363,0,0.0
2020-09-14,928363,0,0.0
2020-09-21,928363,0,0.0
2020-09-28,928363,0,0.0
2020-10-05,928363,0,0.0
2020-10-12,928363,0,0.0
2020-10-19,928363,0,0.0
2020-10-26,928363,0,0.0
2020-11-02,928363,0,0.0
2020-11-09,928363,0,0.0
2020-11-16,928363,0,0.0
2020-11-23,928363,0,0.0
2020-11-30,928363,0,0.0
2020-12-07,928363,1,0.1023006764312186
2020-12-14,928363,0,0.0
2020-12-21,928363,0,0.0
2020-12-28,928363,0,0.0
2021-01-04,928363,0,0.0
2021-01-11,928363,0,0.0
2021-01-18,928363,0,0.0
2021-01-25,928363,2,0.19510036870469777
2021-02-01,928363,2,0.19510036870469777
2021-02-08,928363,0,0.0
2021-02-15,928363,1,0.1023006764312186
2021-02-22,928363,1,0.1023006764312186
2021-03-01,928363,0,0.0
2021-03-08,928363,2,0.19510036870469777
2021-03-15,928363,1,0.1023006764312186
2021-03-22,928363,0,0.0
2021-03-29,928363,0,0.0
2021-04-05,928363,0,0.0
2021-04-12,928363,1,0.1023006764312186
2021-04-19,928363,1,0.1023006764312186
2021-04-26,928363,4,0.3582798159636874
2021-05-03,928363,2,0.19510036870469777
2021-05-10,928363,0,0.0
2021-05-17,928363,1,0.1023006764312186
2021-05-24,928363,0,0.0
2021-05-31,928363,0,0.0
2021-06-07,928363,0,0.0
2021-06-14,928363,0,0.0
2021-06-21,928363,0,0.0
2021-06-28,928363,1,0.1023006764312186
2021-07-05,928363,2,0.19510036870469777
2021-07-12,928363,0,0.0
2021-07-19,928363,0,0.0
2021-07-26,928363,2,0.19510036870469777
2021-08-02,928363,5,0.43086149218173686
2021-08-09,928363,1,0.1023006764312186
2021-08-16,928363,1,0.1023006764312186
2021-08-23,928363,0,0.0
2021-08-30,928363,0,0.0
2021-09-06,928363,0,0.0
2021-09-13,928363,0,0.0
2021-09-20,928363,0,0.0
2021-09-27,928363,0,0.0
2021-10-04,928363,1,0.1023006764312186
2021-10-11,928363,1,0.1023006764312186
2021-10-18,928363,3,0.2800148475364166
2021-10-25,928363,1,0.1023006764312186
2021-11-01,928363,0,0.0
2021-11-08,928363,0,0.0
2021-11-15,928363,1,0.1023006764312186
2021-11-22,928363,3,0.2800148475364166
2021-11-29,928363,0,0.0
2021-12-06,928363,2,0.19510036870469777
2021-12-13,928363,0,0.0
2021-12-20,928363,1,0.1023006764312186
2021-12-27,928363,0,0.0
2022-01-03,928363,1,0.1023006764312186
2022-01-10,928363,1,0.1023006764312186
2022-01-17,928363,3,0.2800148475364166
2022-01-24,928363,0,0.0
2022-01-31,928363,1,0.1023006764312186
2022-02-07,928363,1,0.1023006764312186
2022-02-14,928363,1,0.1023006764312186
2022-02-21,928363,0,0.0
2022-02-28,928363,1,0.1023006764312186
2022-03-07,928363,0,0.0
2022-03-14,928363,1,0.1023006764312186
2022-03-21,928363,0,0.0
2022-03-28,928363,1,0.1023006764312186
2022-04-04,928363,0,0.0
2022-04-11,928363,0,0.0
2022-04-18,928363,2,0.19510036870469777
2022-04-25,928363,1,0.1023006764312186
2022-05-02,928363,1,0.1023006764312186
2022-05-09,928363,0,0.0
2022-05-16,928363,1,0.1023006764312186
2022-05-23,928363,0,0.0
2022-05-30,928363,0,0.0
2022-06-06,928363,0,0.0
2022-06-13,928363,0,0.0
2022-06-20,928363,1,0.1023006764312186
2022-06-27,928363,0,0.0
2022-07-04,928363,0,0.0
2022-07-11,928363,3,0.2800148475364166
2022-07-18,928363,1,0.1023006764312186
2022-07-25,928363,0,0.0
2022-08-01,928363,1,0.1023006764312186
2022-08-08,928363,1,0.1023006764312186
2022-08-15,928363,2,0.19510036870469777
2022-08-22,928363,1,0.1023006764312186
2022-08-29,928363,0,0.0
2022-09-05,928363,0,0.0
2022-09-12,928363,0,0.0
2022-09-19,928363,2,0.19510036870469777
2022-09-26,928363,0,0.0
2022-10-03,928363,0,0.0
2022-10-10,928363,0,0.0
2022-10-17,928363,0,0.0
2022-10-24,928363,1,0.1023006764312186
2022-10-31,928363,1,0.1023006764312186
2022-11-07,928363,1,0.1023006764312186
2022-11-14,928363,0,0.0
2022-11-21,928363,1,0.1023006764312186
2022-11-28,928363,0,0.0
2022-12-05,928363,0,0.0
2022-12-12,928363,0,0.0
