ds,Total,y_original,y
2013-12-30,731391,0,0.0
2014-01-06,731391,0,0.0
2014-01-13,731391,0,0.0
2014-01-20,731391,2,0.2417309671570957
2014-01-27,731391,0,0.0
2014-02-03,731391,0,0.0
2014-02-10,731391,0,0.0
2014-02-17,731391,0,0.0
2014-02-24,731391,0,0.0
2014-03-03,731391,1,0.128152001174279
2014-03-10,731391,0,0.0
2014-03-17,731391,0,0.0
2014-03-24,731391,0,0.0
2014-03-31,731391,0,0.0
2014-04-07,731391,0,0.0
2014-04-14,731391,0,0.0
2014-04-21,731391,1,0.128152001174279
2014-04-28,731391,0,0.0
2014-05-05,731391,0,0.0
2014-05-12,731391,0,0.0
2014-05-19,731391,0,0.0
2014-05-26,731391,1,0.128152001174279
2014-06-02,731391,0,0.0
2014-06-09,731391,0,0.0
2014-06-16,731391,0,0.0
2014-06-23,731391,0,0.0
2014-06-30,731391,0,0.0
2014-07-07,731391,1,0.128152001174279
2014-07-14,731391,0,0.0
2014-07-21,731391,0,0.0
2014-07-28,731391,0,0.0
2014-08-04,731391,0,0.0
2014-08-11,731391,0,0.0
2014-08-18,731391,1,0.128152001174279
2014-08-25,731391,0,0.0
2014-09-01,731391,0,0.0
2014-09-08,731391,0,0.0
2014-09-15,731391,1,0.128152001174279
2014-09-22,731391,1,0.128152001174279
2014-09-29,731391,1,0.128152001174279
2014-10-06,731391,0,0.0
2014-10-13,731391,0,0.0
2014-10-20,731391,1,0.128152001174279
2014-10-27,731391,0,0.0
2014-11-03,731391,0,0.0
2014-11-10,731391,1,0.128152001174279
2014-11-17,731391,1,0.128152001174279
2014-11-24,731391,0,0.0
2014-12-01,731391,0,0.0
2014-12-08,731391,0,0.0
2014-12-15,731391,1,0.128152001174279
2014-12-22,731391,0,0.0
2014-12-29,1462782,0,0.0
2015-01-05,731391,0,0.0
2015-01-12,731391,0,0.0
2015-01-19,731391,0,0.0
2015-01-26,731391,0,0.0
2015-02-02,731391,1,0.128152001174279
2015-02-09,731391,0,0.0
2015-02-16,731391,0,0.0
2015-02-23,731391,0,0.0
2015-03-02,731391,0,0.0
2015-03-09,731391,0,0.0
2015-03-16,731391,0,0.0
2015-03-23,731391,1,0.128152001174279
2015-03-30,731391,0,0.0
2015-04-06,731391,0,0.0
2015-04-13,731391,0,0.0
2015-04-20,731391,0,0.0
2015-04-27,731391,0,0.0
2015-05-04,731391,0,0.0
2015-05-11,731391,0,0.0
2015-05-18,731391,0,0.0
2015-05-25,731391,1,0.128152001174279
2015-06-01,731391,0,0.0
2015-06-08,731391,1,0.128152001174279
2015-06-15,731391,0,0.0
2015-06-22,731391,1,0.128152001174279
2015-06-29,731391,0,0.0
2015-07-06,731391,0,0.0
2015-07-13,731391,0,0.0
2015-07-20,731391,1,0.128152001174279
2015-07-27,731391,0,0.0
2015-08-03,731391,0,0.0
2015-08-10,731391,0,0.0
2015-08-17,731391,0,0.0
2015-08-24,731391,1,0.128152001174279
2015-08-31,731391,0,0.0
2015-09-07,731391,0,0.0
2015-09-14,731391,1,0.128152001174279
2015-09-21,731391,0,0.0
2015-09-28,731391,0,0.0
2015-10-05,731391,1,0.128152001174279
2015-10-12,731391,0,0.0
2015-10-19,731391,0,0.0
2015-10-26,731391,0,0.0
2015-11-02,731391,0,0.0
2015-11-09,731391,0,0.0
2015-11-16,731391,0,0.0
2015-11-23,731391,0,0.0
2015-11-30,731391,0,0.0
2015-12-07,731391,1,0.128152001174279
2015-12-14,731391,0,0.0
2015-12-21,731391,0,0.0
2016-01-04,731391,0,0.0
2016-01-11,731391,0,0.0
2016-01-18,731391,0,0.0
2016-01-25,731391,0,0.0
2016-02-01,731391,0,0.0
2016-02-08,731391,0,0.0
2016-02-15,731391,0,0.0
2016-02-22,731391,0,0.0
2016-02-29,731391,0,0.0
2016-03-07,731391,0,0.0
2016-03-14,731391,1,0.128152001174279
2016-03-21,731391,0,0.0
2016-03-28,731391,0,0.0
2016-04-04,731391,0,0.0
2016-04-11,731391,0,0.0
2016-04-18,731391,0,0.0
2016-04-25,731391,2,0.2417309671570957
2016-05-02,731391,0,0.0
2016-05-09,731391,0,0.0
2016-05-16,731391,0,0.0
2016-05-23,731391,1,0.128152001174279
2016-05-30,731391,0,0.0
2016-06-06,731391,0,0.0
2016-06-13,731391,0,0.0
2016-06-20,731391,0,0.0
2016-06-27,731391,0,0.0
2016-07-04,731391,0,0.0
2016-07-11,731391,0,0.0
2016-07-18,731391,0,0.0
2016-07-25,731391,0,0.0
2016-08-01,731391,1,0.128152001174279
2016-08-08,731391,0,0.0
2016-08-15,731391,0,0.0
2016-08-22,731391,1,0.128152001174279
2016-08-29,731391,0,0.0
2016-09-05,731391,0,0.0
2016-09-12,731391,0,0.0
2016-09-19,731391,1,0.128152001174279
2016-09-26,731391,0,0.0
2016-10-03,731391,0,0.0
2016-10-10,731391,0,0.0
2016-10-17,731391,0,0.0
2016-10-24,731391,0,0.0
2016-10-31,731391,0,0.0
2016-11-07,731391,0,0.0
2016-11-14,731391,1,0.128152001174279
2016-11-21,731391,0,0.0
2016-11-28,731391,1,0.128152001174279
2016-12-05,731391,1,0.128152001174279
2016-12-12,731391,2,0.2417309671570957
2016-12-19,731391,0,0.0
2016-12-26,731391,0,0.0
2017-01-02,731391,2,0.2417309671570957
2017-01-09,731391,0,0.0
2017-01-16,731391,0,0.0
2017-01-23,731391,0,0.0
2017-01-30,731391,0,0.0
2017-02-06,731391,0,0.0
2017-02-13,731391,0,0.0
2017-02-20,731391,0,0.0
2017-02-27,731391,0,0.0
2017-03-06,731391,0,0.0
2017-03-13,731391,0,0.0
2017-03-20,731391,0,0.0
2017-03-27,731391,1,0.128152001174279
2017-04-03,731391,0,0.0
2017-04-10,731391,0,0.0
2017-04-17,731391,0,0.0
2017-04-24,731391,2,0.2417309671570957
2017-05-01,731391,0,0.0
2017-05-08,731391,0,0.0
2017-05-15,731391,1,0.128152001174279
2017-05-22,731391,0,0.0
2017-05-29,731391,0,0.0
2017-06-05,731391,0,0.0
2017-06-12,731391,0,0.0
2017-06-19,731391,1,0.128152001174279
2017-06-26,731391,0,0.0
2017-07-03,731391,0,0.0
2017-07-10,731391,0,0.0
2017-07-17,731391,0,0.0
2017-07-24,731391,0,0.0
2017-07-31,731391,0,0.0
2017-08-07,731391,0,0.0
2017-08-14,731391,0,0.0
2017-08-21,731391,0,0.0
2017-08-28,731391,2,0.2417309671570957
2017-09-04,731391,1,0.128152001174279
2017-09-11,731391,0,0.0
2017-09-18,731391,0,0.0
2017-09-25,731391,0,0.0
2017-10-02,731391,1,0.128152001174279
2017-10-09,731391,1,0.128152001174279
2017-10-16,731391,0,0.0
2017-10-23,731391,1,0.128152001174279
2017-10-30,731391,0,0.0
2017-11-06,731391,0,0.0
2017-11-13,731391,1,0.128152001174279
2017-11-20,731391,0,0.0
2017-11-27,731391,0,0.0
2017-12-04,731391,0,0.0
2017-12-11,731391,1,0.128152001174279
2017-12-18,731391,1,0.128152001174279
2017-12-25,731391,1,0.128152001174279
2018-01-01,731391,1,0.128152001174279
2018-01-08,731391,1,0.128152001174279
2018-01-15,731391,1,0.128152001174279
2018-01-22,731391,0,0.0
2018-01-29,731391,0,0.0
2018-02-05,731391,0,0.0
2018-02-12,731391,0,0.0
2018-02-19,731391,1,0.128152001174279
2018-02-26,731391,1,0.128152001174279
2018-03-05,731391,1,0.128152001174279
2018-03-12,731391,1,0.128152001174279
2018-03-19,731391,2,0.2417309671570957
2018-03-26,731391,0,0.0
2018-04-02,731391,2,0.2417309671570957
2018-04-09,731391,0,0.0
2018-04-16,731391,1,0.128152001174279
2018-04-23,731391,0,0.0
2018-04-30,731391,1,0.128152001174279
2018-05-07,731391,0,0.0
2018-05-14,731391,0,0.0
2018-05-21,731391,0,0.0
2018-05-28,731391,1,0.128152001174279
2018-06-04,731391,1,0.128152001174279
2018-06-11,731391,0,0.0
2018-06-18,731391,0,0.0
2018-06-25,731391,1,0.128152001174279
2018-07-02,731391,1,0.128152001174279
2018-07-09,731391,0,0.0
2018-07-16,731391,0,0.0
2018-07-23,731391,0,0.0
2018-07-30,731391,0,0.0
2018-08-06,731391,1,0.128152001174279
2018-08-13,731391,0,0.0
2018-08-20,731391,0,0.0
2018-08-27,731391,0,0.0
2018-09-03,731391,0,0.0
2018-09-10,731391,0,0.0
2018-09-17,731391,1,0.128152001174279
2018-09-24,731391,0,0.0
2018-10-01,731391,0,0.0
2018-10-08,731391,1,0.128152001174279
2018-10-15,731391,0,0.0
2018-10-22,731391,0,0.0
2018-10-29,731391,0,0.0
2018-11-05,731391,0,0.0
2018-11-12,731391,0,0.0
2018-11-19,731391,0,0.0
2018-11-26,731391,0,0.0
2018-12-03,731391,1,0.128152001174279
2018-12-10,731391,0,0.0
2018-12-17,731391,1,0.128152001174279
2018-12-24,731391,1,0.128152001174279
2018-12-31,731391,0,0.0
2019-01-07,731391,0,0.0
2019-01-14,731391,0,0.0
2019-01-21,731391,0,0.0
2019-01-28,731391,0,0.0
2019-02-04,731391,1,0.128152001174279
2019-02-11,731391,0,0.0
2019-02-18,731391,0,0.0
2019-02-25,731391,0,0.0
2019-03-04,731391,0,0.0
2019-03-11,731391,0,0.0
2019-03-18,731391,0,0.0
2019-03-25,731391,0,0.0
2019-04-01,731391,0,0.0
2019-04-08,731391,0,0.0
2019-04-15,731391,0,0.0
2019-04-22,731391,0,0.0
2019-04-29,731391,0,0.0
2019-05-06,731391,0,0.0
2019-05-13,731391,0,0.0
2019-05-20,731391,0,0.0
2019-05-27,731391,0,0.0
2019-06-03,731391,0,0.0
2019-06-10,731391,1,0.128152001174279
2019-06-17,731391,2,0.2417309671570957
2019-06-24,731391,2,0.2417309671570957
2019-07-01,731391,1,0.128152001174279
2019-07-08,731391,3,0.34371545510389534
2019-07-15,731391,2,0.2417309671570957
2019-07-22,731391,0,0.0
2019-07-29,731391,2,0.2417309671570957
2019-08-05,731391,0,0.0
2019-08-12,731391,2,0.2417309671570957
2019-08-19,731391,0,0.0
2019-08-26,731391,4,0.43625492765968316
2019-09-02,731391,3,0.34371545510389534
2019-09-09,731391,0,0.0
2019-09-16,731391,2,0.2417309671570957
2019-09-23,731391,1,0.128152001174279
2019-09-30,731391,3,0.34371545510389534
2019-10-07,731391,2,0.2417309671570957
2019-10-14,731391,0,0.0
2019-10-21,731391,0,0.0
2019-10-28,731391,1,0.128152001174279
2019-11-04,731391,2,0.2417309671570957
2019-11-11,731391,1,0.128152001174279
2019-11-18,731391,1,0.128152001174279
2019-11-25,731391,2,0.2417309671570957
2019-12-02,731391,0,0.0
2019-12-09,731391,0,0.0
2019-12-16,731391,2,0.2417309671570957
2019-12-23,731391,0,0.0
2019-12-30,731391,1,0.128152001174279
2020-01-06,731391,1,0.128152001174279
2020-01-13,731391,0,0.0
2020-01-20,731391,3,0.34371545510389534
2020-01-27,731391,1,0.128152001174279
2020-02-03,731391,0,0.0
2020-02-10,731391,4,0.43625492765968316
2020-02-17,731391,0,0.0
2020-02-24,731391,0,0.0
2020-03-02,731391,1,0.128152001174279
2020-03-09,731391,1,0.128152001174279
2020-03-16,731391,1,0.128152001174279
2020-03-23,731391,2,0.2417309671570957
2020-03-30,731391,0,0.0
2020-04-06,731391,2,0.2417309671570957
2020-04-13,731391,0,0.0
2020-04-20,731391,0,0.0
2020-04-27,731391,1,0.128152001174279
2020-05-04,731391,0,0.0
2020-05-11,731391,0,0.0
2020-05-18,731391,0,0.0
2020-05-25,731391,0,0.0
2020-06-01,731391,0,0.0
2020-06-08,731391,1,0.128152001174279
2020-06-15,731391,1,0.128152001174279
2020-06-22,731391,0,0.0
2020-06-29,731391,0,0.0
2020-07-06,731391,0,0.0
2020-07-13,731391,0,0.0
2020-07-20,731391,1,0.128152001174279
2020-07-27,731391,0,0.0
2020-08-03,731391,0,0.0
2020-08-10,731391,0,0.0
2020-08-17,731391,0,0.0
2020-08-24,731391,0,0.0
2020-08-31,731391,1,0.128152001174279
2020-09-07,731391,0,0.0
2020-09-14,731391,0,0.0
2020-09-21,731391,0,0.0
2020-09-28,731391,0,0.0
2020-10-05,731391,2,0.2417309671570957
2020-10-12,731391,0,0.0
2020-10-19,731391,0,0.0
2020-10-26,731391,2,0.2417309671570957
2020-11-02,731391,1,0.128152001174279
2020-11-09,731391,1,0.128152001174279
2020-11-16,731391,0,0.0
2020-11-23,731391,0,0.0
2020-11-30,731391,1,0.128152001174279
2020-12-07,731391,0,0.0
2020-12-14,731391,1,0.128152001174279
2020-12-21,731391,0,0.0
2020-12-28,731391,1,0.128152001174279
2021-01-04,731391,0,0.0
2021-01-11,731391,1,0.128152001174279
2021-01-18,731391,1,0.128152001174279
2021-01-25,731391,0,0.0
2021-02-01,731391,0,0.0
2021-02-08,731391,0,0.0
2021-02-15,731391,0,0.0
2021-02-22,731391,0,0.0
2021-03-01,731391,0,0.0
2021-03-08,731391,0,0.0
2021-03-15,731391,2,0.2417309671570957
2021-03-22,731391,0,0.0
2021-03-29,731391,1,0.128152001174279
2021-04-05,731391,1,0.128152001174279
2021-04-12,731391,0,0.0
2021-04-19,731391,0,0.0
2021-04-26,731391,3,0.34371545510389534
2021-05-03,731391,0,0.0
2021-05-10,731391,0,0.0
2021-05-17,731391,0,0.0
2021-05-24,731391,2,0.2417309671570957
2021-05-31,731391,1,0.128152001174279
2021-06-07,731391,2,0.2417309671570957
2021-06-14,731391,2,0.2417309671570957
2021-06-21,731391,1,0.128152001174279
2021-06-28,731391,2,0.2417309671570957
2021-07-05,731391,2,0.2417309671570957
2021-07-12,731391,0,0.0
2021-07-19,731391,0,0.0
2021-07-26,731391,4,0.43625492765968316
2021-08-02,731391,0,0.0
2021-08-09,731391,0,0.0
2021-08-16,731391,2,0.2417309671570957
2021-08-23,731391,3,0.34371545510389534
2021-08-30,731391,1,0.128152001174279
2021-09-06,731391,1,0.128152001174279
2021-09-13,731391,0,0.0
2021-09-20,731391,0,0.0
2021-09-27,731391,1,0.128152001174279
2021-10-04,731391,0,0.0
2021-10-11,731391,3,0.34371545510389534
2021-10-18,731391,1,0.128152001174279
2021-10-25,731391,2,0.2417309671570957
2021-11-01,731391,0,0.0
2021-11-08,731391,2,0.2417309671570957
2021-11-15,731391,3,0.34371545510389534
2021-11-22,731391,0,0.0
2021-11-29,731391,1,0.128152001174279
2021-12-06,731391,1,0.128152001174279
2021-12-13,731391,2,0.2417309671570957
2021-12-20,731391,2,0.2417309671570957
2021-12-27,731391,0,0.0
2022-01-03,731391,1,0.128152001174279
2022-01-10,731391,1,0.128152001174279
2022-01-17,731391,1,0.128152001174279
2022-01-24,731391,3,0.34371545510389534
2022-01-31,731391,0,0.0
2022-02-07,731391,2,0.2417309671570957
2022-02-14,731391,0,0.0
2022-02-21,731391,0,0.0
2022-02-28,731391,2,0.2417309671570957
2022-03-07,731391,0,0.0
2022-03-14,731391,1,0.128152001174279
2022-03-21,731391,0,0.0
2022-03-28,731391,0,0.0
2022-04-04,731391,3,0.34371545510389534
2022-04-11,731391,1,0.128152001174279
2022-04-18,731391,1,0.128152001174279
2022-04-25,731391,0,0.0
2022-05-02,731391,0,0.0
2022-05-09,731391,0,0.0
2022-05-16,731391,0,0.0
2022-05-23,731391,3,0.34371545510389534
2022-05-30,731391,1,0.128152001174279
2022-06-06,731391,2,0.2417309671570957
2022-06-13,731391,2,0.2417309671570957
2022-06-20,731391,1,0.128152001174279
2022-06-27,731391,1,0.128152001174279
2022-07-04,731391,2,0.2417309671570957
2022-07-11,731391,2,0.2417309671570957
2022-07-18,731391,0,0.0
2022-07-25,731391,0,0.0
2022-08-01,731391,1,0.128152001174279
2022-08-08,731391,2,0.2417309671570957
2022-08-15,731391,2,0.2417309671570957
2022-08-22,731391,2,0.2417309671570957
2022-08-29,731391,2,0.2417309671570957
2022-09-05,731391,2,0.2417309671570957
2022-09-12,731391,0,0.0
2022-09-19,731391,0,0.0
2022-09-26,731391,2,0.2417309671570957
2022-10-03,731391,0,0.0
2022-10-10,731391,2,0.2417309671570957
2022-10-17,731391,1,0.128152001174279
2022-10-24,731391,1,0.128152001174279
2022-10-31,731391,2,0.2417309671570957
2022-11-07,731391,1,0.128152001174279
2022-11-14,731391,4,0.43625492765968316
2022-11-21,731391,0,0.0
2022-11-28,731391,2,0.2417309671570957
