ds,Total,y_original,y
2013-12-30,8348151,0,0.0
2014-01-06,8348151,0,0.0
2014-01-13,8348151,0,0.0
2014-01-20,8348151,0,0.0
2014-01-27,8348151,0,0.0
2014-02-03,8348151,1,0.011907523641001646
2014-02-10,8348151,0,0.0
2014-02-17,8348151,0,0.0
2014-02-24,8348151,0,0.0
2014-03-03,8348151,2,0.023674925035548147
2014-03-10,8348151,0,0.0
2014-03-17,8348151,0,0.0
2014-03-24,8348151,0,0.0
2014-03-31,8348151,0,0.0
2014-04-07,8348151,0,0.0
2014-04-14,8348151,0,0.0
2014-04-21,8348151,4,0.046802286537603946
2014-04-28,8348151,0,0.0
2014-05-05,8348151,0,0.0
2014-05-12,8348151,1,0.011907523641001646
2014-05-19,8348151,0,0.0
2014-05-26,8348151,0,0.0
2014-06-02,8348151,0,0.0
2014-06-09,8348151,0,0.0
2014-06-16,8348151,0,0.0
2014-06-23,8348151,1,0.011907523641001646
2014-06-30,8348151,0,0.0
2014-07-07,8348151,3,0.03530546365282718
2014-07-14,8348151,0,0.0
2014-07-21,8348151,0,0.0
2014-07-28,8348151,2,0.023674925035548147
2014-08-04,8348151,0,0.0
2014-08-11,8348151,1,0.011907523641001646
2014-08-18,8348151,1,0.011907523641001646
2014-08-25,8348151,1,0.011907523641001646
2014-09-01,8348151,1,0.011907523641001646
2014-09-08,8348151,1,0.011907523641001646
2014-09-15,8348151,1,0.011907523641001646
2014-09-22,8348151,0,0.0
2014-09-29,8348151,2,0.023674925035548147
2014-10-06,8348151,1,0.011907523641001646
2014-10-13,8348151,1,0.011907523641001646
2014-10-20,8348151,0,0.0
2014-10-27,8348151,2,0.023674925035548147
2014-11-03,8348151,1,0.011907523641001646
2014-11-10,8348151,1,0.011907523641001646
2014-11-17,8348151,0,0.0
2014-11-24,8348151,0,0.0
2014-12-01,8348151,2,0.023674925035548147
2014-12-08,8348151,2,0.023674925035548147
2014-12-15,8348151,0,0.0
2014-12-22,8348151,0,0.0
2014-12-29,16696302,3,0.03530546365282718
2015-01-05,8348151,0,0.0
2015-01-12,8348151,0,0.0
2015-01-19,8348151,0,0.0
2015-01-26,8348151,0,0.0
2015-02-02,8348151,0,0.0
2015-02-09,8348151,1,0.011907523641001646
2015-02-16,8348151,2,0.023674925035548147
