ds,Total,y_original,y
2013-12-30,2368467,0,0.0
2014-01-06,2368467,0,0.0
2014-01-13,2368467,0,0.0
2014-01-20,2368467,0,0.0
2014-01-27,2368467,0,0.0
2014-02-03,2368467,0,0.0
2014-02-10,2368467,0,0.0
2014-02-17,2368467,0,0.0
2014-02-24,2368467,0,0.0
2014-03-03,2368467,0,0.0
2014-03-10,2368467,0,0.0
2014-03-17,2368467,0,0.0
2014-03-24,2368467,1,0.04135439976934646
2014-03-31,2368467,1,0.04135439976934646
2014-04-07,2368467,0,0.0
2014-04-14,2368467,0,0.0
2014-04-21,2368467,0,0.0
2014-04-28,2368467,0,0.0
2014-05-05,2368467,0,0.0
2014-05-12,2368467,0,0.0
2014-05-19,2368467,0,0.0
2014-05-26,2368467,0,0.0
2014-06-02,2368467,0,0.0
2014-06-09,2368467,0,0.0
2014-06-16,2368467,0,0.0
2014-06-23,2368467,0,0.0
2014-06-30,2368467,0,0.0
2014-07-07,2368467,0,0.0
2014-07-14,2368467,0,0.0
2014-07-21,2368467,0,0.0
2014-07-28,2368467,0,0.0
2014-08-04,2368467,0,0.0
2014-08-11,2368467,0,0.0
2014-08-18,2368467,0,0.0
2014-08-25,2368467,0,0.0
2014-09-01,2368467,0,0.0
2014-09-08,2368467,0,0.0
2014-09-15,2368467,0,0.0
2014-09-22,2368467,0,0.0
2014-09-29,2368467,0,0.0
2014-10-06,2368467,0,0.0
2014-10-13,2368467,0,0.0
2014-10-20,2368467,0,0.0
2014-10-27,2368467,0,0.0
2014-11-03,2368467,0,0.0
2014-11-10,2368467,1,0.04135439976934646
2014-11-17,2368467,0,0.0
2014-11-24,2368467,0,0.0
2014-12-01,2368467,0,0.0
2014-12-08,2368467,0,0.0
2014-12-15,2368467,0,0.0
2014-12-22,2368467,0,0.0
2014-12-29,4736934,0,0.0
2015-01-05,2368467,0,0.0
2015-01-12,2368467,0,0.0
2015-01-19,2368467,0,0.0
2015-01-26,2368467,0,0.0
2015-02-02,2368467,0,0.0
2015-02-09,2368467,0,0.0
2015-02-16,2368467,0,0.0
2015-02-23,2368467,0,0.0
2015-03-02,2368467,0,0.0
2015-03-09,2368467,0,0.0
2015-03-16,2368467,0,0.0
2015-03-23,2368467,0,0.0
2015-03-30,2368467,1,0.04135439976934646
2015-04-06,2368467,1,0.04135439976934646
2015-04-13,2368467,0,0.0
2015-04-20,2368467,0,0.0
2015-04-27,2368467,0,0.0
2015-05-04,2368467,0,0.0
2015-05-11,2368467,0,0.0
2015-05-18,2368467,0,0.0
2015-05-25,2368467,0,0.0
2015-06-01,2368467,1,0.04135439976934646
2015-06-08,2368467,0,0.0
2015-06-15,2368467,0,0.0
2015-06-22,2368467,0,0.0
2015-06-29,2368467,0,0.0
2015-07-06,2368467,0,0.0
2015-07-13,2368467,1,0.04135439976934646
2015-07-20,2368467,0,0.0
2015-07-27,2368467,1,0.04135439976934646
2015-08-03,2368467,1,0.04135439976934646
2015-08-10,2368467,0,0.0
2015-08-17,2368467,0,0.0
2015-08-24,2368467,0,0.0
2015-08-31,2368467,1,0.04135439976934646
2015-09-07,2368467,1,0.04135439976934646
2015-09-14,2368467,0,0.0
2015-09-21,2368467,0,0.0
2015-09-28,2368467,1,0.04135439976934646
2015-10-05,2368467,0,0.0
2015-10-12,2368467,0,0.0
2015-10-19,2368467,0,0.0
2015-10-26,2368467,0,0.0
2015-11-02,2368467,0,0.0
2015-11-09,2368467,0,0.0
2015-11-16,2368467,0,0.0
2015-11-23,2368467,0,0.0
2015-11-30,2368467,1,0.04135439976934646
2015-12-07,2368467,0,0.0
2015-12-14,2368467,0,0.0
2015-12-21,2368467,0,0.0
2016-01-04,2368467,0,0.0
2016-01-11,2368467,0,0.0
2016-01-18,2368467,0,0.0
2016-01-25,2368467,0,0.0
2016-02-01,2368467,0,0.0
2016-02-08,2368467,0,0.0
2016-02-15,2368467,0,0.0
2016-02-22,2368467,0,0.0
2016-02-29,2368467,0,0.0
2016-03-07,2368467,0,0.0
2016-03-14,2368467,1,0.04135439976934646
2016-03-21,2368467,0,0.0
2016-03-28,2368467,0,0.0
2016-04-04,2368467,0,0.0
2016-04-11,2368467,1,0.04135439976934646
2016-04-18,2368467,0,0.0
2016-04-25,2368467,0,0.0
2016-05-02,2368467,0,0.0
2016-05-09,2368467,0,0.0
2016-05-16,2368467,0,0.0
2016-05-23,2368467,0,0.0
2016-05-30,2368467,0,0.0
2016-06-06,2368467,0,0.0
2016-06-13,2368467,1,0.04135439976934646
2016-06-20,2368467,0,0.0
2016-06-27,2368467,0,0.0
2016-07-04,2368467,1,0.04135439976934646
2016-07-11,2368467,0,0.0
2016-07-18,2368467,0,0.0
2016-07-25,2368467,0,0.0
2016-08-01,2368467,0,0.0
2016-08-08,2368467,1,0.04135439976934646
2016-08-15,2368467,0,0.0
2016-08-22,2368467,0,0.0
2016-08-29,2368467,0,0.0
2016-09-05,2368467,0,0.0
2016-09-12,2368467,0,0.0
2016-09-19,2368467,0,0.0
2016-09-26,2368467,1,0.04135439976934646
2016-10-03,2368467,1,0.04135439976934646
2016-10-10,2368467,1,0.04135439976934646
2016-10-17,2368467,0,0.0
2016-10-24,2368467,0,0.0
2016-10-31,2368467,0,0.0
2016-11-07,2368467,0,0.0
2016-11-14,2368467,3,0.11926123980166237
2016-11-21,2368467,0,0.0
2016-11-28,2368467,0,0.0
2016-12-05,2368467,0,0.0
2016-12-12,2368467,0,0.0
2016-12-19,2368467,0,0.0
2016-12-26,2368467,0,0.0
2017-01-02,2368467,0,0.0
2017-01-09,2368467,0,0.0
2017-01-16,2368467,0,0.0
2017-01-23,2368467,2,0.08106631246120918
2017-01-30,2368467,2,0.08106631246120918
2017-02-06,2368467,0,0.0
2017-02-13,2368467,0,0.0
2017-02-20,2368467,0,0.0
2017-02-27,2368467,0,0.0
2017-03-06,2368467,0,0.0
2017-03-13,2368467,0,0.0
2017-03-20,2368467,0,0.0
2017-03-27,2368467,0,0.0
2017-04-03,2368467,0,0.0
2017-04-10,2368467,0,0.0
2017-04-17,2368467,0,0.0
2017-04-24,2368467,0,0.0
2017-05-01,2368467,0,0.0
2017-05-08,2368467,0,0.0
2017-05-15,2368467,0,0.0
2017-05-22,2368467,0,0.0
2017-05-29,2368467,0,0.0
2017-06-05,2368467,0,0.0
2017-06-12,2368467,0,0.0
2017-06-19,2368467,0,0.0
2017-06-26,2368467,0,0.0
2017-07-03,2368467,0,0.0
2017-07-10,2368467,0,0.0
2017-07-17,2368467,0,0.0
2017-07-24,2368467,0,0.0
2017-07-31,2368467,0,0.0
2017-08-07,2368467,1,0.04135439976934646
2017-08-14,2368467,0,0.0
2017-08-21,2368467,0,0.0
