padecimiento,sexo,rmse,mae,mape,mase,mape_confiable,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,confianza,promedio_semanal,tiempo_cv_seg,tiempo_train_seg,tiempo_total_seg,poblacion,normalizado,archivo_modelo,usar_regional,Entidad
Alzheimer,incrementos_hombres,0.004116890523875867,0.003336504571052464,30.785844484258607,0.5807584189927413,True,multiplicative,0.01,0.5,nacional,normal,18.75,25.2,1.6,26.8,126014024,True,Prophet_Alzheimer_hombres.pkl,,
Alzheimer,incrementos_mujeres,0.006445305111981526,0.005187028702835643,31.927561586094914,0.6056967892102375,True,multiplicative,0.01,0.5,nacional,normal,27.94,26.5,1.2,27.7,126014024,True,Prophet_Alzheimer_mujeres.pkl,,
Alzheimer,incrementos_total,0.009075123289605894,0.007466144417770604,26.12080906624942,0.5951061668899337,True,multiplicative,0.01,0.05,nacional,normal,46.69,26.3,1.0,27.3,126014024,True,Prophet_Alzheimer_general.pkl,,
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.14,0.0,1.5,1.5,1425607,True,Prophet_Alzheimer_Aguascalientes_hombres.pkl,Prophet_Alzheimer_region_Urbana_media_hombres.pkl,Aguascalientes
Alzheimer,incrementos_mujeres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.3,0.0,1.3,1.3,1425607,True,Prophet_Alzheimer_Aguascalientes_mujeres.pkl,Prophet_Alzheimer_region_Urbana_media_mujeres.pkl,Aguascalientes
Alzheimer,incrementos_total,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.45,0.0,1.4,1.4,1425607,True,Prophet_Alzheimer_Aguascalientes_general.pkl,Prophet_Alzheimer_region_Urbana_media_general.pkl,Aguascalientes
Alzheimer,incrementos_hombres,0.021505914584507433,0.018782467396164276,999.0,0.8320478925163556,False,multiplicative,0.03,0.05,regional,normal,0.69,21.9,1.1,23.0,3769020,True,Prophet_Alzheimer_Baja_California_hombres.pkl,,Baja California
Alzheimer,incrementos_mujeres,0.028767015318837585,0.024352691167068164,999.0,0.6511030369568286,False,multiplicative,0.03,0.05,regional,normal,1.4,21.3,1.1,22.4,3769020,True,Prophet_Alzheimer_Baja_California_mujeres.pkl,,Baja California
Alzheimer,incrementos_total,0.03911914063030745,0.032526294766299035,999.0,0.6519088291920853,False,multiplicative,0.03,0.1,regional,normal,2.09,21.8,1.2,23.1,3769020,True,Prophet_Alzheimer_Baja_California_general.pkl,,Baja California
Alzheimer,incrementos_hombres,,,,,True,multiplicative,0.01,0.05,regional,insuficiente,0.0,0.0,0.2,0.2,798447,True,Prophet_Alzheimer_Baja_California_Sur_hombres.pkl,Prophet_Alzheimer_region_Urbana_media_hombres.pkl,Baja California Sur
