ds,Total,y_original,y
2013-12-30,126014024,4,0.003169222580202361
2014-01-06,126014024,29,0.022752499199358952
2014-01-13,126014024,47,0.0366187116871938
2014-01-20,126014024,36,0.02816778559523368
2014-01-27,126014024,42,0.032786232842332806
2014-02-03,126014024,30,0.023527909285899883
2014-02-10,126014024,45,0.035087482245264
2014-02-17,126014024,34,0.02662355097439956
2014-02-24,126014024,27,0.021199872909402576
2014-03-03,126014024,54,0.04195962555978023
2014-03-10,126014024,37,0.02893900957758173
2014-03-17,126014024,39,0.03047967547328538
2014-03-24,126014024,46,0.035853390049150745
2014-03-31,126014024,41,0.032017971368497704
2014-04-07,126014024,42,0.032786232842332806
2014-04-14,126014024,35,0.02739596636735752
2014-04-21,126014024,44,0.034320987376947255
2014-04-28,126014024,43,0.03355390454354632
2014-05-05,126014024,36,0.02816778559523368
2014-05-12,126014024,44,0.034320987376947255
2014-05-19,126014024,43,0.03355390454354632
2014-05-26,126014024,50,0.03891116856123851
2014-06-02,126014024,40,0.031249119215145033
2014-06-09,126014024,47,0.0366187116871938
2014-06-16,126014024,42,0.032786232842332806
2014-06-23,126014024,37,0.02893900957758173
2014-06-30,126014024,43,0.03355390454354632
2014-07-07,126014024,45,0.035087482245264
2014-07-14,126014024,22,0.017307727734193108
2014-07-21,126014024,40,0.031249119215145033
2014-07-28,126014024,35,0.02739596636735752
2014-08-04,126014024,27,0.021199872909402576
2014-08-11,126014024,41,0.032017971368497704
2014-08-18,126014024,43,0.03355390454354632
2014-08-25,126014024,38,0.02970963923182949
2014-09-01,126014024,37,0.02893900957758173
2014-09-08,126014024,44,0.034320987376947255
2014-09-15,126014024,25,0.019644832221907067
2014-09-22,126014024,26,0.020422654834566838
2014-09-29,126014024,35,0.02739596636735752
2014-10-06,126014024,30,0.023527909285899883
2014-10-13,126014024,40,0.031249119215145033
2014-10-20,126014024,25,0.019644832221907067
2014-10-27,126014024,26,0.020422654834566838
2014-11-03,126014024,23,0.018087369616201623
2014-11-10,126014024,42,0.032786232842332806
2014-11-17,126014024,17,0.01340037455388147
2014-11-24,126014024,22,0.017307727734193108
2014-12-01,126014024,26,0.020422654834566838
2014-12-08,126014024,15,0.011833148361432351
2014-12-15,126014024,16,0.012617068482367776
2014-12-22,126014024,14,0.011048613227588402
2014-12-29,252028048,38,0.02970963923182949
2015-01-05,126014024,15,0.011833148361432351
2015-01-12,126014024,12,0.009477694055873412
2015-01-19,126014024,16,0.012617068482367776
2015-01-26,126014024,16,0.012617068482367776
2015-02-02,126014024,31,0.024302718577470902
2015-02-09,126014024,27,0.021199872909402576
2015-02-16,126014024,20,0.01574661807286734
2015-02-23,126014024,17,0.01340037455388147
2015-03-02,126014024,31,0.024302718577470902
2015-03-09,126014024,24,0.01886640413024472
2015-03-16,126014024,22,0.017307727734193108
2015-03-23,126014024,29,0.022752499199358952
2015-03-30,126014024,48,0.03738344805591792
2015-04-06,126014024,47,0.0366187116871938
2015-04-13,126014024,48,0.03738344805591792
2015-04-20,126014024,35,0.02739596636735752
2015-04-27,126014024,55,0.042720289974112716
2015-05-04,126014024,41,0.032017971368497704
2015-05-11,126014024,57,0.044239885169273366
2015-05-18,126014024,43,0.03355390454354632
2015-05-25,126014024,49,0.038147600049792646
2015-06-01,126014024,55,0.042720289974112716
2015-06-08,126014024,36,0.02816778559523368
2015-06-15,126014024,63,0.04878486466964506
2015-06-22,126014024,59,0.04575717469811331
2015-06-29,126014024,49,0.038147600049792646
2015-07-06,126014024,32,0.02507692800435437
2015-07-13,126014024,59,0.04575717469811331
2015-07-20,126014024,61,0.04727216554676199
2015-07-27,126014024,42,0.032786232842332806
2015-08-03,126014024,62,0.0480288011405058
2015-08-10,126014024,62,0.0480288011405058
2015-08-17,126014024,42,0.032786232842332806
2015-08-24,126014024,45,0.035087482245264
2015-08-31,126014024,54,0.04195962555978023
2015-09-07,126014024,33,0.025850538494673593
2015-09-14,126014024,66,0.05104963150346259
2015-09-21,126014024,77,0.05931016781018855
2015-09-28,126014024,61,0.04727216554676199
2015-10-05,126014024,55,0.042720289974112716
2015-10-12,126014024,46,0.035853390049150745
2015-10-19,126014024,47,0.0366187116871938
2015-10-26,126014024,64,0.04954035699856071
2015-11-02,126014024,47,0.0366187116871938
2015-11-09,126014024,35,0.02739596636735752
2015-11-16,126014024,50,0.03891116856123851
2015-11-23,126014024,52,0.04043655869631856
2015-11-30,126014024,34,0.02662355097439956
2015-12-07,126014024,45,0.035087482245264
2015-12-14,126014024,36,0.02816778559523368
2015-12-21,126014024,35,0.02739596636735752
2016-01-04,126014024,46,0.035853390049150745
2016-01-11,126014024,57,0.044239885169273366
2016-01-18,126014024,55,0.042720289974112716
2016-01-25,126014024,52,0.04043655869631856
2016-02-01,126014024,49,0.038147600049792646
2016-02-08,126014024,40,0.031249119215145033
2016-02-15,126014024,58,0.044998817704605024
2016-02-22,126014024,57,0.044239885169273366
2016-02-29,126014024,62,0.0480288011405058
2016-03-07,126014024,49,0.038147600049792646
2016-03-14,126014024,70,0.05406136392677225
2016-03-21,126014024,48,0.03738344805591792
2016-03-28,126014024,46,0.035853390049150745
2016-04-04,126014024,58,0.044998817704605024
2016-04-11,126014024,52,0.04043655869631856
2016-04-18,126014024,47,0.0366187116871938
2016-04-25,126014024,48,0.03738344805591792
2016-05-02,126014024,51,0.03967415448063336
2016-05-09,126014024,45,0.035087482245264
2016-05-16,126014024,47,0.0366187116871938
2016-05-23,126014024,67,0.05180341539844619
2016-05-30,126014024,42,0.032786232842332806
2016-06-06,126014024,52,0.04043655869631856
2016-06-13,126014024,47,0.0366187116871938
2016-06-20,126014024,64,0.04954035699856071
2016-06-27,126014024,55,0.042720289974112716
2016-07-04,126014024,59,0.04575717469811331
2016-07-11,126014024,40,0.031249119215145033
2016-07-18,126014024,44,0.034320987376947255
2016-07-25,126014024,62,0.0480288011405058
2016-08-01,126014024,59,0.04575717469811331
2016-08-08,126014024,45,0.035087482245264
2016-08-15,126014024,54,0.04195962555978023
2016-08-22,126014024,62,0.0480288011405058
2016-08-29,126014024,53,0.04119838209460518
2016-09-05,126014024,51,0.03967415448063336
2016-09-12,126014024,39,0.03047967547328538
2016-09-19,126014024,63,0.04878486466964506
2016-09-26,126014024,57,0.044239885169273366
2016-10-03,126014024,53,0.04119838209460518
2016-10-10,126014024,51,0.03967415448063336
2016-10-17,126014024,57,0.044239885169273366
2016-10-24,126014024,46,0.035853390049150745
2016-10-31,126014024,53,0.04119838209460518
2016-11-07,126014024,65,0.05029527898967602
2016-11-14,126014024,64,0.04954035699856071
2016-11-21,126014024,48,0.03738344805591792
2016-11-28,126014024,64,0.04954035699856071
2016-12-05,126014024,47,0.0366187116871938
2016-12-12,126014024,48,0.03738344805591792
2016-12-19,126014024,36,0.02816778559523368
2016-12-26,126014024,38,0.02970963923182949
2017-01-02,126014024,44,0.034320987376947255
2017-01-09,126014024,66,0.05104963150346259
2017-01-16,126014024,57,0.044239885169273366
