ds,Total,y_original,y
2013-12-30,17185820,0,0.0
2014-01-06,17185820,1,0.005801887030359946
2014-01-13,17185820,3,0.017305641561424563
2014-01-20,17185820,2,0.011570306250718837
2014-01-27,17185820,6,0.0343168854120389
2014-02-03,17185820,2,0.011570306250718837
2014-02-10,17185820,4,0.023008270295047536
2014-02-17,17185820,6,0.0343168854120389
2014-02-24,17185820,2,0.011570306250718837
2014-03-03,17185820,7,0.0399235949415023
2014-03-10,17185820,2,0.011570306250718837
2014-03-17,17185820,4,0.023008270295047536
2014-03-24,17185820,1,0.005801887030359946
2014-03-31,17185820,5,0.028678563365347205
2014-04-07,17185820,1,0.005801887030359946
2014-04-14,17185820,1,0.005801887030359946
2014-04-21,17185820,2,0.011570306250718837
2014-04-28,17185820,5,0.028678563365347205
2014-05-05,17185820,4,0.023008270295047536
2014-05-12,17185820,8,0.045499044463567305
2014-05-19,17185820,1,0.005801887030359946
2014-05-26,17185820,0,0.0
2014-06-02,17185820,3,0.017305641561424563
2014-06-09,17185820,0,0.0
2014-06-16,17185820,2,0.011570306250718837
2014-06-23,17185820,3,0.017305641561424563
2014-06-30,17185820,5,0.028678563365347205
2014-07-07,17185820,4,0.023008270295047536
2014-07-14,17185820,0,0.0
2014-07-21,17185820,0,0.0
2014-07-28,17185820,3,0.017305641561424563
2014-08-04,17185820,2,0.011570306250718837
2014-08-11,17185820,4,0.023008270295047536
2014-08-18,17185820,5,0.028678563365347205
2014-08-25,17185820,2,0.011570306250718837
2014-09-01,17185820,0,0.0
2014-09-08,17185820,3,0.017305641561424563
2014-09-15,17185820,2,0.011570306250718837
2014-09-22,17185820,0,0.0
2014-09-29,17185820,1,0.005801887030359946
2014-10-06,17185820,2,0.011570306250718837
2014-10-13,17185820,1,0.005801887030359946
2014-10-20,17185820,0,0.0
2014-10-27,17185820,0,0.0
2014-11-03,17185820,1,0.005801887030359946
2014-11-10,17185820,5,0.028678563365347205
2014-11-17,17185820,0,0.0
2014-11-24,17185820,0,0.0
2014-12-01,17185820,1,0.005801887030359946
2014-12-08,17185820,1,0.005801887030359946
2014-12-15,17185820,2,0.011570306250718837
2014-12-22,17185820,0,0.0
2014-12-29,34371640,3,0.017305641561424563
2015-01-05,17185820,0,0.0
2015-01-12,17185820,0,0.0
2015-01-19,17185820,1,0.005801887030359946
2015-01-26,17185820,1,0.005801887030359946
2015-02-02,17185820,3,0.017305641561424563
2015-02-09,17185820,3,0.017305641561424563
2015-02-16,17185820,4,0.023008270295047536
2015-02-23,17185820,1,0.005801887030359946
2015-03-02,17185820,4,0.023008270295047536
2015-03-09,17185820,2,0.011570306250718837
2015-03-16,17185820,1,0.005801887030359946
2015-03-23,17185820,1,0.005801887030359946
2015-03-30,17185820,4,0.023008270295047536
2015-04-06,17185820,3,0.017305641561424563
2015-04-13,17185820,3,0.017305641561424563
2015-04-20,17185820,2,0.011570306250718837
2015-04-27,17185820,2,0.011570306250718837
2015-05-04,17185820,5,0.028678563365347205
2015-05-11,17185820,3,0.017305641561424563
2015-05-18,17185820,4,0.023008270295047536
2015-05-25,17185820,4,0.023008270295047536
2015-06-01,17185820,2,0.011570306250718837
2015-06-08,17185820,1,0.005801887030359946
2015-06-15,17185820,3,0.017305641561424563
2015-06-22,17185820,2,0.011570306250718837
2015-06-29,17185820,3,0.017305641561424563
2015-07-06,17185820,4,0.023008270295047536
2015-07-13,17185820,6,0.0343168854120389
2015-07-20,17185820,3,0.017305641561424563
2015-07-27,17185820,1,0.005801887030359946
2015-08-03,17185820,2,0.011570306250718837
2015-08-10,17185820,7,0.0399235949415023
2015-08-17,17185820,2,0.011570306250718837
2015-08-24,17185820,2,0.011570306250718837
2015-08-31,17185820,7,0.0399235949415023
2015-09-07,17185820,2,0.011570306250718837
2015-09-14,17185820,2,0.011570306250718837
2015-09-21,17185820,5,0.028678563365347205
2015-09-28,17185820,6,0.0343168854120389
2015-10-05,17185820,3,0.017305641561424563
2015-10-12,17185820,2,0.011570306250718837
2015-10-19,17185820,3,0.017305641561424563
2015-10-26,17185820,3,0.017305641561424563
2015-11-02,17185820,0,0.0
2015-11-09,17185820,2,0.011570306250718837
2015-11-16,17185820,4,0.023008270295047536
2015-11-23,17185820,3,0.017305641561424563
2015-11-30,17185820,2,0.011570306250718837
2015-12-07,17185820,3,0.017305641561424563
2015-12-14,17185820,1,0.005801887030359946
2015-12-21,17185820,3,0.017305641561424563
2016-01-04,17185820,3,0.017305641561424563
2016-01-11,17185820,6,0.0343168854120389
2016-01-18,17185820,0,0.0
2016-01-25,17185820,2,0.011570306250718837
2016-02-01,17185820,5,0.028678563365347205
2016-02-08,17185820,2,0.011570306250718837
2016-02-15,17185820,0,0.0
2016-02-22,17185820,2,0.011570306250718837
2016-02-29,17185820,3,0.017305641561424563
2016-03-07,17185820,2,0.011570306250718837
2016-03-14,17185820,5,0.028678563365347205
