ds,Total,y_original,y
2013-12-30,1425607,0,0.0
2014-01-06,1425607,1,0.06779467571662802
2014-01-13,1425607,1,0.06779467571662802
2014-01-20,1425607,1,0.06779467571662802
2014-01-27,1425607,2,0.13128359655952038
2014-02-03,1425607,2,0.13128359655952038
2014-02-10,1425607,6,0.35127172079234525
2014-02-17,1425607,2,0.13128359655952038
2014-02-24,1425607,2,0.13128359655952038
2014-03-03,1425607,3,0.19098118470902253
2014-03-10,1425607,3,0.19098118470902253
2014-03-17,1425607,1,0.06779467571662802
2014-03-24,1425607,14,0.6841255208387823
2014-03-31,1425607,7,0.39945972071025365
2014-04-07,1425607,13,0.6480934676675805
2014-04-14,1425607,11,0.5718837419408329
2014-04-21,1425607,7,0.39945972071025365
2014-04-28,1425607,5,0.3006435547750989
2014-05-05,1425607,10,0.53148411441006
2014-05-12,1425607,13,0.6480934676675805
2014-05-19,1425607,9,0.489383392298323
2014-05-26,1425607,2,0.13128359655952038
2014-06-02,1425607,3,0.19098118470902253
2014-06-09,1425607,7,0.39945972071025365
2014-06-16,1425607,10,0.53148411441006
2014-06-23,1425607,10,0.53148411441006
2014-06-30,1425607,13,0.6480934676675805
2014-07-07,1425607,25,1.0129233010232748
2014-07-14,1425607,19,0.8470545259018084
2014-07-21,1425607,33,1.1983983303675756
2014-07-28,1425607,16,0.7525140445744761
2014-08-04,1425607,35,1.2398498278249195
2014-08-11,1425607,31,1.1551540238662477
2014-08-18,1425607,12,0.6107144194718213
2014-08-25,1425607,21,0.905454932085722
2014-09-01,1425607,23,0.9606321036406595
2014-09-08,1425607,12,0.6107144194718213
2014-09-15,1425607,16,0.7525140445744761
2014-09-22,1425607,12,0.6107144194718213
2014-09-29,1425607,17,0.7850308163906221
2014-10-06,1425607,25,1.0129233010232748
2014-10-13,1425607,20,0.8766809943532432
2014-10-20,1425607,29,1.109954789421362
2014-10-27,1425607,36,1.259948554734192
2014-11-03,1425607,20,0.8766809943532432
2014-11-10,1425607,40,1.3365320946326964
2014-11-17,1425607,20,0.8766809943532432
2014-11-24,1425607,18,0.8165234616557956
2014-12-01,1425607,17,0.7850308163906221
2014-12-08,1425607,21,0.905454932085722
2014-12-15,1425607,19,0.8470545259018084
2014-12-22,1425607,21,0.905454932085722
2014-12-29,2851214,38,1.298973275416609
2015-01-05,1425607,24,0.9871194595629883
2015-01-12,1425607,27,1.0626154725404773
2015-01-19,1425607,18,0.8165234616557956
2015-01-26,1425607,29,1.109954789421362
2015-02-02,1425607,19,0.8470545259018084
2015-02-09,1425607,34,1.2193388420516136
2015-02-16,1425607,21,0.905454932085722
2015-02-23,1425607,47,1.4578801656257279
2015-03-02,1425607,24,0.9871194595629883
2015-03-09,1425607,34,1.2193388420516136
2015-03-16,1425607,31,1.1551540238662477
2015-03-23,1425607,33,1.1983983303675756
2015-03-30,1425607,25,1.0129233010232748
2015-04-06,1425607,19,0.8470545259018084
2015-04-13,1425607,22,0.9334240346290061
2015-04-20,1425607,16,0.7525140445744761
2015-04-27,1425607,42,1.3727311654440135
2015-05-04,1425607,28,1.0865652311932434
2015-05-11,1425607,32,1.1770099176603945
2015-05-18,1425607,37,1.2796512690999184
2015-05-25,1425607,17,0.7850308163906221
2015-06-01,1425607,28,1.0865652311932434
2015-06-08,1425607,28,1.0865652311932434
2015-06-15,1425607,39,1.317929007773785
2015-06-22,1425607,30,1.13280975625789
2015-06-29,1425607,18,0.8165234616557956
2015-07-06,1425607,29,1.109954789421362
2015-07-13,1425607,19,0.8470545259018084
2015-07-20,1425607,29,1.109954789421362
2015-07-27,1425607,36,1.259948554734192
2015-08-03,1425607,19,0.8470545259018084
2015-08-10,1425607,21,0.905454932085722
2015-08-17,1425607,27,1.0626154725404773
2015-08-24,1425607,39,1.317929007773785
2015-08-31,1425607,26,1.0380780190180456
2015-09-07,1425607,34,1.2193388420516136
2015-09-14,1425607,59,1.6367783304284613
2015-09-21,1425607,42,1.3727311654440135
2015-09-28,1425607,35,1.2398498278249195
2015-10-05,1425607,33,1.1983983303675756
2015-10-12,1425607,38,1.298973275416609
2015-10-19,1425607,36,1.259948554734192
2015-10-26,1425607,35,1.2398498278249195
2015-11-02,1425607,51,1.521136287766358
2015-11-09,1425607,31,1.1551540238662477
2015-11-16,1425607,26,1.0380780190180456
2015-11-23,1425607,33,1.1983983303675756
2015-11-30,1425607,40,1.3365320946326964
2015-12-07,1425607,23,0.9606321036406595
2015-12-14,1425607,16,0.7525140445744761
2015-12-21,1425607,24,0.9871194595629883
2016-01-04,1425607,22,0.9334240346290061
2016-01-11,1425607,40,1.3365320946326964
2016-01-18,1425607,33,1.1983983303675756
2016-01-25,1425607,37,1.2796512690999184
2016-02-01,1425607,25,1.0129233010232748
2016-02-08,1425607,31,1.1551540238662477
2016-02-15,1425607,31,1.1551540238662477
2016-02-22,1425607,27,1.0626154725404773
2016-02-29,1425607,61,1.6637137838979685
2016-03-07,1425607,45,1.4246854410956207
2016-03-14,1425607,49,1.490008310452764
2016-03-21,1425607,37,1.2796512690999184
2016-03-28,1425607,60,1.6503367442534997
2016-04-04,1425607,59,1.6367783304284613
2016-04-11,1425607,76,1.8454680716393848
2016-04-18,1425607,27,1.0626154725404773
2016-04-25,1425607,38,1.298973275416609
2016-05-02,1425607,34,1.2193388420516136
2016-05-09,1425607,23,0.9606321036406595
2016-05-16,1425607,23,0.9606321036406595
2016-05-23,1425607,58,1.6230335563747649
2016-05-30,1425607,57,1.6090972275728581
2016-06-06,1425607,59,1.6367783304284613
2016-06-13,1425607,50,1.5056934130914041
2016-06-20,1425607,48,1.4740732597015407
2016-06-27,1425607,31,1.1551540238662477
2016-07-04,1425607,42,1.3727311654440135
2016-07-11,1425607,73,1.8116643479335734
2016-07-18,1425607,43,1.3903508820852
2016-07-25,1425607,32,1.1770099176603945
2016-08-01,1425607,44,1.4076655120956827
2016-08-08,1425607,58,1.6230335563747649
2016-08-15,1425607,41,1.3547954176869788
2016-08-22,1425607,65,1.7155012219545862
2016-08-29,1425607,75,1.8343266486219312
2016-09-05,1425607,60,1.6503367442534997
2016-09-12,1425607,42,1.3727311654440135
2016-09-19,1425607,63,1.6899427078130567
2016-09-26,1425607,47,1.4578801656257279
2016-10-03,1425607,56,1.5949639292454063
2016-10-10,1425607,49,1.490008310452764
2016-10-17,1425607,47,1.4578801656257279
2016-10-24,1425607,28,1.0865652311932434
2016-10-31,1425607,55,1.5806280137260713
2016-11-07,1425607,54,1.5660835869096397
2016-11-14,1425607,28,1.0865652311932434
2016-11-21,1425607,41,1.3547954176869788
2016-11-28,1425607,53,1.551324493702146
2016-12-05,1425607,34,1.2193388420516136
2016-12-12,1425607,19,0.8470545259018084
2016-12-19,1425607,34,1.2193388420516136
2016-12-26,1425607,23,0.9606321036406595
2017-01-02,1425607,31,1.1551540238662477
2017-01-09,1425607,41,1.3547954176869788
2017-01-16,1425607,47,1.4578801656257279
2017-01-23,1425607,40,1.3365320946326964
2017-01-30,1425607,45,1.4246854410956207
2017-02-06,1425607,31,1.1551540238662477
2017-02-13,1425607,49,1.490008310452764
2017-02-20,1425607,47,1.4578801656257279
2017-02-27,1425607,33,1.1983983303675756
2017-03-06,1425607,44,1.4076655120956827
2017-03-13,1425607,37,1.2796512690999184
2017-03-20,1425607,61,1.6637137838979685
2017-03-27,1425607,47,1.4578801656257279
2017-04-03,1425607,36,1.259948554734192
2017-04-10,1425607,42,1.3727311654440135
2017-04-17,1425607,35,1.2398498278249195
2017-04-24,1425607,43,1.3903508820852
2017-05-01,1425607,31,1.1551540238662477
2017-05-08,1425607,33,1.1983983303675756
2017-05-15,1425607,40,1.3365320946326964
2017-05-22,1425607,48,1.4740732597015407
2017-05-29,1425607,46,1.4414205332544623
2017-06-05,1425607,35,1.2398498278249195
2017-06-12,1425607,60,1.6503367442534997
2017-06-19,1425607,52,1.5363443023811012
2017-06-26,1425607,60,1.6503367442534997
2017-07-03,1425607,42,1.3727311654440135
2017-07-10,1425607,56,1.5949639292454063
2017-07-17,1425607,35,1.2398498278249195
2017-07-24,1425607,38,1.298973275416609
2017-07-31,1425607,38,1.298973275416609
2017-08-07,1425607,36,1.259948554734192
2017-08-14,1425607,51,1.521136287766358
2017-08-21,1425607,42,1.3727311654440135
2017-08-28,1425607,39,1.317929007773785
2017-09-04,1425607,46,1.4414205332544623
2017-09-11,1425607,40,1.3365320946326964
2017-09-18,1425607,53,1.551324493702146
2017-09-25,1425607,37,1.2796512690999184
2017-10-02,1425607,34,1.2193388420516136
2017-10-09,1425607,41,1.3547954176869788
2017-10-16,1425607,52,1.5363443023811012
2017-10-23,1425607,33,1.1983983303675756
2017-10-30,1425607,33,1.1983983303675756
2017-11-06,1425607,39,1.317929007773785
2017-11-13,1425607,38,1.298973275416609
2017-11-20,1425607,37,1.2796512690999184
2017-11-27,1425607,27,1.0626154725404773
2017-12-04,1425607,32,1.1770099176603945
2017-12-11,1425607,38,1.298973275416609
2017-12-18,1425607,24,0.9871194595629883
2017-12-25,1425607,34,1.2193388420516136
2018-01-01,1425607,35,1.2398498278249195
2018-01-08,1425607,39,1.317929007773785
2018-01-15,1425607,45,1.4246854410956207
2018-01-22,1425607,32,1.1770099176603945
2018-01-29,1425607,33,1.1983983303675756
2018-02-05,1425607,44,1.4076655120956827
2018-02-12,1425607,35,1.2398498278249195
2018-02-19,1425607,41,1.3547954176869788
2018-02-26,1425607,36,1.259948554734192
2018-03-05,1425607,39,1.317929007773785
2018-03-12,1425607,29,1.109954789421362
2018-03-19,1425607,33,1.1983983303675756
2018-03-26,1425607,19,0.8470545259018084
2018-04-02,1425607,24,0.9871194595629883
2018-04-09,1425607,21,0.905454932085722
2018-04-16,1425607,32,1.1770099176603945
2018-04-23,1425607,15,0.7189042925861644
2018-04-30,1425607,13,0.6480934676675805
2018-05-07,1425607,28,1.0865652311932434
2018-05-14,1425607,42,1.3727311654440135
2018-05-21,1425607,36,1.259948554734192
2018-05-28,1425607,26,1.0380780190180456
2018-06-04,1425607,21,0.905454932085722
