ds,Total,y_original,y
2013-12-30,798447,0,0.0
2014-01-06,798447,1,0.11799912628282197
2014-01-13,798447,2,0.22353248082757987
2014-01-20,798447,2,0.22353248082757987
2014-01-27,798447,3,0.3189840520502457
2014-02-03,798447,1,0.11799912628282197
2014-02-10,798447,2,0.22353248082757987
2014-02-17,798447,0,0.0
2014-02-24,798447,2,0.22353248082757987
2014-03-03,798447,5,0.48625562294317565
2014-03-10,798447,3,0.3189840520502457
2014-03-17,798447,4,0.4061132399524352
2014-03-24,798447,2,0.22353248082757987
2014-03-31,798447,3,0.3189840520502457
2014-04-07,798447,4,0.4061132399524352
2014-04-14,798447,3,0.3189840520502457
2014-04-21,798447,3,0.3189840520502457
2014-04-28,798447,3,0.3189840520502457
2014-05-05,798447,2,0.22353248082757987
2014-05-12,798447,3,0.3189840520502457
2014-05-19,798447,4,0.4061132399524352
2014-05-26,798447,5,0.48625562294317565
2014-06-02,798447,11,0.8661228715056862
2014-06-09,798447,3,0.3189840520502457
2014-06-16,798447,2,0.22353248082757987
2014-06-23,798447,4,0.4061132399524352
2014-06-30,798447,0,0.0
2014-07-07,798447,6,0.5604490231762019
2014-07-14,798447,1,0.11799912628282197
2014-07-21,798447,6,0.5604490231762019
2014-07-28,798447,1,0.11799912628282197
2014-08-04,798447,4,0.4061132399524352
2014-08-11,798447,3,0.3189840520502457
2014-08-18,798447,17,1.140756026831542
2014-08-25,798447,2,0.22353248082757987
2014-09-01,798447,1,0.11799912628282197
2014-09-08,798447,1,0.11799912628282197
2014-09-15,798447,4,0.4061132399524352
2014-09-22,798447,3,0.3189840520502457
2014-09-29,798447,6,0.5604490231762019
2014-10-06,798447,1,0.11799912628282197
2014-10-13,798447,2,0.22353248082757987
2014-10-20,798447,1,0.11799912628282197
2014-10-27,798447,2,0.22353248082757987
2014-11-03,798447,11,0.8661228715056862
2014-11-10,798447,2,0.22353248082757987
2014-11-17,798447,3,0.3189840520502457
2014-11-24,798447,4,0.4061132399524352
2014-12-01,798447,4,0.4061132399524352
2014-12-08,798447,3,0.3189840520502457
2014-12-15,798447,4,0.4061132399524352
2014-12-22,798447,1,0.11799912628282197
2014-12-29,1596894,3,0.3189840520502457
2015-01-05,798447,4,0.4061132399524352
2015-01-12,798447,5,0.48625562294317565
2015-01-19,798447,5,0.48625562294317565
