ds,Total,y_original,y
2013-12-30,3769020,2,0.051704192122637695
2014-01-06,3769020,50,0.8444100348381394
2014-01-13,3769020,54,0.8890153896100832
2014-01-20,3769020,45,0.7857009806910009
2014-01-27,3769020,35,0.6568064611905581
2014-02-03,3769020,33,0.6289068357210533
2014-02-10,3769020,50,0.8444100348381394
2014-02-17,3769020,51,0.8557492847191845
2014-02-24,3769020,80,1.138655634555555
2014-03-03,3769020,49,0.8329407302367625
2014-03-10,3769020,42,0.7487465034193941
2014-03-17,3769020,42,0.7487465034193941
2014-03-24,3769020,61,0.9625855370173397
2014-03-31,3769020,6,0.1477237069471374
2014-04-07,3769020,23,0.4763821215658568
2014-04-14,3769020,32,0.6146595915862136
2014-04-21,3769020,54,0.8890153896100832
2014-04-28,3769020,34,0.6429539439379619
2014-05-05,3769020,52,0.8669613963181263
2014-05-12,3769020,40,0.7233290095806085
2014-05-19,3769020,56,0.910593480948061
2014-05-26,3769020,53,0.8780491890595549
2014-06-02,3769020,63,0.98264836250782
2014-06-09,3769020,47,0.8095997787723231
2014-06-16,3769020,47,0.8095997787723231
2014-06-23,3769020,54,0.8890153896100832
2014-06-30,3769020,16,0.35383037580371246
2014-07-07,3769020,14,0.3158680947085162
2014-07-14,3769020,26,0.5246305908764396
2014-07-21,3769020,18,0.3904040751918622
2014-07-28,3769020,17,0.37228442061537736
2014-08-04,3769020,12,0.2764076168485499
2014-08-11,3769020,10,0.23532581234035135
2014-08-18,3769020,59,0.9421119392472508
2014-08-25,3769020,10,0.23532581234035135
2014-09-01,3769020,29,0.570657901877787
2014-09-08,3769020,33,0.6289068357210533
2014-09-15,3769020,10,0.23532581234035135
2014-09-22,3769020,26,0.5246305908764396
2014-09-29,3769020,22,0.4597677391076458
2014-10-06,3769020,14,0.3158680947085162
2014-10-13,3769020,22,0.4597677391076458
2014-10-20,3769020,17,0.37228442061537736
2014-10-27,3769020,29,0.570657901877787
2014-11-03,3769020,14,0.3158680947085162
2014-11-10,3769020,61,0.9625855370173397
2014-11-17,3769020,10,0.23532581234035135
2014-11-24,3769020,6,0.1477237069471374
2014-12-01,3769020,16,0.35383037580371246
2014-12-08,3769020,16,0.35383037580371246
2014-12-15,3769020,26,0.5246305908764396
2014-12-22,3769020,1,0.026186224281153726
2014-12-29,7538040,44,0.7735339299185656
2015-01-05,3769020,18,0.3904040751918622
2015-01-12,3769020,22,0.4597677391076458
2015-01-19,3769020,14,0.3158680947085162
2015-01-26,3769020,12,0.2764076168485499
2015-02-02,3769020,23,0.4763821215658568
2015-02-09,3769020,21,0.4428726485876981
2015-02-16,3769020,19,0.4082012425767663
2015-02-23,3769020,25,0.5088050218699732
2015-03-02,3769020,23,0.4763821215658568
2015-03-09,3769020,13,0.2963324843155667
2015-03-16,3769020,16,0.35383037580371246
2015-03-23,3769020,35,0.6568064611905581
2015-03-30,3769020,55,0.8998626359031829
2015-04-06,3769020,64,0.9925308228505404
2015-04-13,3769020,76,1.1040770915968414
2015-04-20,3769020,46,0.7977217721014056
2015-04-27,3769020,56,0.910593480948061
2015-05-04,3769020,70,1.0498584728094205
2015-05-11,3769020,63,0.98264836250782
2015-05-18,3769020,52,0.8669613963181263
2015-05-25,3769020,64,0.9925308228505404
2015-06-01,3769020,56,0.910593480948061
2015-06-08,3769020,63,0.98264836250782
2015-06-15,3769020,49,0.8329407302367625
2015-06-22,3769020,43,0.7612170167669312
2015-06-29,3769020,69,1.0405291940792478
2015-07-06,3769020,41,0.7361185104503749
2015-07-13,3769020,50,0.8444100348381394
2015-07-20,3769020,50,0.8444100348381394
2015-07-27,3769020,41,0.7361185104503749
2015-08-03,3769020,59,0.9421119392472508
2015-08-10,3769020,80,1.138655634555555
2015-08-17,3769020,54,0.8890153896100832
2015-08-24,3769020,51,0.8557492847191845
2015-08-31,3769020,58,0.931715776159247
2015-09-07,3769020,41,0.7361185104503749
2015-09-14,3769020,62,0.9726672635395814
2015-09-21,3769020,58,0.931715776159247
2015-09-28,3769020,60,0.9524011332429128
2015-10-05,3769020,63,0.98264836250782
2015-10-12,3769020,68,1.0311120596337826
2015-10-19,3769020,55,0.8998626359031829
2015-10-26,3769020,58,0.931715776159247
2015-11-02,3769020,49,0.8329407302367625
2015-11-09,3769020,52,0.8669613963181263
2015-11-16,3769020,44,0.7735339299185656
2015-11-23,3769020,50,0.8444100348381394
2015-11-30,3769020,52,0.8669613963181263
2015-12-07,3769020,44,0.7735339299185656
2015-12-14,3769020,24,0.4927249715205278
2015-12-21,3769020,14,0.3158680947085162
2016-01-04,3769020,26,0.5246305908764396
2016-01-11,3769020,48,0.8213383529606371
2016-01-18,3769020,48,0.8213383529606371
2016-01-25,3769020,68,1.0311120596337826
2016-02-01,3769020,47,0.8095997787723231
2016-02-08,3769020,43,0.7612170167669312
2016-02-15,3769020,91,1.228007851914377
2016-02-22,3769020,68,1.0311120596337826
2016-02-29,3769020,62,0.9726672635395814
2016-03-07,3769020,57,0.9212103964363344
2016-03-14,3769020,60,0.9524011332429128
2016-03-21,3769020,23,0.4763821215658568
2016-03-28,3769020,54,0.8890153896100832
2016-04-04,3769020,75,1.0952423470307555
2016-04-11,3769020,55,0.8998626359031829
2016-04-18,3769020,71,1.059101519956789
2016-04-25,3769020,51,0.8557492847191845
2016-05-02,3769020,59,0.9421119392472508
