ds,Total,y_original,y
2013-12-30,5543828,0,0.0
2014-01-06,5543828,10,0.16583707846113682
2014-01-13,5543828,7,0.11890821895388169
2014-01-20,5543828,14,0.22516797059071747
2014-01-27,5543828,17,0.26746455907600947
2014-02-03,5543828,17,0.26746455907600947
2014-02-10,5543828,14,0.22516797059071747
2014-02-17,5543828,16,0.2535635302612396
2014-02-24,5543828,15,0.2394665355161802
2014-03-03,5543828,14,0.22516797059071747
2014-03-10,5543828,21,0.3212132879413459
2014-03-17,5543828,12,0.19594247934717238
2014-03-24,5543828,14,0.22516797059071747
2014-03-31,5543828,15,0.2394665355161802
2014-04-07,5543828,15,0.2394665355161802
2014-04-14,5543828,12,0.19594247934717238
2014-04-21,5543828,18,0.2811749956893159
2014-04-28,5543828,3,0.05270082468405777
2014-05-05,5543828,16,0.2535635302612396
2014-05-12,5543828,5,0.08635234915539934
2014-05-19,5543828,18,0.2811749956893159
2014-05-26,5543828,18,0.2811749956893159
2014-06-02,5543828,12,0.19594247934717238
2014-06-09,5543828,39,0.5326761695603374
2014-06-16,5543828,24,0.35971003807223967
2014-06-23,5543828,32,0.45566284317417116
2014-06-30,5543828,33,0.467034577717296
2014-07-07,5543828,8,0.13479713485766653
2014-07-14,5543828,51,0.6522949567709778
2014-07-21,5543828,29,0.4207505234101751
2014-07-28,5543828,39,0.5326761695603374
2014-08-04,5543828,9,0.15043753658723152
2014-08-11,5543828,11,0.18100306652137552
2014-08-18,5543828,33,0.467034577717296
2014-08-25,5543828,21,0.3212132879413459
2014-09-01,5543828,9,0.15043753658723152
2014-09-08,5543828,23,0.3470417436304146
2014-09-15,5543828,21,0.3212132879413459
2014-09-22,5543828,36,0.5003938792915582
2014-09-29,5543828,67,0.7923367364123582
2014-10-06,5543828,20,0.3080445086201134
2014-10-13,5543828,58,0.7159885705992354
2014-10-20,5543828,58,0.7159885705992354
2014-10-27,5543828,18,0.2811749956893159
2014-11-03,5543828,45,0.5942730796218699
2014-11-10,5543828,14,0.22516797059071747
2014-11-17,5543828,17,0.26746455907600947
2014-11-24,5543828,51,0.6522949567709778
2014-12-01,5543828,13,0.21066198733679312
2014-12-08,5543828,16,0.2535635302612396
2014-12-15,5543828,24,0.35971003807223967
2014-12-22,5543828,7,0.11890821895388169
2014-12-29,11087656,57,0.7071341190046635
2015-01-05,5543828,13,0.21066198733679312
2015-01-12,5543828,59,0.7247653084897182
2015-01-19,5543828,20,0.3080445086201134
2015-01-26,5543828,15,0.2394665355161802
2015-02-02,5543828,20,0.3080445086201134
2015-02-09,5543828,13,0.21066198733679312
2015-02-16,5543828,21,0.3212132879413459
2015-02-23,5543828,12,0.19594247934717238
2015-03-02,5543828,14,0.22516797059071747
2015-03-09,5543828,23,0.3470417436304146
2015-03-16,5543828,35,0.4893972992260004
2015-03-23,5543828,10,0.16583707846113682
2015-03-30,5543828,16,0.2535635302612396
2015-04-06,5543828,24,0.35971003807223967
2015-04-13,5543828,20,0.3080445086201134
2015-04-20,5543828,6,0.10276276378653601
