ds,Total,y_original,y
2013-12-30,3741869,1,0.026373747718484643
2014-01-06,3741869,51,0.8599130604197315
2014-01-13,3741869,46,0.8017020727612647
2014-01-20,3741869,43,0.7650762996401786
2014-01-27,3741869,52,0.8711594085160269
2014-02-03,3741869,47,0.8136185103680613
2014-02-10,3741869,51,0.8599130604197315
2014-02-17,3741869,67,1.0262383701982958
2014-02-24,3741869,79,1.1350227772020987
2014-03-03,3741869,51,0.8599130604197315
2014-03-10,3741869,61,0.9670604128304199
2014-03-17,3741869,70,1.0545638770649555
2014-03-24,3741869,75,1.1000598925591591
2014-03-31,3741869,86,1.193412246457524
2014-04-07,3741869,109,1.3642999450972453
2014-04-14,3741869,64,0.9970870814829076
2014-04-21,3741869,94,1.2562180211626013
2014-04-28,3741869,80,1.143575781825653
2014-05-05,3741869,62,0.9771698119404163
2014-05-12,3741869,78,1.1263959871496532
2014-05-19,3741869,124,1.461831236172092
2014-05-26,3741869,102,1.3153112517286334
2014-06-02,3741869,86,1.193412246457524
2014-06-09,3741869,129,1.492336529575215
2014-06-16,3741869,120,1.436738758776427
2014-06-23,3741869,120,1.436738758776427
2014-06-30,3741869,75,1.1000598925591591
2014-07-07,3741869,99,1.29355844726687
2014-07-14,3741869,124,1.461831236172092
2014-07-21,3741869,99,1.29355844726687
2014-07-28,3741869,117,1.4174973672715623
2014-08-04,3741869,96,1.2713219163992224
2014-08-11,3741869,119,1.4303660100342286
2014-08-18,3741869,102,1.3153112517286334
2014-08-25,3741869,125,1.4680071950965192
2014-09-01,3741869,162,1.6732362721127794
2014-09-08,3741869,98,1.2862010741866299
2014-09-15,3741869,90,1.2253081234588443
2014-09-22,3741869,162,1.6732362721127794
2014-09-29,3741869,126,1.474145245553693
2014-10-06,3741869,113,1.3912523601960103
2014-10-13,3741869,119,1.4303660100342286
2014-10-20,3741869,135,1.5277554508103888
2014-10-27,3741869,137,1.5392883609480075
2014-11-03,3741869,84,1.1770745084311705
2014-11-10,3741869,96,1.2713219163992224
2014-11-17,3741869,109,1.3642999450972453
2014-11-24,3741869,118,1.4239523887558827
2014-12-01,3741869,106,1.3435979421846753
2014-12-08,3741869,120,1.436738758776427
2014-12-15,3741869,33,0.6322883986681331
2014-12-22,3741869,94,1.2562180211626013
2014-12-29,7483738,190,1.8046224556965942
2015-01-05,3741869,97,1.2787891687047106
2015-01-12,3741869,94,1.2562180211626013
2015-01-19,3741869,118,1.4239523887558827
2015-01-26,3741869,99,1.29355844726687
2015-02-02,3741869,96,1.2713219163992224
2015-02-09,3741869,110,1.3711064573300622
2015-02-16,3741869,111,1.3778669539832573
2015-02-23,3741869,95,1.2637984844662775
2015-03-02,3741869,86,1.193412246457524
2015-03-09,3741869,92,1.2408824952787056
2015-03-16,3741869,71,1.063830178901572
2015-03-23,3741869,118,1.4239523887558827
2015-03-30,3741869,115,1.4044609613123764
2015-04-06,3741869,115,1.4044609613123764
2015-04-13,3741869,132,1.5102027944944505
2015-04-20,3741869,124,1.461831236172092
2015-04-27,3741869,90,1.2253081234588443
2015-05-04,3741869,118,1.4239523887558827
2015-05-11,3741869,144,1.5786372521311007
2015-05-18,3741869,123,1.4556168976253088
2015-05-25,3741869,120,1.436738758776427
2015-06-01,3741869,141,1.5619626670164297
2015-06-08,3741869,123,1.4556168976253088
2015-06-15,3741869,133,1.5160879792630102
2015-06-22,3741869,163,1.678238316118951
2015-06-29,3741869,113,1.3912523601960103
2015-07-06,3741869,117,1.4174973672715623
2015-07-13,3741869,119,1.4303660100342286
2015-07-20,3741869,151,1.6164962488274994
2015-07-27,3741869,110,1.3711064573300622
2015-08-03,3741869,132,1.5102027944944505
2015-08-10,3741869,140,1.5563421072396222
2015-08-17,3741869,151,1.6164962488274994
2015-08-24,3741869,103,1.3224582901741495
2015-08-31,3741869,135,1.5277554508103888
2015-09-07,3741869,131,1.504282769181937
2015-09-14,3741869,142,1.567551812584235
2015-09-21,3741869,145,1.5841342272800534
2015-09-28,3741869,86,1.193412246457524
2015-10-05,3741869,130,1.4983274883525919
2015-10-12,3741869,145,1.5841342272800534
2015-10-19,3741869,142,1.567551812584235
2015-10-26,3741869,155,1.6375033626697844
2015-11-02,3741869,165,1.6881679628312476
2015-11-09,3741869,164,1.6832154641599455
2015-11-16,3741869,158,1.652974072767295
2015-11-23,3741869,165,1.6881679628312476
2015-11-30,3741869,152,1.621789543709616
2015-12-07,3741869,41,0.7398919795863976
2015-12-14,3741869,211,1.8929452765586687
2015-12-21,3741869,109,1.3642999450972453
2016-01-04,3741869,122,1.4493636994623018
2016-01-11,3741869,126,1.474145245553693
2016-01-18,3741869,173,1.7269289955007665
2016-01-25,3741869,172,1.7221652372517258
2016-02-01,3741869,133,1.5160879792630102
2016-02-08,3741869,149,1.6058248532492647
2016-02-15,3741869,110,1.3711064573300622
2016-02-22,3741869,206,1.8726126525709907
2016-02-29,3741869,157,1.6478437171642584
2016-03-07,3741869,163,1.678238316118951
2016-03-14,3741869,198,1.839195276229827
2016-03-21,3741869,147,1.5950383495186742
2016-03-28,3741869,184,1.777885121839721
2016-04-04,3741869,203,1.860211632847281
2016-04-11,3741869,123,1.4556168976253088
2016-04-18,3741869,175,1.7363889676307451
2016-04-25,3741869,206,1.8726126525709907
2016-05-02,3741869,172,1.7221652372517258
2016-05-09,3741869,150,1.6111747858062875
2016-05-16,3741869,150,1.6111747858062875
2016-05-23,3741869,178,1.7504132175442764
2016-05-30,3741869,166,1.6930960550825838
2016-06-06,3741869,160,1.6631564911524506
2016-06-13,3741869,165,1.6881679628312476
2016-06-20,3741869,159,1.6580782421094056
2016-06-27,3741869,166,1.6930960550825838
2016-07-04,3741869,150,1.6111747858062875
2016-07-11,3741869,190,1.8046224556965942
