ds,Total,y_original,y
2013-12-30,3741869,0,0.0
2014-01-06,3741869,8,0.19375338212557167
2014-01-13,3741869,13,0.2981916274529242
2014-01-20,3741869,4,0.10156191601802048
2014-01-27,3741869,10,0.23684614256514014
2014-02-03,3741869,7,0.17149001459519023
2014-02-10,3741869,8,0.19375338212557167
2014-02-17,3741869,15,0.3370928949052922
2014-02-24,3741869,15,0.3370928949052922
2014-03-03,3741869,10,0.23684614256514014
2014-03-10,3741869,14,0.3178314128288669
2014-03-17,3741869,15,0.3370928949052922
2014-03-24,3741869,13,0.2981916274529242
2014-03-31,3741869,23,0.4791281819450354
2014-04-07,3741869,20,0.4281995478662206
2014-04-14,3741869,18,0.3927465892634834
2014-04-21,3741869,26,0.5275883007363219
2014-04-28,3741869,23,0.4791281819450354
2014-05-05,3741869,11,0.25771558399189876
2014-05-12,3741869,21,0.4454655606646753
2014-05-19,3741869,23,0.4791281819450354
2014-05-26,3741869,22,0.46243851112638257
2014-06-02,3741869,17,0.37453734881697764
2014-06-09,3741869,28,0.5586376852363477
2014-06-16,3741869,29,0.573808180563047
2014-06-23,3741869,33,0.6322883986681331
2014-06-30,3741869,15,0.3370928949052922
2014-07-07,3741869,20,0.4281995478662206
2014-07-14,3741869,31,0.6034757207017106
2014-07-21,3741869,19,0.4106301743714791
2014-07-28,3741869,30,0.5887519669650235
2014-08-04,3741869,15,0.3370928949052922
2014-08-11,3741869,25,0.5116944375431758
2014-08-18,3741869,22,0.46243851112638257
2014-08-25,3741869,31,0.6034757207017106
2014-09-01,3741869,38,0.7008848100652783
2014-09-08,3741869,25,0.5116944375431758
2014-09-15,3741869,26,0.5275883007363219
2014-09-22,3741869,33,0.6322883986681331
2014-09-29,3741869,36,0.6740082231437486
2014-10-06,3741869,25,0.5116944375431758
2014-10-13,3741869,31,0.6034757207017106
2014-10-20,3741869,38,0.7008848100652783
2014-10-27,3741869,31,0.6034757207017106
2014-11-03,3741869,14,0.3178314128288669
2014-11-10,3741869,29,0.573808180563047
2014-11-17,3741869,38,0.7008848100652783
2014-11-24,3741869,35,0.660294103032132
2014-12-01,3741869,32,0.6179858273970757
2014-12-08,3741869,29,0.573808180563047
2014-12-15,3741869,5,0.1254187547840481
2014-12-22,3741869,43,0.7650762996401786
2014-12-29,7483738,57,0.9255687286266486
2015-01-05,3741869,38,0.7008848100652783
2015-01-12,3741869,26,0.5275883007363219
2015-01-19,3741869,43,0.7650762996401786
2015-01-26,3741869,35,0.660294103032132
2015-02-02,3741869,25,0.5116944375431758
2015-02-09,3741869,33,0.6322883986681331
2015-02-16,3741869,41,0.7398919795863976
2015-02-23,3741869,31,0.6034757207017106
2015-03-02,3741869,24,0.49554387401170075
2015-03-09,3741869,35,0.660294103032132
2015-03-16,3741869,20,0.4281995478662206
2015-03-23,3741869,31,0.6034757207017106
2015-03-30,3741869,29,0.573808180563047
2015-04-06,3741869,31,0.6034757207017106
2015-04-13,3741869,32,0.6179858273970757
2015-04-20,3741869,32,0.6179858273970757
2015-04-27,3741869,19,0.4106301743714791
2015-05-04,3741869,20,0.4281995478662206
2015-05-11,3741869,41,0.7398919795863976
2015-05-18,3741869,28,0.5586376852363477
2015-05-25,3741869,37,0.6875368077525523
2015-06-01,3741869,38,0.7008848100652783
2015-06-08,3741869,26,0.5275883007363219
2015-06-15,3741869,32,0.6179858273970757
2015-06-22,3741869,48,0.8253946170927892
2015-06-29,3741869,24,0.49554387401170075
2015-07-06,3741869,26,0.5275883007363219
2015-07-13,3741869,20,0.4281995478662206
2015-07-20,3741869,42,0.7525634187652761
2015-07-27,3741869,34,0.6463892875809725
2015-08-03,3741869,40,0.7270579120979724
2015-08-10,3741869,49,0.8370336596447315
2015-08-17,3741869,44,0.7774345413164307
2015-08-24,3741869,28,0.5586376852363477
2015-08-31,3741869,37,0.6875368077525523
2015-09-07,3741869,46,0.8017020727612647
2015-09-14,3741869,44,0.7774345413164307
2015-09-21,3741869,43,0.7650762996401786
2015-09-28,3741869,17,0.37453734881697764
2015-10-05,3741869,42,0.7525634187652761
2015-10-12,3741869,51,0.8599130604197315
2015-10-19,3741869,40,0.7270579120979724
2015-10-26,3741869,52,0.8711594085160269
2015-11-02,3741869,66,1.0166153878762147
2015-11-09,3741869,63,0.9871780330953069
2015-11-16,3741869,52,0.8711594085160269
2015-11-23,3741869,58,0.936104158999641
2015-11-30,3741869,48,0.8253946170927892
2015-12-07,3741869,9,0.21553186763746573
2015-12-14,3741869,87,1.2014820979615175
2015-12-21,3741869,37,0.6875368077525523
2016-01-04,3741869,38,0.7008848100652783
2016-01-11,3741869,43,0.7650762996401786
2016-01-18,3741869,50,0.8485387919775838
2016-01-25,3741869,59,0.9465297502762703
2016-02-01,3741869,33,0.6322883986681331
2016-02-08,3741869,50,0.8485387919775838
2016-02-15,3741869,40,0.7270579120979724
2016-02-22,3741869,70,1.0545638770649555
2016-02-29,3741869,46,0.8017020727612647
2016-03-07,3741869,52,0.8711594085160269
2016-03-14,3741869,54,0.8932796311164973
2016-03-21,3741869,48,0.8253946170927892
2016-03-28,3741869,53,0.8822806816003175
2016-04-04,3741869,66,1.0166153878762147
2016-04-11,3741869,27,0.5432334961806459
2016-04-18,3741869,49,0.8370336596447315
2016-04-25,3741869,63,0.9871780330953069
2016-05-02,3741869,64,0.9970870814829076
2016-05-09,3741869,42,0.7525634187652761
2016-05-16,3741869,42,0.7525634187652761
2016-05-23,3741869,50,0.8485387919775838
2016-05-30,3741869,40,0.7270579120979724
2016-06-06,3741869,41,0.7398919795863976
