ds,Total,y_original,y
2013-12-30,3741869,1,0.026373747718484643
2014-01-06,3741869,43,0.7650762996401786
2014-01-13,3741869,33,0.6322883986681331
2014-01-20,3741869,39,0.7140569875463855
2014-01-27,3741869,42,0.7525634187652761
2014-02-03,3741869,40,0.7270579120979724
2014-02-10,3741869,43,0.7650762996401786
2014-02-17,3741869,52,0.8711594085160269
2014-02-24,3741869,64,0.9970870814829076
2014-03-03,3741869,41,0.7398919795863976
2014-03-10,3741869,47,0.8136185103680613
2014-03-17,3741869,55,0.9041589187044959
2014-03-24,3741869,62,0.9771698119404163
2014-03-31,3741869,63,0.9871780330953069
2014-04-07,3741869,89,1.2174290224899695
2014-04-14,3741869,46,0.8017020727612647
2014-04-21,3741869,68,1.0357696326492678
2014-04-28,3741869,57,0.9255687286266486
2014-05-05,3741869,51,0.8599130604197315
2014-05-12,3741869,57,0.9255687286266486
2014-05-19,3741869,101,1.3081127652025921
2014-05-26,3741869,80,1.143575781825653
2014-06-02,3741869,69,1.0452109071601938
2014-06-09,3741869,101,1.3081127652025921
2014-06-16,3741869,91,1.2331256291945412
2014-06-23,3741869,87,1.2014820979615175
2014-06-30,3741869,60,0.9568477691411253
2014-07-07,3741869,79,1.1350227772020987
2014-07-14,3741869,93,1.248579655226858
2014-07-21,3741869,80,1.143575781825653
2014-07-28,3741869,87,1.2014820979615175
2014-08-04,3741869,81,1.1520562525058429
2014-08-11,3741869,94,1.2562180211626013
2014-08-18,3741869,80,1.143575781825653
2014-08-25,3741869,94,1.2562180211626013
2014-09-01,3741869,124,1.461831236172092
2014-09-08,3741869,73,1.0821091007766865
2014-09-15,3741869,64,0.9970870814829076
2014-09-22,3741869,129,1.492336529575215
2014-09-29,3741869,90,1.2253081234588443
2014-10-06,3741869,88,1.2094873479391621
2014-10-13,3741869,88,1.2094873479391621
2014-10-20,3741869,97,1.2787891687047106
2014-10-27,3741869,106,1.3435979421846753
2014-11-03,3741869,70,1.0545638770649555
2014-11-10,3741869,67,1.0262383701982958
2014-11-17,3741869,71,1.063830178901572
2014-11-24,3741869,83,1.168804441169488
2014-12-01,3741869,74,1.091124774992841
2014-12-08,3741869,91,1.2331256291945412
2014-12-15,3741869,28,0.5586376852363477
2014-12-22,3741869,51,0.8599130604197315
2014-12-29,7483738,133,1.5160879792630102
2015-01-05,3741869,59,0.9465297502762703
2015-01-12,3741869,68,1.0357696326492678
2015-01-19,3741869,75,1.1000598925591591
2015-01-26,3741869,64,0.9970870814829076
2015-02-02,3741869,71,1.063830178901572
2015-02-09,3741869,77,1.117694127511427
2015-02-16,3741869,70,1.0545638770649555
2015-02-23,3741869,64,0.9970870814829076
2015-03-02,3741869,62,0.9771698119404163
2015-03-09,3741869,57,0.9255687286266486
2015-03-16,3741869,51,0.8599130604197315
2015-03-23,3741869,87,1.2014820979615175
2015-03-30,3741869,86,1.193412246457524
2015-04-06,3741869,84,1.1770745084311705
2015-04-13,3741869,100,1.300862084522352
2015-04-20,3741869,92,1.2408824952787056
2015-04-27,3741869,71,1.063830178901572
2015-05-04,3741869,98,1.2862010741866299
2015-05-11,3741869,103,1.3224582901741495
2015-05-18,3741869,95,1.2637984844662775
2015-05-25,3741869,83,1.168804441169488
2015-06-01,3741869,103,1.3224582901741495
2015-06-08,3741869,97,1.2787891687047106
2015-06-15,3741869,101,1.3081127652025921
2015-06-22,3741869,115,1.4044609613123764
2015-06-29,3741869,89,1.2174290224899695
2015-07-06,3741869,91,1.2331256291945412
2015-07-13,3741869,99,1.29355844726687
2015-07-20,3741869,109,1.3642999450972453
2015-07-27,3741869,76,1.1089158803119517
2015-08-03,3741869,92,1.2408824952787056
2015-08-10,3741869,91,1.2331256291945412
2015-08-17,3741869,107,1.3505463380000287
2015-08-24,3741869,75,1.1000598925591591
2015-08-31,3741869,98,1.2862010741866299
2015-09-07,3741869,85,1.185276742283752
2015-09-14,3741869,98,1.2862010741866299
2015-09-21,3741869,102,1.3153112517286334
2015-09-28,3741869,69,1.0452109071601938
2015-10-05,3741869,88,1.2094873479391621
2015-10-12,3741869,94,1.2562180211626013
2015-10-19,3741869,102,1.3153112517286334
2015-10-26,3741869,103,1.3224582901741495
2015-11-02,3741869,99,1.29355844726687
2015-11-09,3741869,101,1.3081127652025921
2015-11-16,3741869,106,1.3435979421846753
2015-11-23,3741869,107,1.3505463380000287
2015-11-30,3741869,104,1.3295546107294778
2015-12-07,3741869,32,0.6179858273970757
2015-12-14,3741869,124,1.461831236172092
2015-12-21,3741869,72,1.0730114041308219
2016-01-04,3741869,84,1.1770745084311705
2016-01-11,3741869,83,1.168804441169488
2016-01-18,3741869,123,1.4556168976253088
2016-01-25,3741869,113,1.3912523601960103
2016-02-01,3741869,100,1.300862084522352
2016-02-08,3741869,99,1.29355844726687
2016-02-15,3741869,70,1.0545638770649555
2016-02-22,3741869,136,1.533538531789088
2016-02-29,3741869,111,1.3778669539832573
2016-03-07,3741869,111,1.3778669539832573
2016-03-14,3741869,144,1.5786372521311007
2016-03-21,3741869,99,1.29355844726687
2016-03-28,3741869,131,1.504282769181937
2016-04-04,3741869,137,1.5392883609480075
2016-04-11,3741869,96,1.2713219163992224
2016-04-18,3741869,126,1.474145245553693
2016-04-25,3741869,143,1.5731098931502596
2016-05-02,3741869,108,1.357446786575797
2016-05-09,3741869,108,1.357446786575797
2016-05-16,3741869,108,1.357446786575797
2016-05-23,3741869,128,1.4863094627804732
2016-05-30,3741869,126,1.474145245553693
2016-06-06,3741869,119,1.4303660100342286
2016-06-13,3741869,126,1.474145245553693
2016-06-20,3741869,112,1.3845820530598751
2016-06-27,3741869,106,1.3435979421846753
2016-07-04,3741869,114,1.3978784689885912
2016-07-11,3741869,136,1.533538531789088
2016-07-18,3741869,116,1.411000407626584
2016-07-25,3741869,107,1.3505463380000287
2016-08-01,3741869,115,1.4044609613123764
2016-08-08,3741869,115,1.4044609613123764
2016-08-15,3741869,106,1.3435979421846753
2016-08-22,3741869,110,1.3711064573300622
2016-08-29,3741869,111,1.3778669539832573
2016-09-05,3741869,96,1.2713219163992224
2016-09-12,3741869,57,0.9255687286266486
2016-09-19,3741869,138,1.5450053184877202
2016-09-26,3741869,132,1.5102027944944505
2016-10-03,3741869,122,1.4493636994623018
2016-10-10,3741869,129,1.492336529575215
2016-10-17,3741869,143,1.5731098931502596
2016-10-24,3741869,114,1.3978784689885912
2016-10-31,3741869,109,1.3642999450972453
2016-11-07,3741869,127,1.4802458500756426
2016-11-14,3741869,109,1.3642999450972453
2016-11-21,3741869,110,1.3711064573300622
2016-11-28,3741869,95,1.2637984844662775
2016-12-05,3741869,76,1.1089158803119517
2016-12-12,3741869,55,0.9041589187044959
2016-12-19,3741869,80,1.143575781825653
2016-12-26,3741869,97,1.2787891687047106
2017-01-02,3741869,101,1.3081127652025921
2017-01-09,3741869,139,1.5506897781250408
2017-01-16,3741869,156,1.6426869052238615
2017-01-23,3741869,129,1.492336529575215
2017-01-30,3741869,111,1.3778669539832573
2017-02-06,3741869,97,1.2787891687047106
2017-02-13,3741869,110,1.3711064573300622
2017-02-20,3741869,122,1.4493636994623018
2017-02-27,3741869,123,1.4556168976253088
2017-03-06,3741869,106,1.3435979421846753
2017-03-13,3741869,113,1.3912523601960103
2017-03-20,3741869,143,1.5731098931502596
2017-03-27,3741869,159,1.6580782421094056
2017-04-03,3741869,120,1.436738758776427
2017-04-10,3741869,104,1.3295546107294778
2017-04-17,3741869,115,1.4044609613123764
2017-04-24,3741869,135,1.5277554508103888
2017-05-01,3741869,115,1.4044609613123764
2017-05-08,3741869,142,1.567551812584235
2017-05-15,3741869,132,1.5102027944944505
2017-05-22,3741869,181,1.7642435049162855
2017-05-29,3741869,203,1.860211632847281
2017-06-05,3741869,142,1.567551812584235
2017-06-12,3741869,144,1.5786372521311007
2017-06-19,3741869,149,1.6058248532492647
2017-06-26,3741869,154,1.632292810938286
2017-07-03,3741869,108,1.357446786575797
2017-07-10,3741869,126,1.474145245553693
2017-07-17,3741869,130,1.4983274883525919
2017-07-24,3741869,142,1.567551812584235
2017-07-31,3741869,157,1.6478437171642584
2017-08-07,3741869,133,1.5160879792630102
2017-08-14,3741869,126,1.474145245553693
2017-08-21,3741869,139,1.5506897781250408
2017-08-28,3741869,157,1.6478437171642584
2017-09-04,3741869,168,1.702879974322815
2017-09-11,3741869,296,2.1872287153176555
2017-09-18,3741869,198,1.839195276229827
2017-09-25,3741869,190,1.8046224556965942
2017-10-02,3741869,172,1.7221652372517258
2017-10-09,3741869,156,1.6426869052238615
2017-10-16,3741869,139,1.5506897781250408
2017-10-23,3741869,134,1.5219387311767216
2017-10-30,3741869,97,1.2787891687047106
2017-11-06,3741869,178,1.7504132175442764
2017-11-13,3741869,168,1.702879974322815
2017-11-20,3741869,159,1.6580782421094056
2017-11-27,3741869,167,1.6979999802894366
2017-12-04,3741869,154,1.632292810938286
2017-12-11,3741869,105,1.3366009281493023
2017-12-18,3741869,105,1.3366009281493023
2017-12-25,3741869,102,1.3153112517286334
2018-01-01,3741869,120,1.436738758776427
2018-01-08,3741869,63,0.9871780330953069
2018-01-15,3741869,123,1.4556168976253088
2018-01-22,3741869,188,1.7957892052066775
2018-01-29,3741869,148,1.6004461448963059
2018-02-05,3741869,120,1.436738758776427
2018-02-12,3741869,133,1.5160879792630102
2018-02-19,3741869,134,1.5219387311767216
2018-02-26,3741869,132,1.5102027944944505
2018-03-05,3741869,157,1.6478437171642584
2018-03-12,3741869,157,1.6478437171642584
2018-03-19,3741869,110,1.3711064573300622
2018-03-26,3741869,116,1.411000407626584
2018-04-02,3741869,138,1.5450053184877202
2018-04-09,3741869,151,1.6164962488274994
2018-04-16,3741869,138,1.5450053184877202
2018-04-23,3741869,124,1.461831236172092
2018-04-30,3741869,97,1.2787891687047106
2018-05-07,3741869,124,1.461831236172092
2018-05-14,3741869,150,1.6111747858062875
2018-05-21,3741869,159,1.6580782421094056
2018-05-28,3741869,147,1.5950383495186742
2018-06-04,3741869,151,1.6164962488274994
2018-06-11,3741869,180,1.7596546293369841
2018-06-18,3741869,152,1.621789543709616
2018-06-25,3741869,166,1.6930960550825838
2018-07-02,3741869,168,1.702879974322815
2018-07-09,3741869,176,1.741085604822151
2018-07-16,3741869,158,1.652974072767295
2018-07-23,3741869,187,1.7913431467342322
2018-07-30,3741869,137,1.5392883609480075
2018-08-06,3741869,219,1.9246413040895938
2018-08-13,3741869,244,2.0176732481691193
2018-08-20,3741869,181,1.7642435049162855
2018-08-27,3741869,198,1.839195276229827
2018-09-03,3741869,163,1.678238316118951
2018-09-10,3741869,179,1.7550445988641323
2018-09-17,3741869,165,1.6881679628312476
2018-09-24,3741869,160,1.6631564911524506
2018-10-01,3741869,175,1.7363889676307451
2018-10-08,3741869,161,1.668209081826876
2018-10-15,3741869,163,1.678238316118951
2018-10-22,3741869,160,1.6631564911524506
2018-10-29,3741869,152,1.621789543709616
2018-11-05,3741869,133,1.5160879792630102
2018-11-12,3741869,123,1.4556168976253088
2018-11-19,3741869,157,1.6478437171642584
2018-11-26,3741869,167,1.6979999802894366
2018-12-03,3741869,143,1.5731098931502596
2018-12-10,3741869,137,1.5392883609480075
2018-12-17,3741869,142,1.567551812584235
2018-12-24,3741869,103,1.3224582901741495
2018-12-31,3741869,90,1.2253081234588443
2019-01-07,3741869,148,1.6004461448963059
2019-01-14,3741869,150,1.6111747858062875
2019-01-21,3741869,159,1.6580782421094056
2019-01-28,3741869,165,1.6881679628312476
2019-02-04,3741869,80,1.143575781825653
2019-02-11,3741869,138,1.5450053184877202
2019-02-18,3741869,151,1.6164962488274994
2019-02-25,3741869,130,1.4983274883525919
2019-03-04,3741869,139,1.5506897781250408
2019-03-11,3741869,158,1.652974072767295
2019-03-18,3741869,145,1.5841342272800534
2019-03-25,3741869,204,1.8643624168140633
