ds,Total,y_original,y
2013-12-30,9209944,8,0.0832952290046044
2014-01-06,9209944,71,0.5714912132493516
2014-01-13,9209944,150,0.9664796879522474
2014-01-20,9209944,224,1.2331879847334069
2014-01-27,9209944,200,1.15422542934487
2014-02-03,9209944,126,0.8620822426794319
2014-02-10,9209944,341,1.5480984923204926
2014-02-17,9209944,309,1.4713405137191469
2014-02-24,9209944,273,1.3773008919387386
2014-03-03,9209944,257,1.3324879470894837
2014-03-10,9209944,316,1.4886420073027982
2014-03-17,9209944,339,1.5434699198543662
2014-03-24,9209944,321,1.5008194759025026
2014-03-31,9209944,319,1.495966268808599
2014-04-07,9209944,362,1.5954473419992734
2014-04-14,9209944,192,1.1264554548259487
2014-04-21,9209944,264,1.3523411547951996
2014-04-28,9209944,273,1.3773008919387386
2014-05-05,9209944,247,1.3034245348046454
2014-05-12,9209944,314,1.483729192825277
2014-05-19,9209944,340,1.5457868840454232
2014-05-26,9209944,296,1.4383927325514114
2014-06-02,9209944,346,1.5595770536767328
2014-06-09,9209944,336,1.5364866421491348
2014-06-16,9209944,373,1.6193823692918579
2014-06-23,9209944,376,1.6258118890844104
2014-06-30,9209944,294,1.433226089972361
2014-07-07,9209944,239,1.279549890324519
2014-07-14,9209944,262,1.3467089147471203
2014-07-21,9209944,264,1.3523411547951996
2014-07-28,9209944,179,1.0796168279487304
2014-08-04,9209944,236,1.2704478702735638
2014-08-11,9209944,231,1.2550912767240905
2014-08-18,9209944,293,1.4306327237567298
2014-08-25,9209944,216,1.207553725113952
2014-09-01,9209944,250,1.312232592138631
2014-09-08,9209944,227,1.2426339154515738
2014-09-15,9209944,250,1.312232592138631
2014-09-22,9209944,263,1.3495290000319138
2014-09-29,9209944,191,1.1229293511209588
2014-10-06,9209944,181,1.0869671150512885
2014-10-13,9209944,289,1.420191475552812
2014-10-20,9209944,297,1.440966077875435
2014-10-27,9209944,247,1.3034245348046454
2014-11-03,9209944,256,1.3296193231876492
2014-11-10,9209944,215,1.2043027410395295
2014-11-17,9209944,246,1.3004711905024415
2014-11-24,9209944,262,1.3467089147471203
2014-12-01,9209944,223,1.2300194086527394
2014-12-08,9209944,190,1.1193907699989905
2014-12-15,9209944,156,0.9909607706455074
2014-12-22,9209944,120,0.8341863584077974
2014-12-29,18419888,218,1.2140241573403707
2015-01-05,9209944,189,1.1158396228415708
2015-01-12,9209944,290,1.4228120259715276
2015-01-19,9209944,204,1.1678264809574748
2015-01-26,9209944,224,1.2331879847334069
2015-02-02,9209944,230,1.2519914548498146
2015-02-09,9209944,369,1.6107448618294988
2015-02-16,9209944,255,1.3267424466032063
2015-02-23,9209944,304,1.4587964279471464
2015-03-02,9209944,215,1.2043027410395295
2015-03-09,9209944,232,1.2581815193889105
2015-03-16,9209944,407,1.6899364915599713
2015-03-23,9209944,244,1.2945382056635621
2015-03-30,9209944,354,1.5776730239141854
2015-04-06,9209944,389,1.6532051218102346
2015-04-13,9209944,384,1.6427578770809717
2015-04-20,9209944,477,1.8211863187034267
2015-04-27,9209944,368,1.6085737771386432
2015-05-04,9209944,401,1.6778419946618306
2015-05-11,9209944,452,1.7762631613734532
2015-05-18,9209944,346,1.5595770536767328
2015-05-25,9209944,376,1.6258118890844104
2015-06-01,9209944,405,1.6859212236707686
2015-06-08,9209944,334,1.5318038833641932
2015-06-15,9209944,393,1.6614850379540227
2015-06-22,9209944,363,1.5976470816277204
2015-06-29,9209944,333,1.5294542551314523
2015-07-06,9209944,332,1.5270990931410542
2015-07-13,9209944,382,1.6385482258266437
2015-07-20,9209944,314,1.483729192825277
2015-07-27,9209944,351,1.570925351486253
2015-08-03,9209944,323,1.505649243090243
2015-08-10,9209944,395,1.6655994282552482
2015-08-17,9209944,327,1.515239355838194
2015-08-24,9209944,314,1.483729192825277
2015-08-31,9209944,360,1.5910332927404525
2015-09-07,9209944,253,1.320963744489261
2015-09-14,9209944,338,1.5411475748707302
2015-09-21,9209944,296,1.4383927325514114
2015-09-28,9209944,390,1.6552815369308411
2015-10-05,9209944,438,1.750195748693423
2015-10-12,9209944,416,1.7078083135585045
2015-10-19,9209944,305,1.461317865016759
2015-10-26,9209944,326,1.512850436073805
2015-11-02,9209944,325,1.5104557957029787
2015-11-09,9209944,309,1.4713405137191469
2015-11-16,9209944,314,1.483729192825277
2015-11-23,9209944,332,1.5270990931410542
2015-11-30,9209944,298,1.4435328180869016
2015-12-07,9209944,271,1.371807873248918
2015-12-14,9209944,175,1.0647521606253536
2015-12-21,9209944,188,1.1122758200827676
2016-01-04,9209944,243,1.2915584607035986
2016-01-11,9209944,344,1.5550014278434197
2016-01-18,9209944,340,1.5457868840454232
2016-01-25,9209944,242,1.2885698103211118
2016-02-01,9209944,364,1.5998419930206529
2016-02-08,9209944,409,1.6939357015283183
2016-02-15,9209944,343,1.552705739770033
2016-02-22,9209944,508,1.8742265119219006
2016-02-29,9209944,307,1.466341746001273
2016-03-07,9209944,327,1.515239355838194
2016-03-14,9209944,365,1.6020320973267663
2016-03-21,9209944,226,1.2394951754055337
2016-03-28,9209944,372,1.6172299767145741
2016-04-04,9209944,365,1.6020320973267663
2016-04-11,9209944,371,1.6150729413485836
2016-04-18,9209944,445,1.7633143913791622
2016-04-25,9209944,377,1.6279459086630579
2016-05-02,9209944,328,1.517622582263172
2016-05-09,9209944,364,1.5998419930206529
2016-05-16,9209944,364,1.5998419930206529
2016-05-23,9209944,370,1.612911243121254
2016-05-30,9209944,328,1.517622582263172
2016-06-06,9209944,422,1.7195478468832974
2016-06-13,9209944,373,1.6193823692918579
2016-06-20,9209944,387,1.6490393121347902
2016-06-27,9209944,297,1.440966077875435
2016-07-04,9209944,358,1.586599673234823
2016-07-11,9209944,311,1.476314417993387
2016-07-18,9209944,380,1.6343207784668434
2016-07-25,9209944,296,1.4383927325514114
2016-08-01,9209944,312,1.4787921233925454
2016-08-08,9209944,328,1.517622582263172
2016-08-15,9209944,355,1.5799121678276076
2016-08-22,9209944,330,1.5223720631924116
2016-08-29,9209944,318,1.4935308039811492
2016-09-05,9209944,328,1.517622582263172
2016-09-12,9209944,223,1.2300194086527394
2016-09-19,9209944,353,1.5754288549814526
2016-09-26,9209944,306,1.4638329604282165
2016-10-03,9209944,284,1.4069847136141542
2016-10-10,9209944,580,1.9875374428709018
2016-10-17,9209944,368,1.6085737771386432
2016-10-24,9209944,276,1.3854842561627643
2016-10-31,9209944,289,1.420191475552812
2016-11-07,9209944,328,1.517622582263172
2016-11-14,9209944,289,1.420191475552812
2016-11-21,9209944,289,1.420191475552812
2016-11-28,9209944,322,1.5032372753249248
2016-12-05,9209944,303,1.4562686171583203
2016-12-12,9209944,302,1.4537344003454737
2016-12-19,9209944,167,1.0343430633427286
2016-12-26,9209944,136,0.9069128113284327
2017-01-02,9209944,200,1.15422542934487
2017-01-09,9209944,392,1.6594214772638642
2017-01-16,9209944,394,1.6635443491290869
2017-01-23,9209944,423,1.721491106508081
2017-01-30,9209944,323,1.505649243090243
2017-02-06,9209944,307,1.466341746001273
2017-02-13,9209944,440,1.7539615262726893
2017-02-20,9209944,404,1.6839075276063622
2017-02-27,9209944,372,1.6172299767145741
2017-03-06,9209944,371,1.6150729413485836
2017-03-13,9209944,378,1.6300753838981408
2017-03-20,9209944,314,1.483729192825277
2017-03-27,9209944,365,1.6020320973267663
2017-04-03,9209944,351,1.570925351486253
2017-04-10,9209944,256,1.3296193231876492
2017-04-17,9209944,395,1.6655994282552482
2017-04-24,9209944,360,1.5910332927404525
2017-05-01,9209944,266,1.357941850298845
2017-05-08,9209944,327,1.515239355838194
2017-05-15,9209944,359,1.5888189401083654
2017-05-22,9209944,357,1.5843754702592665
2017-05-29,9209944,382,1.6385482258266437
2017-06-05,9209944,369,1.6107448618294988
2017-06-12,9209944,375,1.6236733057252684
2017-06-19,9209944,413,1.7018864578867168
2017-06-26,9209944,463,1.7962784059730412
2017-07-03,9209944,352,1.5731796384246768
2017-07-10,9209944,334,1.5318038833641932
2017-07-17,9209944,372,1.6172299767145741
2017-07-24,9209944,295,1.4358127480326175
2017-07-31,9209944,280,1.3962922674843352
2017-08-07,9209944,313,1.4812637049376398
2017-08-14,9209944,364,1.5998419930206529
2017-08-21,9209944,364,1.5998419930206529
2017-08-28,9209944,341,1.5480984923204926
2017-09-04,9209944,321,1.5008194759025026
2017-09-11,9209944,164,1.02269694366192
2017-09-18,9209944,321,1.5008194759025026
2017-09-25,9209944,305,1.461317865016759
2017-10-02,9209944,382,1.6385482258266437
2017-10-09,9209944,341,1.5480984923204926
2017-10-16,9209944,356,1.5821463091749446
2017-10-23,9209944,371,1.6150729413485836
2017-10-30,9209944,241,1.2855722011260697
2017-11-06,9209944,325,1.5104557957029787
2017-11-13,9209944,338,1.5411475748707302
2017-11-20,9209944,247,1.3034245348046454
2017-11-27,9209944,299,1.4460929870062564
2017-12-04,9209944,304,1.4587964279471464
2017-12-11,9209944,267,1.3607304788813028
2017-12-18,9209944,201,1.157643074208981
2017-12-25,9209944,205,1.1711980346842148
2018-01-01,9209944,138,0.9156427004185638
2018-01-08,9209944,361,1.5932427528467432
2018-01-15,9209944,328,1.517622582263172
2018-01-22,9209944,277,1.3881972299354648
2018-01-29,9209944,327,1.515239355838194
2018-02-05,9209944,264,1.3523411547951996
2018-02-12,9209944,368,1.6085737771386432
2018-02-19,9209944,351,1.570925351486253
2018-02-26,9209944,295,1.4358127480326175
2018-03-05,9209944,398,1.6717394463955675
2018-03-12,9209944,359,1.5888189401083654
