ds,Total,y_original,y
2013-12-30,9209944,0,0.0
2014-01-06,9209944,17,0.16939089702493318
2014-01-13,9209944,35,0.322100909310831
2014-01-20,9209944,72,0.5776037226415739
2014-01-27,9209944,51,0.44067091031211114
2014-02-03,9209944,26,0.24865811855246264
2014-02-10,9209944,96,0.7141018962674065
2014-02-17,9209944,85,0.6538425198331252
2014-02-24,9209944,86,0.6594731830943908
2014-03-03,9209944,52,0.447634753912452
2014-03-10,9209944,118,0.8247120795546454
2014-03-17,9209944,102,0.7455017421647077
2014-03-24,9209944,84,0.6481799725904197
2014-03-31,9209944,76,0.6016868461633069
2014-04-07,9209944,107,0.7709355355139115
2014-04-14,9209944,53,0.454550437580062
2014-04-21,9209944,71,0.5714912132493516
2014-04-28,9209944,86,0.6594731830943908
2014-05-05,9209944,69,0.5591529511797596
2014-05-12,9209944,59,0.4950693002216344
2014-05-19,9209944,96,0.7141018962674065
2014-05-26,9209944,81,0.6309973641573975
2014-06-02,9209944,98,0.7246784407767266
2014-06-09,9209944,93,0.6980243312878679
2014-06-16,9209944,104,0.7557530146170212
2014-06-23,9209944,111,0.7908268484247781
2014-06-30,9209944,82,0.6367577673314258
2014-07-07,9209944,67,0.5466605526433507
2014-07-14,9209944,62,0.5147292454202461
2014-07-21,9209944,75,0.5957202214137505
2014-07-28,9209944,40,0.3606861094112492
2014-08-04,9209944,43,0.3831422369845148
2014-08-11,9209944,49,0.4265960271391229
2014-08-18,9209944,64,0.5276243771756779
2014-08-25,9209944,55,0.4682399577707596
2014-09-01,9209944,58,0.48842914489102673
2014-09-08,9209944,75,0.5957202214137505
2014-09-15,9209944,64,0.5276243771756779
2014-09-22,9209944,76,0.6016868461633069
2014-09-29,9209944,64,0.5276243771756779
2014-10-06,9209944,52,0.447634753912452
2014-10-13,9209944,75,0.5957202214137505
2014-10-20,9209944,76,0.6016868461633069
2014-10-27,9209944,62,0.5147292454202461
2014-11-03,9209944,62,0.5147292454202461
2014-11-10,9209944,45,0.3978376390548254
