ds,Total,y_original,y
2013-12-30,9209944,8,0.0832952290046044
2014-01-06,9209944,54,0.46141862286287855
2014-01-13,9209944,115,0.8103302014948296
2014-01-20,9209944,152,0.9747068203592103
2014-01-27,9209944,149,0.9623405996014192
2014-02-03,9209944,100,0.7351442917265744
2014-02-10,9209944,245,1.2975090981151858
2014-02-17,9209944,224,1.2331879847334069
2014-02-24,9209944,187,1.108699271195635
2014-03-03,9209944,205,1.1711980346842148
2014-03-10,9209944,198,1.1473548978613295
2014-03-17,9209944,237,1.2734910914420665
2014-03-24,9209944,237,1.2734910914420665
2014-03-31,9209944,243,1.2915584607035986
2014-04-07,9209944,255,1.3267424466032063
2014-04-14,9209944,139,0.9199792311886491
2014-04-21,9209944,193,1.1299691687982902
2014-04-28,9209944,187,1.108699271195635
2014-05-05,9209944,178,1.0759213245949104
2014-05-12,9209944,255,1.3267424466032063
2014-05-19,9209944,244,1.2945382056635621
2014-05-26,9209944,215,1.2043027410395295
2014-06-02,9209944,248,1.30636918254193
2014-06-09,9209944,243,1.2915584607035986
2014-06-16,9209944,269,1.366284514569934
2014-06-23,9209944,265,1.3551454235156632
2014-06-30,9209944,212,1.1944858902867892
2014-07-07,9209944,172,1.053456835996575
2014-07-14,9209944,200,1.15422542934487
2014-07-21,9209944,189,1.1158396228415708
2014-07-28,9209944,139,0.9199792311886491
2014-08-04,9209944,193,1.1299691687982902
2014-08-11,9209944,182,1.090622097361344
2014-08-18,9209944,229,1.2488819941936373
2014-08-25,9209944,161,1.0109135920890995
2014-09-01,9209944,192,1.1264554548259487
2014-09-08,9209944,152,0.9747068203592103
2014-09-15,9209944,186,1.1051098846784149
2014-09-22,9209944,187,1.108699271195635
2014-09-29,9209944,127,0.8666568277922839
2014-10-06,9209944,129,0.8757436921742733
2014-10-13,9209944,214,1.2010411535868717
2014-10-20,9209944,221,1.2236519768694798
2014-10-27,9209944,185,1.1015075680404913
2014-11-03,9209944,194,1.1334705798012543
2014-11-10,9209944,170,1.0458551108426626
2014-11-17,9209944,182,1.090622097361344
2014-11-24,9209944,208,1.1812450235046013
2014-12-01,9209944,170,1.0458551108426626
2014-12-08,9209944,141,0.9285962807410959
2014-12-15,9209944,110,0.7858909906049166
2014-12-22,9209944,86,0.6594731830943908
2014-12-29,18419888,166,1.030476074125221
2015-01-05,9209944,145,0.9456107683006156
2015-01-12,9209944,232,1.2581815193889105
2015-01-19,9209944,137,0.9112872822136886
2015-01-26,9209944,166,1.030476074125221
2015-02-02,9209944,180,1.0832987248248682
