ds,Total,y_original,y
2013-12-30,3146771,6,0.17451755466551772
2014-01-06,3146771,23,0.5486461083077535
2014-01-13,3146771,19,0.47237178512022915
2014-01-20,3146771,2,0.06161915268905191
2014-01-27,3146771,75,1.2188798059757495
2014-02-03,3146771,11,0.2997820817436794
2014-02-10,3146771,34,0.7325951032754766
2014-02-17,3146771,44,0.8747429419403593
2014-02-24,3146771,33,0.7172025375812481
2014-03-03,3146771,33,0.7172025375812481
2014-03-10,3146771,57,1.0336756859663383
2014-03-17,3146771,17,0.4319358623088365
2014-03-24,3146771,45,0.8879066195101964
2014-03-31,3146771,44,0.8747429419403593
2014-04-07,3146771,43,0.8614036678985704
2014-04-14,3146771,18,0.4523581927736172
2014-04-21,3146771,32,0.7015693319163329
2014-04-28,3146771,35,0.7477543251143715
2014-05-05,3146771,41,0.834179142626128
2014-05-12,3146771,40,0.8202837985892392
2014-05-19,3146771,32,0.7015693319163329
2014-05-26,3146771,43,0.8614036678985704
2014-06-02,3146771,37,0.7774003065558195
2014-06-09,3146771,55,1.010809108734966
2014-06-16,3146771,44,0.8747429419403593
2014-06-23,3146771,30,0.6695500555666263
2014-06-30,3146771,43,0.8614036678985704
2014-07-07,3146771,39,0.8061926499999589
2014-07-14,3146771,37,0.7774003065558195
2014-07-21,3146771,55,1.010809108734966
2014-07-28,3146771,17,0.4319358623088365
2014-08-04,3146771,70,1.1707786790762198
2014-08-11,3146771,48,0.9263888349181963
2014-08-18,3146771,60,1.0670240731107714
2014-08-25,3146771,66,1.1305592029512521
2014-09-01,3146771,43,0.8614036678985704
2014-09-08,3146771,32,0.7015693319163329
2014-09-15,3146771,26,0.6022612841357785
2014-09-22,3146771,38,0.7919000995788408
2014-09-29,3146771,46,0.9008992636639669
2014-10-06,3146771,40,0.8202837985892392
2014-10-13,3146771,53,0.9874073904419393
2014-10-20,3146771,51,0.9634448820733094
2014-10-27,3146771,39,0.8061926499999589
2014-11-03,3146771,26,0.6022612841357785
2014-11-10,3146771,26,0.6022612841357785
2014-11-17,3146771,21,0.5112359920458213
2014-11-24,3146771,31,0.685687842524594
2014-12-01,3146771,34,0.7325951032754766
2014-12-08,3146771,35,0.7477543251143715
2014-12-15,3146771,34,0.7325951032754766
2014-12-22,3146771,22,0.5301159795762926
2014-12-29,6293542,39,0.8061926499999589
2015-01-05,3146771,30,0.6695500555666263
2015-01-12,3146771,44,0.8747429419403593
2015-01-19,3146771,36,0.7626871723391728
2015-01-26,3146771,37,0.7774003065558195
2015-02-02,3146771,40,0.8202837985892392
2015-02-09,3146771,28,0.6364715354536072
2015-02-16,3146771,31,0.685687842524594
2015-02-23,3146771,35,0.7477543251143715
2015-03-02,3146771,36,0.7626871723391728
2015-03-09,3146771,49,0.9388940452294138
2015-03-16,3146771,9,0.2515424314486594
2015-03-23,3146771,14,0.3680404629787125
2015-03-30,3146771,28,0.6364715354536072
2015-04-06,3146771,38,0.7919000995788408
2015-04-13,3146771,20,0.49199268002448443
2015-04-20,3146771,21,0.5112359920458213
2015-04-27,3146771,12,0.32305642289052605
2015-05-04,3146771,20,0.49199268002448443
2015-05-11,3146771,27,0.6195126953233054
2015-05-18,3146771,29,0.653147562836511
2015-05-25,3146771,22,0.5301159795762926
2015-06-01,3146771,29,0.653147562836511
2015-06-08,3146771,27,0.6195126953233054
2015-06-15,3146771,23,0.5486461083077535
2015-06-22,3146771,21,0.5112359920458213
2015-06-29,3146771,18,0.4523581927736172
2015-07-06,3146771,12,0.32305642289052605
2015-07-13,3146771,19,0.47237178512022915
2015-07-20,3146771,14,0.3680404629787125
2015-07-27,3146771,32,0.7015693319163329
2015-08-03,3146771,63,1.0992961422742753
2015-08-10,3146771,28,0.6364715354536072
2015-08-17,3146771,26,0.6022612841357785
2015-08-24,3146771,35,0.7477543251143715
2015-08-31,3146771,20,0.49199268002448443
2015-09-07,3146771,19,0.47237178512022915
2015-09-14,3146771,26,0.6022612841357785
2015-09-21,3146771,21,0.5112359920458213
2015-09-28,3146771,15,0.3897957220645007
2015-10-05,3146771,22,0.5301159795762926
2015-10-12,3146771,20,0.49199268002448443
2015-10-19,3146771,15,0.3897957220645007
2015-10-26,3146771,15,0.3897957220645007
2015-11-02,3146771,8,0.22652092852985406
2015-11-09,3146771,16,0.4110877496919478
2015-11-16,3146771,16,0.4110877496919478
2015-11-23,3146771,13,0.3458013670931888
2015-11-30,3146771,11,0.2997820817436794
2015-12-07,3146771,11,0.2997820817436794
2015-12-14,3146771,5,0.14746527080045385
2015-12-21,3146771,20,0.49199268002448443
2016-01-04,3146771,9,0.2515424314486594
2016-01-11,3146771,16,0.4110877496919478
2016-01-18,3146771,8,0.22652092852985406
2016-01-25,3146771,9,0.2515424314486594
2016-02-01,3146771,3,0.09106100302777215
2016-02-08,3146771,34,0.7325951032754766
2016-02-15,3146771,18,0.4523581927736172
2016-02-22,3146771,15,0.3897957220645007
2016-02-29,3146771,19,0.47237178512022915
2016-03-07,3146771,14,0.3680404629787125
