ds,Total,y_original,y
2013-12-30,6166934,0,0.0
2014-01-06,6166934,2,0.0319162412038566
2014-01-13,6166934,4,0.06284526307919706
2014-01-20,6166934,4,0.06284526307919706
2014-01-27,6166934,7,0.10751592458055038
2014-02-03,6166934,3,0.04750032292499743
2014-02-10,6166934,8,0.12197344894428651
2014-02-17,6166934,18,0.25609793236382655
2014-02-24,6166934,6,0.09284631016052006
2014-03-03,6166934,7,0.10751592458055038
2014-03-10,6166934,14,0.20458617176374122
2014-03-17,6166934,10,0.15027615426749627
2014-03-24,6166934,28,0.37434201779376747
2014-03-31,6166934,28,0.37434201779376747
2014-04-07,6166934,23,0.31696666583317906
2014-04-14,6166934,12,0.17779981496202818
2014-04-21,6166934,0,0.0
2014-04-28,6166934,8,0.12197344894428651
2014-05-05,6166934,8,0.12197344894428651
2014-05-12,6166934,5,0.07795829025401968
2014-05-19,6166934,2,0.0319162412038566
2014-05-26,6166934,11,0.16413267561318287
2014-06-02,6166934,9,0.13622492865511465
2014-06-09,6166934,8,0.12197344894428651
2014-06-16,6166934,6,0.09284631016052006
2014-06-23,6166934,6,0.09284631016052006
2014-06-30,6166934,8,0.12197344894428651
2014-07-07,6166934,4,0.06284526307919706
2014-07-14,6166934,3,0.04750032292499743
2014-07-21,6166934,11,0.16413267561318287
2014-07-28,6166934,4,0.06284526307919706
2014-08-04,6166934,5,0.07795829025401968
2014-08-11,6166934,22,0.3050857153225251
2014-08-18,6166934,9,0.13622492865511465
2014-08-25,6166934,7,0.10751592458055038
2014-09-01,6166934,20,0.2808917692128026
2014-09-08,6166934,10,0.15027615426749627
2014-09-15,6166934,18,0.25609793236382655
2014-09-22,6166934,19,0.2685716906133866
2014-09-29,6166934,8,0.12197344894428651
2014-10-06,6166934,20,0.2808917692128026
2014-10-13,6166934,3,0.04750032292499743
2014-10-20,6166934,14,0.20458617176374122
2014-10-27,6166934,9,0.13622492865511465
2014-11-03,6166934,24,0.32870811514396314
2014-11-10,6166934,5,0.07795829025401968
2014-11-17,6166934,15,0.2177150023904501
2014-11-24,6166934,4,0.06284526307919706
2014-12-01,6166934,15,0.2177150023904501
2014-12-08,6166934,6,0.09284631016052006
2014-12-15,6166934,11,0.16413267561318287
2014-12-22,6166934,5,0.07795829025401968
2014-12-29,12333868,6,0.09284631016052006
2015-01-05,6166934,16,0.23067369808415014
2015-01-12,6166934,13,0.19128267929550236
2015-01-19,6166934,13,0.19128267929550236
2015-01-26,6166934,10,0.15027615426749627
2015-02-02,6166934,5,0.07795829025401968
2015-02-09,6166934,3,0.04750032292499743
2015-02-16,6166934,2,0.0319162412038566
2015-02-23,6166934,9,0.13622492865511465
2015-03-02,6166934,8,0.12197344894428651
2015-03-09,6166934,6,0.09284631016052006
2015-03-16,6166934,5,0.07795829025401968
2015-03-23,6166934,7,0.10751592458055038
2015-03-30,6166934,8,0.12197344894428651
2015-04-06,6166934,9,0.13622492865511465
2015-04-13,6166934,5,0.07795829025401968
2015-04-20,6166934,12,0.17779981496202818
2015-04-27,6166934,3,0.04750032292499743
2015-05-04,6166934,11,0.16413267561318287
2015-05-11,6166934,3,0.04750032292499743
2015-05-18,6166934,5,0.07795829025401968
2015-05-25,6166934,7,0.10751592458055038
2015-06-01,6166934,12,0.17779981496202818
2015-06-08,6166934,8,0.12197344894428651
2015-06-15,6166934,8,0.12197344894428651
2015-06-22,6166934,7,0.10751592458055038
