ds,Total,y_original,y
2013-12-30,8348151,2,0.023674925035548147
2014-01-06,8348151,23,0.2433461848429318
2014-01-13,8348151,14,0.15503754878378642
2014-01-20,8348151,33,0.33310737775300925
2014-01-27,8348151,39,0.3833349096066271
2014-02-03,8348151,29,0.29816368237082386
2014-02-10,8348151,49,0.46181791830861235
2014-02-17,8348151,49,0.46181791830861235
2014-02-24,8348151,40,0.39146625804995183
2014-03-03,8348151,41,0.39953202060899196
2014-03-10,8348151,42,0.4075332468300764
2014-03-17,8348151,79,0.6659390404702061
2014-03-24,8348151,54,0.49886426512684445
2014-03-31,8348151,83,0.6902590819925819
2014-04-07,8348151,87,0.7140016748848647
2014-04-14,8348151,47,0.4466063606903678
2014-04-21,8348151,59,0.5345870666936706
2014-04-28,8348151,63,0.5622740386774308
2014-05-05,8348151,92,0.7429085110199769
2014-05-12,8348151,102,0.7983300303193461
2014-05-19,8348151,135,0.9620762183190951
2014-05-26,8348151,92,0.7429085110199769
2014-06-02,8348151,80,0.6720747250470444
2014-06-09,8348151,108,0.8301660802240639
2014-06-16,8348151,128,0.929512401286615
2014-06-23,8348151,92,0.7429085110199769
2014-06-30,8348151,84,0.6962477869019684
2014-07-07,8348151,161,1.0745145121231865
2014-07-14,8348151,77,0.653553563231301
2014-07-21,8348151,99,0.7820236826110938
2014-07-28,8348151,84,0.6962477869019684
2014-08-04,8348151,60,0.5415810065133219
2014-08-11,8348151,64,0.5690776417797185
2014-08-18,8348151,97,0.7710031646424677
2014-08-25,8348151,78,0.6597654767339989
2014-09-01,8348151,87,0.7140016748848647
2014-09-08,8348151,75,0.6410127601508168
2014-09-15,8348151,76,0.647302820529973
2014-09-22,8348151,92,0.7429085110199769
2014-09-29,8348151,110,0.840556782138317
2014-10-06,8348151,91,0.7371936059327089
2014-10-13,8348151,103,0.8037069218675744
2014-10-20,8348151,109,0.8353749269562621
2014-10-27,8348151,80,0.6720747250470444
2014-11-03,8348151,107,0.8249299592783983
2014-11-10,8348151,81,0.67817299246189
2014-11-17,8348151,87,0.7140016748848647
2014-11-24,8348151,158,1.062167736804281
2014-12-01,8348151,178,1.1417384033378675
2014-12-08,8348151,103,0.8037069218675744
2014-12-15,8348151,45,0.4311598327211394
2014-12-22,8348151,23,0.2433461848429318
2014-12-29,16696302,111,0.8457119240620139
2015-01-05,8348151,91,0.7371936059327089
2015-01-12,8348151,129,0.9342298026037813
2015-01-19,8348151,84,0.6962477869019684
2015-01-26,8348151,78,0.6597654767339989
