ds,Total,y_original,y
2013-12-30,8348151,1,0.011907523641001646
2014-01-06,8348151,5,0.05816843342177771
2014-01-13,8348151,3,0.03530546365282718
2014-01-20,8348151,13,0.14472621355826618
2014-01-27,8348151,6,0.06940684154869396
2014-02-03,8348151,4,0.046802286537603946
2014-02-10,8348151,7,0.08052035022936713
2014-02-17,8348151,9,0.10238356243519962
2014-02-24,8348151,14,0.15503754878378642
2014-03-03,8348151,12,0.13430744596566618
2014-03-10,8348151,7,0.08052035022936713
2014-03-17,8348151,10,0.11313849251780253
2014-03-24,8348151,11,0.12377898376961048
2014-03-31,8348151,21,0.22438494774024256
2014-04-07,8348151,22,0.23391050668242827
2014-04-14,8348151,12,0.13430744596566618
2014-04-21,8348151,18,0.19525144418940413
2014-04-28,8348151,17,0.18534856026297233
2014-05-05,8348151,21,0.22438494774024256
2014-05-12,8348151,50,0.46933779616513394
2014-05-19,8348151,22,0.23391050668242827
2014-05-26,8348151,19,0.20505722185204242
2014-06-02,8348151,25,0.2619545735014866
2014-06-09,8348151,33,0.33310737775300925
2014-06-16,8348151,32,0.3244852603562964
2014-06-23,8348151,22,0.23391050668242827
2014-06-30,8348151,29,0.29816368237082386
2014-07-07,8348151,36,0.35853646115623444
2014-07-14,8348151,15,0.1652436446109576
2014-07-21,8348151,29,0.29816368237082386
2014-07-28,8348151,25,0.2619545735014866
2014-08-04,8348151,17,0.18534856026297233
2014-08-11,8348151,13,0.14472621355826618
2014-08-18,8348151,28,0.2892335773422721
2014-08-25,8348151,18,0.19525144418940413
2014-09-01,8348151,33,0.33310737775300925
2014-09-08,8348151,12,0.13430744596566618
2014-09-15,8348151,21,0.22438494774024256
2014-09-22,8348151,24,0.2526936625637801
2014-09-29,8348151,22,0.23391050668242827
2014-10-06,8348151,21,0.22438494774024256
2014-10-13,8348151,23,0.2433461848429318
2014-10-20,8348151,27,0.28022300642954506
2014-10-27,8348151,23,0.2433461848429318
2014-11-03,8348151,28,0.2892335773422721
2014-11-10,8348151,26,0.2711305063406332
2014-11-17,8348151,27,0.28022300642954506
2014-11-24,8348151,42,0.4075332468300764
2014-12-01,8348151,48,0.4542410631562763
2014-12-08,8348151,29,0.29816368237082386
2014-12-15,8348151,14,0.15503754878378642
2014-12-22,8348151,6,0.06940684154869396
2014-12-29,16696302,32,0.3244852603562964
2015-01-05,8348151,19,0.20505722185204242
2015-01-12,8348151,31,0.31578815502783547
2015-01-19,8348151,22,0.23391050668242827
2015-01-26,8348151,20,0.21476777919285026
2015-02-02,8348151,38,0.3751368999196893
2015-02-09,8348151,25,0.2619545735014866
2015-02-16,8348151,25,0.2619545735014866
2015-02-23,8348151,25,0.2619545735014866
2015-03-02,8348151,27,0.28022300642954506
2015-03-09,8348151,22,0.23391050668242827
2015-03-16,8348151,30,0.30701474595136324
2015-03-23,8348151,47,0.4466063606903678
