ds,Total,y_original,y
2013-12-30,8348151,1,0.011907523641001646
2014-01-06,8348151,18,0.19525144418940413
2014-01-13,8348151,11,0.12377898376961048
2014-01-20,8348151,20,0.21476777919285026
2014-01-27,8348151,33,0.33310737775300925
2014-02-03,8348151,25,0.2619545735014866
2014-02-10,8348151,42,0.4075332468300764
2014-02-17,8348151,40,0.39146625804995183
2014-02-24,8348151,26,0.2711305063406332
2014-03-03,8348151,29,0.29816368237082386
2014-03-10,8348151,35,0.3501317444351378
2014-03-17,8348151,69,0.6024181725847074
2014-03-24,8348151,43,0.4154709612661368
2014-03-31,8348151,62,0.5554238292882804
2014-04-07,8348151,65,0.5758352684957657
2014-04-14,8348151,35,0.3501317444351378
2014-04-21,8348151,41,0.39953202060899196
2014-04-28,8348151,46,0.43891292081254796
2014-05-05,8348151,71,0.6154492425903658
2014-05-12,8348151,52,0.4842100032337584
2014-05-19,8348151,113,0.8559431599795915
2014-05-26,8348151,73,0.6283126858252083
2014-06-02,8348151,55,0.5061116446999389
2014-06-09,8348151,75,0.6410127601508168
2014-06-16,8348151,96,0.7654470240558214
2014-06-23,8348151,70,0.6089549335355424
2014-06-30,8348151,55,0.5061116446999389
2014-07-07,8348151,125,0.915225186041062
2014-07-14,8348151,62,0.5554238292882804
2014-07-21,8348151,70,0.6089549335355424
2014-07-28,8348151,59,0.5345870666936706
2014-08-04,8348151,43,0.4154709612661368
2014-08-11,8348151,51,0.4768015472625359
2014-08-18,8348151,69,0.6024181725847074
2014-08-25,8348151,60,0.5415810065133219
2014-09-01,8348151,54,0.49886426512684445
2014-09-08,8348151,63,0.5622740386774308
2014-09-15,8348151,55,0.5061116446999389
2014-09-22,8348151,68,0.5958384010863184
2014-09-29,8348151,88,0.7198502771723913
2014-10-06,8348151,70,0.6089549335355424
2014-10-13,8348151,80,0.6720747250470444
2014-10-20,8348151,82,0.6842342963111223
2014-10-27,8348151,57,0.5204507084798448
2014-11-03,8348151,79,0.6659390404702061
2014-11-10,8348151,55,0.5061116446999389
2014-11-17,8348151,60,0.5415810065133219
2014-11-24,8348151,116,0.8710963801202019
2014-12-01,8348151,130,0.93892505449262
2014-12-08,8348151,74,0.6346828843385033
2014-12-15,8348151,31,0.31578815502783547
2014-12-22,8348151,17,0.18534856026297233
2014-12-29,16696302,79,0.6659390404702061
2015-01-05,8348151,72,0.6219016475866679
2015-01-12,8348151,98,0.7765286050269926
2015-01-19,8348151,62,0.5554238292882804
2015-01-26,8348151,58,0.5275438669567111
2015-02-02,8348151,77,0.653553563231301
2015-02-09,8348151,44,0.4233461642640366
2015-02-16,8348151,83,0.6902590819925819
2015-02-23,8348151,80,0.6720747250470444
2015-03-02,8348151,82,0.6842342963111223
2015-03-09,8348151,62,0.5554238292882804
2015-03-16,8348151,103,0.8037069218675744
2015-03-23,8348151,99,0.7820236826110938
2015-03-30,8348151,163,1.0826618103171146
2015-04-06,8348151,161,1.0745145121231865
2015-04-13,8348151,158,1.062167736804281
2015-04-20,8348151,142,0.9936129898052617
2015-04-27,8348151,147,1.0155454720891732
2015-05-04,8348151,124,0.9104170570563846
2015-05-11,8348151,173,1.1224314060322986
2015-05-18,8348151,138,0.9757139394926407
2015-05-25,8348151,166,1.09475963401875
2015-06-01,8348151,167,1.0987599352151614
2015-06-08,8348151,156,1.0538510411552429
2015-06-15,8348151,147,1.0155454720891732
2015-06-22,8348151,164,1.0867107019370847
2015-06-29,8348151,164,1.0867107019370847
2015-07-06,8348151,128,0.929512401286615
2015-07-13,8348151,117,0.8760968528325362
