ds,Total,y_original,y
2013-12-30,16992418,3,0.01750089497257823
2014-01-06,16992418,83,0.3977374224562122
2014-01-13,16992418,104,0.4774990152041726
2014-01-20,16992418,103,0.4738416901107275
2014-01-27,16992418,129,0.5648376250762008
2014-02-03,16992418,96,0.44785889299409837
2014-02-10,16992418,123,0.5445614666362515
2014-02-17,16992418,108,0.49199600511637764
2014-02-24,16992418,151,0.635852558290923
2014-03-03,16992418,108,0.49199600511637764
2014-03-10,16992418,152,0.6389637144167862
2014-03-17,16992418,93,0.4365133640784464
2014-03-24,16992418,101,0.4664866655739018
2014-03-31,16992418,133,0.5781302056105809
2014-04-07,16992418,118,0.5273448440243564
2014-04-14,16992418,93,0.4365133640784464
2014-04-21,16992418,118,0.5273448440243564
2014-04-28,16992418,95,0.4440913342778028
2014-05-05,16992418,112,0.5062858319764661
2014-05-12,16992418,105,0.48114301299824364
2014-05-19,16992418,124,0.5479695053598967
2014-05-26,16992418,119,0.5308119631880227
2014-06-02,16992418,164,0.6755616236562375
2014-06-09,16992418,146,0.6201499105259544
2014-06-16,16992418,120,0.5342671029584193
2014-06-23,16992418,133,0.5781302056105809
2014-06-30,16992418,127,0.5581244824536662
2014-07-07,16992418,139,0.5977435370581052
2014-07-14,16992418,111,0.5027324732984867
2014-07-21,16992418,126,0.5547509353010637
2014-07-28,16992418,108,0.49199600511637764
2014-08-04,16992418,203,0.7860227906413515
2014-08-11,16992418,194,0.761593211673993
2014-08-18,16992418,130,0.5681773718177371
2014-08-25,16992418,124,0.5479695053598967
2014-09-01,16992418,148,0.6264605891161448
2014-09-08,16992418,150,0.6327316926569684
2014-09-15,16992418,130,0.5681773718177371
2014-09-22,16992418,133,0.5781302056105809
2014-09-29,16992418,121,0.5377103458316306
2014-10-06,16992418,126,0.5547509353010637
2014-10-13,16992418,78,0.3777706360521891
2014-10-20,16992418,107,0.48839141274538483
2014-10-27,16992418,87,0.41342868435048663
2014-11-03,16992418,134,0.5814259248414838
2014-11-10,16992418,108,0.49199600511637764
2014-11-17,16992418,75,0.3655963556987595
2014-11-24,16992418,93,0.4365133640784464
2014-12-01,16992418,77,0.37372898837958646
2014-12-08,16992418,59,0.298038519465544
2014-12-15,16992418,79,0.38179601454113343
2014-12-22,16992418,47,0.24419555400139673
2014-12-29,33984836,127,0.5581244824536662
2015-01-05,16992418,118,0.5273448440243564
2015-01-12,16992418,116,0.5203743332155535
2015-01-19,16992418,111,0.5027324732984867
2015-01-26,16992418,79,0.38179601454113343
2015-02-02,16992418,103,0.4738416901107275
2015-02-09,16992418,111,0.5027324732984867
2015-02-16,16992418,128,0.5614866870398393
2015-02-23,16992418,96,0.44785889299409837
2015-03-02,16992418,130,0.5681773718177371
2015-03-09,16992418,83,0.3977374224562122
2015-03-16,16992418,117,0.5238656621102762
2015-03-23,16992418,111,0.5027324732984867
2015-03-30,16992418,163,0.6725624388052996
2015-04-06,16992418,147,0.6233102278958227
2015-04-13,16992418,161,0.6665369481312367
2015-04-20,16992418,137,0.5912484088381967
2015-04-27,16992418,174,0.7050688885407871
2015-05-04,16992418,151,0.635852558290923
2015-05-11,16992418,156,0.6513124400667595
2015-05-18,16992418,146,0.6201499105259544
2015-05-25,16992418,160,0.6635105329237733
2015-06-01,16992418,139,0.5977435370581052
2015-06-08,16992418,156,0.6513124400667595
2015-06-15,16992418,150,0.6327316926569684
2015-06-22,16992418,109,0.4955876510538575
2015-06-29,16992418,144,0.6137991542200617
2015-07-06,16992418,126,0.5547509353010637
2015-07-13,16992418,149,0.6296010567209539
2015-07-20,16992418,129,0.5648376250762008
2015-07-27,16992418,118,0.5273448440243564
2015-08-03,16992418,148,0.6264605891161448
2015-08-10,16992418,140,0.6009753493566271
2015-08-17,16992418,128,0.5614866870398393
2015-08-24,16992418,181,0.7252178511733528
2015-08-31,16992418,158,0.6574300855636261
2015-09-07,16992418,98,0.45535169247370555
2015-09-14,16992418,160,0.6635105329237733
2015-09-21,16992418,131,0.5715060017679449
2015-09-28,16992418,156,0.6513124400667595
2015-10-05,16992418,141,0.6041967506816959
2015-10-12,16992418,122,0.5411417734545012
2015-10-19,16992418,134,0.5814259248414838
2015-10-26,16992418,125,0.5513659687934711
2015-11-02,16992418,116,0.5203743332155535
2015-11-09,16992418,116,0.5203743332155535
2015-11-16,16992418,136,0.5879849559099382
2015-11-23,16992418,131,0.5715060017679449
2015-11-30,16992418,130,0.5681773718177371
2015-12-07,16992418,92,0.43270273500427264
2015-12-14,16992418,86,0.4095288911743313
2015-12-21,16992418,87,0.41342868435048663
2016-01-04,16992418,126,0.5547509353010637
2016-01-11,16992418,108,0.49199600511637764
2016-01-18,16992418,142,0.6074078078938898
2016-01-25,16992418,132,0.5748235886888031
2016-02-01,16992418,118,0.5273448440243564
2016-02-08,16992418,113,0.5098266089905246
2016-02-15,16992418,138,0.5945012462752057
2016-02-22,16992418,158,0.6574300855636261
2016-02-29,16992418,120,0.5342671029584193
2016-03-07,16992418,190,0.7505410605947304
2016-03-14,16992418,164,0.6755616236562375
2016-03-21,16992418,95,0.4440913342778028
2016-03-28,16992418,171,0.6963077689572357
2016-04-04,16992418,159,0.6604749307165928
2016-04-11,16992418,173,0.7021570356055225
