ds,Total,y_original,y
2013-12-30,16992418,1,0.005867728799898735
2014-01-06,16992418,13,0.07371941248587283
2014-01-13,16992418,18,0.10068624604847021
2014-01-20,16992418,18,0.10068624604847021
2014-01-27,16992418,31,0.1675752854029768
2014-02-03,16992418,15,0.08459356567132717
2014-02-10,16992418,27,0.14746644399620304
2014-02-17,16992418,31,0.1675752854029768
2014-02-24,16992418,35,0.18728771950445855
2014-03-03,16992418,14,0.07917126990671315
2014-03-10,16992418,38,0.20182115645458476
2014-03-17,16992418,22,0.12174806063987581
2014-03-24,16992418,17,0.0953507425275334
2014-03-31,16992418,26,0.14237541009251264
2014-04-07,16992418,25,0.13725832487795114
2014-04-14,16992418,28,0.15253169050278226
2014-04-21,16992418,27,0.14746644399620304
2014-04-28,16992418,17,0.0953507425275334
2014-05-05,16992418,29,0.15757140953583104
2014-05-12,16992418,27,0.14746644399620304
2014-05-19,16992418,23,0.12694492441559815
2014-05-26,16992418,27,0.14746644399620304
2014-06-02,16992418,37,0.197000108412478
2014-06-09,16992418,25,0.13725832487795114
2014-06-16,16992418,23,0.12694492441559815
2014-06-23,16992418,27,0.14746644399620304
2014-06-30,16992418,22,0.12174806063987581
2014-07-07,16992418,27,0.14746644399620304
2014-07-14,16992418,30,0.16258585710878581
2014-07-21,16992418,26,0.14237541009251264
2014-07-28,16992418,18,0.10068624604847021
2014-08-04,16992418,33,0.17748007417458422
2014-08-11,16992418,45,0.23493297720614836
2014-08-18,16992418,18,0.10068624604847021
2014-08-25,16992418,30,0.16258585710878581
2014-09-01,16992418,31,0.1675752854029768
2014-09-08,16992418,33,0.17748007417458422
2014-09-15,16992418,27,0.14746644399620304
2014-09-22,16992418,30,0.16258585710878581
2014-09-29,16992418,25,0.13725832487795114
2014-10-06,16992418,36,0.19215570522441114
2014-10-13,16992418,14,0.07917126990671315
2014-10-20,16992418,16,0.08998661863642866
2014-10-27,16992418,22,0.12174806063987581
2014-11-03,16992418,18,0.10068624604847021
2014-11-10,16992418,23,0.12694492441559815
2014-11-17,16992418,11,0.06272571091449036
2014-11-24,16992418,15,0.08459356567132717
2014-12-01,16992418,15,0.08459356567132717
2014-12-08,16992418,13,0.07371941248587283
2014-12-15,16992418,18,0.10068624604847021
2014-12-22,16992418,9,0.05160980312567297
2014-12-29,33984836,28,0.15253169050278226
2015-01-05,16992418,26,0.14237541009251264
2015-01-12,16992418,23,0.12694492441559815
2015-01-19,16992418,31,0.1675752854029768
2015-01-26,16992418,16,0.08998661863642866
2015-02-02,16992418,31,0.1675752854029768
2015-02-09,16992418,23,0.12694492441559815
2015-02-16,16992418,28,0.15253169050278226
2015-02-23,16992418,24,0.13211492036648628
2015-03-02,16992418,25,0.13725832487795114
2015-03-09,16992418,25,0.13725832487795114
2015-03-16,16992418,30,0.16258585710878581
2015-03-23,16992418,29,0.15757140953583104
2015-03-30,16992418,31,0.1675752854029768
2015-04-06,16992418,32,0.1725399428437292
2015-04-13,16992418,35,0.18728771950445855
2015-04-20,16992418,30,0.16258585710878581
2015-04-27,16992418,47,0.24419555400139673
2015-05-04,16992418,30,0.16258585710878581
2015-05-11,16992418,38,0.20182115645458476
2015-05-18,16992418,27,0.14746644399620304
2015-05-25,16992418,32,0.1725399428437292
2015-06-01,16992418,26,0.14237541009251264
2015-06-08,16992418,36,0.19215570522441114
2015-06-15,16992418,28,0.15253169050278226
2015-06-22,16992418,28,0.15253169050278226
2015-06-29,16992418,32,0.1725399428437292
2015-07-06,16992418,22,0.12174806063987581
2015-07-13,16992418,32,0.1725399428437292
2015-07-20,16992418,36,0.19215570522441114
2015-07-27,16992418,31,0.1675752854029768
2015-08-03,16992418,47,0.24419555400139673
2015-08-10,16992418,27,0.14746644399620304
2015-08-17,16992418,29,0.15757140953583104
2015-08-24,16992418,42,0.22087623163092174
2015-08-31,16992418,35,0.18728771950445855
2015-09-07,16992418,26,0.14237541009251264
2015-09-14,16992418,38,0.20182115645458476
2015-09-21,16992418,28,0.15253169050278226
2015-09-28,16992418,41,0.21614639484366793
2015-10-05,16992418,23,0.12694492441559815
2015-10-12,16992418,27,0.14746644399620304
2015-10-19,16992418,32,0.1725399428437292
2015-10-26,16992418,37,0.197000108412478
2015-11-02,16992418,20,0.11127260232353767
2015-11-09,16992418,20,0.11127260232353767
2015-11-16,16992418,36,0.19215570522441114
2015-11-23,16992418,29,0.15757140953583104
2015-11-30,16992418,24,0.13211492036648628
2015-12-07,16992418,21,0.11652404832235655
2015-12-14,16992418,20,0.11127260232353767
2015-12-21,16992418,15,0.08459356567132717
2016-01-04,16992418,29,0.15757140953583104
2016-01-11,16992418,28,0.15253169050278226
2016-01-18,16992418,25,0.13725832487795114
2016-01-25,16992418,28,0.15253169050278226
2016-02-01,16992418,27,0.14746644399620304
2016-02-08,16992418,20,0.11127260232353767
2016-02-15,16992418,39,0.20661907346370162
2016-02-22,16992418,38,0.20182115645458476
2016-02-29,16992418,24,0.13211492036648628
2016-03-07,16992418,47,0.24419555400139673
2016-03-14,16992418,21,0.11652404832235655
2016-03-21,16992418,21,0.11652404832235655
2016-03-28,16992418,47,0.24419555400139673
2016-04-04,16992418,28,0.15253169050278226
2016-04-11,16992418,35,0.18728771950445855
2016-04-18,16992418,43,0.22558380233576247
2016-04-25,16992418,36,0.19215570522441114
2016-05-02,16992418,40,0.21139408034235735
2016-05-09,16992418,42,0.22087623163092174
2016-05-16,16992418,42,0.22087623163092174
2016-05-23,16992418,40,0.21139408034235735
2016-05-30,16992418,41,0.21614639484366793
2016-06-06,16992418,32,0.1725399428437292
2016-06-13,16992418,48,0.24879486656546257
2016-06-20,16992418,38,0.20182115645458476
2016-06-27,16992418,30,0.16258585710878581
2016-07-04,16992418,36,0.19215570522441114
2016-07-11,16992418,32,0.1725399428437292
2016-07-18,16992418,25,0.13725832487795114
2016-07-25,16992418,34,0.18239592052969616
