ds,Total,y_original,y
2013-12-30,16992418,2,0.011701228110252202
2014-01-06,16992418,70,0.34497061920046246
2014-01-13,16992418,86,0.4095288911743313
2014-01-20,16992418,85,0.4056138300500935
2014-01-27,16992418,98,0.45535169247370555
2014-02-03,16992418,81,0.38979848422310703
2014-02-10,16992418,96,0.44785889299409837
2014-02-17,16992418,77,0.37372898837958646
2014-02-24,16992418,116,0.5203743332155535
2014-03-03,16992418,94,0.4403095273649919
2014-03-10,16992418,114,0.5133548931242171
2014-03-17,16992418,71,0.3491299406200571
2014-03-24,16992418,84,0.4016833809576808
2014-03-31,16992418,107,0.48839141274538483
2014-04-07,16992418,93,0.4365133640784464
2014-04-14,16992418,65,0.32391048622467356
2014-04-21,16992418,91,0.42887752947298063
2014-04-28,16992418,78,0.3777706360521891
2014-05-05,16992418,83,0.3977374224562122
2014-05-12,16992418,78,0.3777706360521891
2014-05-19,16992418,101,0.4664866655739018
2014-05-26,16992418,92,0.43270273500427264
2014-06-02,16992418,127,0.5581244824536662
2014-06-09,16992418,121,0.5377103458316306
2014-06-16,16992418,97,0.45161231047299094
2014-06-23,16992418,106,0.4847737802697991
2014-06-30,16992418,105,0.48114301299824364
2014-07-07,16992418,112,0.5062858319764661
2014-07-14,16992418,81,0.38979848422310703
2014-07-21,16992418,100,0.46278876718501716
2014-07-28,16992418,90,0.42503763554019836
2014-08-04,16992418,170,0.6933702551793303
2014-08-11,16992418,149,0.6296010567209539
2014-08-18,16992418,112,0.5062858319764661
2014-08-25,16992418,94,0.4403095273649919
2014-09-01,16992418,117,0.5238656621102762
2014-09-08,16992418,117,0.5238656621102762
2014-09-15,16992418,103,0.4738416901107275
2014-09-22,16992418,103,0.4738416901107275
2014-09-29,16992418,96,0.44785889299409837
2014-10-06,16992418,90,0.42503763554019836
2014-10-13,16992418,64,0.31964470819612406
2014-10-20,16992418,91,0.42887752947298063
2014-10-27,16992418,65,0.32391048622467356
2014-11-03,16992418,116,0.5203743332155535
2014-11-10,16992418,85,0.4056138300500935
2014-11-17,16992418,64,0.31964470819612406
2014-11-24,16992418,78,0.3777706360521891
2014-12-01,16992418,62,0.3110581703446641
2014-12-08,16992418,46,0.239574989981546
2014-12-15,16992418,61,0.30673709397323823
2014-12-22,16992418,38,0.20182115645458476
2014-12-29,33984836,99,0.45907714357346074
