ds,Total,y_original,y
2013-12-30,4748846,6,0.11897919554490717
2014-01-06,4748846,27,0.45015747990283295
2014-01-13,4748846,30,0.4896422878906271
2014-01-20,4748846,33,0.5276270859553968
2014-01-27,4748846,51,0.7294526497984957
2014-02-03,4748846,23,0.3949622743209452
2014-02-10,4748846,58,0.7981148288913299
2014-02-17,4748846,39,0.599524260477568
2014-02-24,4748846,31,0.5024648734567587
2014-03-03,4748846,44,0.6557261099533911
2014-03-10,4748846,48,0.6985186683332051
2014-03-17,4748846,48,0.6985186683332051
2014-03-24,4748846,45,0.6665971458231694
2014-03-31,4748846,63,0.8444243469593349
2014-04-07,4748846,36,0.564221684557317
2014-04-14,4748846,29,0.47665314562464944
2014-04-21,4748846,42,0.6336229442643527
2014-04-28,4748846,42,0.6336229442643527
2014-05-05,4748846,62,0.8353324214193009
2014-05-12,4748846,77,0.963726286689974
2014-05-19,4748846,54,0.7594583632811607
2014-05-26,4748846,66,0.8712144235878126
2014-06-02,4748846,89,1.0557533347709036
2014-06-09,4748846,87,1.0409916619487396
2014-06-16,4748846,90,1.0630532521561262
2014-06-23,4748846,51,0.7294526497984957
2014-06-30,4748846,73,0.9310672465541603
2014-07-07,4748846,49,0.7089366815461154
2014-07-14,4748846,53,0.7495561608798069
2014-07-21,4748846,34,0.5399746809735793
2014-07-28,4748846,25,0.4229406426218811
2014-08-04,4748846,38,0.5878946619174261
2014-08-11,4748846,48,0.6985186683332051
2014-08-18,4748846,88,1.0483997364855793
2014-08-25,4748846,58,0.7981148288913299
2014-09-01,4748846,46,0.6773512720618879
2014-09-08,4748846,53,0.7495561608798069
2014-09-15,4748846,38,0.5878946619174261
2014-09-22,4748846,65,0.8623639044495551
2014-09-29,4748846,39,0.599524260477568
2014-10-06,4748846,66,0.8712144235878126
2014-10-13,4748846,71,0.914328837711133
2014-10-20,4748846,37,0.5761282228338441
2014-10-27,4748846,56,0.7789733747488832
2014-11-03,4748846,36,0.564221684557317
2014-11-10,4748846,61,0.8261570737212608
2014-11-17,4748846,32,0.5151251197355693
2014-11-24,4748846,37,0.5761282228338441
2014-12-01,4748846,48,0.6985186683332051
2014-12-08,4748846,43,0.6447355946074665
2014-12-15,4748846,35,0.5521716706131247
2014-12-22,4748846,14,0.25836278077335306
2014-12-29,9497692,64,0.8534343536303817
2015-01-05,4748846,40,0.6110201647959157
2015-01-12,4748846,73,0.9310672465541603
2015-01-19,4748846,61,0.8261570737212608
2015-01-26,4748846,70,0.9058533818393849
2015-02-02,4748846,45,0.6665971458231694
2015-02-09,4748846,46,0.6773512720618879
2015-02-16,4748846,28,0.46349306273478064
2015-02-23,4748846,51,0.7294526497984957
2015-03-02,4748846,58,0.7981148288913299
2015-03-09,4748846,56,0.7789733747488832
2015-03-16,4748846,68,0.8886838773945748
2015-03-23,4748846,37,0.5761282228338441
2015-03-30,4748846,77,0.963726286689974
2015-04-06,4748846,87,1.0409916619487396
2015-04-13,4748846,73,0.9310672465541603
2015-04-20,4748846,57,0.7885899005292643
2015-04-27,4748846,76,0.9556609762508937
2015-05-04,4748846,77,0.963726286689974
2015-05-11,4748846,63,0.8444243469593349
2015-05-18,4748846,64,0.8534343536303817
2015-05-25,4748846,91,1.07030026670066
2015-06-01,4748846,100,1.1332632012753607
2015-06-08,4748846,96,1.105767879691817
2015-06-15,4748846,76,0.9556609762508937
2015-06-22,4748846,52,0.7395549233831792
2015-06-29,4748846,65,0.8623639044495551
2015-07-06,4748846,67,0.8799872977331589
2015-07-13,4748846,55,0.7692634727187193
2015-07-20,4748846,93,1.084638616013519
2015-07-27,4748846,87,1.0409916619487396
2015-08-03,4748846,81,0.9953523606993712
2015-08-10,4748846,59,0.8075498883152633
2015-08-17,4748846,72,0.922733063515137
2015-08-24,4748846,70,0.9058533818393849
2015-08-31,4748846,84,1.0184323569573046
2015-09-07,4748846,39,0.599524260477568
2015-09-14,4748846,59,0.8075498883152633
2015-09-21,4748846,57,0.7885899005292643
2015-09-28,4748846,65,0.8623639044495551
2015-10-05,4748846,21,0.36617852976702825
2015-10-12,4748846,30,0.4896422878906271
2015-10-19,4748846,30,0.4896422878906271
2015-10-26,4748846,32,0.5151251197355693
2015-11-02,4748846,61,0.8261570737212608
2015-11-09,4748846,52,0.7395549233831792
2015-11-16,4748846,67,0.8799872977331589
2015-11-23,4748846,66,0.8712144235878126
2015-11-30,4748846,50,0.7192472778687845
2015-12-07,4748846,46,0.6773512720618879
2015-12-14,4748846,23,0.3949622743209452
2015-12-21,4748846,22,0.3806739614629045
2016-01-04,4748846,37,0.5761282228338441
2016-01-11,4748846,38,0.5878946619174261
2016-01-18,4748846,78,0.9717270679970598
2016-01-25,4748846,56,0.7789733747488832
2016-02-01,4748846,31,0.5024648734567587
2016-02-08,4748846,75,0.9475300873099839
2016-02-15,4748846,53,0.7495561608798069
2016-02-22,4748846,74,0.9393325446902219
2016-02-29,4748846,57,0.7885899005292643
2016-03-07,4748846,58,0.7981148288913299
2016-03-14,4748846,68,0.8886838773945748
2016-03-21,4748846,36,0.564221684557317
2016-03-28,4748846,49,0.7089366815461154
2016-04-04,4748846,68,0.8886838773945748
2016-04-11,4748846,72,0.922733063515137
2016-04-18,4748846,86,1.0335282980007363
2016-04-25,4748846,68,0.8886838773945748
2016-05-02,4748846,85,1.0260088131380403
2016-05-09,4748846,72,0.922733063515137
2016-05-16,4748846,72,0.922733063515137
2016-05-23,4748846,86,1.0335282980007363
2016-05-30,4748846,81,0.9953523606993712
2016-06-06,4748846,69,0.8973054781497329
2016-06-13,4748846,69,0.8973054781497329
2016-06-20,4748846,58,0.7981148288913299
2016-06-27,4748846,53,0.7495561608798069
2016-07-04,4748846,67,0.8799872977331589
2016-07-11,4748846,73,0.9310672465541603
2016-07-18,4748846,47,0.6879909764850839
2016-07-25,4748846,36,0.564221684557317
2016-08-01,4748846,58,0.7981148288913299
2016-08-08,4748846,65,0.8623639044495551
2016-08-15,4748846,56,0.7789733747488832
2016-08-22,4748846,43,0.6447355946074665
2016-08-29,4748846,69,0.8973054781497329
2016-09-05,4748846,69,0.8973054781497329
2016-09-12,4748846,40,0.6110201647959157
2016-09-19,4748846,70,0.9058533818393849
2016-09-26,4748846,53,0.7495561608798069
2016-10-03,4748846,51,0.7294526497984957
2016-10-10,4748846,93,1.084638616013519
2016-10-17,4748846,63,0.8444243469593349
2016-10-24,4748846,59,0.8075498883152633
2016-10-31,4748846,46,0.6773512720618879
2016-11-07,4748846,47,0.6879909764850839
2016-11-14,4748846,56,0.7789733747488832
2016-11-21,4748846,42,0.6336229442643527
2016-11-28,4748846,25,0.4229406426218811
2016-12-05,4748846,58,0.7981148288913299
2016-12-12,4748846,35,0.5521716706131247
2016-12-19,4748846,32,0.5151251197355693
2016-12-26,4748846,41,0.6223854138757463
2017-01-02,4748846,48,0.6985186683332051
2017-01-09,4748846,70,0.9058533818393849
2017-01-16,4748846,84,1.0184323569573046
2017-01-23,4748846,109,1.1924955350865754
2017-01-30,4748846,88,1.0483997364855793
2017-02-06,4748846,62,0.8353324214193009
2017-02-13,4748846,62,0.8353324214193009
2017-02-20,4748846,78,0.9717270679970598
2017-02-27,4748846,121,1.2663805266445327
2017-03-06,4748846,94,1.0917314248315213
2017-03-13,4748846,147,1.4098860955230919
2017-03-20,4748846,111,1.2051950489400756
2017-03-27,4748846,105,1.1666021868973566
2017-04-03,4748846,80,0.987539116542618
2017-04-10,4748846,57,0.7885899005292643
2017-04-17,4748846,66,0.8712144235878126
2017-04-24,4748846,108,1.1860847824910945
2017-05-01,4748846,74,0.9393325446902219
2017-05-08,4748846,64,0.8534343536303817
2017-05-15,4748846,84,1.0184323569573046
2017-05-22,4748846,91,1.07030026670066
2017-05-29,4748846,93,1.084638616013519
2017-06-05,4748846,91,1.07030026670066
2017-06-12,4748846,137,1.357100179943254
2017-06-19,4748846,71,0.914328837711133
2017-06-26,4748846,101,1.1400205106297494
2017-07-03,4748846,74,0.9393325446902219
2017-07-10,4748846,59,0.8075498883152633
