ds,Total,y_original,y
2013-12-30,4748846,2,0.04125277692650258
2014-01-06,4748846,8,0.1556883370487705
2014-01-13,4748846,7,0.13750220197351123
2014-01-20,4748846,6,0.11897919554490717
2014-01-27,4748846,9,0.1735496353476828
2014-02-03,4748846,1,0.020839097331654472
2014-02-10,4748846,13,0.24196586888554852
2014-02-17,4748846,11,0.20834273566557324
2014-02-24,4748846,7,0.13750220197351123
2014-03-03,4748846,7,0.13750220197351123
2014-03-10,4748846,8,0.1556883370487705
2014-03-17,4748846,8,0.1556883370487705
2014-03-24,4748846,10,0.19109749785338162
2014-03-31,4748846,11,0.20834273566557324
2014-04-07,4748846,8,0.1556883370487705
2014-04-14,4748846,5,0.10010660175643263
2014-04-21,4748846,6,0.11897919554490717
2014-04-28,4748846,12,0.2252956100054183
2014-05-05,4748846,13,0.24196586888554852
2014-05-12,4748846,13,0.24196586888554852
2014-05-19,4748846,12,0.2252956100054183
2014-05-26,4748846,11,0.20834273566557324
2014-06-02,4748846,19,0.33654166461280216
2014-06-09,4748846,22,0.3806739614629045
2014-06-16,4748846,16,0.2903714229441872
2014-06-23,4748846,8,0.1556883370487705
2014-06-30,4748846,21,0.36617852976702825
2014-07-07,4748846,7,0.13750220197351123
2014-07-14,4748846,15,0.27449516553861064
2014-07-21,4748846,7,0.13750220197351123
2014-07-28,4748846,4,0.08087097073495365
2014-08-04,4748846,6,0.11897919554490717
2014-08-11,4748846,7,0.13750220197351123
2014-08-18,4748846,16,0.2903714229441872
2014-08-25,4748846,17,0.30599955891021346
2014-09-01,4748846,8,0.1556883370487705
2014-09-08,4748846,9,0.1735496353476828
2014-09-15,4748846,7,0.13750220197351123
2014-09-22,4748846,16,0.2903714229441872
2014-09-29,4748846,10,0.19109749785338162
2014-10-06,4748846,15,0.27449516553861064
2014-10-13,4748846,17,0.30599955891021346
2014-10-20,4748846,12,0.2252956100054183
2014-10-27,4748846,13,0.24196586888554852
2014-11-03,4748846,6,0.11897919554490717
2014-11-10,4748846,19,0.33654166461280216
2014-11-17,4748846,6,0.11897919554490717
2014-11-24,4748846,10,0.19109749785338162
2014-12-01,4748846,9,0.1735496353476828
2014-12-08,4748846,14,0.25836278077335306
2014-12-15,4748846,11,0.20834273566557324
2014-12-22,4748846,5,0.10010660175643263
2014-12-29,9497692,17,0.30599955891021346
2015-01-05,4748846,8,0.1556883370487705
2015-01-12,4748846,21,0.36617852976702825
2015-01-19,4748846,16,0.2903714229441872
2015-01-26,4748846,17,0.30599955891021346
2015-02-02,4748846,7,0.13750220197351123
2015-02-09,4748846,7,0.13750220197351123
2015-02-16,4748846,9,0.1735496353476828
2015-02-23,4748846,11,0.20834273566557324
2015-03-02,4748846,19,0.33654166461280216
2015-03-09,4748846,9,0.1735496353476828
2015-03-16,4748846,14,0.25836278077335306
2015-03-23,4748846,13,0.24196586888554852
2015-03-30,4748846,16,0.2903714229441872
2015-04-06,4748846,20,0.35146988614400615
2015-04-13,4748846,13,0.24196586888554852
2015-04-20,4748846,11,0.20834273566557324
2015-04-27,4748846,10,0.19109749785338162
2015-05-04,4748846,17,0.30599955891021346
2015-05-11,4748846,11,0.20834273566557324
2015-05-18,4748846,13,0.24196586888554852
2015-05-25,4748846,20,0.35146988614400615
2015-06-01,4748846,24,0.40904930391672567
2015-06-08,4748846,27,0.45015747990283295
2015-06-15,4748846,22,0.3806739614629045
2015-06-22,4748846,12,0.2252956100054183
2015-06-29,4748846,9,0.1735496353476828
2015-07-06,4748846,16,0.2903714229441872
2015-07-13,4748846,9,0.1735496353476828
2015-07-20,4748846,40,0.6110201647959157
2015-07-27,4748846,17,0.30599955891021346
2015-08-03,4748846,18,0.3213872097573333
2015-08-10,4748846,14,0.25836278077335306
2015-08-17,4748846,12,0.2252956100054183
2015-08-24,4748846,15,0.27449516553861064
2015-08-31,4748846,24,0.40904930391672567
2015-09-07,4748846,8,0.1556883370487705
2015-09-14,4748846,19,0.33654166461280216
2015-09-21,4748846,10,0.19109749785338162
2015-09-28,4748846,10,0.19109749785338162
2015-10-05,4748846,4,0.08087097073495365
2015-10-12,4748846,4,0.08087097073495365
2015-10-19,4748846,10,0.19109749785338162
2015-10-26,4748846,3,0.0612580611606502
2015-11-02,4748846,6,0.11897919554490717
2015-11-09,4748846,15,0.27449516553861064
2015-11-16,4748846,26,0.4366416529335298
2015-11-23,4748846,13,0.24196586888554852
2015-11-30,4748846,7,0.13750220197351123
2015-12-07,4748846,12,0.2252956100054183
2015-12-14,4748846,7,0.13750220197351123
2015-12-21,4748846,4,0.08087097073495365
2016-01-04,4748846,11,0.20834273566557324
2016-01-11,4748846,8,0.1556883370487705
2016-01-18,4748846,14,0.25836278077335306
2016-01-25,4748846,14,0.25836278077335306
2016-02-01,4748846,3,0.0612580611606502
2016-02-08,4748846,20,0.35146988614400615
2016-02-15,4748846,16,0.2903714229441872
2016-02-22,4748846,23,0.3949622743209452
2016-02-29,4748846,14,0.25836278077335306
2016-03-07,4748846,12,0.2252956100054183
2016-03-14,4748846,32,0.5151251197355693
2016-03-21,4748846,6,0.11897919554490717
2016-03-28,4748846,7,0.13750220197351123
2016-04-04,4748846,14,0.25836278077335306
2016-04-11,4748846,20,0.35146988614400615
2016-04-18,4748846,20,0.35146988614400615
2016-04-25,4748846,10,0.19109749785338162
2016-05-02,4748846,26,0.4366416529335298
2016-05-09,4748846,19,0.33654166461280216
2016-05-16,4748846,19,0.33654166461280216
2016-05-23,4748846,10,0.19109749785338162
2016-05-30,4748846,16,0.2903714229441872
2016-06-06,4748846,12,0.2252956100054183
2016-06-13,4748846,11,0.20834273566557324
2016-06-20,4748846,15,0.27449516553861064
2016-06-27,4748846,14,0.25836278077335306
2016-07-04,4748846,17,0.30599955891021346
2016-07-11,4748846,18,0.3213872097573333
2016-07-18,4748846,10,0.19109749785338162
2016-07-25,4748846,7,0.13750220197351123
2016-08-01,4748846,12,0.2252956100054183
2016-08-08,4748846,9,0.1735496353476828
2016-08-15,4748846,14,0.25836278077335306
2016-08-22,4748846,9,0.1735496353476828
2016-08-29,4748846,15,0.27449516553861064
2016-09-05,4748846,25,0.4229406426218811
2016-09-12,4748846,11,0.20834273566557324
2016-09-19,4748846,15,0.27449516553861064
2016-09-26,4748846,10,0.19109749785338162
2016-10-03,4748846,7,0.13750220197351123
2016-10-10,4748846,16,0.2903714229441872
2016-10-17,4748846,15,0.27449516553861064
2016-10-24,4748846,15,0.27449516553861064
2016-10-31,4748846,12,0.2252956100054183
2016-11-07,4748846,14,0.25836278077335306
2016-11-14,4748846,12,0.2252956100054183
2016-11-21,4748846,8,0.1556883370487705
2016-11-28,4748846,7,0.13750220197351123
2016-12-05,4748846,5,0.10010660175643263
2016-12-12,4748846,6,0.11897919554490717
2016-12-19,4748846,11,0.20834273566557324
2016-12-26,4748846,7,0.13750220197351123
2017-01-02,4748846,10,0.19109749785338162
2017-01-09,4748846,19,0.33654166461280216
2017-01-16,4748846,30,0.4896422878906271
