ds,Total,y_original,y
2013-12-30,1235456,0,0.0
2014-01-06,1235456,5,0.33983007037381835
2014-01-13,1235456,2,0.15004243606795806
2014-01-20,1235456,5,0.33983007037381835
2014-01-27,1235456,6,0.39585281929731675
2014-02-03,1235456,7,0.44890282493300804
2014-02-10,1235456,8,0.4992797397165064
2014-02-17,1235456,3,0.21738727262672233
2014-02-24,1235456,4,0.28048153184640084
2014-03-03,1235456,5,0.33983007037381835
2014-03-10,1235456,7,0.44890282493300804
2014-03-17,1235456,6,0.39585281929731675
2014-03-24,1235456,5,0.33983007037381835
2014-03-31,1235456,8,0.4992797397165064
2014-04-07,1235456,3,0.21738727262672233
2014-04-14,1235456,2,0.15004243606795806
2014-04-21,1235456,10,0.5930051014002581
2014-04-28,1235456,8,0.4992797397165064
2014-05-05,1235456,3,0.21738727262672233
2014-05-12,1235456,4,0.28048153184640084
2014-05-19,1235456,8,0.4992797397165064
2014-05-26,1235456,5,0.33983007037381835
2014-06-02,1235456,3,0.21738727262672233
2014-06-09,1235456,14,0.7576160893492291
2014-06-16,1235456,4,0.28048153184640084
2014-06-23,1235456,2,0.15004243606795806
2014-06-30,1235456,8,0.4992797397165064
2014-07-07,1235456,6,0.39585281929731675
2014-07-14,1235456,9,0.5472400743128646
2014-07-21,1235456,6,0.39585281929731675
2014-07-28,1235456,12,0.6786938752954784
2014-08-04,1235456,16,0.8307626381058754
2014-08-11,1235456,7,0.44890282493300804
2014-08-18,1235456,9,0.5472400743128646
2014-08-25,1235456,11,0.6367670284333944
2014-09-01,1235456,12,0.6786938752954784
2014-09-08,1235456,6,0.39585281929731675
2014-09-15,1235456,6,0.39585281929731675
2014-09-22,1235456,4,0.28048153184640084
2014-09-29,1235456,8,0.4992797397165064
2014-10-06,1235456,18,0.8989215276421973
2014-10-13,1235456,11,0.6367670284333944
2014-10-20,1235456,9,0.5472400743128646
2014-10-27,1235456,18,0.8989215276421973
2014-11-03,1235456,4,0.28048153184640084
2014-11-10,1235456,6,0.39585281929731675
2014-11-17,1235456,11,0.6367670284333944
2014-11-24,1235456,6,0.39585281929731675
2014-12-01,1235456,10,0.5930051014002581
2014-12-08,1235456,10,0.5930051014002581
2014-12-15,1235456,1,0.07783267386286724
2014-12-22,1235456,5,0.33983007037381835
2014-12-29,2470912,9,0.5472400743128646
2015-01-05,1235456,4,0.28048153184640084
2015-01-12,1235456,1,0.07783267386286724
2015-01-19,1235456,7,0.44890282493300804
2015-01-26,1235456,9,0.5472400743128646
2015-02-02,1235456,8,0.4992797397165064
2015-02-09,1235456,4,0.28048153184640084
2015-02-16,1235456,6,0.39585281929731675
2015-02-23,1235456,7,0.44890282493300804
2015-03-02,1235456,2,0.15004243606795806
2015-03-09,1235456,2,0.15004243606795806
2015-03-16,1235456,7,0.44890282493300804
2015-03-23,1235456,11,0.6367670284333944
2015-03-30,1235456,7,0.44890282493300804
2015-04-06,1235456,6,0.39585281929731675
2015-04-13,1235456,8,0.4992797397165064
