ds,Total,y_original,y
2013-12-30,4132148,4,0.09239863067451629
2014-01-06,4132148,10,0.2167269163752049
2014-01-13,4132148,11,0.23602453259483758
2014-01-20,4132148,17,0.34458800299169057
2014-01-27,4132148,26,0.4880968920165482
2014-02-03,4132148,36,0.6265893337723892
2014-02-10,4132148,14,0.29177879825745656
2014-02-17,4132148,28,0.5173723532633604
2014-02-24,4132148,39,0.664654620452681
2014-03-03,4132148,32,0.5734711466402539
2014-03-10,4132148,43,0.713254175205381
2014-03-17,4132148,30,0.5458150827061771
2014-03-24,4132148,22,0.4268421464656186
2014-03-31,4132148,14,0.29177879825745656
2014-04-07,4132148,33,0.5870175465774065
2014-04-14,4132148,11,0.23602453259483758
2014-04-21,4132148,30,0.5458150827061771
2014-04-28,4132148,13,0.27353726721340627
2014-05-05,4132148,27,0.5028417503933496
2014-05-12,4132148,37,0.6394394332614189
2014-05-19,4132148,20,0.39474772777822575
2014-05-26,4132148,29,0.5316948381835609
2014-06-02,4132148,29,0.5316948381835609
2014-06-09,4132148,19,0.3783057975919245
2014-06-16,4132148,30,0.5458150827061771
2014-06-23,4132148,39,0.664654620452681
2014-06-30,4132148,26,0.4880968920165482
2014-07-07,4132148,16,0.3272929609689748
2014-07-14,4132148,24,0.4579384639150281
2014-07-21,4132148,15,0.3096935282978099
2014-07-28,4132148,23,0.4425111729404382
2014-08-04,4132148,24,0.4579384639150281
2014-08-11,4132148,27,0.5028417503933496
2014-08-18,4132148,30,0.5458150827061771
2014-08-25,4132148,27,0.5028417503933496
2014-09-01,4132148,25,0.47313136500566944
2014-09-08,4132148,33,0.5870175465774065
2014-09-15,4132148,38,0.6521265004598128
2014-09-22,4132148,35,0.6135719573697543
2014-09-29,4132148,24,0.4579384639150281
2014-10-06,4132148,19,0.3783057975919245
2014-10-13,4132148,34,0.6003828914755922
2014-10-20,4132148,22,0.4268421464656186
2014-10-27,4132148,26,0.4880968920165482
2014-11-03,4132148,25,0.47313136500566944
2014-11-10,4132148,43,0.713254175205381
2014-11-17,4132148,24,0.4579384639150281
2014-11-24,4132148,27,0.5028417503933496
2014-12-01,4132148,18,0.36158900476954037
2014-12-08,4132148,17,0.34458800299169057
2014-12-15,4132148,14,0.29177879825745656
2014-12-22,4132148,10,0.2167269163752049
2014-12-29,8264296,17,0.34458800299169057
2015-01-05,4132148,16,0.3272929609689748
2015-01-12,4132148,22,0.4268421464656186
2015-01-19,4132148,24,0.4579384639150281
2015-01-26,4132148,7,0.1564937206807732
