ds,Total,y_original,y
2013-12-30,3026943,18,0.46666014869486583
2014-01-06,3026943,26,0.6200131113311724
2014-01-13,3026943,32,0.7213323228258444
2014-01-20,3026943,33,0.7372639817781443
2014-01-27,3026943,31,0.705142731278524
2014-02-03,3026943,23,0.5652243283341067
2014-02-10,3026943,24,0.5838227926487443
2014-02-17,3026943,31,0.705142731278524
2014-02-24,3026943,31,0.705142731278524
2014-03-03,3026943,40,0.8421985612704893
2014-03-10,3026943,52,0.9998613004193128
2014-03-17,3026943,21,0.5269563757901109
2014-03-24,3026943,54,1.023880873457384
2014-03-31,3026943,54,1.023880873457384
2014-04-07,3026943,58,1.0702555492201682
2014-04-14,3026943,34,0.7529457981782044
2014-04-21,3026943,44,0.8975611346202789
2014-04-28,3026943,21,0.5269563757901109
2014-05-05,3026943,32,0.7213323228258444
2014-05-12,3026943,28,0.6549393067269983
2014-05-19,3026943,34,0.7529457981782044
2014-05-26,3026943,47,0.9371601128562828
2014-06-02,3026943,37,0.7985676063540716
2014-06-09,3026943,38,0.8133237898625768
2014-06-16,3026943,38,0.8133237898625768
2014-06-23,3026943,52,0.9998613004193128
2014-06-30,3026943,26,0.6200131113311724
2014-07-07,3026943,35,0.7683854873225194
2014-07-14,3026943,39,0.8278653909991798
2014-07-21,3026943,39,0.8278653909991798
2014-07-28,3026943,44,0.8975611346202789
2014-08-04,3026943,43,0.8840051763646692
2014-08-11,3026943,51,0.987631638751283
2014-08-18,3026943,46,0.9241339103675758
2014-08-25,3026943,40,0.8421985612704893
2014-09-01,3026943,55,1.035677715751795
2014-09-08,3026943,57,1.0588619373687238
2014-09-15,3026943,35,0.7683854873225194
2014-09-22,3026943,50,0.9752505587532045
2014-09-29,3026943,51,0.987631638751283
2014-10-06,3026943,42,0.8702629258426493
2014-10-13,3026943,54,1.023880873457384
2014-10-20,3026943,46,0.9241339103675758
2014-10-27,3026943,46,0.9241339103675758
2014-11-03,3026943,39,0.8278653909991798
2014-11-10,3026943,61,1.1036776089716964
2014-11-17,3026943,18,0.46666014869486583
2014-11-24,3026943,21,0.5269563757901109
2014-12-01,3026943,25,0.6020816604520683
2014-12-08,3026943,9,0.2603080612566501
2014-12-15,3026943,14,0.3801560787936204
2014-12-22,3026943,8,0.234513112822652
2014-12-29,6053886,37,0.7985676063540716
2015-01-05,3026943,26,0.6200131113311724
2015-01-12,3026943,26,0.6200131113311724
2015-01-19,3026943,36,0.7835904125550839
2015-01-26,3026943,21,0.5269563757901109
2015-02-02,3026943,28,0.6549393067269983
2015-02-09,3026943,32,0.7213323228258444
2015-02-16,3026943,26,0.6200131113311724
2015-02-23,3026943,44,0.8975611346202789
2015-03-02,3026943,41,0.8563291913957228
2015-03-09,3026943,34,0.7529457981782044
2015-03-16,3026943,40,0.8421985612704893
2015-03-23,3026943,27,0.6376286811702799
2015-03-30,3026943,62,1.114574591717837
2015-04-06,3026943,73,1.227203105825063
2015-04-13,3026943,57,1.0588619373687238
2015-04-20,3026943,52,0.9998613004193128
2015-04-27,3026943,41,0.8563291913957228
2015-05-04,3026943,56,1.0473370135720457
2015-05-11,3026943,59,1.0815208077160456
2015-05-18,3026943,64,1.1360186665964318
2015-05-25,3026943,61,1.1036776089716964
2015-06-01,3026943,51,0.987631638751283
2015-06-08,3026943,53,1.0119432026908874
2015-06-15,3026943,46,0.9241339103675758
2015-06-22,3026943,63,1.125354109099236
2015-06-29,3026943,61,1.1036776089716964
2015-07-06,3026943,42,0.8702629258426493
2015-07-13,3026943,47,0.9371601128562828
2015-07-20,3026943,41,0.8563291913957228
2015-07-27,3026943,63,1.125354109099236
2015-08-03,3026943,70,1.197722570537177
2015-08-10,3026943,60,1.0926605725689067
2015-08-17,3026943,72,1.2174725089893719
2015-08-24,3026943,62,1.114574591717837
2015-08-31,3026943,62,1.114574591717837
2015-09-07,3026943,48,0.950018812975461
2015-09-14,3026943,55,1.035677715751795
2015-09-21,3026943,69,1.1876993763381007
2015-09-28,3026943,74,1.2368399298783463
2015-10-05,3026943,64,1.1360186665964318
2015-10-12,3026943,70,1.197722570537177
2015-10-19,3026943,52,0.9998613004193128
2015-10-26,3026943,35,0.7683854873225194
2015-11-02,3026943,67,1.1673464645557385
2015-11-09,3026943,54,1.023880873457384
2015-11-16,3026943,64,1.1360186665964318
2015-11-23,3026943,77,1.265205414569746
2015-11-30,3026943,55,1.035677715751795
2015-12-07,3026943,48,0.950018812975461
2015-12-14,3026943,38,0.8133237898625768
2015-12-21,3026943,31,0.705142731278524
2016-01-04,3026943,50,0.9752505587532045
2016-01-11,3026943,49,0.9627142638777977
2016-01-18,3026943,53,1.0119432026908874
2016-01-25,3026943,82,1.3107633150803357
2016-02-01,3026943,85,1.337133965357691
2016-02-08,3026943,71,1.2076462964794716
2016-02-15,3026943,56,1.0473370135720457
2016-02-22,3026943,75,1.2463847712694682
2016-02-29,3026943,70,1.197722570537177
2016-03-07,3026943,66,1.1570125305936725
2016-03-14,3026943,50,0.9752505587532045
2016-03-21,3026943,16,0.4243431915147802
2016-03-28,3026943,47,0.9371601128562828
2016-04-04,3026943,68,1.17757469968047
2016-04-11,3026943,56,1.0473370135720457
2016-04-18,3026943,68,1.17757469968047
2016-04-25,3026943,63,1.125354109099236
2016-05-02,3026943,59,1.0815208077160456
2016-05-09,3026943,60,1.0926605725689067
2016-05-16,3026943,60,1.0926605725689067
2016-05-23,3026943,63,1.125354109099236
2016-05-30,3026943,65,1.1465706903740351
2016-06-06,3026943,59,1.0815208077160456
2016-06-13,3026943,58,1.0702555492201682
2016-06-20,3026943,70,1.197722570537177
2016-06-27,3026943,51,0.987631638751283
2016-07-04,3026943,64,1.1360186665964318
2016-07-11,3026943,59,1.0815208077160456
2016-07-18,3026943,52,0.9998613004193128
2016-07-25,3026943,47,0.9371601128562828
2016-08-01,3026943,58,1.0702555492201682
2016-08-08,3026943,68,1.17757469968047
2016-08-15,3026943,62,1.114574591717837
2016-08-22,3026943,52,0.9998613004193128
2016-08-29,3026943,49,0.9627142638777977
2016-09-05,3026943,63,1.125354109099236
2016-09-12,3026943,50,0.9752505587532045
2016-09-19,3026943,59,1.0815208077160456
2016-09-26,3026943,67,1.1673464645557385
2016-10-03,3026943,57,1.0588619373687238
2016-10-10,3026943,82,1.3107633150803357
2016-10-17,3026943,64,1.1360186665964318
2016-10-24,3026943,60,1.0926605725689067
2016-10-31,3026943,59,1.0815208077160456
2016-11-07,3026943,48,0.950018812975461
2016-11-14,3026943,49,0.9627142638777977
2016-11-21,3026943,50,0.9752505587532045
2016-11-28,3026943,44,0.8975611346202789
2016-12-05,3026943,43,0.8840051763646692
2016-12-12,3026943,38,0.8133237898625768
2016-12-19,3026943,30,0.6886867176776595
2016-12-26,3026943,24,0.5838227926487443
2017-01-02,3026943,66,1.1570125305936725
2017-01-09,3026943,76,1.2558393693429155
2017-01-16,3026943,71,1.2076462964794716
2017-01-23,3026943,74,1.2368399298783463
2017-01-30,3026943,103,1.4822345762198408
2017-02-06,3026943,93,1.404234155225573
2017-02-13,3026943,86,1.3457718779550563
2017-02-20,3026943,83,1.3196310246450125
2017-02-27,3026943,87,1.3543358155519494
2017-03-06,3026943,86,1.3457718779550563
2017-03-13,3026943,81,1.3018162651508547
2017-03-20,3026943,76,1.2558393693429155
2017-03-27,3026943,122,1.6155132251639495
2017-04-03,3026943,98,1.4439946812193658
2017-04-10,3026943,61,1.1036776089716964
2017-04-17,3026943,83,1.3196310246450125
2017-04-24,3026943,66,1.1570125305936725
2017-05-01,3026943,63,1.125354109099236
2017-05-08,3026943,72,1.2174725089893719
2017-05-15,3026943,76,1.2558393693429155
2017-05-22,3026943,109,1.5262721099561263
2017-05-29,3026943,97,1.4361680429954684
2017-06-05,3026943,114,1.5615443006934695
2017-06-12,3026943,79,1.2836783748016398
2017-06-19,3026943,74,1.2368399298783463
2017-06-26,3026943,92,1.3960887600001561
2017-07-03,3026943,65,1.1465706903740351
2017-07-10,3026943,64,1.1360186665964318
2017-07-17,3026943,61,1.1036776089716964
