ds,Total,y_original,y
2013-12-30,2944840,8,0.24032440616915415
2014-01-06,2944840,20,0.5182901223803063
2014-01-13,2944840,31,0.7191505293051281
2014-01-20,2944840,28,0.6682475743524398
2014-01-27,2944840,46,0.9408093996423673
2014-02-03,2944840,22,0.5579397843930686
2014-02-10,2944840,39,0.843440597485302
2014-02-17,2944840,30,0.7024691301521523
2014-02-24,2944840,42,0.8863359315932424
2014-03-03,2944840,42,0.8863359315932424
2014-03-10,2944840,56,1.0652731057361768
2014-03-17,2944840,20,0.5182901223803063
2014-03-24,2944840,43,0.9002350050769494
2014-03-31,2944840,53,1.029533063867005
2014-04-07,2944840,51,1.0049764058614625
2014-04-14,2944840,20,0.5182901223803063
2014-04-21,2944840,45,0.9274666887156868
2014-04-28,2944840,35,0.7832253243810724
2014-05-05,2944840,38,0.8287232818475072
2014-05-12,2944840,47,0.9539764241946013
2014-05-19,2944840,36,0.7986224666651186
2014-05-26,2944840,48,0.9669723289102549
2014-06-02,2944840,36,0.7986224666651186
2014-06-09,2944840,33,0.7517010364970937
2014-06-16,2944840,36,0.7986224666651186
2014-06-23,2944840,40,0.8579444515281377
2014-06-30,2944840,46,0.9408093996423673
2014-07-07,2944840,43,0.9002350050769494
2014-07-14,2944840,34,0.767587397886497
2014-07-21,2944840,27,0.6506873672771345
2014-07-28,2944840,21,0.538311452477935
2014-08-04,2944840,27,0.6506873672771345
2014-08-11,2944840,39,0.843440597485302
2014-08-18,2944840,24,0.5960771232548809
2014-08-25,2944840,12,0.341809700862628
2014-09-01,2944840,20,0.5182901223803063
2014-09-08,2944840,14,0.38893444784793985
2014-09-15,2944840,7,0.21325798249373587
2014-09-22,2944840,34,0.767587397886497
2014-09-29,2944840,20,0.5182901223803063
2014-10-06,2944840,20,0.5182901223803063
2014-10-13,2944840,10,0.2923539095515794
2014-10-20,2944840,14,0.38893444784793985
2014-10-27,2944840,24,0.5960771232548809
2014-11-03,2944840,16,0.43393803723359203
2014-11-10,2944840,46,0.9408093996423673
2014-11-17,2944840,22,0.5579397843930686
2014-11-24,2944840,10,0.2923539095515794
2014-12-01,2944840,18,0.47700322553257696
2014-12-08,2944840,18,0.47700322553257696
2014-12-15,2944840,9,0.26667750335219914
2014-12-22,2944840,6,0.18543853871814459
2014-12-29,5889680,25,0.6146138849406863
2015-01-05,2944840,18,0.47700322553257696
2015-01-12,2944840,18,0.47700322553257696
2015-01-19,2944840,28,0.6682475743524398
2015-01-26,2944840,16,0.43393803723359203
2015-02-02,2944840,26,0.6328132793060165
2015-02-09,2944840,22,0.5579397843930686
2015-02-16,2944840,24,0.5960771232548809
2015-02-23,2944840,26,0.6328132793060165
2015-03-02,2944840,40,0.8579444515281377
2015-03-09,2944840,16,0.43393803723359203
2015-03-16,2944840,22,0.5579397843930686
2015-03-23,2944840,25,0.6146138849406863
2015-03-30,2944840,24,0.5960771232548809
2015-04-06,2944840,56,1.0652731057361768
2015-04-13,2944840,32,0.7355582189943749
2015-04-20,2944840,39,0.843440597485302
2015-04-27,2944840,36,0.7986224666651186
2015-05-04,2944840,43,0.9002350050769494
2015-05-11,2944840,68,1.1966834278926521
2015-05-18,2944840,42,0.8863359315932424
2015-05-25,2944840,47,0.9539764241946013
2015-06-01,2944840,39,0.843440597485302
2015-06-08,2944840,37,0.8137861273651567
2015-06-15,2944840,40,0.8579444515281377
2015-06-22,2944840,43,0.9002350050769494
2015-06-29,2944840,45,0.9274666887156868
2015-07-06,2944840,36,0.7986224666651186
2015-07-13,2944840,155,1.8347301703176593
2015-07-20,2944840,47,0.9539764241946013
2015-07-27,2944840,41,0.8722409476942476
2015-08-03,2944840,51,1.0049764058614625
2015-08-10,2944840,42,0.8863359315932424
2015-08-17,2944840,43,0.9002350050769494
2015-08-24,2944840,35,0.7832253243810724
2015-08-31,2944840,44,0.9139435396065283
2015-09-07,2944840,34,0.767587397886497
2015-09-14,2944840,48,0.9669723289102549
2015-09-21,2944840,49,0.9798015045650219
2015-09-28,2944840,36,0.7986224666651186
2015-10-05,2944840,44,0.9139435396065283
2015-10-12,2944840,37,0.8137861273651567
2015-10-19,2944840,46,0.9408093996423673
2015-10-26,2944840,31,0.7191505293051281
2015-11-02,2944840,43,0.9002350050769494
2015-11-09,2944840,34,0.767587397886497
2015-11-16,2944840,41,0.8722409476942476
2015-11-23,2944840,45,0.9274666887156868
2015-11-30,2944840,46,0.9408093996423673
2015-12-07,2944840,23,0.5771902498840378
2015-12-14,2944840,21,0.538311452477935
2015-12-21,2944840,15,0.4116893865616123
2016-01-04,2944840,35,0.7832253243810724
2016-01-11,2944840,46,0.9408093996423673
2016-01-18,2944840,52,1.0173301116518783
2016-01-25,2944840,47,0.9539764241946013
2016-02-01,2944840,37,0.8137861273651567
2016-02-08,2944840,45,0.9274666887156868
2016-02-15,2944840,52,1.0173301116518783
2016-02-22,2944840,49,0.9798015045650219
2016-02-29,2944840,39,0.843440597485302
2016-03-07,2944840,51,1.0049764058614625
2016-03-14,2944840,35,0.7832253243810724
2016-03-21,2944840,29,0.6855047344697411
2016-03-28,2944840,27,0.6506873672771345
2016-04-04,2944840,36,0.7986224666651186
2016-04-11,2944840,38,0.8287232818475072
2016-04-18,2944840,43,0.9002350050769494
2016-04-25,2944840,50,0.9924681750782018
2016-05-02,2944840,52,1.0173301116518783
2016-05-09,2944840,40,0.8579444515281377
2016-05-16,2944840,40,0.8579444515281377
2016-05-23,2944840,49,0.9798015045650219
2016-05-30,2944840,43,0.9002350050769494
2016-06-06,2944840,55,1.053501117702478
2016-06-13,2944840,43,0.9002350050769494
2016-06-20,2944840,40,0.8579444515281377
2016-06-27,2944840,30,0.7024691301521523
2016-07-04,2944840,29,0.6855047344697411
2016-07-11,2944840,40,0.8579444515281377
2016-07-18,2944840,38,0.8287232818475072
2016-07-25,2944840,26,0.6328132793060165
2016-08-01,2944840,39,0.843440597485302
2016-08-08,2944840,47,0.9539764241946013
2016-08-15,2944840,39,0.843440597485302
2016-08-22,2944840,53,1.029533063867005
2016-08-29,2944840,30,0.7024691301521523
2016-09-05,2944840,33,0.7517010364970937
2016-09-12,2944840,37,0.8137861273651567
2016-09-19,2944840,27,0.6506873672771345
2016-09-26,2944840,59,1.0997797518762977
2016-10-03,2944840,32,0.7355582189943749
2016-10-10,2944840,46,0.9408093996423673
2016-10-17,2944840,50,0.9924681750782018
2016-10-24,2944840,51,1.0049764058614625
2016-10-31,2944840,34,0.767587397886497
2016-11-07,2944840,38,0.8287232818475072
2016-11-14,2944840,41,0.8722409476942476
2016-11-21,2944840,33,0.7517010364970937
2016-11-28,2944840,31,0.7191505293051281
2016-12-05,2944840,40,0.8579444515281377
2016-12-12,2944840,33,0.7517010364970937
2016-12-19,2944840,15,0.4116893865616123
2016-12-26,2944840,49,0.9798015045650219
2017-01-02,2944840,32,0.7355582189943749
2017-01-09,2944840,45,0.9274666887156868
2017-01-16,2944840,50,0.9924681750782018
2017-01-23,2944840,42,0.8863359315932424
2017-01-30,2944840,40,0.8579444515281377
2017-02-06,2944840,31,0.7191505293051281
2017-02-13,2944840,27,0.6506873672771345
2017-02-20,2944840,50,0.9924681750782018
2017-02-27,2944840,57,1.076908124900161
2017-03-06,2944840,61,1.1221399431038386
2017-03-13,2944840,37,0.8137861273651567
2017-03-20,2944840,37,0.8137861273651567
2017-03-27,2944840,60,1.1110223434571085
2017-04-03,2944840,51,1.0049764058614625
2017-04-10,2944840,37,0.8137861273651567
2017-04-17,2944840,17,0.4557024397762238
2017-04-24,2944840,54,1.0415888975165721
2017-05-01,2944840,28,0.6682475743524398
2017-05-08,2944840,25,0.6146138849406863
2017-05-15,2944840,45,0.9274666887156868
2017-05-22,2944840,49,0.9798015045650219
2017-05-29,2944840,56,1.0652731057361768
2017-06-05,2944840,33,0.7517010364970937
2017-06-12,2944840,43,0.9002350050769494
2017-06-19,2944840,32,0.7355582189943749
2017-06-26,2944840,46,0.9408093996423673
2017-07-03,2944840,24,0.5960771232548809
2017-07-10,2944840,22,0.5579397843930686
2017-07-17,2944840,36,0.7986224666651186
2017-07-24,2944840,42,0.8863359315932424
2017-07-31,2944840,29,0.6855047344697411
2017-08-07,2944840,32,0.7355582189943749
2017-08-14,2944840,30,0.7024691301521523
2017-08-21,2944840,29,0.6855047344697411
2017-08-28,2944840,21,0.538311452477935
2017-09-04,2944840,20,0.5182901223803063
2017-09-11,2944840,38,0.8287232818475072
2017-09-18,2944840,35,0.7832253243810724
2017-09-25,2944840,32,0.7355582189943749
2017-10-02,2944840,37,0.8137861273651567
2017-10-09,2944840,33,0.7517010364970937
2017-10-16,2944840,32,0.7355582189943749
2017-10-23,2944840,28,0.6682475743524398
2017-10-30,2944840,34,0.767587397886497
2017-11-06,2944840,33,0.7517010364970937
2017-11-13,2944840,38,0.8287232818475072
2017-11-20,2944840,23,0.5771902498840378
2017-11-27,2944840,28,0.6682475743524398
2017-12-04,2944840,29,0.6855047344697411
2017-12-11,2944840,17,0.4557024397762238
2017-12-18,2944840,2,0.06570852819860228
2017-12-25,2944840,37,0.8137861273651567
2018-01-01,2944840,26,0.6328132793060165
2018-01-08,2944840,30,0.7024691301521523
2018-01-15,2944840,35,0.7832253243810724
2018-01-22,2944840,26,0.6328132793060165
2018-01-29,2944840,29,0.6855047344697411
2018-02-05,2944840,26,0.6328132793060165
2018-02-12,2944840,30,0.7024691301521523
2018-02-19,2944840,35,0.7832253243810724
2018-02-26,2944840,28,0.6682475743524398
2018-03-05,2944840,23,0.5771902498840378
2018-03-12,2944840,33,0.7517010364970937
2018-03-19,2944840,24,0.5960771232548809
2018-03-26,2944840,25,0.6146138849406863
2018-04-02,2944840,29,0.6855047344697411
2018-04-09,2944840,37,0.8137861273651567
2018-04-16,2944840,40,0.8579444515281377
2018-04-23,2944840,38,0.8287232818475072
2018-04-30,2944840,28,0.6682475743524398
2018-05-07,2944840,29,0.6855047344697411
2018-05-14,2944840,38,0.8287232818475072
2018-05-21,2944840,42,0.8863359315932424
2018-05-28,2944840,43,0.9002350050769494
2018-06-04,2944840,38,0.8287232818475072
2018-06-11,2944840,67,1.1863685710580862
2018-06-18,2944840,42,0.8863359315932424
2018-06-25,2944840,44,0.9139435396065283
2018-07-02,2944840,30,0.7024691301521523
2018-07-09,2944840,37,0.8137861273651567
2018-07-16,2944840,47,0.9539764241946013
2018-07-23,2944840,30,0.7024691301521523
2018-07-30,2944840,31,0.7191505293051281
2018-08-06,2944840,41,0.8722409476942476
2018-08-13,2944840,37,0.8137861273651567
2018-08-20,2944840,33,0.7517010364970937
2018-08-27,2944840,36,0.7986224666651186
2018-09-03,2944840,27,0.6506873672771345
2018-09-10,2944840,31,0.7191505293051281
2018-09-17,2944840,28,0.6682475743524398
2018-09-24,2944840,43,0.9002350050769494
2018-10-01,2944840,28,0.6682475743524398
2018-10-08,2944840,42,0.8863359315932424
2018-10-15,2944840,41,0.8722409476942476
2018-10-22,2944840,35,0.7832253243810724
2018-10-29,2944840,32,0.7355582189943749
2018-11-05,2944840,23,0.5771902498840378
2018-11-12,2944840,38,0.8287232818475072
2018-11-19,2944840,19,0.49785973480578427
2018-11-26,2944840,21,0.538311452477935
2018-12-03,2944840,22,0.5579397843930686
2018-12-10,2944840,24,0.5960771232548809
2018-12-17,2944840,12,0.341809700862628
2018-12-24,2944840,26,0.6328132793060165
2018-12-31,2944840,20,0.5182901223803063
2019-01-07,2944840,24,0.5960771232548809
2019-01-14,2944840,29,0.6855047344697411
2019-01-21,2944840,25,0.6146138849406863
2019-01-28,2944840,18,0.47700322553257696
2019-02-04,2944840,25,0.6146138849406863
2019-02-11,2944840,29,0.6855047344697411
2019-02-18,2944840,32,0.7355582189943749
2019-02-25,2944840,42,0.8863359315932424
2019-03-04,2944840,40,0.8579444515281377
2019-03-11,2944840,53,1.029533063867005
2019-03-18,2944840,39,0.843440597485302
2019-03-25,2944840,36,0.7986224666651186
2019-04-01,2944840,56,1.0652731057361768
2019-04-08,2944840,39,0.843440597485302
2019-04-15,2944840,38,0.8287232818475072
2019-04-22,2944840,28,0.6682475743524398
2019-04-29,2944840,25,0.6146138849406863
2019-05-06,2944840,39,0.843440597485302
2019-05-13,2944840,43,0.9002350050769494
2019-05-20,2944840,46,0.9408093996423673
2019-05-27,2944840,31,0.7191505293051281
2019-06-03,2944840,43,0.9002350050769494
2019-06-10,2944840,36,0.7986224666651186
2019-06-17,2944840,44,0.9139435396065283
2019-06-24,2944840,25,0.6146138849406863
2019-07-01,2944840,20,0.5182901223803063
2019-07-08,2944840,56,1.0652731057361768
2019-07-15,2944840,38,0.8287232818475072
2019-07-22,2944840,43,0.9002350050769494
2019-07-29,2944840,30,0.7024691301521523
2019-08-05,2944840,55,1.053501117702478
2019-08-12,2944840,43,0.9002350050769494
2019-08-19,2944840,43,0.9002350050769494
2019-08-26,2944840,38,0.8287232818475072
2019-09-02,2944840,32,0.7355582189943749
2019-09-09,2944840,44,0.9139435396065283
2019-09-16,2944840,33,0.7517010364970937
2019-09-23,2944840,41,0.8722409476942476
2019-09-30,2944840,27,0.6506873672771345
2019-10-07,2944840,35,0.7832253243810724
2019-10-14,2944840,47,0.9539764241946013
2019-10-21,2944840,44,0.9139435396065283
2019-10-28,2944840,45,0.9274666887156868
2019-11-04,2944840,39,0.843440597485302
2019-11-11,2944840,34,0.767587397886497
2019-11-18,2944840,18,0.47700322553257696
2019-11-25,2944840,30,0.7024691301521523
2019-12-02,2944840,26,0.6328132793060165
2019-12-09,2944840,26,0.6328132793060165
2019-12-16,2944840,40,0.8579444515281377
2019-12-23,2944840,13,0.36564964139548334
2019-12-30,2944840,7,0.21325798249373587
2020-01-06,2944840,20,0.5182901223803063
2020-01-13,2944840,26,0.6328132793060165
2020-01-20,2944840,27,0.6506873672771345
2020-01-27,2944840,24,0.5960771232548809
2020-02-03,2944840,23,0.5771902498840378
2020-02-10,2944840,35,0.7832253243810724
2020-02-17,2944840,40,0.8579444515281377
2020-02-24,2944840,41,0.8722409476942476
2020-03-02,2944840,30,0.7024691301521523
2020-03-09,2944840,16,0.43393803723359203
2020-03-16,2944840,11,0.3173875084661151
2020-03-23,2944840,17,0.4557024397762238
2020-03-30,2944840,12,0.341809700862628
2020-04-06,2944840,3,0.09701155605902427
2020-04-13,2944840,15,0.4116893865616123
2020-04-20,2944840,13,0.36564964139548334
2020-04-27,2944840,22,0.5579397843930686
2020-05-04,2944840,19,0.49785973480578427
2020-05-11,2944840,20,0.5182901223803063
2020-05-18,2944840,22,0.5579397843930686
2020-05-25,2944840,18,0.47700322553257696
2020-06-01,2944840,26,0.6328132793060165
2020-06-08,2944840,18,0.47700322553257696
2020-06-15,2944840,19,0.49785973480578427
2020-06-22,2944840,14,0.38893444784793985
2020-06-29,2944840,17,0.4557024397762238
2020-07-06,2944840,18,0.47700322553257696
2020-07-13,2944840,21,0.538311452477935
2020-07-20,2944840,7,0.21325798249373587
2020-07-27,2944840,24,0.5960771232548809
2020-08-03,2944840,24,0.5960771232548809
2020-08-10,2944840,30,0.7024691301521523
2020-08-17,2944840,30,0.7024691301521523
2020-08-24,2944840,44,0.9139435396065283
2020-08-31,2944840,37,0.8137861273651567
2020-09-07,2944840,31,0.7191505293051281
2020-09-14,2944840,41,0.8722409476942476
2020-09-21,2944840,50,0.9924681750782018
2020-09-28,2944840,66,1.1759462080783898
2020-10-05,2944840,49,0.9798015045650219
2020-10-12,2944840,41,0.8722409476942476
2020-10-19,2944840,31,0.7191505293051281
2020-10-26,2944840,43,0.9002350050769494
2020-11-02,2944840,37,0.8137861273651567
2020-11-09,2944840,43,0.9002350050769494
2020-11-16,2944840,32,0.7355582189943749
2020-11-23,2944840,40,0.8579444515281377
2020-11-30,2944840,41,0.8722409476942476
2020-12-07,2944840,41,0.8722409476942476
2020-12-14,2944840,19,0.49785973480578427
2020-12-21,2944840,33,0.7517010364970937
2020-12-28,2944840,25,0.6146138849406863
2021-01-04,2944840,22,0.5579397843930686
2021-01-11,2944840,31,0.7191505293051281
2021-01-18,2944840,29,0.6855047344697411
2021-01-25,2944840,39,0.843440597485302
2021-02-01,2944840,33,0.7517010364970937
2021-02-08,2944840,39,0.843440597485302
2021-02-15,2944840,43,0.9002350050769494
2021-02-22,2944840,36,0.7986224666651186
2021-03-01,2944840,40,0.8579444515281377
2021-03-08,2944840,38,0.8287232818475072
2021-03-15,2944840,51,1.0049764058614625
2021-03-22,2944840,62,1.1331352995345358
2021-03-29,2944840,42,0.8863359315932424
2021-04-05,2944840,35,0.7832253243810724
2021-04-12,2944840,107,1.5333069419287877
2021-04-19,2944840,56,1.0652731057361768
2021-04-26,2944840,53,1.029533063867005
2021-05-03,2944840,49,0.9798015045650219
2021-05-10,2944840,39,0.843440597485302
2021-05-17,2944840,50,0.9924681750782018
2021-05-24,2944840,52,1.0173301116518783
2021-05-31,2944840,41,0.8722409476942476
2021-06-07,2944840,53,1.029533063867005
2021-06-14,2944840,41,0.8722409476942476
2021-06-21,2944840,48,0.9669723289102549
2021-06-28,2944840,44,0.9139435396065283
2021-07-05,2944840,37,0.8137861273651567
2021-07-12,2944840,59,1.0997797518762977
2021-07-19,2944840,37,0.8137861273651567
2021-07-26,2944840,49,0.9798015045650219
2021-08-02,2944840,37,0.8137861273651567
2021-08-09,2944840,44,0.9139435396065283
2021-08-16,2944840,47,0.9539764241946013
2021-08-23,2944840,49,0.9798015045650219
2021-08-30,2944840,31,0.7191505293051281
2021-09-06,2944840,49,0.9798015045650219
2021-09-13,2944840,37,0.8137861273651567
2021-09-20,2944840,29,0.6855047344697411
2021-09-27,2944840,48,0.9669723289102549
2021-10-04,2944840,35,0.7832253243810724
2021-10-11,2944840,71,1.2270045835616525
2021-10-18,2944840,49,0.9798015045650219
2021-10-25,2944840,48,0.9669723289102549
2021-11-01,2944840,44,0.9139435396065283
2021-11-08,2944840,57,1.076908124900161
2021-11-15,2944840,36,0.7986224666651186
