ds,Total,y_original,y
2013-12-30,2402598,0,0.0
2014-01-06,2402598,5,0.18905554614321457
2014-01-13,2402598,15,0.48509183332651096
2014-01-20,2402598,16,0.510392998412793
2014-01-27,2402598,36,0.9156417236373484
2014-02-03,2402598,21,0.6281039116435764
2014-02-10,2402598,24,0.6926063696176372
2014-02-17,2402598,33,0.8643712086004596
2014-02-24,2402598,24,0.6926063696176372
2014-03-03,2402598,38,0.948417584666353
2014-03-10,2402598,49,1.1116795233780747
2014-03-17,2402598,38,0.948417584666353
2014-03-24,2402598,17,0.5350697796967875
2014-03-31,2402598,33,0.8643712086004596
2014-04-07,2402598,22,0.6500702748008147
2014-04-14,2402598,18,0.5591522536081874
2014-04-21,2402598,30,0.8103292971112377
2014-04-28,2402598,24,0.6926063696176372
2014-05-05,2402598,9,0.3181587795898292
2014-05-12,2402598,22,0.6500702748008147
2014-05-19,2402598,18,0.5591522536081874
2014-05-26,2402598,35,0.8988419411007068
2014-06-02,2402598,40,0.9801531936220311
2014-06-09,2402598,27,0.7531991699156017
2014-06-16,2402598,22,0.6500702748008147
2014-06-23,2402598,22,0.6500702748008147
2014-06-30,2402598,32,0.8466797668576859
2014-07-07,2402598,22,0.6500702748008147
2014-07-14,2402598,8,0.2874117035401858
2014-07-21,2402598,22,0.6500702748008147
2014-07-28,2402598,23,0.6715644700813751
2014-08-04,2402598,24,0.6926063696176372
2014-08-11,2402598,22,0.6500702748008147
2014-08-18,2402598,28,0.772607464332527
2014-08-25,2402598,12,0.40510459997929765
2014-09-01,2402598,26,0.7334067256155048
2014-09-08,2402598,30,0.8103292971112377
2014-09-15,2402598,18,0.5591522536081874
2014-09-22,2402598,14,0.4591338654640267
2014-09-29,2402598,29,0.7916462372608394
2014-10-06,2402598,29,0.7916462372608394
2014-10-13,2402598,13,0.4324840835385666
2014-10-20,2402598,32,0.8466797668576859
2014-10-27,2402598,14,0.4591338654640267
2014-11-03,2402598,19,0.5826683744258644
2014-11-10,2402598,14,0.4591338654640267
2014-11-17,2402598,17,0.5350697796967875
2014-11-24,2402598,24,0.6926063696176372
2014-12-01,2402598,17,0.5350697796967875
2014-12-08,2402598,22,0.6500702748008147
