ds,Total,y_original,y
2013-12-30,2402598,0,0.0
2014-01-06,2402598,2,0.07995952502465899
2014-01-13,2402598,1,0.04077874040637509
2014-01-20,2402598,4,0.15399619225740263
2014-01-27,2402598,13,0.4324840835385666
2014-02-03,2402598,2,0.07995952502465899
2014-02-10,2402598,4,0.15399619225740263
2014-02-17,2402598,7,0.2556891731539865
2014-02-24,2402598,11,0.37695432697860853
2014-03-03,2402598,5,0.18905554614321457
2014-03-10,2402598,12,0.40510459997929765
2014-03-17,2402598,11,0.37695432697860853
2014-03-24,2402598,5,0.18905554614321457
2014-03-31,2402598,12,0.40510459997929765
2014-04-07,2402598,5,0.18905554614321457
2014-04-14,2402598,5,0.18905554614321457
2014-04-21,2402598,8,0.2874117035401858
2014-04-28,2402598,9,0.3181587795898292
2014-05-05,2402598,2,0.07995952502465899
2014-05-12,2402598,3,0.11766288072019504
2014-05-19,2402598,3,0.11766288072019504
2014-05-26,2402598,11,0.37695432697860853
2014-06-02,2402598,10,0.34798860560665795
2014-06-09,2402598,7,0.2556891731539865
2014-06-16,2402598,3,0.11766288072019504
2014-06-23,2402598,3,0.11766288072019504
2014-06-30,2402598,8,0.2874117035401858
2014-07-07,2402598,4,0.15399619225740263
2014-07-14,2402598,1,0.04077874040637509
2014-07-21,2402598,2,0.07995952502465899
2014-07-28,2402598,4,0.15399619225740263
2014-08-04,2402598,2,0.07995952502465899
2014-08-11,2402598,4,0.15399619225740263
2014-08-18,2402598,4,0.15399619225740263
2014-08-25,2402598,1,0.04077874040637509
2014-09-01,2402598,7,0.2556891731539865
2014-09-08,2402598,0,0.0
2014-09-15,2402598,1,0.04077874040637509
2014-09-22,2402598,5,0.18905554614321457
2014-09-29,2402598,6,0.2229272620331978
2014-10-06,2402598,4,0.15399619225740263
2014-10-13,2402598,2,0.07995952502465899
2014-10-20,2402598,3,0.11766288072019504
2014-10-27,2402598,2,0.07995952502465899
2014-11-03,2402598,1,0.04077874040637509
2014-11-10,2402598,2,0.07995952502465899
2014-11-17,2402598,5,0.18905554614321457
2014-11-24,2402598,2,0.07995952502465899
2014-12-01,2402598,2,0.07995952502465899
2014-12-08,2402598,2,0.07995952502465899
2014-12-15,2402598,4,0.15399619225740263
2014-12-22,2402598,0,0.0
2014-12-29,4805196,6,0.2229272620331978
2015-01-05,2402598,6,0.2229272620331978
2015-01-12,2402598,5,0.18905554614321457
2015-01-19,2402598,2,0.07995952502465899
2015-01-26,2402598,4,0.15399619225740263
2015-02-02,2402598,1,0.04077874040637509
2015-02-09,2402598,3,0.11766288072019504
2015-02-16,2402598,2,0.07995952502465899
2015-02-23,2402598,18,0.5591522536081874
2015-03-02,2402598,2,0.07995952502465899
2015-03-09,2402598,1,0.04077874040637509
2015-03-16,2402598,7,0.2556891731539865
2015-03-23,2402598,4,0.15399619225740263
2015-03-30,2402598,8,0.2874117035401858
2015-04-06,2402598,7,0.2556891731539865
2015-04-13,2402598,7,0.2556891731539865
2015-04-20,2402598,3,0.11766288072019504
2015-04-27,2402598,9,0.3181587795898292
2015-05-04,2402598,9,0.3181587795898292
2015-05-11,2402598,9,0.3181587795898292
