ds,Total,y_original,y
2013-12-30,3527735,0,0.0
2014-01-06,3527735,28,0.584286330273345
2014-01-13,3527735,61,1.0039919737086693
2014-01-20,3527735,61,1.0039919737086693
2014-01-27,3527735,40,0.757938177805909
2014-02-03,3527735,34,0.6748768980064859
2014-02-10,3527735,44,0.8097113486918298
2014-02-17,3527735,29,0.5999661991940015
2014-02-24,3527735,59,0.9829998549700382
2014-03-03,3527735,63,1.0245524685737308
2014-03-10,3527735,53,0.9172424478750777
2014-03-17,3527735,53,0.9172424478750777
2014-03-24,3527735,70,1.0933571813488139
2014-03-31,3527735,70,1.0933571813488139
2014-04-07,3527735,54,0.9285067013540883
2014-04-14,3527735,34,0.6748768980064859
2014-04-21,3527735,41,0.7711349247600062
2014-04-28,3527735,51,0.8943259921559513
2014-05-05,3527735,47,0.846854742229627
2014-05-12,3527735,60,0.9935509969591234
2014-05-19,3527735,75,1.1397574411856488
2014-05-26,3527735,83,1.2097911753305544
2014-06-02,3527735,61,1.0039919737086693
2014-06-09,3527735,87,1.2430507102756092
2014-06-16,3527735,66,1.0546216780279116
2014-06-23,3527735,62,1.0143250619541133
2014-06-30,3527735,66,1.0546216780279116
2014-07-07,3527735,70,1.0933571813488139
2014-07-14,3527735,70,1.0933571813488139
2014-07-21,3527735,90,1.2672889644618832
2014-07-28,3527735,67,1.064447125879906
2014-08-04,3527735,50,0.8826677708871516
2014-08-11,3527735,129,1.5383150430236365
2014-08-18,3527735,78,1.166598121371444
2014-08-25,3527735,67,1.064447125879906
2014-09-01,3527735,69,1.0838130614522854
2014-09-08,3527735,78,1.166598121371444
2014-09-15,3527735,56,0.9506615586423711
2014-09-22,3527735,60,0.9935509969591234
2014-09-29,3527735,44,0.8097113486918298
2014-10-06,3527735,74,1.1306480309557305
2014-10-13,3527735,59,0.9829998549700382
2014-10-20,3527735,65,1.044698731994985
2014-10-27,3527735,64,1.0346763334176317
2014-11-03,3527735,33,0.6603369714551827
2014-11-10,3527735,33,0.6603369714551827
2014-11-17,3527735,34,0.6748768980064859
2014-11-24,3527735,47,0.846854742229627
2014-12-01,3527735,62,1.0143250619541133
2014-12-08,3527735,50,0.8826677708871516
2014-12-15,3527735,62,1.0143250619541133
2014-12-22,3527735,28,0.584286330273345
2014-12-29,7055470,87,1.2430507102756092
2015-01-05,3527735,50,0.8826677708871516
2015-01-12,3527735,42,0.7841597834872928
2015-01-19,3527735,35,0.6892084413516539
2015-01-26,3527735,42,0.7841597834872928
2015-02-02,3527735,62,1.0143250619541133
2015-02-09,3527735,78,1.166598121371444
2015-02-16,3527735,50,0.8826677708871516
2015-02-23,3527735,33,0.6603369714551827
2015-03-02,3527735,55,0.9396454834561536
2015-03-09,3527735,31,0.6306070949253193
2015-03-16,3527735,47,0.846854742229627
2015-03-23,3527735,67,1.064447125879906
2015-03-30,3527735,61,1.0039919737086693
2015-04-06,3527735,43,0.7970171741801273
2015-04-13,3527735,75,1.1397574411856488
2015-04-20,3527735,56,0.9506615586423711
2015-04-27,3527735,56,0.9506615586423711
2015-05-04,3527735,50,0.8826677708871516
2015-05-11,3527735,50,0.8826677708871516
2015-05-18,3527735,48,0.8589354884966467
2015-05-25,3527735,45,0.8222463989776924
2015-06-01,3527735,68,1.0741769728661121
2015-06-08,3527735,105,1.3803804193649407
2015-06-15,3527735,96,1.3140711457770644
2015-06-22,3527735,72,1.1121764220144381
2015-06-29,3527735,96,1.3140711457770644
2015-07-06,3527735,96,1.3140711457770644
2015-07-13,3527735,130,1.5443838569061672
2015-07-20,3527735,100,1.3440860004591118
2015-07-27,3527735,105,1.3803804193649407
2015-08-03,3527735,123,1.501107758956634
2015-08-10,3527735,117,1.4624624142701959
2015-08-17,3527735,123,1.501107758956634
2015-08-24,3527735,92,1.2831274486351891
2015-08-31,3527735,95,1.30642452445798
2015-09-07,3527735,70,1.0933571813488139
2015-09-14,3527735,114,1.4425648701270428
2015-09-21,3527735,97,1.321659739711393
2015-09-28,3527735,78,1.166598121371444
2015-10-05,3527735,104,1.3732261539185775
2015-10-12,3527735,142,1.6144743404037472
2015-10-19,3527735,94,1.2987189814803763
2015-10-26,3527735,107,1.3945372067220538
2015-11-02,3527735,80,1.1840998489796206
2015-11-09,3527735,96,1.3140711457770644
2015-11-16,3527735,113,1.435843391589797
2015-11-23,3527735,103,1.3660203359159953
2015-11-30,3527735,76,1.1487846185898603
2015-12-07,3527735,93,1.290953601737056
