ds,Total,y_original,y
2013-12-30,1342977,0,0.0
2014-01-06,1342977,0,0.0
2014-01-13,1342977,0,0.0
2014-01-20,1342977,1,0.0718195490919925
2014-01-27,1342977,0,0.0
2014-02-03,1342977,0,0.0
2014-02-10,1342977,0,0.0
2014-02-17,1342977,3,0.20162104861765776
2014-02-24,1342977,7,0.4195192662613497
2014-03-03,1342977,0,0.0
2014-03-10,1342977,5,0.3164934074002998
2014-03-17,1342977,0,0.0
2014-03-24,1342977,5,0.3164934074002998
2014-03-31,1342977,7,0.4195192662613497
2014-04-07,1342977,0,0.0
2014-04-14,1342977,6,0.36933254140356636
2014-04-21,1342977,5,0.3164934074002998
2014-04-28,1342977,4,0.2607057792543441
2014-05-05,1342977,5,0.3164934074002998
2014-05-12,1342977,8,0.4673071922592447
2014-05-19,1342977,0,0.0
2014-05-26,1342977,2,0.13882487568593332
2014-06-02,1342977,4,0.2607057792543441
2014-06-09,1342977,3,0.20162104861765776
2014-06-16,1342977,1,0.0718195490919925
2014-06-23,1342977,4,0.2607057792543441
2014-06-30,1342977,5,0.3164934074002998
2014-07-07,1342977,12,0.6384466504066006
2014-07-14,1342977,3,0.20162104861765776
2014-07-21,1342977,4,0.2607057792543441
2014-07-28,1342977,3,0.20162104861765776
2014-08-04,1342977,1,0.0718195490919925
2014-08-11,1342977,1,0.0718195490919925
2014-08-18,1342977,3,0.20162104861765776
2014-08-25,1342977,4,0.2607057792543441
2014-09-01,1342977,0,0.0
2014-09-08,1342977,2,0.13882487568593332
2014-09-15,1342977,6,0.36933254140356636
2014-09-22,1342977,5,0.3164934074002998
2014-09-29,1342977,6,0.36933254140356636
2014-10-06,1342977,4,0.2607057792543441
2014-10-13,1342977,6,0.36933254140356636
2014-10-20,1342977,8,0.4673071922592447
2014-10-27,1342977,3,0.20162104861765776
2014-11-03,1342977,5,0.3164934074002998
2014-11-10,1342977,6,0.36933254140356636
2014-11-17,1342977,6,0.36933254140356636
2014-11-24,1342977,5,0.3164934074002998
2014-12-01,1342977,5,0.3164934074002998
2014-12-08,1342977,1,0.0718195490919925
2014-12-15,1342977,3,0.20162104861765776
2014-12-22,1342977,4,0.2607057792543441
2014-12-29,2685954,2,0.13882487568593332
2015-01-05,1342977,0,0.0
2015-01-12,1342977,0,0.0
2015-01-19,1342977,1,0.0718195490919925
2015-01-26,1342977,6,0.36933254140356636
2015-02-02,1342977,9,0.5129152098047813
2015-02-09,1342977,5,0.3164934074002998
2015-02-16,1342977,9,0.5129152098047813
2015-02-23,1342977,12,0.6384466504066006
2015-03-02,1342977,9,0.5129152098047813
2015-03-09,1342977,12,0.6384466504066006
2015-03-16,1342977,15,0.749962951033637
2015-03-23,1342977,13,0.6770171417952009
2015-03-30,1342977,15,0.749962951033637
2015-04-06,1342977,9,0.5129152098047813
2015-04-13,1342977,12,0.6384466504066006
2015-04-20,1342977,20,0.9119729358096579
2015-04-27,1342977,22,0.9700785426317662
2015-05-04,1342977,13,0.6770171417952009
2015-05-11,1342977,16,0.7845328625094183
2015-05-18,1342977,6,0.36933254140356636
2015-05-25,1342977,14,0.7141550353835884
2015-06-01,1342977,15,0.749962951033637
2015-06-08,1342977,17,0.8179475209989001
2015-06-15,1342977,18,0.8502816483826914
2015-06-22,1342977,6,0.36933254140356636
2015-06-29,1342977,13,0.6770171417952009
2015-07-06,1342977,12,0.6384466504066006
2015-07-13,1342977,19,0.8816029435446747
2015-07-20,1342977,10,0.5565335514460967
2015-07-27,1342977,8,0.4673071922592447
2015-08-03,1342977,14,0.7141550353835884
2015-08-10,1342977,15,0.749962951033637
2015-08-17,1342977,12,0.6384466504066006
2015-08-24,1342977,19,0.8816029435446747
2015-08-31,1342977,20,0.9119729358096579
2015-09-07,1342977,5,0.3164934074002998
2015-09-14,1342977,12,0.6384466504066006
2015-09-21,1342977,16,0.7845328625094183
2015-09-28,1342977,15,0.749962951033637
2015-10-05,1342977,13,0.6770171417952009
2015-10-12,1342977,21,0.9414477125565613
2015-10-19,1342977,9,0.5129152098047813
2015-10-26,1342977,8,0.4673071922592447
2015-11-02,1342977,9,0.5129152098047813
2015-11-09,1342977,10,0.5565335514460967
2015-11-16,1342977,21,0.9414477125565613
2015-11-23,1342977,7,0.4195192662613497
2015-11-30,1342977,4,0.2607057792543441
2015-12-07,1342977,14,0.7141550353835884
2015-12-14,1342977,2,0.13882487568593332
2015-12-21,1342977,5,0.3164934074002998
2016-01-04,1342977,9,0.5129152098047813
2016-01-11,1342977,13,0.6770171417952009
2016-01-18,1342977,7,0.4195192662613497
2016-01-25,1342977,7,0.4195192662613497
2016-02-01,1342977,8,0.4673071922592447
2016-02-08,1342977,6,0.36933254140356636
2016-02-15,1342977,3,0.20162104861765776
2016-02-22,1342977,11,0.5983285860203966
2016-02-29,1342977,12,0.6384466504066006
2016-03-07,1342977,11,0.5983285860203966
2016-03-14,1342977,13,0.6770171417952009
2016-03-21,1342977,8,0.4673071922592447
2016-03-28,1342977,21,0.9414477125565613
2016-04-04,1342977,9,0.5129152098047813
2016-04-11,1342977,14,0.7141550353835884
2016-04-18,1342977,9,0.5129152098047813
2016-04-25,1342977,9,0.5129152098047813
2016-05-02,1342977,6,0.36933254140356636
2016-05-09,1342977,14,0.7141550353835884
2016-05-16,1342977,14,0.7141550353835884
2016-05-23,1342977,9,0.5129152098047813
2016-05-30,1342977,19,0.8816029435446747
2016-06-06,1342977,9,0.5129152098047813
2016-06-13,1342977,11,0.5983285860203966
2016-06-20,1342977,15,0.749962951033637
2016-06-27,1342977,14,0.7141550353835884
2016-07-04,1342977,12,0.6384466504066006
2016-07-11,1342977,11,0.5983285860203966
2016-07-18,1342977,16,0.7845328625094183
2016-07-25,1342977,11,0.5983285860203966
2016-08-01,1342977,9,0.5129152098047813
2016-08-08,1342977,9,0.5129152098047813
2016-08-15,1342977,10,0.5565335514460967
2016-08-22,1342977,14,0.7141550353835884
2016-08-29,1342977,11,0.5983285860203966
2016-09-05,1342977,10,0.5565335514460967
2016-09-12,1342977,7,0.4195192662613497
2016-09-19,1342977,5,0.3164934074002998
2016-09-26,1342977,9,0.5129152098047813
2016-10-03,1342977,10,0.5565335514460967
2016-10-10,1342977,5,0.3164934074002998
2016-10-17,1342977,12,0.6384466504066006
2016-10-24,1342977,5,0.3164934074002998
2016-10-31,1342977,1,0.0718195490919925
2016-11-07,1342977,16,0.7845328625094183
2016-11-14,1342977,12,0.6384466504066006
2016-11-21,1342977,7,0.4195192662613497
2016-11-28,1342977,10,0.5565335514460967
2016-12-05,1342977,11,0.5983285860203966
2016-12-12,1342977,0,0.0
2016-12-19,1342977,7,0.4195192662613497
2016-12-26,1342977,5,0.3164934074002998
2017-01-02,1342977,8,0.4673071922592447
2017-01-09,1342977,14,0.7141550353835884
