ds,Total,y_original,y
2013-12-30,8062579,7,0.08325678748843734
2014-01-06,8062579,5,0.06016794929965531
2014-01-13,8062579,5,0.06016794929965531
2014-01-20,8062579,13,0.149487306201463
2014-01-27,8062579,19,0.21160249329790637
2014-02-03,8062579,18,0.20151421575582984
2014-02-10,8062579,16,0.18102710929452304
2014-02-17,8062579,13,0.149487306201463
2014-02-24,8062579,20,0.22159001312204157
2014-03-03,8062579,16,0.18102710929452304
2014-03-10,8062579,15,0.17062398003293844
2014-03-17,8062579,20,0.22159001312204157
2014-03-24,8062579,16,0.18102710929452304
2014-03-31,8062579,27,0.28884172950538495
2014-04-07,8062579,11,0.12789420875305596
2014-04-14,8062579,13,0.149487306201463
2014-04-21,8062579,19,0.21160249329790637
2014-04-28,8062579,12,0.13874903907717945
2014-05-05,8062579,14,0.16011148695026403
2014-05-12,8062579,33,0.34309193165119806
2014-05-19,8062579,17,0.19132312679906463
2014-05-26,8062579,7,0.08325678748843734
2014-06-02,8062579,12,0.13874903907717945
2014-06-09,8062579,18,0.20151421575582984
2014-06-16,8062579,10,0.11692025686067875
2014-06-23,8062579,10,0.11692025686067875
2014-06-30,8062579,7,0.08325678748843734
2014-07-07,8062579,9,0.10582453986827389
2014-07-14,8062579,10,0.11692025686067875
2014-07-21,8062579,13,0.149487306201463
2014-07-28,8062579,2,0.024503285879399043
2014-08-04,8062579,10,0.11692025686067875
2014-08-11,8062579,14,0.16011148695026403
2014-08-18,8062579,12,0.13874903907717945
2014-08-25,8062579,11,0.12789420875305596
2014-09-01,8062579,29,0.30725408353424155
2014-09-08,8062579,20,0.22159001312204157
2014-09-15,8062579,7,0.08325678748843734
2014-09-22,8062579,16,0.18102710929452304
2014-09-29,8062579,4,0.04842049297412743
2014-10-06,8062579,14,0.16011148695026403
2014-10-13,8062579,13,0.149487306201463
2014-10-20,8062579,10,0.11692025686067875
2014-10-27,8062579,8,0.0946043252583466
2014-11-03,8062579,28,0.29809028276883826
2014-11-10,8062579,20,0.22159001312204157
2014-11-17,8062579,11,0.12789420875305596
2014-11-24,8062579,9,0.10582453986827389
2014-12-01,8062579,15,0.17062398003293844
2014-12-08,8062579,4,0.04842049297412743
2014-12-15,8062579,25,0.27008399142176454
2014-12-22,8062579,5,0.06016794929965531
2014-12-29,16125158,6,0.07177900372005776
2015-01-05,8062579,11,0.12789420875305596
2015-01-12,8062579,14,0.16011148695026403
2015-01-19,8062579,16,0.18102710929452304
2015-01-26,8062579,16,0.18102710929452304
2015-02-02,8062579,17,0.19132312679906463
2015-02-09,8062579,11,0.12789420875305596
2015-02-16,8062579,15,0.17062398003293844
2015-02-23,8062579,7,0.08325678748843734
2015-03-02,8062579,11,0.12789420875305596
2015-03-09,8062579,14,0.16011148695026403
2015-03-16,8062579,13,0.149487306201463
2015-03-23,8062579,14,0.16011148695026403
2015-03-30,8062579,10,0.11692025686067875
2015-04-06,8062579,20,0.22159001312204157
2015-04-13,8062579,14,0.16011148695026403
2015-04-20,8062579,17,0.19132312679906463
2015-04-27,8062579,18,0.20151421575582984
2015-05-04,8062579,21,0.23147876799795206
2015-05-11,8062579,15,0.17062398003293844
2015-05-18,8062579,17,0.19132312679906463
2015-05-25,8062579,21,0.23147876799795206
2015-06-01,8062579,38,0.3861553430321003
2015-06-08,8062579,24,0.260571506040171
2015-06-15,8062579,19,0.21160249329790637
2015-06-22,8062579,13,0.149487306201463
2015-06-29,8062579,18,0.20151421575582984
2015-07-06,8062579,11,0.12789420875305596
2015-07-13,8062579,9,0.10582453986827389
2015-07-20,8062579,21,0.23147876799795206
2015-07-27,8062579,6,0.07177900372005776
2015-08-03,8062579,13,0.149487306201463
2015-08-10,8062579,12,0.13874903907717945
2015-08-17,8062579,15,0.17062398003293844
2015-08-24,8062579,18,0.20151421575582984
2015-08-31,8062579,16,0.18102710929452304
2015-09-07,8062579,23,0.25096766355179806
2015-09-14,8062579,11,0.12789420875305596
2015-09-21,8062579,18,0.20151421575582984
2015-09-28,8062579,24,0.260571506040171
2015-10-05,8062579,31,0.32533354292171207
2015-10-12,8062579,16,0.18102710929452304
2015-10-19,8062579,25,0.27008399142176454
2015-10-26,8062579,16,0.18102710929452304
2015-11-02,8062579,18,0.20151421575582984
2015-11-09,8062579,19,0.21160249329790637
2015-11-16,8062579,20,0.22159001312204157
2015-11-23,8062579,17,0.19132312679906463
2015-11-30,8062579,13,0.149487306201463
2015-12-07,8062579,20,0.22159001312204157
2015-12-14,8062579,4,0.04842049297412743
2015-12-21,8062579,15,0.17062398003293844
2016-01-04,8062579,17,0.19132312679906463
